,Interpersonal Violence,HIV/AIDS,Acute Hepatitis,per_capita-Malaria,gdp/percap
0,0.07973338602177223,-0.29996759967153414,0.8127980941622929,-0.15536261404965254,-0.6553986650081494
1,0.10279697187096566,-0.2996990447913617,0.840522951892835,-0.22394526324863198,-0.6539068468472837
2,0.10547285752197706,-0.29943048991118926,0.8341598697907433,-0.33756671836968266,-0.6527138233219161
3,0.10891328193042028,-0.29916193503101685,0.799844677025892,-0.35613828675105647,-0.6498209777557726
4,0.12203786393299997,-0.29885501516796265,0.7262147269874032,-0.3669204890069832,-0.6469859154537002
5,0.12815417399245457,-0.29854809530490845,0.6278142073372004,-0.3686941020232758,-0.643782139594751
6,0.1444643341510002,-0.29820281045897246,0.5296409406192153,-0.3788767098544224,-0.6440466546649424
7,0.155804992386239,-0.2978191606301547,0.45192043780081037,-0.3804856200271215,-0.6446675648618996
8,0.18842531270333027,-0.2974738757842187,0.4107876570694323,-0.37147173611851897,-0.6393090673529639
9,0.19352223775287578,-0.2971669559211645,0.384199063999978,-0.3711555191178982,-0.6353972177402689
10,0.20307897222077362,-0.2968984010409921,0.3612465178460046,-0.39097443785958286,-0.6319567810775403
11,0.22015367113675108,-0.2965531161950561,0.3476113419129511,-0.38799284849356525,-0.632933561800214
12,0.22537801931253523,-0.296054371417593,0.331703636657722,-0.38291181696863663,-0.6329621830909034
13,0.304252934454252,-0.2954021667086028,0.3160231843347105,-0.3798318145128675,-0.6346283889012702
14,0.3034883956968202,-0.2945965020680855,0.3112508727581418,-0.37405529861758724,-0.6385592230799163
15,0.323621249642525,-0.29379083742756823,0.3117053786225769,-0.37395257158498013,-0.637894679259886
16,0.36299499565026405,-0.29306190275281446,0.2948886616384776,-0.37006751359746665,-0.6386320380703817
17,0.3011947794245247,-0.29202604821500655,0.2876165678075157,-0.36777847912812317,-0.639241561408994
18,-0.29845845265450477,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.609211861793507
19,-0.3059764171025844,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.6012265935649835
20,-0.31183788090956177,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.5935150608737129
21,-0.3169348059591073,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.5713590734641028
22,-0.3215220385036982,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.5436271986329139
23,-0.3261092710482892,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.527803230007046
24,-0.32802061794186876,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.5122776680502702
25,-0.3281480410681074,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.4804651478464747
26,-0.3287851566993006,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.44144328007060407
27,-0.3299319648354483,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.45597395497668575
28,-0.32942227233049376,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.45815540623945256
29,-0.3295496954567324,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.4419230498279799
30,-0.32967711858297105,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.45253268089316606
31,-0.3298045417092097,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.4451664265827378
32,-0.3298045417092097,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.43782685044508063
33,-0.3298045417092097,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.47051412610453347
34,-0.3299319648354483,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.46298960396214983
35,-0.3301868110879256,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.44321901288673654
36,-0.3303142342141642,-0.3041493828056477,-0.1530268677623298,-0.3970889616897243,-0.4071831663948912
37,-0.25870243726804976,-0.29950721987695283,-0.05303557758660414,-0.3970889616897243,-0.5728553736173875
38,-0.25793789851061794,-0.29897011011660796,-0.05894415382426066,-0.3970889616897243,-0.5742161667653976
39,-0.2578104753843793,-0.298279540424736,-0.06826152404518054,-0.3970889616897243,-0.5721504335382664
40,-0.25857501414181117,-0.2975122407671005,-0.07757889426610044,-0.3970889616897243,-0.5551667534992881
41,-0.26328966981264074,-0.2967065761265832,-0.08439648223262719,-0.3970889616897243,-0.5282562748126153
42,-0.2655832860849362,-0.2959009114860659,-0.08803252914810812,-0.3970889616897243,-0.5013269813401153
43,-0.2672397867260385,-0.29486505694825793,-0.09007780553806614,-0.3970889616897243,-0.4814239212784133
44,-0.26966082612457265,-0.29356064753027755,-0.09144132313137149,-0.3970889616897243,-0.455578678478097
45,-0.269533402998334,-0.29283171285552384,-0.09257758779245928,-0.3970889616897243,-0.40243496301468457
46,-0.26966082612457265,-0.29202604821500655,-0.09348659952132951,-0.3970889616897243,-0.45720548730026134
47,-0.2702979417557658,-0.291604033403307,-0.09416835831798219,-0.3970889616897243,-0.4234585990721541
48,-0.2706802111344817,-0.29137384350601636,-0.0946228641824173,-0.3970889616897243,-0.368401283992493
49,-0.2714447498919136,-0.29106692364296216,-0.0946228641824173,-0.3970889616897243,-0.3585407242494698
50,-0.26915113361961807,-0.2909901936771986,-0.0946228641824173,-0.3970889616897243,-0.3610771642012869
51,-0.2729738274067772,-0.29060654384838086,-0.0946228641824173,-0.3970889616897243,-0.35871149852230705
52,-0.2742480586691636,-0.2916423983861888,-0.09439561125019975,-0.3970889616897243,-0.43030043591307726
53,-0.27590455931026586,-0.29237133306094254,-0.0946228641824173,-0.3970889616897243,-0.4412611538330537
