,Malaria,HIV/AIDS,Drug Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Exposure to Forces of Nature,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Acute Hepatitis,gdp/percap,Adolescent birth rate (per 1000 women aged 15-19 years),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),Age-standardized suicide rates (per 100 000 population),Estimated number of road traffic deaths,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_x","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y",Estimates of number of homicides,Estimates of rates of homicides per 100 000 population,Yellow fever - number of reported cases,Mumps - number of reported cases
547,0.0,330.0,1428.0,11.0,117.0,16.0,12.0,0.0,9.774955639474045e-06,3.3412575640384004e-05,3.258318546491348e-07,4.739372431260143e-07,0.0001983723573259,7.731101278493107e-06,7.56818535116854e-05,3.5545293234451066e-07,47907.50190522772,0.2,0.27,10.2561,2508.0,8.4,1.9,133.2611,1.6319,0.0,799.0
548,0.0,302.0,1501.0,19.0,116.0,0.0,12.0,0.0,8.874369141079784e-06,3.432206343305029e-05,5.583212373527016e-07,0.0,0.0001869494585283,7.434488055275448e-06,7.178835699224474e-05,3.526239393806537e-07,52697.50261147413,0.2,0.29,14.125,1537.253,8.2,0.2,604.9368,2.64911,2.0,282.0
549,0.0,277.0,1602.0,6.0,117.0,1.0,11.0,0.0,8.0757819718459e-06,3.5043645957251884e-05,1.749266853107415e-07,2.915444755179025e-08,0.0001803494125553,7.113685202636822e-06,7.017475525715914e-05,3.206989230696928e-07,53304.88403468633,0.1,0.27,14.9357,2356.0,8.3,2.0,549.5691,2.37699,3.0,54.0
550,0.0,233.0,1709.0,6.0,142.0,0.0,11.0,0.0,6.74029654759118e-06,3.607360426972619e-05,1.7356986817831365e-07,0.0,0.0001737434380464,6.971723038495599e-06,6.85600979304339e-05,3.18211424993575e-07,53418.87512145552,0.1,0.3,5.46,1493.14,8.2,2.1,380.2282,1.44206,0.0,92.0
551,0.0,273.0,1856.0,11.0,121.0,7.0,11.0,0.0,7.836981596585487e-06,3.706059795308375e-05,3.157758152470343e-07,2.0094824606629454e-07,0.0001722413537711,6.91836104313957e-06,6.757602446286533e-05,3.157758152470343e-07,51837.49946892249,0.1,0.3,10.8637,591.4134,8.1,2.0,389.6537,0.74235,5.0,40.0
552,0.0,272.0,2022.0,8.0,120.0,0.0,11.0,0.0,7.74932395695524e-06,3.763550348212453e-05,2.279212928516248e-07,0.0,0.0001727928301431,7.1225404016132725e-06,6.737923219926156e-05,3.13391777670984e-07,44345.16446173709,0.1,0.35,11.1557,2073.0,8.0,2.0,156.1079,1.68633,4.0,65.0
553,0.0,269.0,2167.0,0.0,123.0,2.0,11.0,0.0,7.606841338595948e-06,3.74969205017778e-05,0.0,5.6556441179152026e-08,0.000179481866082,7.408893794468915e-06,6.888574535620718e-05,3.110604264853362e-07,43209.00794798979,0.1,0.28,5.47,2118.0,8.2,2.1,451.6109,2.5031,2.0,309.0
554,0.0,265.0,2311.0,2.0,124.0,0.0,12.0,0.0,7.438872121016133e-06,3.747507276059071e-05,5.6142431102008564e-08,0.0,0.0001851015953433,7.635370629873164e-06,6.883062053106248e-05,3.368545866120513e-07,46296.90138694262,0.1,0.28,17.631,2054.146,8.1,1.7058823529411764,172.4501,2.68076,0.0,2157.0
555,0.0,259.0,2413.0,0.0,197.0,0.0,12.0,0.0,7.2704448277101075e-06,3.786806977830477e-05,0.0,0.0,0.00019868806367,8.112581294240236e-06,6.925168876432755e-05,3.368545866120513e-07,48431.26819014768,0.1,0.27,5.47,634.9965,8.1,1.7058823529411764,603.5254,0.84736,0.0,787.0
556,0.0,254.0,2526.0,0.0,128.0,1.0,12.0,0.0,7.02892841274399e-06,3.7662880195844765e-05,0.0,2.7672946506866106e-08,0.0002053332630809,8.357229845073563e-06,6.860123439052106e-05,3.320753580823932e-07,48206.687909158354,0.1,0.21,5.38,1997.732,8.0,1.7058823529411764,159.611,2.39944,1.0,186.0
