,Malaria,HIV/AIDS,Drug Use Disorders,Exposure to Forces of Nature,Environmental Heat and Cold Exposure,Conflict and Terrorism,Acute Hepatitis,per_capita-Malaria,per_capita-Drowning,per_capita-HIV/AIDS,per_capita-Drug Use Disorders,per_capita-Alcohol Use Disorders,per_capita-Exposure to Forces of Nature,per_capita-Conflict and Terrorism,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,per_capita-Road Injuries,per_capita-Acute Hepatitis,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Adolescent birth rate (per 1000 women aged 15-19 years),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),Age-standardized suicide rates (per 100 000 population),Estimated number of road traffic deaths,Estimated road traffic death rate (per 100 000 population),"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_x","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y",Mortality rate attributed to unintentional poisoning (per 100 000 population),Crude suicide rates (per 100 000 population),Estimates of number of homicides,Estimates of rates of homicides per 100 000 population,Yellow fever - number of reported cases,Mumps - number of reported cases
0,2883.0,111.0,202.0,1286.0,53.0,977.0,4251.0,0.0001221605614351,8.389799224477468e-05,4.703372292510096e-06,8.559290117901256e-06,4.279645058950628e-06,5.44913222357476e-05,4.139815071876003e-05,0.000116313125612,0.0001163554983354,0.0002837277555914,0.0001801264469861,218.05003438970223,13.49,12.3,57.0,7.69,733.7519,14.91542,0.0078973333333333,0.0,0.8312,5.35,2010.913,10.17557,0.0,0.0
1,2188.0,118.0,216.0,137.0,55.0,864.0,4373.0,8.75011417539292e-05,9.126033157333932e-05,4.718982964791428e-06,8.638138308431767e-06,4.159103629985665e-06,5.478819204884963e-06,3.455255323372707e-05,0.0001145753067298,0.0001193342810757,0.0002896575729998,0.0001748823093646,246.62684698193848,14.66,8.1,58.0,7.78,3556.0,22.57145,0.0078973333333333,0.0,4.20601,4.95,2137.978,10.40177,0.0,0.0
2,773.0,125.0,229.0,18.0,57.0,1049.0,4345.0,3.008058795758489e-05,9.284900758964754e-05,4.864260665844905e-06,8.911325539827866e-06,4.163807129963239e-06,7.004535358816663e-07,4.082087550777044e-05,0.0001161974587857,0.000115886146103,0.0002927117498278,0.0001690817007447,269.4800408878077,17.25,135.7,51.0,7.77,3757.0,15.19411,0.0078973333333333,0.0,0.86953,5.39,330.479,16.27195,0.0,0.0
3,545.0,132.0,239.0,561.0,78.0,2114.0,4194.0,2.0695126908973565e-05,8.790682347573176e-05,5.0123977100633225e-06,9.075477672008592e-06,4.1390253817947136e-06,2.130269026776912e-05,8.027430878086261e-05,0.0001165762194688,0.0001072349328274,0.0002877192230996,0.0001592575454242,324.89450611592264,18.87,8.2,47.0,7.78,3891.0,15.16706,0.00084,0.0,0.79841,4.54,2118.915,2.80481,0.0,0.0
4,414.0,140.0,245.0,382.0,57.0,5677.0,3870.0,1.524615581438667e-05,8.230714551969616e-05,5.15570486476844e-06,9.022483513344767e-06,4.050910965175202e-06,1.4067708988153884e-05,0.0002090638322663,0.0001152668301908,9.851078938039696e-05,0.0002756092514851,0.0001425184130475,379.2020928037187,21.39,4.3,43.0,7.75,3101.345,22.76401,0.00786,0.0,1.92925,4.44,2500.98,9.46156,0.0,0.0
5,393.0,148.0,252.0,296.0,57.0,8220.0,3437.0,1.4349830014761704e-05,7.766434717913014e-05,5.404007232022219e-06,9.201417719389185e-06,4.053005424016664e-06,1.0808014464044438e-05,0.0003001414827515,0.0001164417504251,8.905657864123102e-05,0.0002711132006605,0.000125497113895,440.57264365932497,24.45,103.0,39.0,7.42,4053.116,14.95585,0.00887,0.0,3.21555,4.29,356.3215,2.70729,0.0,0.0
6,255.0,157.0,261.0,1317.0,57.0,6895.0,3005.0,9.203874260784525e-06,7.121272124128574e-05,5.666699054679098e-06,9.4204360080971e-06,4.114673198938963e-06,4.753530353511065e-05,0.0002488655412867,0.0001177013096643,8.052487637572655e-05,0.0002654686085806,0.000108461341779,435.5056738455924,28.73,1.4,40.0,7.17,3264.664,15.00967,0.00089,0.0,3.18715,4.15,2141.418,9.06625,0.0,0.0
7,239.0,167.0,270.0,101.0,57.0,7617.0,2663.0,8.390783871944421e-06,6.501979803699191e-05,5.863016345668277e-06,9.479128223535536e-06,4.037406465579951e-06,3.545896113248479e-06,0.0002674167395506,0.0001171198953841,7.014554885416298e-05,0.0002559364620354,9.349229058990792e-05,423.6117079451104,30.37,0.8,44.0,7.03,3214.975,14.42165,0.0,0.0,3.03919,3.97,2543.485,2.8846,0.0,0.0
8,377.0,176.0,281.0,350.0,57.0,8273.0,2482.0,1.2946104918805602e-05,6.308221415343738e-05,6.043804948832323e-06,9.649484037624334e-06,4.052096499785308e-06,1.201893029597337e-05,0.0002840931723959,0.0001172017402861,6.6344495233773e-05,0.0002533933904399,8.523138569887401e-05,526.2574479594055,35.54,38.94615384615384,43.0,6.67,3306.464,14.41709,0.02,0.0,1.73017,4.64,2638.419,14.95559,0.0,0.0
9,390.0,184.0,292.0,83.0,58.0,9142.0,2365.0,1.3105910611103072e-05,5.964869573002039e-05,6.183301416520424e-06,9.81263050882589e-06,4.032587880339407e-06,2.7892066172347565e-06,0.0003072159866838,0.00011929739146,6.065684270010524e-05,0.000249751609389,7.947558614168915e-05,601.1916431605999,37.25,2.2,44.0,6.42,905.0918,14.21635,0.01,0.0,2.75003,3.77,415.7651,2.82794,0.0,0.0
10,94.0,191.0,305.0,333.0,103.0,11350.0,2264.0,3.0900796346395034e-06,5.641038992597221e-05,6.278778832086651e-06,1.0026322218777112e-05,4.076275262715941e-06,1.0946771471648454e-05,0.0003731106792889,0.0001210390767525,5.4799603733447365e-05,0.0002463516678934,7.442489673216846e-05,667.0955960185047,38.32,38.94615384615384,44.0,6.35,3405.481,21.33108,0.01,0.0,1.47767,4.01,2702.277,8.67188,0.0,0.0
11,143.0,200.0,316.0,155.0,58.0,11829.0,2204.0,4.596877029617647e-06,5.7123429941472434e-05,6.429198642821883e-06,1.0158133855658576e-05,4.050395144977786e-06,4.98262894818696e-06,0.0003802549537297,0.0001230227160303,5.307303479649465e-05,0.0002589038293464,7.084976904389715e-05,648.384683128587,39.65,0.9,43.0,6.17,3574.501,5.93044,0.01,0.0,0.4723,4.01,474.9973,3.02251,0.0,0.0
12,228.0,213.0,326.0,575.0,57.0,18008.0,2134.0,7.164663577565402e-06,5.5211903095536894e-05,6.693304131672941e-06,1.0244211957396146e-05,4.022267271615664e-06,1.806877875921099e-05,0.0005658827267754,0.0001252559167551,4.961843767094636e-05,0.0002541255892621,6.705873716896741e-05,647.8364224345979,43.11,0.2,43.0,6.11,943.321,14.06413,0.01,0.0,1.23364,4.24,502.4122,3.0952,0.0,0.0
13,284.0,230.0,339.0,446.0,58.0,23667.0,2065.0,8.721195717696368e-06,5.312559363244619e-05,7.062940193909031e-06,1.04101596771094e-05,4.022805066965579e-06,1.3695962289058382e-05,0.0007267765459532,0.0001272250487972,4.511069193414072e-05,0.0002373762073865,6.341291956705282e-05,615.9190933444931,46.17,38.94615384615384,39.0,5.78,961.4418,14.36183,0.0,0.0,1.8551,3.57,3129.581,3.44486,0.0,0.0
14,388.0,251.0,354.0,84.0,58.0,28051.0,2044.0,1.1640457237160276e-05,5.226205285343608e-05,7.530295790018632e-06,1.0620417169986437e-05,4.050159090249065e-06,2.520098989488307e-06,0.0008415630565968,0.0001304751250629,4.248166867994575e-05,0.0002359892696585,6.132240874421547e-05,540.6212356021344,45.73,38.94615384615384,34.0,5.83,1001.271,23.30767,0.01,0.0,0.28268,4.01,598.781,3.48209,0.0,29.0
15,399.0,272.0,372.0,226.0,59.0,19356.0,2046.0,1.1692372107427288e-05,5.049112065437899e-05,7.97073988275745e-06,1.090115895730063e-05,4.0732825136150205e-06,6.622747108467586e-06,0.0005672119160685,0.0001317809457822,3.903318207291516e-05,0.0002348144804431,5.995637426515346e-05,553.3510338459887,49.6,62.0,30.0,5.5,4433.12,15.12666,0.01,0.0,1.90402,4.64,575.6881,13.16296,0.0,0.0
16,466.0,291.0,390.0,123.0,59.0,27079.0,1972.0,1.365575288737122e-05,4.890869435412567e-05,8.527519506920653e-06,1.14286343907184e-05,4.190499276596747e-06,3.604415461688111e-06,0.0007935281811955,0.0001366747456366,3.648371747806259e-05,0.0002372174240842,5.778786414999151e-05,539.2264139066905,53.42,38.94615384615384,29.0,5.57,5295.195,22.72377,0.01,0.0,0.27408,4.06,3168.136,13.41229,0.0,0.0
17,530.0,318.0,406.0,128.0,59.0,24295.0,1940.0,1.4812555770669888e-05,4.71486445002266e-05,8.887533462401933e-06,1.1346976684701838e-05,4.108388109978252e-06,3.577371959708954e-06,0.0006790019668838,0.0001346265682024,3.3817344306623704e-05,0.0002306845949643,5.421954376433883e-05,527.5505711833298,52.25,38.94615384615384,26.0,5.96,4852.877,6.37578,0.01,0.0,1.00834,4.63,2595.521,8.45566,0.0,0.0
18,0.0,2.0,21.0,0.0,6.0,1.0,1.0,0.0,2.8812494617446065e-05,6.332416399438694e-07,6.6490372194106295e-06,4.432691479607086e-06,0.0,3.166208199719347e-07,4.46435356160428e-05,6.6490372194106295e-06,8.200479237273109e-05,3.166208199719347e-07,1102.7903159622488,48.69,0.0,0.73,2.91,354.6575,22.39698,0.42,0.57,0.79789,6.96,163.1983,6.13917,0.0,1651.0
19,0.0,2.0,26.0,0.0,6.0,5.0,1.0,0.0,2.5575431217754977e-05,6.393857804438744e-07,8.312015145770368e-06,4.795393353329058e-06,0.0,1.598464451109686e-06,4.475700463107121e-05,4.795393353329058e-06,8.216107278703786e-05,3.196928902219372e-07,1255.7536727917693,51.76,0.3,0.65,2.96,356.4126,6.32238,0.804,1.09,0.87203,2.92,37.02071,11.14074,0.0,1414.0
20,0.0,2.0,30.0,7.0,6.0,1.0,1.0,0.0,2.453173438070928e-05,6.455719573870863e-07,9.683579360806294e-06,4.841789680403147e-06,2.259501850854802e-06,3.227859786935432e-07,4.874068278272501e-05,3.5506457656289743e-06,8.650664228986955e-05,3.227859786935432e-07,1403.4734353595254,57.48,0.0,0.63,6.59,453.0,14.49051,0.396,0.54,0.66734,2.99,171.2173,6.74375,0.0,3124.0
