,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
122,22.9,14.7,2.83525,0.6,59.2
123,23.5,14.6,2.84715,0.6,59.7
124,24.0,14.6,2.89832,0.5,60.2
125,24.6,14.6,2.93214,0.5,60.7
126,25.2,14.5,2.91544,0.5,61.2
127,25.8,14.5,2.86057,0.5,61.7
128,26.4,14.6,2.73643,0.5,62.2
129,27.0,14.6,2.67292,0.5,62.7
130,27.7,14.6,2.56657,0.5,63.1
131,28.3,14.7,2.44471,0.5,63.6
132,28.9,14.9,2.34068,0.5,64.0
133,29.6,15.1,2.26658,0.4,64.5
134,24.670588235294115,15.3,2.24045,0.5411764705882353,60.6
135,24.670588235294115,15.5,2.23449,0.5411764705882353,60.6
136,24.670588235294115,15.7,2.21541,0.5411764705882353,60.6
137,14.3,17.9,2.81144,1.1,47.5
138,14.8,17.6,2.78537,1.1,47.9
139,15.2,17.4,2.78091,1.1,48.4
140,15.6,17.3,2.73089,1.0,48.8
141,16.1,17.2,2.65434,1.0,49.3
142,16.5,17.1,2.61327,1.0,49.7
143,17.0,17.0,2.58008,0.9,50.2
144,17.4,16.9,2.51864,0.9,50.6
145,17.9,16.9,2.46819,0.9,51.0
146,18.3,16.9,2.46396,0.9,51.4
147,18.8,16.8,2.46837,0.8,51.8
148,19.3,16.9,2.46698,0.8,52.2
149,19.8,16.9,2.4526,0.8,52.6
150,20.3,17.0,2.44693,0.8,53.0
151,20.8,17.1,2.40594,0.8,53.4
152,21.3,17.3,2.3576,0.7,53.9
153,21.9,17.4,2.31083,0.7,54.3
154,17.958823529411767,17.6,2.26544,0.9,50.94117647058823
155,17.958823529411767,17.7,2.22262,0.9,50.94117647058823
156,17.958823529411767,17.8,2.18952,0.9,50.94117647058823
157,9.0,38.7,19.1726,2.5,43.7
158,9.2,38.6,18.73702,2.4,44.2
159,9.5,38.5,18.16166,2.4,44.7
160,9.9,38.4,17.53163,2.3,45.3
161,10.2,38.3,16.87904,2.2,45.8
162,10.6,38.0,16.13058,2.2,46.4
163,11.0,37.5,15.41358,2.1,47.0
164,11.4,36.8,14.65067,2.0,47.7
165,11.8,36.3,13.93027,2.0,48.3
166,12.3,35.8,13.23372,1.9,48.9
167,12.7,35.5,12.59253,1.9,49.6
168,13.2,35.3,12.02789,1.8,50.2
169,13.7,35.2,11.53454,1.7,50.9
170,14.2,35.2,11.08337,1.7,51.6
171,14.7,35.2,10.62689,1.6,52.2
172,15.3,35.2,10.19887,1.6,52.9
173,15.8,35.1,9.83128,1.5,53.6
174,12.029411764705882,35.1,9.52284,1.9882352941176469,48.41176470588236
175,12.029411764705882,35.1,9.23718,1.9882352941176469,48.41176470588236
176,12.029411764705882,35.0,8.9705,1.9882352941176469,48.41176470588236
177,17.6,38.0,8.52261,4.5,57.4
178,18.0,37.6,8.17041,4.3,57.9
179,18.4,37.2,7.86561,4.2,58.4
180,18.8,37.0,7.57664,4.1,58.9
181,19.3,36.7,7.30297,4.0,59.3
182,19.7,36.4,7.00454,3.8,59.8
183,20.2,36.1,6.75064,3.7,60.3
