,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",Prevalence of anaemia in pregnant women (aged 15-49) (%),Stillbirth rate (per 1000 total births),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)","Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)"
512,2.5,51.8,13.73876,13.3,21.1
513,2.7,51.8,13.37965,13.0,21.7
514,1.6588235294117646,51.7,13.04649,15.394117647058822,17.34705882352941
515,1.6588235294117646,51.6,12.70925,15.394117647058822,17.34705882352941
516,1.6588235294117646,51.5,12.44862,15.394117647058822,17.34705882352941
517,2.6,52.2,23.9287,10.3,23.7
518,2.8,52.1,23.49496,10.1,24.3
519,2.9,52.0,23.11121,9.9,24.9
520,3.1,51.8,22.79769,9.7,25.5
521,3.3,51.5,22.62016,9.5,26.1
522,3.5,51.3,22.45789,9.3,26.7
523,3.7,50.9,22.17204,9.2,27.3
524,3.9,50.5,22.01547,9.0,27.9
525,4.1,50.0,21.84137,8.8,28.5
526,4.3,49.5,21.79073,8.6,29.2
527,4.5,49.0,21.71226,8.4,29.8
528,4.8,48.5,21.48728,8.3,30.4
529,5.0,48.1,21.28711,8.1,31.0
530,5.3,47.6,21.104,7.9,31.7
531,5.5,47.1,20.80526,7.7,32.3
532,5.8,46.6,20.55439,7.6,33.0
533,6.1,46.1,20.17891,7.4,33.6
534,4.188235294117647,45.5,19.91382,8.811764705882354,28.58235294117647
535,4.188235294117647,44.9,19.62296,8.811764705882354,28.58235294117647
536,4.188235294117647,44.4,19.38835,8.811764705882354,28.58235294117647
537,19.9,15.7,3.225,0.7,55.6
538,20.5,15.3,3.20937,0.7,56.3
539,21.1,15.1,3.13156,0.7,56.9
540,21.7,14.9,3.04396,0.7,57.5
541,22.3,14.8,2.96439,0.6,58.1
542,22.9,14.7,2.9716,0.6,58.6
543,23.5,14.6,3.03784,0.6,59.2
544,24.1,14.6,3.09983,0.6,59.7
545,24.7,14.6,3.06818,0.6,60.2
546,25.2,14.6,2.99287,0.6,60.7
547,25.8,14.6,2.92952,0.6,61.2
548,26.4,14.6,2.9156,0.5,61.7
549,27.0,14.7,2.88679,0.5,62.2
550,27.6,14.8,2.87091,0.5,62.7
551,28.2,15.0,2.88247,0.5,63.2
552,28.8,15.2,2.83795,0.5,63.7
553,29.5,15.4,2.81018,0.5,64.1
554,24.65882352941176,15.5,2.81198,0.5882352941176471,60.09411764705882
555,24.65882352941176,15.7,2.79535,0.5882352941176471,60.09411764705882
556,24.65882352941176,16.0,2.76662,0.5882352941176471,60.09411764705882
557,2.9,46.5,15.76439,12.3,24.7
558,3.0,46.0,15.37339,12.0,25.3
559,3.2,45.6,15.02639,11.8,25.9
560,3.4,45.1,14.8587,11.6,26.6
561,3.6,44.6,14.69733,11.3,27.2
562,3.9,44.1,14.54563,11.1,27.8
563,4.1,43.5,14.53705,10.8,28.5
564,4.3,42.9,14.54226,10.6,29.1
565,4.6,42.2,14.5139,10.4,29.8
566,4.8,41.5,14.41197,10.1,30.4
567,5.1,40.8,14.27492,9.9,31.0
568,5.4,40.1,14.0082,9.7,31.6
569,5.6,39.4,13.69129,9.5,32.3
570,5.9,38.8,13.34303,9.3,32.9
571,6.2,38.0,12.94971,9.0,33.5
572,6.6,37.3,12.49405,8.8,34.2
573,6.9,36.5,12.06039,8.6,34.8
574,4.676470588235294,35.6,11.64588,10.4,29.74117647058824
575,4.676470588235294,34.7,11.25659,10.4,29.74117647058824
576,4.676470588235294,33.9,10.93543,10.4,29.74117647058824
577,1.3,54.9,34.70148,15.9,16.1
578,1.4,54.8,34.12667,15.8,16.5
579,1.5,54.7,33.74468,15.6,16.9
580,1.6,54.5,33.2126,15.4,17.3
581,1.7,54.3,32.67717,15.3,17.7
582,1.8,54.0,31.99278,15.1,18.1
583,1.8,53.7,31.45125,15.0,18.5
584,1.9,53.3,31.07724,14.8,18.9
585,2.0,52.8,30.71633,14.6,19.3
586,2.1,52.3,30.43217,14.5,19.8
587,2.3,51.8,30.1181,14.3,20.2
588,2.4,51.2,29.70091,14.2,20.7
589,2.5,50.6,29.27301,14.0,21.1
590,2.6,50.0,28.91581,13.8,21.6
591,2.8,49.3,28.57783,13.7,22.1
592,2.9,48.6,28.32785,13.5,22.6
593,3.1,47.8,28.05279,13.4,23.1
594,2.1,47.0,27.9107,14.641176470588237,19.44117647058824
595,2.1,46.2,27.64907,14.641176470588237,19.44117647058824
596,2.1,45.3,27.46551,14.641176470588237,19.44117647058824
597,17.1,23.3,4.16827,0.9,54.5
598,17.6,22.8,4.05285,0.8,55.0
599,18.0,22.4,3.99316,0.8,55.6
600,18.5,21.9,3.97509,0.7,56.2
601,19.0,21.5,3.9573,0.7,56.7
602,19.4,21.2,3.94043,0.7,57.3
603,19.9,20.9,3.88134,0.6,57.8
604,20.4,20.6,3.76275,0.6,58.4
605,20.9,20.3,3.73707,0.6,58.9
606,21.3,20.1,3.82317,0.6,59.5
607,21.8,19.8,3.68021,0.5,60.0
608,22.3,19.7,3.52123,0.5,60.5
609,22.8,19.5,3.42289,0.5,61.0
610,23.3,19.4,3.31202,0.5,61.5
611,23.8,19.3,3.22255,0.4,62.0
612,24.4,19.2,3.20673,0.4,62.6
613,24.9,19.2,3.20447,0.4,63.1
614,20.905882352941177,19.3,3.17836,0.6,58.858823529411765
615,20.905882352941177,19.3,3.13679,0.6,58.858823529411765
616,20.905882352941177,19.4,3.09377,0.6,58.858823529411765
617,1.8,28.7,15.0465,7.6,20.8
618,1.9,27.7,14.91635,7.4,21.4
619,2.1,26.9,14.82191,7.2,22.0
620,2.3,26.1,14.54556,7.0,22.7
621,2.4,25.3,13.90911,6.8,23.4
622,2.6,24.4,13.2054,6.5,24.1
623,2.9,23.5,12.51567,6.3,24.8
624,3.1,22.6,11.87134,6.1,25.5
625,3.3,21.8,11.29953,5.8,26.2
626,3.6,21.0,10.72549,5.6,27.0
627,3.9,20.2,10.1508,5.4,27.8
628,4.2,19.7,9.59681,5.2,28.5
629,4.5,19.3,9.10858,5.0,29.3
630,4.8,19.1,8.59936,4.8,30.0
631,5.1,18.9,7.89368,4.6,30.8
632,5.5,18.9,7.42712,4.4,31.6
633,5.9,19.0,6.60814,4.2,32.3
634,3.523529411764706,18.8,6.0944,5.876470588235295,26.36470588235294
635,3.523529411764706,18.6,5.78976,5.876470588235295,26.36470588235294
636,3.523529411764706,18.5,5.54196,5.876470588235295,26.36470588235294
637,10.7,33.4,9.55815,3.4,49.7
638,11.1,33.1,9.37283,3.2,50.3
639,11.4,32.6,9.202,3.1,50.9
640,11.8,32.2,9.07847,3.0,51.5
641,12.2,31.6,9.01316,2.9,52.1
642,12.6,31.0,8.91302,2.8,52.7
643,13.0,30.2,8.80634,2.6,53.3
644,13.5,29.3,8.70609,2.5,53.9
645,13.9,28.3,8.64174,2.4,54.5
646,14.3,27.3,8.51058,2.3,55.1
647,14.7,26.4,8.44039,2.3,55.6
648,15.2,25.5,8.27597,2.2,56.2
649,15.6,24.8,8.13006,2.1,56.8
650,16.1,24.1,7.98138,2.0,57.4
651,16.6,23.6,7.80609,1.9,57.9
652,17.1,23.0,7.64677,1.9,58.5
653,17.6,22.6,7.50397,1.8,59.0
654,13.96470588235294,22.3,7.36855,2.494117647058824,54.43529411764706
655,13.96470588235294,22.0,7.23805,2.494117647058824,54.43529411764706
656,13.96470588235294,21.8,7.09836,2.494117647058824,54.43529411764706
657,1.6,42.7,30.28877,14.5,19.9
658,1.7,42.3,30.23067,14.3,20.3
659,1.8,42.0,30.10645,14.2,20.7
660,1.9,41.6,30.0187,14.0,21.1
661,1.9,41.3,29.93323,13.9,21.5
662,2.0,40.8,29.72368,13.7,21.9
663,2.1,40.3,29.43038,13.6,22.4
664,2.2,39.9,29.18226,13.4,22.8
665,2.3,39.5,28.87165,13.2,23.2
666,2.4,39.1,28.41479,13.1,23.7
667,2.5,38.7,28.02613,12.9,24.1
668,2.6,38.5,27.56459,12.8,24.6
669,2.7,38.3,27.09179,12.6,25.1
670,2.9,38.2,26.73906,12.4,25.6
671,3.0,38.1,26.38702,12.3,26.1
672,3.1,38.1,26.01696,12.1,26.6
673,3.3,38.1,25.65653,12.0,27.1
674,2.3529411764705883,38.1,25.40733,13.235294117647058,23.33529411764706
675,2.3529411764705883,38.1,24.92157,13.235294117647058,23.33529411764706
676,2.3529411764705883,38.0,24.57104,13.235294117647058,23.33529411764706
677,10.5,19.5,4.85959,2.8,47.7
678,11.1,19.4,4.82028,2.7,48.6
679,11.6,19.2,4.80013,2.6,49.5
680,12.2,19.1,4.81705,2.4,50.4
681,12.8,18.9,4.89089,2.3,51.3
682,13.4,18.7,4.98609,2.2,52.2
683,14.0,18.4,5.03432,2.1,53.2
684,14.7,18.2,4.89589,2.0,54.1
685,15.4,17.9,4.93925,1.9,55.0
686,16.0,17.5,5.04052,1.8,55.9
687,16.7,17.3,5.07017,1.7,56.7
688,17.4,17.2,4.994,1.6,57.6
689,18.1,17.1,4.96406,1.5,58.4
690,18.9,17.1,4.87868,1.4,59.2
691,19.6,17.1,4.74971,1.4,60.0
692,20.3,17.1,4.6765,1.3,60.8
693,21.1,17.2,4.57861,1.2,61.6
694,15.51764705882353,17.3,4.479,1.9352941176470588,54.83529411764706
695,15.51764705882353,17.4,4.47304,1.9352941176470588,54.83529411764706
696,15.51764705882353,17.6,4.48368,1.9352941176470588,54.83529411764706
697,15.7,25.9,5.17261,0.7,51.4
698,16.1,25.6,4.99008,0.7,51.8
699,16.6,25.3,4.79249,0.7,52.3
700,17.1,25.1,4.60393,0.7,52.8
701,17.5,25.0,4.42179,0.6,53.3
702,18.0,24.8,4.23497,0.6,53.8
703,18.5,24.6,3.99483,0.6,54.3
704,19.0,24.3,3.76514,0.6,54.9
705,19.6,24.1,3.59809,0.5,55.4
706,20.1,23.8,3.47135,0.5,55.9
707,20.6,23.6,3.35925,0.5,56.4
708,21.2,23.5,3.19981,0.5,57.0
709,21.8,23.4,3.09739,0.5,57.5
710,22.3,23.3,3.06955,0.5,58.0
711,22.9,23.3,3.09549,0.4,58.6
712,23.5,23.2,3.12863,0.4,59.1
713,24.1,23.2,3.11766,0.4,59.6
714,19.68235294117647,23.1,3.04643,0.5529411764705883,55.41764705882353
715,19.68235294117647,23.2,3.02982,0.5529411764705883,55.41764705882353
716,19.68235294117647,23.2,3.00766,0.5529411764705883,55.41764705882353
717,15.0,19.2,4.39275,0.7,52.5
718,15.5,18.8,4.22679,0.7,53.0
719,15.9,18.5,4.08007,0.7,53.5
720,16.3,18.3,3.94211,0.7,54.0
721,16.7,18.1,3.79529,0.6,54.4
722,17.2,18.0,3.65518,0.6,54.9
723,17.6,17.9,3.50431,0.6,55.3
724,18.0,17.8,3.36527,0.6,55.7
725,18.4,17.7,3.23037,0.6,56.1
726,18.8,17.6,3.12119,0.6,56.5
727,19.2,17.6,3.01868,0.5,56.9
728,19.6,17.6,2.92865,0.5,57.3
729,20.1,17.7,2.86668,0.5,57.7
730,20.5,17.7,2.84731,0.5,58.0
731,20.9,17.8,2.82664,0.5,58.4
732,21.4,18.0,2.77879,0.5,58.8
733,21.9,18.1,2.72633,0.5,59.1
734,18.41176470588235,18.3,2.65262,0.5823529411764706,56.00588235294118
735,18.41176470588235,18.4,2.58327,0.5823529411764706,56.00588235294118
736,18.41176470588235,18.5,2.52415,0.5823529411764706,56.00588235294118
737,14.8,17.9,3.13939,1.0,49.3
738,15.2,17.7,3.08117,1.0,49.7
739,15.6,17.6,2.99786,1.0,50.2
740,16.1,17.3,2.88223,0.9,50.6
741,16.5,17.0,2.73225,0.9,51.0
742,16.9,16.9,2.60572,0.9,51.4
743,17.4,16.8,2.48999,0.9,51.7
744,17.9,16.6,2.37509,0.8,52.1
745,18.3,16.5,2.26747,0.8,52.5
746,18.8,16.4,2.18749,0.8,52.9
747,19.3,16.3,2.13872,0.8,53.3
748,19.8,16.4,2.08308,0.7,53.6
749,20.2,16.5,2.05666,0.7,54.0
750,20.8,16.4,2.05268,0.7,54.3
751,21.3,16.5,2.05156,0.7,54.7
752,21.8,16.5,2.05671,0.7,55.1
753,22.3,16.6,2.06223,0.7,55.4
754,18.41176470588235,16.7,2.05753,0.8235294117647058,52.45882352941176
755,18.41176470588235,16.7,2.04072,0.8235294117647058,52.45882352941176
756,18.41176470588235,16.7,2.01207,0.8235294117647058,52.45882352941176
757,5.2,42.6,34.89984,11.5,31.9
758,5.4,42.4,34.49978,11.3,32.3
759,5.5,41.7,34.25634,11.2,32.7
760,5.7,41.1,34.09401,11.0,33.1
761,5.9,40.3,33.6659,10.8,33.5
762,6.1,39.6,33.36014,10.6,33.9
763,6.3,39.0,33.09164,10.5,34.3
764,6.5,38.7,32.78381,10.3,34.7
765,6.7,38.3,32.54843,10.1,35.1
766,6.9,37.9,32.32817,10.0,35.5
767,7.1,37.6,32.23082,9.8,35.9
768,7.3,37.4,32.08868,9.6,36.4
769,7.6,37.4,31.89702,9.5,36.8
770,7.8,37.3,31.31341,9.3,37.2
771,8.1,37.2,30.6587,9.2,37.7
772,8.3,37.2,30.08134,9.0,38.1
773,8.6,37.2,29.48615,8.9,38.6
774,6.764705882352941,37.1,28.90278,10.152941176470588,35.15882352941177
775,6.764705882352941,37.1,28.33472,10.152941176470588,35.15882352941177
776,6.764705882352941,37.0,27.85889,10.152941176470588,35.15882352941177
777,8.8,29.8,15.72124,1.8,46.4
778,9.1,29.0,15.27219,1.7,47.0
779,9.5,28.3,14.81395,1.7,47.7
780,9.8,27.7,14.32087,1.6,48.3
781,10.2,27.0,13.86232,1.5,49.0
782,10.5,26.5,13.3787,1.5,49.6
783,10.9,25.8,12.92007,1.4,50.2
784,11.2,25.1,12.44826,1.4,50.8
785,11.6,24.4,11.98371,1.3,51.4
786,12.0,24.0,11.54823,1.3,52.0
787,12.4,23.5,11.08769,1.2,52.5
788,12.7,22.9,10.68833,1.2,53.1
789,13.2,22.5,10.31858,1.2,53.7
790,13.6,22.2,10.0096,1.1,54.3
791,14.0,22.2,9.73696,1.1,54.8
792,14.4,22.2,9.47938,1.1,55.4
793,14.9,22.1,9.27048,1.0,56.0
794,11.694117647058825,22.2,9.06249,1.3588235294117648,51.30588235294118
795,11.694117647058825,22.2,8.8666,1.3588235294117648,51.30588235294118
796,11.694117647058825,22.3,8.72031,1.3588235294117648,51.30588235294118
797,13.5,29.9,17.50283,3.0,53.1
798,13.9,29.8,16.89994,2.9,53.7
799,14.4,29.9,16.3529,2.8,54.3
800,14.9,30.0,15.86308,2.7,55.0
801,15.4,29.8,15.37251,2.6,55.6
802,15.9,29.7,14.84549,2.5,56.3
803,16.4,29.6,14.36591,2.5,56.9
804,17.0,29.5,13.80768,2.4,57.6
805,17.6,29.3,13.28742,2.3,58.2
806,18.1,28.8,12.80549,2.2,58.9
807,18.7,28.5,12.31924,2.2,59.5
808,19.4,28.1,11.79987,2.1,60.2
809,20.0,28.0,11.29728,2.0,60.8
810,20.6,28.1,10.86281,2.0,61.5
811,21.3,27.8,10.4135,1.9,62.2
812,22.0,27.1,10.08094,1.8,62.8
813,22.7,26.7,9.77932,1.8,63.5
814,17.75294117647059,26.4,9.52363,2.335294117647059,58.24117647058824
815,17.75294117647059,26.2,9.24491,2.335294117647059,58.24117647058824
816,17.75294117647059,26.0,9.04754,2.335294117647059,58.24117647058824
817,10.6,16.1,20.07764,3.1,48.5
818,11.1,15.9,19.11952,2.9,49.4
819,11.6,15.8,18.11042,2.8,50.2
820,12.1,15.7,17.10268,2.7,51.0
821,12.6,15.6,16.14619,2.6,51.8
822,13.1,15.5,15.26971,2.5,52.5
823,13.5,15.4,14.50577,2.4,53.3
824,14.0,15.3,13.97878,2.3,54.0
825,14.5,15.2,13.5118,2.2,54.7
826,15.1,15.2,13.04082,2.1,55.4
827,15.6,15.1,12.59505,2.0,56.0
828,16.1,15.1,12.19172,1.9,56.7
829,16.6,15.1,11.80735,1.8,57.4
830,17.2,15.2,11.45826,1.8,58.0
831,17.7,15.2,11.17456,1.7,58.7
832,18.3,15.3,10.97309,1.6,59.3
833,18.9,15.4,10.74336,1.6,59.9
834,14.623529411764704,15.5,10.52924,2.235294117647059,54.51764705882353
835,14.623529411764704,15.7,10.30267,2.235294117647059,54.51764705882353
836,14.623529411764704,15.9,10.09856,2.235294117647059,54.51764705882353
837,1.8,56.9,18.0418,19.5,19.3
838,1.9,56.5,17.89337,19.4,19.7
839,2.0,56.2,17.7246,19.2,20.1
840,2.0,55.8,17.55392,19.0,20.5
841,2.1,55.4,17.26005,18.8,20.9
842,2.2,55.0,16.9991,18.6,21.3
843,2.3,54.5,16.5718,18.5,21.8
844,2.5,54.0,16.2742,18.3,22.2
845,2.6,53.5,16.05716,18.1,22.7
846,2.7,53.0,15.87494,17.9,23.1
847,2.8,52.5,15.77376,17.7,23.6
848,3.0,51.9,15.67727,17.5,24.1
849,3.1,51.4,15.55916,17.3,24.6
850,3.3,50.9,15.4284,17.1,25.1
851,3.4,50.4,15.30169,17.0,25.6
852,3.6,49.9,15.18532,16.8,26.1
853,3.8,49.4,15.10511,16.6,26.7
854,2.652941176470588,49.0,15.11968,18.076470588235296,22.788235294117648
855,2.652941176470588,48.5,15.15103,18.076470588235296,22.788235294117648
856,2.652941176470588,48.1,15.07911,18.076470588235296,22.788235294117648
857,0.8,45.0,23.20129,20.6,14.9
858,0.9,44.7,22.94916,20.5,15.3
859,0.9,44.4,22.68004,20.3,15.6
860,1.0,44.2,22.46118,20.2,16.0
861,1.0,43.9,22.13945,20.0,16.4
862,1.1,43.6,21.91108,19.9,16.8
863,1.2,43.2,21.62077,19.7,17.2
864,1.2,42.8,21.3598,19.5,17.7
865,1.3,42.4,21.07994,19.4,18.1
866,1.4,42.0,20.79253,19.2,18.5
867,1.4,41.7,20.48339,19.0,19.0
868,1.5,41.5,20.19838,18.8,19.5
869,1.6,41.3,19.90906,18.6,20.0
870,1.7,41.2,19.69904,18.5,20.5
871,1.8,41.1,19.44931,18.3,21.0
872,1.9,41.0,19.17376,18.1,21.5
873,2.0,41.0,18.96237,17.9,22.0
874,1.3352941176470587,40.9,18.70669,19.323529411764707,18.235294117647054
875,1.3352941176470587,40.8,18.46215,19.323529411764707,18.235294117647054
876,1.3352941176470587,40.8,18.26882,19.323529411764707,18.235294117647054
877,14.3,25.8,4.67562,1.1,50.8
878,14.6,25.5,4.47817,1.1,51.0
879,15.0,25.3,4.2557,1.0,51.3
880,15.3,25.1,4.06281,1.0,51.6
881,15.7,24.8,3.89115,1.0,51.9
882,16.0,24.5,3.6853,0.9,52.2
883,16.4,24.3,3.50838,0.9,52.5
884,16.8,23.9,3.37547,0.9,52.8
885,17.1,23.5,3.27677,0.8,53.1
886,17.5,23.3,3.17373,0.8,53.5
887,17.9,23.2,3.03061,0.8,53.8
888,18.3,23.1,2.90131,0.8,54.1
889,18.7,23.1,2.78552,0.7,54.4
890,19.1,23.0,2.70577,0.7,54.8
891,19.5,23.1,2.65231,0.7,55.1
892,19.9,23.1,2.5971,0.7,55.4
893,20.3,23.1,2.50633,0.7,55.8
894,17.2,23.1,2.39631,0.8588235294117647,53.18235294117648
895,17.2,23.2,2.27932,0.8588235294117647,53.18235294117648
896,17.2,23.3,2.17644,0.8588235294117647,53.18235294117648
897,0.8,36.8,35.774,19.8,14.1
898,0.8,36.4,35.39038,19.6,14.4
899,0.9,35.8,35.02938,19.5,14.8
900,0.9,35.4,34.72048,19.3,15.2
901,1.0,34.7,34.38429,19.2,15.5
902,1.0,33.8,33.95147,19.0,15.9
903,1.1,33.0,33.48714,18.9,16.3
904,1.1,32.0,32.87891,18.7,16.7
905,1.2,30.9,32.37491,18.6,17.1
906,1.3,29.9,31.82823,18.4,17.6
907,1.3,29.2,31.05211,18.2,18.0
908,1.4,28.6,30.31478,18.1,18.5
909,1.5,28.3,29.45973,17.9,18.9
910,1.6,28.1,28.76788,17.7,19.4
911,1.7,28.1,28.00483,17.5,19.9
912,1.8,28.3,27.13466,17.3,20.4
913,1.9,28.4,26.33493,17.2,20.9
914,1.2529411764705882,28.5,25.68823,18.523529411764702,17.27058823529412
915,1.2529411764705882,28.8,25.1099,18.523529411764702,17.27058823529412
916,1.2529411764705882,29.0,24.61425,18.523529411764702,17.27058823529412
917,15.4,46.1,10.19875,3.1,53.4
918,15.9,45.9,10.23181,3.0,54.1
919,16.5,45.8,10.32529,2.9,54.8
920,17.0,45.6,10.51333,2.8,55.5
921,17.6,45.5,10.71949,2.7,56.2
922,18.2,45.3,10.87464,2.6,56.8
923,18.7,45.1,10.83559,2.5,57.5
924,19.3,44.8,10.64223,2.4,58.1
925,19.9,44.5,10.35358,2.4,58.8
926,20.5,44.3,10.07961,2.3,59.4
927,21.1,44.0,9.95919,2.2,60.1
928,21.7,43.8,10.07532,2.1,60.7
929,22.4,43.5,9.76855,2.1,61.3
930,23.0,43.2,9.14519,2.0,62.0
931,23.7,42.9,8.61817,1.9,62.6
932,24.4,42.6,8.48688,1.9,63.2
933,25.1,42.4,8.52722,1.8,63.8
934,20.023529411764702,42.1,8.56659,2.394117647058824,58.7235294117647
935,20.023529411764702,41.7,8.58304,2.394117647058824,58.7235294117647
936,20.023529411764702,41.4,8.57639,2.394117647058824,58.7235294117647
937,16.4,16.9,2.6601,0.4,51.9
938,16.8,16.6,2.5796,0.4,52.3
939,17.3,16.3,2.48611,0.4,52.8
940,17.7,16.1,2.38651,0.4,53.2
941,18.2,15.9,2.30116,0.4,53.6
942,18.6,15.7,2.26313,0.4,54.0
943,19.1,15.5,2.27478,0.3,54.4
944,19.5,15.4,2.26599,0.3,54.8
945,20.0,15.3,2.19804,0.3,55.2
946,20.4,15.2,2.13172,0.3,55.5
947,20.9,15.2,2.06191,0.3,55.9
948,21.3,15.2,2.00792,0.3,56.2
949,21.8,15.3,1.97986,0.3,56.6
950,22.2,15.4,1.97643,0.3,56.9
951,22.7,15.5,1.99671,0.3,57.2
952,23.2,15.6,2.02202,0.3,57.6
953,23.7,15.8,2.0384,0.3,57.9
954,19.988235294117647,16.0,2.02824,0.3352941176470588,55.05882352941177
955,19.988235294117647,16.1,2.02552,0.3352941176470588,55.05882352941177
956,19.988235294117647,16.3,2.02448,0.3352941176470588,55.05882352941177
957,14.8,14.8,5.00412,0.9,52.1
958,15.2,14.6,4.98271,0.8,52.6
959,15.6,14.5,4.90909,0.8,53.1
960,16.1,14.5,4.8119,0.8,53.5
961,16.5,14.6,4.70788,0.8,54.0
962,16.9,14.6,4.59467,0.7,54.5
963,17.4,14.6,4.52737,0.7,55.0
964,17.8,14.6,4.49352,0.7,55.4
965,18.2,14.6,4.49641,0.7,55.9
966,18.7,14.6,4.49138,0.6,56.4
967,19.2,14.5,4.4538,0.6,56.8
968,19.6,14.6,4.41467,0.6,57.3
969,20.1,14.7,4.34704,0.6,57.7
970,20.5,14.9,4.17959,0.6,58.2
971,21.0,15.1,4.19145,0.5,58.6
972,21.5,15.3,4.2855,0.5,59.0
973,22.0,15.5,4.26377,0.5,59.5
974,18.3,15.8,4.26712,0.6705882352941177,55.858823529411765
975,18.3,16.0,4.30716,0.6705882352941177,55.858823529411765
976,18.3,16.2,4.34598,0.6705882352941177,55.858823529411765
977,4.7,57.4,17.56353,15.1,30.5
978,5.0,57.4,17.46958,14.8,31.2
979,5.2,57.3,17.34152,14.6,31.9
980,5.5,57.2,17.19001,14.3,32.5
981,5.8,57.0,17.02844,14.0,33.2
982,6.1,56.9,16.8436,13.7,33.8
983,6.4,56.7,16.66121,13.4,34.4
984,6.7,56.4,16.53159,13.2,35.0
985,7.0,56.2,16.40987,12.9,35.6
986,7.3,55.9,16.19568,12.6,36.2
987,7.6,55.7,15.98356,12.4,36.8
988,7.9,55.3,15.68231,12.1,37.4
989,8.3,55.0,15.42312,11.9,37.9
990,8.6,54.6,15.15233,11.7,38.5
991,8.9,54.3,14.86438,11.4,39.1
992,9.3,54.0,14.58866,11.2,39.6
993,9.6,53.6,14.36729,11.0,40.2
994,7.052941176470589,53.2,14.14324,12.958823529411765,35.51764705882353
995,7.052941176470589,52.8,13.9583,12.958823529411765,35.51764705882353
996,7.052941176470589,52.5,13.80085,12.958823529411765,35.51764705882353
997,11.1,29.9,15.19092,2.6,44.4
998,11.5,29.7,15.05148,2.5,44.8
999,11.8,29.4,14.67399,2.4,45.4
1000,12.2,29.2,14.18235,2.4,45.9
1001,12.6,28.7,13.54042,2.3,46.4
1002,13.0,28.6,12.78714,2.2,47.0
1003,13.5,28.6,11.97654,2.2,47.6
1004,14.0,28.4,11.09329,2.1,48.2
1005,14.5,28.3,10.43762,2.0,48.8
1006,15.0,28.3,9.81249,1.9,49.4
1007,15.5,28.1,9.27502,1.9,50.1
1008,16.1,27.9,8.73471,1.8,50.8
1009,16.6,27.8,8.1953,1.8,51.4
1010,17.3,27.8,7.58608,1.7,52.1
1011,17.9,27.8,7.01849,1.6,52.8
1012,18.5,27.8,6.57934,1.6,53.5
1013,19.2,27.7,6.27243,1.5,54.2
1014,14.723529411764709,27.7,5.91427,2.0294117647058822,48.98823529411764
1015,14.723529411764709,27.8,5.70521,2.0294117647058822,48.98823529411764
1016,14.723529411764709,28.0,5.72846,2.0294117647058822,48.98823529411764
1017,16.5,16.2,2.94344,0.6,50.8
1018,17.0,15.9,2.88858,0.6,51.2
1019,17.4,15.7,2.82843,0.6,51.6
1020,17.8,15.6,2.76824,0.6,52.0
1021,18.3,15.4,2.69081,0.5,52.4
1022,18.7,15.3,2.61021,0.5,52.7
1023,19.2,15.2,2.52463,0.5,53.1
1024,19.7,15.1,2.43687,0.5,53.5
1025,20.1,15.0,2.34195,0.5,53.9
1026,20.6,15.0,2.28186,0.5,54.2
1027,21.1,14.9,2.28573,0.4,54.6
1028,21.6,15.0,2.28625,0.4,54.9
1029,22.1,15.0,2.2998,0.4,55.3
1030,22.6,15.2,2.32507,0.4,55.7
1031,23.1,15.3,2.36754,0.4,56.0
1032,23.6,15.6,2.52391,0.4,56.4
1033,24.2,15.8,2.65818,0.4,56.8
1034,20.21176470588236,16.0,2.72422,0.4823529411764705,53.82941176470588
1035,20.21176470588236,16.3,2.73228,0.4823529411764705,53.82941176470588
1036,20.21176470588236,16.5,2.71055,0.4823529411764705,53.82941176470588
1037,1.9,55.2,28.69334,14.2,21.9
1038,2.0,55.2,28.25351,14.0,22.6
1039,2.1,55.3,27.76267,13.7,23.2
1040,2.2,55.3,27.42345,13.5,23.8
1041,2.4,55.2,27.16726,13.3,24.5
1042,2.5,55.1,26.9034,13.0,25.1
1043,2.7,54.9,26.62143,12.8,25.8
1044,2.8,54.7,26.33031,12.5,26.4
1045,3.0,54.3,25.95992,12.3,27.1
1046,3.2,54.0,25.5031,12.0,27.7
1047,3.3,53.5,25.11357,11.8,28.3
1048,3.5,53.0,24.6655,11.6,29.0
1049,3.7,52.5,24.30185,11.3,29.6
1050,3.9,52.0,24.14495,11.1,30.2
1051,4.1,51.4,23.90942,10.8,30.8
1052,4.3,50.8,23.47698,10.6,31.4
1053,4.5,50.0,22.89314,10.4,32.0
1054,3.0647058823529414,49.0,22.43831,12.288235294117648,27.023529411764702
1055,3.0647058823529414,48.1,21.99329,12.288235294117648,27.023529411764702
1056,3.0647058823529414,47.2,21.65028,12.288235294117648,27.023529411764702
1057,16.0,20.2,4.56047,0.6,55.0
1058,16.5,19.8,4.448,0.6,55.5
1059,16.9,19.5,4.2241,0.6,56.0
1060,17.4,19.3,3.94896,0.6,56.5
1061,17.9,19.2,3.65653,0.5,56.9
1062,18.4,19.1,3.32855,0.5,57.4
1063,18.8,19.0,3.11406,0.5,57.9
1064,19.3,18.9,3.05342,0.5,58.4
1065,19.9,18.9,3.03584,0.5,58.8
1066,20.4,18.8,3.15872,0.5,59.3
