,Maternal mortality ratio (per 100 000 live births),Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Lower Respiratory Infections
118,6.0,1.28316,11.7,6.478612080196303e-06,4.353627317891916e-06,122.0,0.0001523769561262
119,6.0,1.23227,11.6,6.757124081990944e-06,4.146417050312624e-06,122.0,0.000158536464257
120,6.0,1.18539,11.6,6.779132817377245e-06,3.946062386234515e-06,122.0,0.0001609285185975
121,5.0,1.14345,11.6,6.851686885311163e-06,3.850948103423063e-06,122.0,0.0001556883304669
122,5.0,1.10662,11.6,6.771335365656558e-06,3.608083807977582e-06,122.0,0.000148178565155
123,5.0,1.07512,11.6,6.686360683184027e-06,3.709221984832015e-06,122.0,0.0001433907130452
124,5.0,1.04846,11.7,6.650722923943103e-06,3.7591042613591456e-06,122.0,0.0001402435051353
125,5.0,1.02598,11.6,6.569141884420233e-06,3.8081981938668018e-06,122.0,0.0001346198061531
126,5.0,1.00666,11.6,6.443226240955968e-06,3.762467877930492e-06,122.0,0.0001318274682729
127,5.0,0.98782,11.6,6.460382471374232e-06,3.671728167183916e-06,122.0,0.0001352962113249
128,6.0,0.96931,11.6,6.339956167932024e-06,3.675336908946101e-06,122.0,0.0001403519282103
129,6.0,0.94981,11.5,6.17744455107602e-06,3.4975237531827466e-06,122.0,0.0001449882574046
130,6.0,0.92962,11.5,6.019090398652442e-06,3.593486805165637e-06,122.0,0.0001485008422234
131,6.0,0.90781,11.6,6.264546187388304e-06,3.6432112579137658e-06,122.0,0.0001568358017126
132,6.0,0.88522,11.8,6.373342304655081e-06,3.736097213073668e-06,122.0,0.000165399221327
133,6.0,0.86088,12.1,6.523822782702684e-06,3.696832910198188e-06,122.0,0.0001707066961473
134,6.0,0.83582,12.4,6.628670324889211e-06,3.7878116142224062e-06,122.0,0.0001726467316437
135,5.666666666666667,0.81149,12.8,6.84388689387912e-06,3.959984869414334e-06,122.0,0.000178974098772
136,5.666666666666667,0.78793,13.3,6.918187789145448e-06,4.007486829078156e-06,122.0,0.0001800838028772
137,6.0,1.29499,12.1,4.93010771176076e-07,8.381183109993292e-06,122.0,0.0001469172098104
138,6.0,1.25411,12.1,4.919026672192374e-07,7.747467008702989e-06,122.0,0.0001426517734935
139,6.0,1.21572,12.0,6.136240242150766e-07,7.486213095423936e-06,122.0,0.0001428516728372
140,6.0,1.17904,12.1,7.350548644950859e-07,6.983021212703316e-06,122.0,0.0001477460277635
141,5.0,1.14406,12.1,7.339663221999613e-07,6.728024620166312e-06,122.0,0.0001445913654733
142,6.0,1.11079,12.1,8.552552564293508e-07,6.7198627290877565e-06,122.0,0.0001449046763036
143,5.0,1.07933,12.2,8.544004062063646e-07,6.5910888478776695e-06,122.0,0.0001390231518098
144,5.0,1.04912,12.2,9.756355747463073e-07,6.341631235850997e-06,122.0,0.0001346377093149
145,5.0,1.02072,12.3,9.749519013572915e-07,6.337187358822395e-06,122.0,0.0001286936509791
146,5.0,0.99352,12.4,9.74388087326122e-07,6.455321078535558e-06,122.0,0.0001249652721995
147,5.0,0.96827,12.4,1.0956689424116404e-06,6.330531667267255e-06,122.0,0.0001216192526076
148,5.0,0.94419,12.5,1.095252930410063e-06,6.571517582460376e-06,122.0,0.0001190174851045
149,5.0,0.92059,12.6,1.2165830488860785e-06,6.569548463984823e-06,122.0,0.0001177652391321
150,5.0,0.89763,12.7,1.094671310343452e-06,6.811288153248145e-06,122.0,0.0001176163507891
151,5.0,0.87495,12.9,1.2160920104943876e-06,6.810115258768571e-06,122.0,0.0001196634538326
152,5.0,0.85223,13.2,1.215947688957663e-06,6.687712289267146e-06,122.0,0.0001275529125716
153,5.0,0.82975,13.5,1.3374630951376407e-06,6.3225528133779386e-06,122.0,0.000132895196635
154,5.0,0.80725,13.8,1.4590655511948409e-06,6.07943979664517e-06,121.0,0.0001415293584658
155,5.277777777777778,0.78604,14.2,1.4590655511948409e-06,6.07943979664517e-06,121.0,0.0001423804800374
156,5.277777777777778,0.76506,14.6,1.4594632264523818e-06,6.081096776884924e-06,121.0,0.0001465544323229
157,47.0,5.57218,43.4,9.098346747683702e-06,0.0001636520811109,111.0,0.0006266043221164
158,44.0,5.36583,42.2,7.852504187025553e-06,0.0001565812775203,112.0,0.0005695995574469
159,43.0,5.18385,41.2,7.094959519766616e-06,0.000149575703974,112.0,0.000538170126196
160,44.0,5.01191,40.3,6.579773637317336e-06,0.0001456784970227,112.0,0.0005203792904741
161,39.0,4.83395,39.5,6.180038954845545e-06,0.0001396231023131,113.0,0.0005043598458148
162,42.0,4.64797,38.5,5.778749363062846e-06,0.0001313249119958,113.0,0.0004854149464972
163,35.0,4.4539,37.4,5.15743114633213e-06,0.0001141361936296,113.0,0.0004594598442971
164,34.0,4.25446,36.1,4.658882192177116e-06,9.650541683795452e-05,114.0,0.0004300591966445
165,32.0,4.06439,34.6,4.390254556837279e-06,9.197583296574098e-05,114.0,0.0004131229537983
166,32.0,3.88745,33.2,4.12739441826385e-06,8.74355922816421e-05,115.0,0.000396555711081
167,31.0,3.73206,31.8,3.977779051144886e-06,8.482345057711662e-05,115.0,0.0003843394623741
168,30.0,3.59781,30.4,3.724482374099992e-06,8.268350870501982e-05,116.0,0.0003693622377286
169,29.0,3.48666,29.1,3.5813600741552204e-06,7.97379287098677e-05,116.0,0.0003528693014241
170,28.0,3.39407,28.0,3.441027411537181e-06,7.653679151722093e-05,117.0,0.0003362822243093
