,Mean hemoglobin level of women of reproductive age (aged 15-49 years),Prevalence of anaemia in children aged 6–59 months (%),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of non-pregnant women (aged 15-49 years)
149,131.0,12.6,11.3,132.0
150,131.0,12.7,11.5,131.0
151,131.0,12.9,11.6,131.0
152,131.0,13.2,11.8,131.0
153,131.0,13.5,12.0,131.0
154,131.0,13.8,12.3,131.0
155,131.0,14.2,12.6,131.0
156,131.0,14.6,12.9,131.0
157,121.0,43.4,41.1,121.0
158,121.0,42.2,40.6,121.0
159,121.0,41.2,40.3,121.0
160,121.0,40.3,40.1,122.0
161,121.0,39.5,39.8,122.0
162,122.0,38.5,39.3,122.0
163,122.0,37.4,38.5,122.0
164,122.0,36.1,37.5,122.0
165,122.0,34.6,36.7,123.0
166,123.0,33.2,36.0,123.0
167,123.0,31.8,35.4,123.0
168,123.0,30.4,35.0,123.0
169,123.0,29.1,34.7,123.0
170,123.0,28.0,34.6,124.0
171,123.0,27.1,34.5,124.0
172,123.0,26.3,34.6,124.0
173,123.0,25.7,34.6,124.0
174,123.0,25.2,34.7,124.0
175,123.0,24.9,34.8,124.0
176,123.0,24.8,35.1,124.0
177,121.0,26.2,43.7,121.0
178,121.0,25.6,42.9,121.0
179,121.0,25.1,42.1,122.0
180,121.0,24.9,41.5,122.0
181,122.0,24.7,40.9,122.0
182,122.0,24.4,40.3,122.0
183,122.0,24.1,39.6,122.0
184,122.0,23.7,38.9,123.0
185,123.0,23.3,38.2,123.0
186,123.0,23.0,37.5,123.0
187,123.0,22.6,37.0,123.0
188,123.0,22.4,36.6,123.0
189,123.0,22.3,36.4,124.0
190,123.0,22.3,36.2,124.0
191,123.0,22.4,35.9,124.0
192,123.0,22.5,35.7,124.0
193,123.0,22.7,35.7,124.0
194,123.0,22.9,35.6,124.0
195,123.0,23.1,35.6,124.0
196,124.0,23.4,35.5,124.0
197,123.0,56.6,34.7,124.0
198,123.0,55.2,34.6,124.0
199,123.0,53.9,34.7,124.0
200,123.0,52.7,34.8,124.0
201,123.0,51.7,35.0,124.0
202,123.0,50.6,35.1,123.0
203,123.0,49.6,35.2,123.0
204,123.0,48.6,35.3,123.0
205,123.0,47.7,35.2,123.0
206,123.0,46.8,35.2,123.0
207,123.0,46.1,35.2,123.0
208,123.0,45.4,35.2,123.0
209,123.0,44.9,35.3,123.0
210,123.0,44.4,35.3,123.0
211,123.0,44.0,35.4,123.0
212,123.0,43.8,35.5,123.0
213,123.0,43.5,35.7,123.0
214,123.0,43.3,35.9,123.0
215,123.0,43.1,36.2,123.0
216,123.0,43.1,36.5,123.0
217,130.0,21.4,20.5,130.0
218,130.0,21.8,20.3,130.0
219,130.0,22.1,20.1,130.0
220,130.0,22.4,19.9,130.0
221,130.0,22.5,19.4,130.0
222,130.0,22.5,19.0,130.0
223,130.0,22.5,18.6,131.0
224,130.0,22.4,18.2,131.0
225,131.0,22.2,17.8,131.0
226,131.0,22.1,17.5,131.0
227,131.0,21.9,17.2,131.0
228,131.0,21.8,17.1,131.0
229,131.0,21.5,16.9,131.0
230,131.0,21.3,16.7,131.0
231,131.0,21.1,16.7,131.0
232,131.0,20.8,16.6,131.0
233,131.0,20.6,16.6,131.0
234,131.0,20.3,16.6,131.0
235,131.0,20.1,16.7,131.0
236,131.0,20.0,16.9,131.0
237,129.0,24.8,21.8,129.0
238,129.0,24.0,21.7,129.0
239,129.0,23.4,21.6,129.0
240,129.0,22.8,21.5,129.0
241,129.0,22.2,21.2,129.0
242,129.0,21.4,20.9,129.0
243,129.0,20.7,20.5,129.0
244,129.0,19.8,20.1,130.0
245,129.0,18.9,19.7,130.0
246,130.0,18.1,19.2,130.0
247,130.0,17.5,18.9,130.0
248,130.0,17.1,18.8,130.0
249,130.0,16.9,18.9,130.0
250,130.0,16.8,19.0,130.0
251,130.0,16.8,19.1,130.0
252,129.0,16.9,19.4,130.0
253,129.0,17.1,19.6,130.0
254,129.0,17.3,19.9,130.0
255,129.0,17.5,20.2,129.0
256,129.0,17.8,20.4,129.0
257,131.0,13.8,11.0,132.0
258,131.0,13.6,10.9,132.0
259,131.0,13.6,10.7,132.0
260,131.0,13.6,10.7,132.0
261,131.0,13.6,10.6,132.0
262,131.0,13.8,10.6,132.0
263,131.0,14.0,10.7,132.0
264,131.0,14.2,10.7,132.0
265,131.0,14.3,10.7,132.0
266,131.0,14.5,10.8,132.0
267,131.0,14.6,10.8,132.0
268,131.0,14.9,11.0,132.0
269,131.0,15.2,11.2,132.0
270,131.0,15.3,11.3,132.0
271,131.0,15.6,11.5,131.0
272,131.0,15.9,11.8,131.0
273,131.0,16.4,12.3,131.0
274,131.0,16.8,12.7,131.0
275,131.0,17.1,13.1,131.0
276,130.0,17.4,13.5,131.0
277,126.0,26.1,27.1,127.0
278,127.0,25.7,26.5,127.0
279,127.0,25.4,26.0,128.0
280,127.0,25.1,25.4,128.0
281,127.0,24.8,24.9,128.0
282,128.0,24.6,24.4,128.0
283,128.0,24.5,24.0,128.0
284,128.0,24.3,23.5,129.0
285,128.0,24.0,23.1,129.0
286,128.0,23.6,22.5,129.0
287,129.0,23.1,21.9,129.0
288,129.0,22.7,21.4,129.0
289,129.0,22.3,21.1,129.0
290,129.0,22.0,20.9,129.0
291,129.0,21.7,20.8,130.0
292,129.0,21.3,20.6,130.0
293,129.0,21.0,20.5,130.0
294,129.0,20.7,20.4,130.0
295,129.0,20.4,20.4,130.0
296,129.0,20.2,20.5,130.0
297,113.0,80.3,62.1,114.0
298,113.0,79.9,61.8,114.0
299,113.0,79.4,61.4,114.0
300,113.0,78.8,61.1,114.0
301,113.0,78.0,60.6,115.0
302,114.0,77.3,60.0,115.0
303,114.0,76.4,59.4,115.0
304,114.0,75.6,58.8,116.0
305,115.0,74.7,58.0,116.0
306,115.0,73.9,57.1,116.0
307,115.0,73.2,56.3,117.0
308,116.0,72.7,55.6,117.0
309,116.0,72.3,55.1,117.0
310,116.0,72.2,54.8,117.0
311,116.0,72.1,54.6,117.0
312,116.0,72.0,54.6,117.0
313,116.0,71.9,54.6,117.0
314,116.0,71.7,54.6,117.0
315,116.0,71.4,54.7,117.0
316,116.0,71.0,54.8,117.0
317,120.0,67.5,45.0,120.0
318,120.0,66.5,44.5,121.0
319,120.0,65.4,44.1,121.0
320,120.0,64.2,43.7,121.0
321,120.0,62.8,43.4,121.0
322,121.0,61.4,43.0,121.0
323,121.0,59.9,42.7,121.0
324,121.0,58.3,42.2,121.0
325,121.0,56.6,41.7,122.0
326,121.0,55.0,41.2,122.0
327,122.0,53.4,40.7,122.0
328,122.0,51.9,40.2,122.0
329,122.0,50.5,39.7,122.0
330,122.0,49.2,39.4,122.0
331,122.0,48.1,39.0,123.0
332,122.0,47.2,38.8,123.0
333,122.0,46.4,38.6,123.0
334,122.0,45.7,38.6,123.0
335,122.0,45.2,38.6,123.0
336,122.0,44.7,38.7,123.0
337,125.0,57.0,32.9,126.0
338,125.0,56.9,33.0,126.0
339,125.0,56.8,33.1,125.0
340,125.0,56.7,33.0,125.0
341,125.0,56.6,32.7,126.0
342,125.0,56.4,32.3,126.0
343,125.0,56.2,32.0,126.0
344,125.0,55.6,31.4,126.0
345,125.0,54.8,30.8,126.0
346,126.0,53.8,30.2,127.0
347,126.0,52.5,29.6,127.0
348,126.0,51.1,28.9,127.0
349,126.0,49.5,28.2,127.0
350,127.0,47.7,27.4,128.0
351,127.0,46.2,27.0,128.0
352,127.0,44.3,26.2,128.0
353,128.0,42.0,25.2,128.0
354,128.0,40.1,24.5,129.0
355,128.0,38.3,24.0,129.0
356,128.0,36.9,23.9,129.0
357,127.0,25.3,25.2,128.0
358,127.0,25.0,24.8,128.0
359,127.0,24.8,24.6,128.0
360,127.0,24.8,24.4,128.0
361,127.0,24.8,24.4,128.0
362,127.0,24.8,24.3,128.0
363,127.0,24.7,24.2,128.0
364,127.0,24.5,24.1,128.0
365,127.0,24.2,24.0,128.0
366,127.0,23.9,23.9,128.0
367,128.0,23.6,23.8,128.0
368,127.0,23.4,23.8,128.0
369,128.0,23.2,23.7,128.0
370,128.0,23.1,23.7,128.0
371,128.0,23.1,23.7,128.0
372,128.0,23.2,23.7,128.0
373,128.0,23.4,23.8,128.0
374,128.0,23.6,23.8,128.0
375,128.0,23.9,24.0,128.0
376,127.0,24.3,24.3,128.0
377,123.0,44.2,36.5,124.0
378,123.0,43.6,36.1,124.0
379,123.0,42.9,35.6,124.0
380,124.0,42.3,35.1,124.0
381,124.0,41.5,34.8,124.0
382,124.0,40.0,34.3,124.0
383,124.0,38.4,33.8,125.0
384,124.0,37.7,33.1,125.0
385,125.0,37.6,32.6,125.0
386,125.0,37.5,32.1,125.0
387,125.0,37.5,31.7,125.0
388,125.0,38.3,31.4,126.0
389,125.0,38.7,31.3,126.0
390,125.0,39.1,31.3,126.0
391,125.0,40.0,31.4,126.0
392,125.0,41.3,31.6,125.0
393,125.0,42.5,31.9,125.0
394,125.0,43.1,32.1,125.0
395,125.0,43.2,32.3,125.0
396,125.0,43.3,32.6,125.0
397,127.0,25.9,27.0,127.0
398,127.0,25.0,26.3,128.0
399,128.0,24.3,25.8,128.0
400,128.0,23.7,25.3,128.0
401,128.0,23.0,24.9,128.0
402,128.0,22.2,24.2,129.0
403,128.0,21.4,23.6,129.0
404,129.0,20.6,22.8,129.0
405,129.0,19.7,21.9,129.0
406,130.0,18.7,20.9,130.0
407,130.0,17.7,19.8,130.0
408,130.0,16.7,19.0,131.0
409,131.0,15.9,18.3,131.0
410,131.0,15.1,17.6,131.0
411,131.0,14.3,17.1,131.0
412,131.0,13.7,16.7,132.0
413,131.0,13.0,16.4,132.0
414,131.0,12.5,16.2,132.0
415,131.0,11.9,16.1,132.0
416,131.0,11.6,16.0,132.0
417,129.0,17.0,16.6,130.0
418,129.0,16.7,16.1,130.0
419,129.0,16.6,15.8,130.0
420,130.0,16.7,15.6,130.0
421,130.0,16.6,15.3,130.0
422,130.0,16.7,15.1,130.0
423,130.0,16.9,15.1,130.0
424,130.0,17.0,15.1,130.0
425,130.0,17.0,14.9,130.0
426,130.0,16.9,14.7,130.0
427,130.0,16.9,14.5,131.0
428,130.0,17.0,14.5,131.0
429,130.0,17.1,14.4,131.0
430,130.0,17.2,14.5,131.0
431,130.0,17.4,14.6,131.0
432,130.0,17.8,14.8,131.0
433,130.0,18.2,15.1,130.0
434,130.0,18.8,15.5,130.0
435,130.0,19.3,15.9,130.0
436,130.0,20.0,16.5,130.0
437,128.0,28.8,22.8,128.0
438,128.0,28.4,22.7,128.0
439,128.0,28.3,22.9,128.0
