,per_capita-Protein-Energy Malnutrition,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Maternal mortality ratio (per 100 000 live births),per_capita-Nutritional Deficiencies
0,0.0001163554983354,9.59386,0.0012858426629595,1300.0,0.0001184317617798
1,0.0001193342810757,9.41968,0.0012941610824035,1240.0,0.0001215338070339
2,0.000115886146103,9.4241,0.0012538896573988,1180.0,0.000118026420796
3,0.0001072349328274,9.55693,0.001173280791254,1140.0,0.0001093234318732
4,9.851078938039696e-05,9.78268,0.0010829189803812,1120.0,0.000100425765473
5,8.905657864123102e-05,10.04326,0.0010104032981386,1090.0,9.084574319777891e-05
6,8.052487637572655e-05,10.23361,0.000931215513444,1030.0,8.218518310512297e-05
7,7.014554885416298e-05,10.19123,0.0008545258554105,993.0,7.16200799111574e-05
8,6.6344495233773e-05,9.82583,0.0008138876198424,954.0,6.778676686928981e-05
9,6.065684270010524e-05,9.21902,0.0007689809038817,905.0,6.203464355922121e-05
10,5.4799603733447365e-05,8.45282,0.0007285355836476,858.0,5.6048784862344187e-05
11,5.307303479649465e-05,7.59035,0.000715569808946,810.0,5.432672853184491e-05
12,4.961843767094636e-05,6.70168,0.000683471196544,786.0,5.0812548267207256e-05
13,4.511069193414072e-05,5.91332,0.0006453684831095,701.0,4.621619561666561e-05
14,4.248166867994575e-05,5.29697,0.000618054277172,673.0,4.3561711104012166e-05
15,3.903318207291516e-05,4.86943,0.0005822156617302,638.0,4.005882874900527e-05
16,3.648371747806259e-05,4.55533,0.0005571898828336,1014.3333333333334,3.748005996340727e-05
17,3.3817344306623704e-05,4.29955,0.0005225478400834,1014.3333333333334,3.47675837334214e-05
18,6.6490372194106295e-06,3.89859,0.0002770432174754,23.0,6.965658039382564e-06
19,4.795393353329058e-06,3.78719,0.0002372121245446,23.0,5.115086243550996e-06
20,3.5506457656289743e-06,3.67789,0.0002165893917033,21.0,4.19621772301606e-06
21,2.9319160234097205e-06,3.57194,0.0002032795109564,21.0,3.257684470455245e-06
22,2.2983675023968688e-06,3.46361,0.0001838694001917,18.0,2.626705717024993e-06
23,1.9837773302523067e-06,3.35452,0.000165645407076,22.0,2.314406885294358e-06
24,1.6634622838206003e-06,3.24281,0.0001467173734329,18.0,1.99615474058472e-06
25,1.3370883230405388e-06,3.13393,0.0001313689277387,19.0,2.005632484560808e-06
26,1.3404282199012709e-06,3.02643,0.0001253300385607,20.0,1.6755352748765884e-06
