,per_capita-Protein-Energy Malnutrition,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Maternal mortality ratio (per 100 000 live births),per_capita-Nutritional Deficiencies
2476,7.948729634029889e-07,2.32261,0.000143342091067,13.0,1.8547035812736407e-06
2477,7.953004108124272e-07,2.18076,0.0001401054223714,13.0,1.85570095856233e-06
2478,9.289696532156284e-07,2.03443,0.0001422650668924,13.0,1.9906492568906323e-06
2479,1.0634677556576483e-06,1.90063,0.0001437010804832,13.0,2.126935511315297e-06
2480,1.1996485829417702e-06,1.78511,0.0001476900699888,12.0,2.2660028788900106e-06
2481,1.2038359027204284e-06,1.69056,0.0001479380564898,12.0,2.407671805440857e-06
2482,1.3428058438373202e-06,1.61599,0.0001497228515878,12.0,2.417050518907176e-06
2483,1.348821035997066e-06,1.55603,0.0001559237117612,12.0,2.4278778647947187e-06
2484,1.3551349246863438e-06,1.50548,0.0001641068393795,12.0,2.574756356904053e-06
2485,1.4976486235860324e-06,1.46071,0.0001696427440898,12.0,2.5868476225576925e-06
2486,1.5046737217625747e-06,1.41959,0.0001776882876881,12.0,2.7357704032046813e-06
2487,1.5116941914112682e-06,1.37896,0.0001866255192669,12.0,2.7485348934750333e-06
2488,1.6567704545915804e-06,1.34185,0.0002011595460283,12.0,2.899348295535266e-06
2489,1.6644095423927884e-06,1.30988,0.0002126283190406,12.0,2.91271669918738e-06
2490,1.6720557953871882e-06,1.28294,0.0002198753370934,13.0,2.9260976419275795e-06
2491,1.539770666556923e-06,1.26078,0.0002168277056815,12.0,2.9395621816086712e-06
2492,1.5468939494508809e-06,1.24004,0.0002195183140993,12.0,2.812534453547056e-06
2493,1.5468939494508809e-06,1.21847,0.0002220495951075,12.333333333333334,2.812534453547056e-06
2494,1.561355154075946e-06,1.19461,0.0002229899042775,12.333333333333334,2.838827552865356e-06
2495,0.0005901721633012,44.38249,0.0023483496444527,2480.0,0.0006017235757502
2496,0.000561407049294,43.3236,0.0022523057259561,2250.0,0.0005725362639275
2497,0.0005327948777044,42.20528,0.002159405509155,2080.0,0.0005437586952403
2498,0.0005101123389188,41.04254,0.0020854592679328,1960.0,0.0005208609746818
2499,0.0005110597057669,39.8349,0.0020850888335627,1850.0,0.0005219240702602
2500,0.0004951090195651,38.56259,0.0020577503996343,1760.0,0.0005059415206367
2501,0.0004695263492084,37.2254,0.0020115737622365,1680.0,0.000479904915725
2502,0.0004344975169392,35.85347,0.0019447677817143,1610.0,0.0004442569370669
2503,0.0003848301660662,34.40238,0.0018369518584032,1530.0,0.000393788964552
2504,0.0003483928140669,32.93728,0.0017542396560653,1450.0,0.0003569662390216
2505,0.0003313193008743,31.48466,0.0017189333348583,1360.0,0.0003397071312762
2506,0.0003119133563238,30.06596,0.0016378713899012,1270.0,0.0003199302566955
2507,0.0002890996314617,28.7343,0.0015617942259548,1210.0,0.0002969377677498
2508,0.0002692116161872,27.48995,0.0014898395331289,1180.0,0.0002768728335903
2509,0.0002510565878415,31.99023,0.0014234664786353,1190.0,0.0002581948125998
2510,0.000230137344198,25.29271,0.0013517379706887,1180.0,0.0002369411089932
2511,0.0002139930166502,24.28171,0.0012861179673055,1120.0,0.0002204726188624
2512,0.0002021678691003,23.31154,0.0012420505922658,1120.0,0.0002083335023474
2513,0.0001942174472818,22.40518,0.0012305305933042,1571.111111111111,0.0002003830805288
2514,0.0001767690514662,21.56988,0.0011537157689747,1571.111111111111,0.0001824912342346
2515,0.0,1.40141,0.0003900738630085,13.0,2.461033836015901e-07
2516,0.0,1.33557,0.0003837408061099,13.0,2.398380038187007e-07
2517,0.0,1.27535,0.0004031569572254,14.0,2.335787701190154e-07
2518,0.0,1.22125,0.0004167972479538,13.0,2.2775805899115933e-07
2519,0.0,1.17286,0.0004241672161425,14.0,2.223098617099274e-07
2520,0.0,1.12971,0.0004162196701898,13.0,2.1712032873754735e-07
2521,0.0,1.08933,0.0004173065756441,13.0,2.121538259502741e-07
2522,2.073863553880427e-07,1.05201,0.0004253494149008,12.0,2.073863553880427e-07
2523,2.028145384762503e-07,1.01694,0.0004332118541852,11.0,2.028145384762503e-07
2524,1.985743552737477e-07,0.9835,0.000439643622576,10.0,1.985743552737477e-07
2525,1.9454855494197105e-07,0.95017,0.0004511580989104,10.0,1.9454855494197105e-07
2526,1.9059283329016405e-07,0.91816,0.0004597099138958,10.0,1.9059283329016405e-07
2527,1.867938957249229e-07,0.88643,0.0004763244340985,10.0,1.867938957249229e-07
2528,1.831400534256164e-07,0.855,0.0004920973235546,9.0,1.831400534256164e-07
2529,1.796202504588849e-07,0.82497,0.0005054513847913,8.0,1.796202504588849e-07
2530,1.762278499215434e-07,0.79524,0.0005161713724202,9.0,1.762278499215434e-07
2531,1.729586725629431e-07,0.76665,0.0005266591579541,8.0,1.729586725629431e-07
2532,1.6981025062974133e-07,0.73969,0.0005376192534937,8.0,3.3962050125948265e-07
2533,1.6981025062974133e-07,0.71298,0.0005656379448476,11.0,3.3962050125948265e-07
2534,1.638555338192087e-07,0.68693,0.0005687425578864,11.0,3.277110676384174e-07
2535,4.973746081309806e-07,1.56829,0.0003446806034347,12.0,1.9894984325239225e-06
2536,4.972207844254539e-07,1.50213,0.0003391045749781,10.0,1.988883137701816e-06
2537,4.971421781886824e-07,1.43856,0.0003340795437427,11.0,1.9885687127547296e-06
2538,4.971157345083824e-07,1.37821,0.0003335646578551,10.0,1.4913472035251471e-06
2539,4.971481098677436e-07,1.32119,0.0003301063449521,11.0,9.942962197354873e-07
2540,4.972477337934533e-07,1.26576,0.0003112770813547,10.0,9.944954675869063e-07
2541,0.0,1.21279,0.0002989533647673,8.0,9.948531273456772e-07
2542,4.976993845947109e-07,1.16272,0.0002846840479881,8.0,9.95398769189422e-07
2543,0.0,1.11425,0.0002774303672191,8.0,9.961593077888202e-07
2544,0.0,1.06839,0.0002787068004459,8.0,9.971620767296274e-07
2545,0.0,1.02404,0.0002785632128822,8.0,9.984344547749128e-07
2546,0.0,0.98189,0.0002864868216062,8.0,9.999540021159029e-07
2547,0.0,0.94272,0.0002970023795249,7.0,1.001694366020123e-06
2548,0.0,0.90492,0.0002980895171853,7.0,5.018342040156773e-07
2549,0.0,0.86934,0.000284666437324,7.0,5.029442355549387e-07
2550,0.0,0.83484,0.0003030131914095,7.0,5.041816828777884e-07
2551,5.055537608397046e-07,0.80184,0.0003139488854814,7.0,5.055537608397046e-07
2552,5.070669926769385e-07,0.76988,0.0003290864782473,7.0,1.014133985353877e-06
2553,5.070669926769385e-07,0.73933,0.0003407490190789,8.555555555555555,1.014133985353877e-06
2554,5.105223767062934e-07,0.71043,0.0003537920070574,8.555555555555555,1.0210447534125869e-06
2555,8.991769072925553e-05,6.16904,0.0012588476702095,245.0,8.991769072925553e-05
2556,8.521975483622109e-05,6.10132,0.0011818634420707,233.0,8.746237996349006e-05
2557,8.292905419413692e-05,6.04612,0.0011304539492779,222.0,8.292905419413692e-05
2558,7.436460754609543e-05,5.99813,0.0010814738640275,210.0,7.648931061884101e-05
2559,6.829851833608253e-05,5.95158,0.0010348260353951,199.0,6.829851833608253e-05
2560,6.65656751070598e-05,5.8978,0.0010146222599651,188.0,6.65656751070598e-05
