,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%)","Mean total cholesterol,  crude","Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in pregnant women (aged 15-49) (%),"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",Mean BMI (kg/m²) (age-standardized estimate)
399,47.4,4.8,33.0,119.0,25.8,3.5,24.7
400,48.1,4.8,34.3,119.0,25.6,3.4,24.8
401,48.8,4.8,35.5,119.0,25.3,3.2,24.9
402,49.5,4.8,36.8,119.0,24.9,3.1,25.0
403,50.2,4.8,38.1,119.0,24.5,3.0,25.1
404,50.8,4.8,39.4,119.0,23.9,2.9,25.2
405,51.5,4.8,40.7,120.0,23.3,2.7,25.3
406,52.1,4.8,42.0,120.0,22.6,2.6,25.4
407,52.7,4.8,43.3,120.0,21.9,2.5,25.5
408,53.4,4.8,44.6,121.0,21.3,2.4,25.7
409,54.0,4.8,45.9,121.0,20.8,2.3,25.8
410,54.6,4.8,47.2,121.0,20.3,2.3,25.9
411,55.3,4.7,48.5,121.0,19.9,2.2,26.1
412,55.9,4.7,49.7,121.0,19.6,2.1,26.2
413,56.5,4.7,50.9,121.0,19.4,2.0,26.3
414,51.38235294117647,4.7,52.1,121.0,19.3,2.8000000000000003,25.352941176470587
415,51.38235294117647,4.7,53.3,121.0,19.2,2.8000000000000003,25.352941176470587
416,51.38235294117647,4.773684210526316,54.4,121.0,19.1,2.8000000000000003,25.352941176470587
417,28.5,4.8,32.0,116.0,28.7,11.1,25.1
418,29.2,4.8,33.3,116.0,27.9,10.7,25.2
419,30.0,4.9,34.8,116.0,27.2,10.4,25.3
420,30.7,4.9,36.2,117.0,26.5,10.1,25.4
421,31.5,4.9,37.7,117.0,25.9,9.7,25.5
422,32.2,4.9,39.2,117.0,25.4,9.4,25.7
423,33.0,4.9,40.7,117.0,25.1,9.1,25.8
424,33.8,4.9,42.1,117.0,24.7,8.7,25.9
425,34.6,4.9,43.4,117.0,24.3,8.4,26.1
426,35.4,4.9,44.6,118.0,23.9,8.1,26.2
427,36.2,5.0,45.7,118.0,23.6,7.8,26.3
428,37.0,5.0,46.7,118.0,23.3,7.4,26.5
429,37.9,5.0,47.6,118.0,23.1,7.1,26.6
430,38.7,5.0,48.4,118.0,22.9,6.8,26.8
431,39.5,5.0,49.1,118.0,22.7,6.6,26.9
432,40.4,5.0,49.7,118.0,22.7,6.3,27.0
433,41.2,5.0,50.4,118.0,22.7,6.0,27.2
434,34.69411764705882,5.0,51.0,118.0,22.6,8.452941176470588,26.08823529411765
435,34.69411764705882,5.0,51.6,118.0,22.6,8.452941176470588,26.08823529411765
436,34.69411764705882,4.936842105263158,52.1,118.0,22.7,8.452941176470588,26.08823529411765
437,54.0,5.5,27.8,117.0,27.9,0.7,25.6
438,54.5,5.5,28.8,117.0,27.7,0.7,25.7
439,54.9,5.4,29.7,117.0,27.7,0.7,25.8
440,55.4,5.4,30.7,117.0,27.7,0.6,25.9
441,55.9,5.4,31.6,117.0,27.6,0.6,26.0
442,56.4,5.4,32.6,117.0,27.5,0.6,26.1
443,56.9,5.4,33.5,117.0,27.3,0.6,26.2
444,57.4,5.4,34.4,117.0,26.9,0.6,26.2
445,57.9,5.3,35.4,118.0,26.6,0.5,26.3
446,58.4,5.3,36.3,118.0,26.3,0.5,26.4
447,58.9,5.3,37.2,118.0,25.9,0.5,26.5
448,59.3,5.3,38.2,118.0,25.7,0.5,26.6
449,59.8,5.3,39.1,118.0,25.6,0.5,26.7
450,60.3,5.3,40.0,118.0,25.5,0.4,26.8
451,60.8,5.3,40.9,118.0,25.5,0.4,26.9
452,61.2,5.2,41.8,118.0,25.6,0.4,27.0
453,61.7,5.2,42.7,118.0,25.6,0.4,27.1
454,57.864705882352936,5.2,43.5,118.0,25.7,0.5411764705882353,26.34117647058824
455,57.864705882352936,5.2,44.4,118.0,25.7,0.5411764705882353,26.34117647058824
456,57.864705882352936,5.3315789473684205,45.2,118.0,25.8,0.5411764705882353,26.34117647058824
457,14.4,3.7,5.6,105.0,58.8,13.9,21.0
458,14.8,3.7,5.8,105.0,58.7,13.8,21.1
459,15.3,3.7,6.1,105.0,58.6,13.6,21.2
460,15.8,3.7,6.4,105.0,58.5,13.4,21.3
461,16.3,3.7,6.7,105.0,58.4,13.2,21.4
462,16.8,3.7,7.0,105.0,58.2,13.0,21.5
463,17.3,3.7,7.3,106.0,58.0,12.8,21.6
464,17.8,3.7,7.6,106.0,57.9,12.6,21.7
465,18.4,3.7,8.0,106.0,57.7,12.4,21.7
466,19.0,3.7,8.4,106.0,57.5,12.2,21.8
467,19.5,3.7,8.8,106.0,57.3,12.0,21.9
468,20.1,3.7,9.2,106.0,57.1,11.8,21.9
469,20.7,3.7,9.7,106.0,56.9,11.6,22.0
470,21.3,3.7,10.1,106.0,56.8,11.4,22.0
471,21.9,3.7,10.7,106.0,56.6,11.2,22.1
472,22.6,3.7,11.2,106.0,56.3,11.0,22.2
473,23.2,3.7,11.8,107.0,56.1,10.8,22.2
474,18.541176470588237,3.7,12.4,107.0,55.9,12.394117647058822,21.68235294117647
475,18.541176470588237,3.7,13.0,107.0,55.6,12.394117647058822,21.68235294117647
476,18.541176470588237,3.7,13.7,107.0,55.3,12.394117647058822,21.68235294117647
477,14.9,3.7,9.3,111.0,45.0,17.0,20.9
478,15.3,3.7,9.7,111.0,44.6,16.9,21.0
479,15.7,3.7,10.1,112.0,44.2,16.7,21.0
480,16.1,3.8,10.5,112.0,43.6,16.6,21.1
481,16.5,3.8,10.9,112.0,43.1,16.4,21.1
482,16.9,3.8,11.3,112.0,42.5,16.2,21.2
483,17.3,3.8,11.8,113.0,42.0,16.1,21.3
484,17.7,3.8,12.2,113.0,41.4,15.9,21.3
485,18.2,3.8,12.7,113.0,40.9,15.8,21.4
486,18.6,3.8,13.2,113.0,40.5,15.6,21.4
487,19.1,3.8,13.8,113.0,40.2,15.4,21.5
488,19.6,3.8,14.4,113.0,40.2,15.3,21.5
489,20.1,3.8,15.0,113.0,40.4,15.1,21.6
490,20.6,3.8,15.6,113.0,40.7,14.9,21.6
491,21.1,3.8,16.3,113.0,41.2,14.7,21.7
492,21.6,3.9,17.0,112.0,41.8,14.6,21.7
493,22.2,3.9,17.7,112.0,42.4,14.4,21.8
494,18.323529411764707,3.9,18.5,112.0,43.0,15.741176470588236,21.358823529411765
495,18.323529411764707,3.9,19.3,112.0,43.6,15.741176470588236,21.358823529411765
496,18.323529411764707,3.805263157894737,20.1,111.0,44.2,15.741176470588236,21.358823529411765
497,13.4,4.1,13.5,107.0,55.4,17.7,20.7
498,13.9,4.1,14.2,107.0,55.2,17.5,20.8
499,14.3,4.1,15.0,107.0,54.9,17.2,20.9
500,14.8,4.2,15.8,107.0,54.6,16.9,20.9
501,15.3,4.2,16.7,107.0,54.3,16.6,21.0
502,15.7,4.2,17.6,108.0,53.9,16.3,21.1
503,16.2,4.2,18.5,108.0,53.6,16.0,21.2
504,16.7,4.2,19.3,108.0,53.2,15.7,21.3
505,17.2,4.2,20.2,108.0,52.9,15.4,21.3
506,17.7,4.2,21.0,108.0,52.6,15.1,21.4
507,18.3,4.2,21.7,108.0,52.4,14.8,21.5
508,18.8,4.3,22.4,109.0,52.2,14.5,21.6
509,19.4,4.3,23.1,109.0,52.1,14.2,21.7
510,19.9,4.3,23.7,109.0,52.0,13.9,21.8
511,20.5,4.3,24.3,109.0,51.9,13.6,21.9
512,21.1,4.3,24.8,109.0,51.8,13.3,22.0
513,21.7,4.3,25.4,109.0,51.8,13.0,22.1
514,17.34705882352941,4.4,25.9,109.0,51.7,15.394117647058822,21.36470588235294
515,17.34705882352941,4.4,26.5,109.0,51.6,15.394117647058822,21.36470588235294
516,17.34705882352941,4.2368421052631575,27.0,109.0,51.5,15.394117647058822,21.36470588235294
517,23.7,3.9,8.0,108.0,52.2,10.3,22.6
518,24.3,3.9,8.3,108.0,52.1,10.1,22.7
519,24.9,3.9,8.7,108.0,52.0,9.9,22.7
520,25.5,3.9,9.0,109.0,51.8,9.7,22.8
521,26.1,3.9,9.4,109.0,51.5,9.5,22.9
522,26.7,3.9,9.8,109.0,51.3,9.3,23.0
523,27.3,3.9,10.1,109.0,50.9,9.2,23.1
524,27.9,3.9,10.5,109.0,50.5,9.0,23.1
525,28.5,3.9,10.9,109.0,50.0,8.8,23.2
526,29.2,4.0,11.3,110.0,49.5,8.6,23.3
527,29.8,4.0,11.7,110.0,49.0,8.4,23.3
528,30.4,4.0,12.1,110.0,48.5,8.3,23.4
529,31.0,4.0,12.6,110.0,48.1,8.1,23.4
530,31.7,4.0,13.0,110.0,47.6,7.9,23.4
531,32.3,4.0,13.5,111.0,47.1,7.7,23.5
532,33.0,4.0,14.0,111.0,46.6,7.6,23.5
533,33.6,4.0,14.5,111.0,46.1,7.4,23.6
534,28.58235294117647,4.0,15.1,111.0,45.5,8.811764705882354,23.147058823529413
535,28.58235294117647,4.0,15.6,112.0,44.9,8.811764705882354,23.147058823529413
536,28.58235294117647,3.952631578947368,16.2,112.0,44.4,8.811764705882354,23.147058823529413
537,55.6,5.2,51.7,121.0,15.7,0.7,26.7
538,56.3,5.2,54.0,121.0,15.3,0.7,26.8
539,56.9,5.2,56.3,121.0,15.1,0.7,26.9
540,57.5,5.2,58.5,121.0,14.9,0.7,26.9
541,58.1,5.1,60.7,121.0,14.8,0.6,27.0
542,58.6,5.1,62.7,121.0,14.7,0.6,27.1
543,59.2,5.1,64.5,121.0,14.6,0.6,27.1
544,59.7,5.0,66.2,121.0,14.6,0.6,27.1
545,60.2,5.0,67.7,121.0,14.6,0.6,27.2
546,60.7,5.0,69.1,121.0,14.6,0.6,27.2
547,61.2,4.9,70.3,121.0,14.6,0.6,27.2
548,61.7,4.9,71.3,121.0,14.6,0.5,27.2
549,62.2,4.9,72.2,121.0,14.7,0.5,27.3
550,62.7,4.9,73.0,121.0,14.8,0.5,27.3
551,63.2,4.8,73.7,121.0,15.0,0.5,27.3
552,63.7,4.8,74.2,121.0,15.2,0.5,27.3
553,64.1,4.8,74.7,120.0,15.4,0.5,27.3
554,60.09411764705882,4.7,75.1,120.0,15.5,0.5882352941176471,27.11176470588235
555,60.09411764705882,4.7,75.4,120.0,15.7,0.5882352941176471,27.11176470588235
556,60.09411764705882,4.973684210526316,75.8,120.0,16.0,0.5882352941176471,27.11176470588235
557,24.7,3.9,10.9,111.0,46.5,12.3,22.6
558,25.3,3.9,11.4,111.0,46.0,12.0,22.7
559,25.9,3.9,12.0,111.0,45.6,11.8,22.8
560,26.6,3.9,12.5,111.0,45.1,11.6,22.9
561,27.2,3.9,13.1,112.0,44.6,11.3,23.0
562,27.8,3.9,13.7,112.0,44.1,11.1,23.1
563,28.5,3.9,14.4,112.0,43.5,10.8,23.2
564,29.1,3.9,15.0,112.0,42.9,10.6,23.3
565,29.8,3.9,15.7,113.0,42.2,10.4,23.3
566,30.4,3.9,16.4,113.0,41.5,10.1,23.4
567,31.0,4.0,17.1,113.0,40.8,9.9,23.4
568,31.6,4.0,17.9,114.0,40.1,9.7,23.5
569,32.3,4.0,18.6,114.0,39.4,9.5,23.5
570,32.9,4.0,19.5,114.0,38.8,9.3,23.6
571,33.5,4.0,20.3,114.0,38.0,9.0,23.6
572,34.2,4.0,21.2,115.0,37.3,8.8,23.7
573,34.8,4.0,22.1,115.0,36.5,8.6,23.7
574,29.74117647058824,4.0,23.0,115.0,35.6,10.4,23.25294117647059
575,29.74117647058824,4.0,23.9,116.0,34.7,10.4,23.25294117647059
576,29.74117647058824,3.947368421052632,24.8,116.0,33.9,10.4,23.25294117647059
577,16.1,3.8,8.5,107.0,54.9,15.9,21.0
578,16.5,3.8,8.9,107.0,54.8,15.8,21.1
579,16.9,3.8,9.4,107.0,54.7,15.6,21.2
580,17.3,3.8,9.8,107.0,54.5,15.4,21.3
581,17.7,3.8,10.3,107.0,54.3,15.3,21.3
582,18.1,3.8,10.7,107.0,54.0,15.1,21.4
583,18.5,3.8,11.2,108.0,53.7,15.0,21.5
584,18.9,3.8,11.8,108.0,53.3,14.8,21.5
585,19.3,3.8,12.3,108.0,52.8,14.6,21.6
586,19.8,3.8,12.9,108.0,52.3,14.5,21.6
587,20.2,3.8,13.5,108.0,51.8,14.3,21.7
588,20.7,3.8,14.1,109.0,51.2,14.2,21.7
589,21.1,3.8,14.8,109.0,50.6,14.0,21.8
590,21.6,3.8,15.5,109.0,50.0,13.8,21.8
591,22.1,3.9,16.3,109.0,49.3,13.7,21.8
592,22.6,3.9,17.0,110.0,48.6,13.5,21.9
593,23.1,3.9,17.8,110.0,47.8,13.4,21.9
594,19.44117647058824,3.9,18.6,110.0,47.0,14.641176470588237,21.53529411764706
595,19.44117647058824,3.9,19.4,111.0,46.2,14.641176470588237,21.53529411764706
596,19.44117647058824,3.826315789473684,20.3,111.0,45.3,14.641176470588237,21.53529411764706
597,54.5,4.9,29.5,119.0,23.3,0.9,26.3
598,55.0,4.9,30.5,119.0,22.8,0.8,26.3
599,55.6,4.9,31.6,120.0,22.4,0.8,26.4
600,56.2,4.9,32.8,120.0,21.9,0.7,26.5
601,56.7,4.9,34.0,120.0,21.5,0.7,26.6
602,57.3,4.9,35.2,120.0,21.2,0.7,26.7
603,57.8,4.9,36.4,120.0,20.9,0.6,26.8
604,58.4,4.9,37.6,120.0,20.6,0.6,26.9
605,58.9,4.9,38.8,120.0,20.3,0.6,27.0
606,59.5,4.9,40.0,120.0,20.1,0.6,27.1
607,60.0,4.9,41.2,121.0,19.8,0.5,27.2
608,60.5,4.8,42.3,121.0,19.7,0.5,27.3
609,61.0,4.8,43.4,121.0,19.5,0.5,27.4
610,61.5,4.8,44.5,121.0,19.4,0.5,27.5
611,62.0,4.8,45.5,121.0,19.3,0.4,27.6
612,62.6,4.7,46.4,121.0,19.2,0.4,27.7
613,63.1,4.7,47.4,121.0,19.2,0.4,27.8
614,58.858823529411765,4.7,48.2,121.0,19.3,0.6,27.00588235294118
615,58.858823529411765,4.7,49.1,121.0,19.3,0.6,27.00588235294118
616,58.858823529411765,4.836842105263158,49.9,121.0,19.4,0.6,27.00588235294118
617,20.8,4.4,20.4,119.0,28.7,7.6,22.4
618,21.4,4.4,21.5,120.0,27.7,7.4,22.5
619,22.0,4.4,22.7,120.0,26.9,7.2,22.6
620,22.7,4.4,23.8,121.0,26.1,7.0,22.6
621,23.4,4.5,25.0,121.0,25.3,6.8,22.7
622,24.1,4.5,26.2,121.0,24.4,6.5,22.8
623,24.8,4.5,27.4,121.0,23.5,6.3,22.9
624,25.5,4.5,28.5,122.0,22.6,6.1,23.0
625,26.2,4.5,29.6,122.0,21.8,5.8,23.1
626,27.0,4.5,30.6,122.0,21.0,5.6,23.2
627,27.8,4.6,31.4,123.0,20.2,5.4,23.4
628,28.5,4.6,32.2,123.0,19.7,5.2,23.5
629,29.3,4.6,32.8,123.0,19.3,5.0,23.6
630,30.0,4.6,33.3,123.0,19.1,4.8,23.7
631,30.8,4.6,33.7,123.0,18.9,4.6,23.9
632,31.6,4.6,34.0,123.0,18.9,4.4,24.0
633,32.3,4.7,34.3,122.0,19.0,4.2,24.2
634,26.36470588235294,4.7,34.6,122.0,18.8,5.876470588235295,23.18235294117647
635,26.36470588235294,4.7,34.8,122.0,18.6,5.876470588235295,23.18235294117647
636,26.36470588235294,4.542105263157895,35.1,122.0,18.5,5.876470588235295,23.18235294117647
637,49.7,4.8,22.7,116.0,33.4,3.4,24.1
638,50.3,4.8,23.6,116.0,33.1,3.2,24.2
639,50.9,4.8,24.7,116.0,32.6,3.1,24.3
640,51.5,4.8,25.8,116.0,32.2,3.0,24.4
641,52.1,4.8,27.0,116.0,31.6,2.9,24.5
642,52.7,4.8,28.2,117.0,31.0,2.8,24.6
643,53.3,4.8,29.5,117.0,30.2,2.6,24.7
644,53.9,4.8,30.8,117.0,29.3,2.5,24.8
645,54.5,4.8,32.2,118.0,28.3,2.4,24.9
646,55.1,4.8,33.6,118.0,27.3,2.3,25.0
647,55.6,4.8,35.0,118.0,26.4,2.3,25.1
648,56.2,4.8,36.3,119.0,25.5,2.2,25.3
649,56.8,4.8,37.6,119.0,24.8,2.1,25.4
650,57.4,4.8,38.9,119.0,24.1,2.0,25.5
651,57.9,4.8,40.1,120.0,23.6,1.9,25.6
652,58.5,4.8,41.3,120.0,23.0,1.9,25.7
653,59.0,4.8,42.5,120.0,22.6,1.8,25.8
654,54.43529411764706,4.8,43.5,120.0,22.3,2.494117647058824,24.935294117647057
655,54.43529411764706,4.8,44.6,120.0,22.0,2.494117647058824,24.935294117647057
656,54.43529411764706,4.8,45.6,120.0,21.8,2.494117647058824,24.935294117647057
657,19.9,4.0,8.2,112.0,42.7,14.5,22.4
658,20.3,4.0,8.5,112.0,42.3,14.3,22.4
659,20.7,4.0,8.9,112.0,42.0,14.2,22.5
660,21.1,4.0,9.3,112.0,41.6,14.0,22.6
661,21.5,4.0,9.7,113.0,41.3,13.9,22.6
662,21.9,4.0,10.1,113.0,40.8,13.7,22.7
663,22.4,4.0,10.5,113.0,40.3,13.6,22.7
664,22.8,4.0,10.9,113.0,39.9,13.4,22.8
665,23.2,4.0,11.4,113.0,39.5,13.2,22.9
666,23.7,4.0,11.9,114.0,39.1,13.1,22.9
667,24.1,4.0,12.4,114.0,38.7,12.9,23.0
668,24.6,4.0,12.9,114.0,38.5,12.8,23.0
669,25.1,4.0,13.5,114.0,38.3,12.6,23.1
670,25.6,4.0,14.2,114.0,38.2,12.4,23.1
671,26.1,4.0,14.9,114.0,38.1,12.3,23.2
672,26.6,4.0,15.6,114.0,38.1,12.1,23.2
673,27.1,4.0,16.3,114.0,38.1,12.0,23.3
674,23.33529411764706,4.0,17.1,114.0,38.1,13.235294117647058,22.84705882352941
675,23.33529411764706,4.0,17.8,114.0,38.1,13.235294117647058,22.84705882352941
676,23.33529411764706,4.0,18.7,114.0,38.0,13.235294117647058,22.84705882352941
677,47.7,4.9,33.2,121.0,19.5,2.8,25.5
678,48.6,4.9,34.6,121.0,19.4,2.7,25.6
679,49.5,4.9,36.0,121.0,19.2,2.6,25.7
680,50.4,4.9,37.5,121.0,19.1,2.4,25.8
681,51.3,4.9,39.1,121.0,18.9,2.3,25.8
682,52.2,4.9,40.8,121.0,18.7,2.2,25.9
683,53.2,4.9,42.5,121.0,18.4,2.1,26.0
684,54.1,4.9,44.3,121.0,18.2,2.0,26.1
685,55.0,4.9,46.1,121.0,17.9,1.9,26.2
686,55.9,4.9,47.9,122.0,17.5,1.8,26.3
687,56.7,4.9,49.8,122.0,17.3,1.7,26.3
688,57.6,4.9,51.6,122.0,17.2,1.6,26.4
689,58.4,4.9,53.3,122.0,17.1,1.5,26.5
690,59.2,4.9,55.0,122.0,17.1,1.4,26.6
691,60.0,4.9,56.6,121.0,17.1,1.4,26.6
692,60.8,4.8,58.2,121.0,17.1,1.3,26.7
693,61.6,4.8,59.6,121.0,17.2,1.2,26.8
694,54.83529411764706,4.8,60.9,121.0,17.3,1.9352941176470588,26.16470588235294
695,54.83529411764706,4.8,62.2,121.0,17.4,1.9352941176470588,26.16470588235294
696,54.83529411764706,4.878947368421053,63.5,121.0,17.6,1.9352941176470588,26.16470588235294
697,51.4,5.5,30.4,118.0,25.9,0.7,26.1
698,51.8,5.5,31.4,118.0,25.6,0.7,26.2
699,52.3,5.5,32.4,118.0,25.3,0.7,26.3
700,52.8,5.5,33.3,118.0,25.1,0.7,26.4
701,53.3,5.5,34.3,119.0,25.0,0.6,26.5
702,53.8,5.4,35.2,119.0,24.8,0.6,26.7
703,54.3,5.4,36.0,119.0,24.6,0.6,26.8
704,54.9,5.4,36.9,119.0,24.3,0.6,26.9
705,55.4,5.4,37.7,119.0,24.1,0.5,27.0
706,55.9,5.4,38.5,119.0,23.8,0.5,27.1
707,56.4,5.4,39.3,119.0,23.6,0.5,27.2
708,57.0,5.4,40.1,119.0,23.5,0.5,27.4
709,57.5,5.4,41.0,119.0,23.4,0.5,27.5
710,58.0,5.4,41.8,119.0,23.3,0.5,27.6
711,58.6,5.4,42.6,119.0,23.3,0.4,27.7
712,59.1,5.3,43.3,119.0,23.2,0.4,27.8
713,59.6,5.3,44.1,119.0,23.2,0.4,28.0
714,55.41764705882353,5.3,44.8,119.0,23.1,0.5529411764705883,27.011764705882356
715,55.41764705882353,5.3,45.5,119.0,23.2,0.5529411764705883,27.011764705882356
716,55.41764705882353,5.405263157894737,46.2,119.0,23.2,0.5529411764705883,27.011764705882356
717,52.5,5.3,33.8,119.0,19.2,0.7,26.7
718,53.0,5.2,34.9,119.0,18.8,0.7,26.8
719,53.5,5.2,36.1,119.0,18.5,0.7,26.9
720,54.0,5.2,37.3,120.0,18.3,0.7,27.0
721,54.4,5.2,38.6,120.0,18.1,0.6,27.1
722,54.9,5.2,39.9,120.0,18.0,0.6,27.1
723,55.3,5.1,41.1,120.0,17.9,0.6,27.2
724,55.7,5.1,42.2,120.0,17.8,0.6,27.3
725,56.1,5.1,43.3,120.0,17.7,0.6,27.3
726,56.5,5.1,44.4,120.0,17.6,0.6,27.4
727,56.9,5.1,45.5,120.0,17.6,0.5,27.4
728,57.3,5.0,46.5,120.0,17.6,0.5,27.4
729,57.7,5.0,47.4,120.0,17.7,0.5,27.4
730,58.0,5.0,48.2,120.0,17.7,0.5,27.5
731,58.4,5.0,49.0,119.0,17.8,0.5,27.5
732,58.8,5.0,49.7,119.0,18.0,0.5,27.5
733,59.1,5.0,50.4,119.0,18.1,0.5,27.5
734,56.00588235294118,5.0,51.0,119.0,18.3,0.5823529411764706,27.235294117647054
735,56.00588235294118,4.9,51.6,119.0,18.4,0.5823529411764706,27.235294117647054
736,56.00588235294118,5.089473684210526,52.1,119.0,18.5,0.5823529411764706,27.235294117647054
737,49.3,5.5,18.1,120.0,17.9,1.0,25.5
738,49.7,5.5,18.6,120.0,17.7,1.0,25.6
739,50.2,5.5,19.1,120.0,17.6,1.0,25.7
740,50.6,5.4,19.7,120.0,17.3,0.9,25.7
741,51.0,5.4,20.2,120.0,17.0,0.9,25.8
742,51.4,5.3,20.8,120.0,16.9,0.9,25.9
743,51.7,5.3,21.3,120.0,16.8,0.9,25.9
744,52.1,5.3,21.8,120.0,16.6,0.8,26.0
745,52.5,5.2,22.3,120.0,16.5,0.8,26.0
746,52.9,5.2,22.7,120.0,16.4,0.8,26.1
747,53.3,5.2,23.1,120.0,16.3,0.8,26.1
748,53.6,5.1,23.5,120.0,16.4,0.7,26.1
749,54.0,5.1,23.8,120.0,16.5,0.7,26.1
750,54.3,5.0,24.1,120.0,16.4,0.7,26.1
751,54.7,5.0,24.3,120.0,16.5,0.7,26.1
752,55.1,4.9,24.5,120.0,16.5,0.7,26.1
753,55.4,4.9,24.6,120.0,16.6,0.7,26.2
754,52.45882352941176,4.9,24.8,120.0,16.7,0.8235294117647058,25.94117647058824
755,52.45882352941176,4.8,24.9,120.0,16.7,0.8235294117647058,25.94117647058824
756,52.45882352941176,5.184210526315789,25.1,120.0,16.7,0.8235294117647058,25.94117647058824
757,31.9,4.2,9.3,112.0,42.6,11.5,22.9
758,32.3,4.2,9.7,112.0,42.4,11.3,23.0
759,32.7,4.2,10.1,113.0,41.7,11.2,23.0
760,33.1,4.2,10.5,113.0,41.1,11.0,23.0
761,33.5,4.2,10.9,113.0,40.3,10.8,23.1
762,33.9,4.2,11.4,113.0,39.6,10.6,23.1
763,34.3,4.2,11.8,114.0,39.0,10.5,23.1
764,34.7,4.2,12.3,114.0,38.7,10.3,23.2
765,35.1,4.1,12.8,114.0,38.3,10.1,23.2
766,35.5,4.1,13.3,114.0,37.9,10.0,23.2
767,35.9,4.1,13.8,114.0,37.6,9.8,23.2
768,36.4,4.1,14.4,114.0,37.4,9.6,23.3
769,36.8,4.1,15.0,114.0,37.4,9.5,23.3
770,37.2,4.1,15.7,114.0,37.3,9.3,23.3
771,37.7,4.1,16.3,114.0,37.2,9.2,23.3
772,38.1,4.1,17.0,114.0,37.2,9.0,23.4
773,38.6,4.1,17.8,114.0,37.2,8.9,23.4
774,35.15882352941177,4.1,18.5,114.0,37.1,10.152941176470588,23.176470588235293
775,35.15882352941177,4.1,19.3,114.0,37.1,10.152941176470588,23.176470588235293
776,35.15882352941177,4.142105263157895,20.1,114.0,37.0,10.152941176470588,23.176470588235293
777,46.4,4.9,24.6,117.0,29.8,1.8,24.8
778,47.0,4.9,25.5,117.0,29.0,1.7,24.9
779,47.7,4.9,26.4,117.0,28.3,1.7,25.0
780,48.3,4.9,27.4,118.0,27.7,1.6,25.1
781,49.0,4.9,28.3,118.0,27.0,1.5,25.2
782,49.6,4.9,29.2,118.0,26.5,1.5,25.3
783,50.2,4.9,30.1,118.0,25.8,1.4,25.4
784,50.8,4.9,31.0,119.0,25.1,1.4,25.5
785,51.4,4.9,31.8,119.0,24.4,1.3,25.6
786,52.0,4.9,32.6,119.0,24.0,1.3,25.8
787,52.5,4.9,33.4,119.0,23.5,1.2,25.9
788,53.1,4.9,34.1,120.0,22.9,1.2,26.0
789,53.7,4.9,34.7,120.0,22.5,1.2,26.1
790,54.3,4.8,35.3,120.0,22.2,1.1,26.2
791,54.8,4.8,35.8,120.0,22.2,1.1,26.4
792,55.4,4.8,36.2,120.0,22.2,1.1,26.5
793,56.0,4.8,36.5,119.0,22.1,1.0,26.6
794,51.30588235294118,4.8,36.7,119.0,22.2,1.3588235294117648,25.66470588235294
795,51.30588235294118,4.8,37.0,119.0,22.2,1.3588235294117648,25.66470588235294
796,51.30588235294118,4.868421052631579,37.2,119.0,22.3,1.3588235294117648,25.66470588235294
797,53.1,4.6,23.6,116.0,29.9,3.0,26.4
798,53.7,4.6,24.3,116.0,29.8,2.9,26.5
799,54.3,4.6,25.2,116.0,29.9,2.8,26.5
800,55.0,4.6,26.1,116.0,30.0,2.7,26.6
801,55.6,4.6,27.0,116.0,29.8,2.6,26.7
802,56.3,4.5,28.0,116.0,29.7,2.5,26.8
803,56.9,4.5,29.0,116.0,29.6,2.5,26.8
804,57.6,4.5,29.9,116.0,29.5,2.4,26.9
805,58.2,4.5,30.8,116.0,29.3,2.3,27.0
806,58.9,4.5,31.6,116.0,28.8,2.2,27.1
807,59.5,4.5,32.3,116.0,28.5,2.2,27.2
808,60.2,4.5,32.9,117.0,28.1,2.1,27.3
809,60.8,4.5,33.5,117.0,28.0,2.0,27.4
810,61.5,4.4,33.9,117.0,28.1,2.0,27.5
811,62.2,4.4,34.2,117.0,27.8,1.9,27.6
812,62.8,4.4,34.4,117.0,27.1,1.8,27.7
813,63.5,4.4,34.6,117.0,26.7,1.8,27.8
814,58.24117647058824,4.4,34.6,117.0,26.4,2.335294117647059,27.04705882352941
815,58.24117647058824,4.3,34.6,117.0,26.2,2.335294117647059,27.04705882352941
816,58.24117647058824,4.489473684210526,34.6,117.0,26.0,2.335294117647059,27.04705882352941
817,48.5,4.7,32.9,122.0,16.1,3.1,25.5
818,49.4,4.7,33.9,122.0,15.9,2.9,25.6
819,50.2,4.7,34.9,122.0,15.8,2.8,25.7
820,51.0,4.7,36.0,122.0,15.7,2.7,25.8
821,51.8,4.7,37.1,122.0,15.6,2.6,25.9
822,52.5,4.7,38.3,122.0,15.5,2.5,26.0
823,53.3,4.7,39.4,122.0,15.4,2.4,26.1
824,54.0,4.7,40.4,122.0,15.3,2.3,26.1
825,54.7,4.7,41.5,122.0,15.2,2.2,26.2
826,55.4,4.7,42.6,122.0,15.2,2.1,26.3
827,56.0,4.6,43.6,122.0,15.1,2.0,26.4
828,56.7,4.6,44.6,122.0,15.1,1.9,26.5
829,57.4,4.6,45.5,122.0,15.1,1.8,26.5
