,Mean hemoglobin level of non-pregnant women (aged 15-49 years),per_capita-Maternal Disorders,Stillbirth rate (per 1000 total births),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of women of reproductive age (aged 15-49 years)
104,130.0,2.69210707855905e-06,16.16016,19.3,129.0
105,130.0,4.716049998214638e-06,15.70173,18.9,130.0
106,130.0,4.044483930591263e-06,15.27704,18.4,130.0
107,130.0,2.359442928783249e-06,15.08267,18.0,130.0
108,130.0,2.6954404939394704e-06,14.88892,17.7,130.0
109,130.0,2.356509605301473e-06,14.581,17.5,130.0
110,131.0,3.026040083599401e-06,14.23683,17.4,130.0
111,131.0,3.021402608947582e-06,14.03153,17.2,130.0
112,131.0,3.0161373401489102e-06,13.88276,17.0,130.0
113,131.0,4.013828978774872e-06,13.69299,17.0,130.0
114,131.0,3.004118646664577e-06,13.42429,17.0,130.0
115,131.0,2.6703276859240685e-06,13.15354,17.1,130.0
116,131.0,2.657977737442965e-06,12.87654,17.2,130.0
117,134.0,8.922392297015313e-07,3.20857,7.8,133.0
118,134.0,8.810912429066972e-07,3.08674,7.6,133.0
119,134.0,8.702356772261064e-07,2.96692,7.5,133.0
120,134.0,6.576770643724192e-07,2.92143,7.4,133.0
121,134.0,7.501846954720252e-07,2.86615,7.3,133.0
122,134.0,6.91961278242276e-07,2.83525,7.2,133.0
123,134.0,8.784999437760036e-07,2.84715,7.2,133.0
124,134.0,6.747110212695902e-07,2.89832,7.2,133.0
125,134.0,5.712297290800202e-07,2.93214,7.1,133.0
126,134.0,8.465552725343607e-07,2.91544,7.1,133.0
127,134.0,8.830738629935999e-07,2.86057,7.1,133.0
128,134.0,8.728925158746989e-07,2.73643,7.1,133.0
129,134.0,8.630253416944439e-07,2.67292,7.1,133.0
130,134.0,4.941044357102751e-07,2.56657,7.1,133.0
131,134.0,5.775822725960848e-07,2.44471,7.2,133.0
132,134.0,5.274490183162825e-07,2.34068,7.3,133.0
133,134.0,6.088901263855839e-07,2.26658,7.5,133.0
134,134.0,5.595630793737645e-07,2.24045,7.7,133.0
135,134.0,5.595630793737645e-07,2.23449,7.9,133.0
136,133.0,5.483929345054319e-07,2.21541,8.2,133.0
137,132.0,3.69758078382057e-07,2.81144,11.5,131.0
138,132.0,6.148783340240466e-07,2.78537,11.4,131.0
139,132.0,2.454496096860307e-07,2.78091,11.3,131.0
140,132.0,2.4501828816502864e-07,2.73089,11.2,131.0
141,132.0,3.669831610999809e-07,2.65434,11.2,131.0
142,132.0,3.665379670411504e-07,2.61327,11.2,131.0
143,132.0,2.44114401773247e-07,2.58008,11.2,131.0
144,132.0,3.6586334052986523e-07,2.51864,11.2,131.0
145,132.0,2.437379753393229e-07,2.46819,11.2,131.0
146,132.0,2.435970218315305e-07,2.46396,11.2,131.0
147,132.0,2.434819872025868e-07,2.46837,11.2,131.0
148,132.0,3.650843101366876e-07,2.46698,11.3,131.0
149,132.0,2.4331660977721564e-07,2.4526,11.3,131.0
150,131.0,2.4326029118743375e-07,2.44693,11.5,131.0
151,131.0,6.080460052471938e-07,2.40594,11.6,131.0
152,131.0,4.863790755830651e-07,2.3576,11.8,131.0
153,131.0,4.863502164136876e-07,2.31083,12.0,131.0
154,131.0,3.647663877987102e-07,2.26544,12.3,131.0
155,131.0,3.647663877987102e-07,2.22262,12.6,131.0
156,131.0,3.6486580661309546e-07,2.18952,12.9,131.0
157,121.0,6.262498410743328e-06,19.1726,41.1,121.0
158,121.0,5.508473086420911e-06,18.73702,40.6,121.0
159,121.0,5.117675719175919e-06,18.16166,40.3,121.0
160,122.0,4.963688884292026e-06,17.53163,40.1,121.0
161,122.0,5.150032462371288e-06,16.87904,39.8,121.0
162,122.0,5.438822929941502e-06,16.13058,39.3,122.0
163,122.0,5.269549214730655e-06,15.41358,38.5,122.0
164,122.0,5.213511024579153e-06,14.65067,37.5,122.0
165,123.0,5.04879274036287e-06,13.93027,36.7,122.0
166,123.0,4.996319558950977e-06,13.23372,36.0,123.0
167,123.0,5.052854470373233e-06,12.59253,35.4,123.0
168,123.0,4.895033977388561e-06,12.02789,35.0,123.0
169,123.0,4.634701272436167e-06,11.53454,34.7,123.0
170,124.0,4.066668759089396e-06,11.08337,34.6,123.0
171,124.0,3.819863496661749e-06,10.62689,34.5,123.0
172,124.0,3.680688043284892e-06,10.19887,34.6,123.0
173,124.0,3.4438174108266527e-06,9.83128,34.6,123.0
174,124.0,3.312788689456779e-06,9.52284,34.7,123.0
175,124.0,3.312788689456779e-06,9.23718,34.8,123.0
176,124.0,3.1595498628804728e-06,8.9705,35.1,123.0
177,121.0,9.16224969879104e-06,8.52261,43.7,121.0
178,121.0,1.0415333751930557e-05,8.17041,42.9,121.0
179,122.0,8.393592331614046e-06,7.86561,42.1,121.0
180,122.0,6.402015866756124e-06,7.57664,41.5,121.0
181,122.0,5.895371308171102e-06,7.30297,40.9,122.0
182,122.0,5.458717900009389e-06,7.00454,40.3,122.0
183,122.0,5.079272201244828e-06,6.75064,39.6,122.0
184,123.0,4.74571509384177e-06,6.50512,38.9,122.0
185,123.0,4.515520747914732e-06,6.31318,38.2,123.0
186,123.0,4.369235340123125e-06,6.19138,37.5,123.0
187,123.0,4.237000881296183e-06,6.20381,37.0,123.0
188,123.0,4.116225750285049e-06,6.28925,36.6,123.0
189,124.0,4.806352074902191e-06,6.21603,36.4,123.0
190,124.0,4.68262714113126e-06,6.05183,36.2,123.0
191,124.0,5.326884252132085e-06,5.95594,35.9,123.0
192,124.0,5.198226959044655e-06,5.88984,35.7,123.0
193,124.0,4.3512818876441e-06,5.93035,35.7,123.0
194,124.0,4.252478131631208e-06,6.00362,35.6,123.0
195,124.0,3.54373177635934e-06,5.97815,35.6,123.0
196,124.0,3.392093437248985e-06,5.90874,35.5,124.0
197,124.0,8.311718627318156e-05,41.40262,34.7,123.0
198,124.0,7.621347256094877e-05,40.28941,34.6,123.0
199,124.0,7.347856912815854e-05,38.97208,34.7,123.0
200,124.0,6.856895556042545e-05,37.8517,34.8,123.0
201,124.0,6.289228303079563e-05,36.67568,35.0,123.0
202,123.0,6.166281352710073e-05,35.56304,35.1,123.0
203,123.0,5.9290006168836095e-05,34.4124,35.2,123.0
204,123.0,5.4287035726632e-05,33.2795,35.3,123.0
205,123.0,4.91242037542948e-05,32.11366,35.2,123.0
206,123.0,4.559521587512991e-05,30.82405,35.2,123.0
207,123.0,4.44406114577197e-05,29.65639,35.2,123.0
208,123.0,4.318583084997989e-05,28.79159,35.2,123.0
209,123.0,4.52124896376922e-05,28.18036,35.3,123.0
210,123.0,4.486881612024681e-05,27.91156,35.3,123.0
211,123.0,4.432865523590759e-05,27.62674,35.4,123.0
212,123.0,4.4028760232499314e-05,26.96289,35.5,123.0
213,123.0,4.195767181468584e-05,26.36471,35.7,123.0
214,123.0,3.961739351775313e-05,25.74755,35.9,123.0
215,123.0,3.863168663433732e-05,25.03614,36.2,123.0
216,123.0,3.661406937401684e-05,24.28319,36.5,123.0
217,130.0,3.6539023677287343e-06,8.41036,20.5,130.0
218,130.0,7.275214073174103e-06,8.39183,20.3,130.0
219,130.0,7.240657741349224e-06,8.44198,20.1,130.0
220,130.0,7.205986733778423e-06,8.45959,19.9,130.0
221,130.0,7.173138032695163e-06,8.48007,19.4,130.0
222,130.0,7.14191339001632e-06,8.53042,19.0,130.0
223,131.0,7.1121984872353815e-06,8.55103,18.6,130.0
224,131.0,7.083181340067078e-06,8.50838,18.2,130.0
225,131.0,7.054723490112805e-06,8.49794,17.8,131.0
226,131.0,7.027678511818798e-06,8.46461,17.5,131.0
227,131.0,7.0015018221408496e-06,8.40477,17.2,131.0
228,131.0,6.975811374060445e-06,8.33981,17.1,131.0
229,131.0,6.950888497322171e-06,8.30298,16.9,131.0
230,131.0,6.927006667243917e-06,8.1703,16.7,131.0
231,131.0,6.904170118751726e-06,8.03267,16.7,131.0
232,131.0,6.882217725839974e-06,7.89507,16.6,131.0
233,131.0,6.861181152335375e-06,7.75926,16.6,131.0
234,131.0,6.84144272344152e-06,7.63029,16.6,131.0
235,131.0,6.84144272344152e-06,7.51074,16.7,131.0
236,131.0,6.805637790345522e-06,7.40215,16.9,131.0
237,129.0,2.092947395162521e-06,5.00399,21.8,129.0
238,129.0,1.600033760712351e-06,4.76324,21.7,129.0
239,129.0,1.808102287158988e-06,4.53488,21.6,129.0
240,129.0,1.9181824514573644e-06,4.31477,21.5,129.0
241,129.0,1.8263077809538625e-06,4.07406,21.2,129.0
242,129.0,1.9369709648052378e-06,3.81261,20.9,129.0
243,129.0,1.9455778857835192e-06,3.51496,20.5,129.0
244,130.0,1.953783156599936e-06,3.18957,20.1,129.0
245,130.0,1.85839677349282e-06,2.91108,19.7,129.0
246,130.0,1.9692112780253743e-06,2.67479,19.2,130.0
247,130.0,1.8725360546414343e-06,2.47825,18.9,130.0
248,130.0,1.983805465112588e-06,2.34778,18.8,130.0
249,130.0,1.7814322988136813e-06,2.27686,18.9,130.0
250,130.0,1.787902212266061e-06,2.24436,19.0,130.0
251,130.0,1.6888964138606884e-06,2.23789,19.1,130.0
252,130.0,1.4832824532135633e-06,2.24542,19.4,129.0
253,130.0,1.488929279049808e-06,2.21675,19.6,129.0
254,130.0,1.4947694280787954e-06,2.13455,19.9,129.0
255,129.0,1.388000183216024e-06,2.08009,20.2,129.0
256,129.0,1.399473604151571e-06,2.01987,20.4,129.0
257,132.0,5.845891770328942e-07,3.3881,11.0,131.0
258,132.0,1.0688246300725082e-06,3.34496,10.9,131.0
259,132.0,5.818480852834133e-07,3.38393,10.7,131.0
260,132.0,7.743815982152052e-07,3.38729,10.7,131.0
261,132.0,3.865378155743044e-07,3.30779,10.6,131.0
262,132.0,6.753896129708768e-07,3.23515,10.6,131.0
263,132.0,8.6712996457196e-07,3.21621,10.7,131.0
264,132.0,7.698061993647944e-07,3.1894,10.7,131.0
265,132.0,7.689386464815146e-07,3.1387,10.7,131.0
266,132.0,6.721503896167744e-07,3.0803,10.8,131.0
267,132.0,7.674970377012773e-07,3.08361,10.8,131.0
268,132.0,8.627733158017796e-07,3.13439,11.0,131.0
269,132.0,6.706038778339839e-07,3.12393,11.2,131.0
270,132.0,4.78731491761797e-07,3.07638,11.3,131.0
271,131.0,5.741977906591609e-07,3.06733,11.5,131.0
272,131.0,4.782967584585107e-07,3.00133,11.8,131.0
273,131.0,4.781265700481244e-07,2.95165,12.3,131.0
274,131.0,4.779890351227299e-07,2.91978,12.7,131.0
275,131.0,4.779890351227299e-07,2.88088,13.1,131.0
276,131.0,4.778141341243387e-07,2.83987,13.5,130.0
277,127.0,1.2096579087434074e-05,11.22757,27.1,126.0
278,127.0,1.1781384626863914e-05,10.88478,26.5,127.0
279,128.0,1.5308192179044617e-05,10.6042,26.0,127.0
280,128.0,1.49277125519671e-05,10.27286,25.4,127.0
281,128.0,1.456558153084262e-05,9.94025,24.9,127.0
282,128.0,1.4220250347507367e-05,9.56019,24.4,128.0
283,128.0,1.7363944810437816e-05,9.219,24.0,128.0
284,129.0,1.3577271647262483e-05,8.98549,23.5,128.0
285,129.0,1.327712682975404e-05,8.88518,23.1,128.0
286,129.0,1.299127311228682e-05,8.7796,22.5,128.0
287,129.0,1.5897139150838415e-05,8.7331,21.9,129.0
288,129.0,1.557074568301076e-05,8.77268,21.4,129.0
289,129.0,1.5256973199600876e-05,8.69837,21.1,129.0
290,129.0,1.4956760006820283e-05,8.46398,20.9,129.0
291,130.0,1.4669467557005551e-05,8.18798,20.8,129.0
292,130.0,1.7272698484896465e-05,7.80456,20.6,129.0
293,130.0,1.695595408327634e-05,7.42795,20.5,129.0
294,130.0,1.387555294078469e-05,7.08268,20.4,129.0
295,130.0,1.387555294078469e-05,6.75303,20.4,129.0
296,130.0,1.3395596063838053e-05,6.5301,20.5,129.0
