,Mean hemoglobin level of non-pregnant women (aged 15-49 years),per_capita-Maternal Disorders,Stillbirth rate (per 1000 total births),Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Mean hemoglobin level of women of reproductive age (aged 15-49 years)
443,128.0,1.624834622301099e-06,7.26416,23.3,128.0
444,128.0,1.9118218597165207e-06,7.14075,23.1,128.0
445,128.0,1.5145934521371258e-06,7.03039,22.9,128.0
446,128.0,1.5267838838800353e-06,6.90548,22.7,128.0
447,128.0,1.8184908344564843e-06,6.77726,22.5,128.0
448,128.0,1.127771586781671e-06,6.61143,22.4,128.0
449,128.0,1.1366970567361023e-06,6.35852,22.4,128.0
450,128.0,1.4323278105637611e-06,6.02735,22.5,128.0
451,128.0,1.1552820361152717e-06,5.86985,22.6,128.0
452,128.0,1.0193481006778082e-06,5.83079,22.7,128.0
453,128.0,1.1749419541957691e-06,5.80621,22.9,128.0
454,128.0,1.185216088597273e-06,5.52018,23.0,128.0
455,128.0,1.185216088597273e-06,5.25179,23.3,128.0
456,128.0,1.2066723551212608e-06,5.01991,23.6,128.0
457,116.0,0.0001220254147699,29.67065,56.0,115.0
458,116.0,0.0001175311449227,29.38406,55.7,115.0
459,116.0,0.0001147401616072,29.04506,55.4,115.0
460,117.0,0.0001144244100101,28.48042,55.1,115.0
461,117.0,0.0001161885438837,27.8577,54.8,115.0
462,117.0,0.0001139249847129,27.16646,54.4,115.0
463,117.0,0.0001106422275856,26.36028,54.1,116.0
464,117.0,0.0001070474817755,25.67214,53.8,116.0
465,117.0,0.0001025238892126,24.93167,53.5,116.0
466,117.0,9.976990050699112e-05,24.25791,53.2,116.0
467,118.0,9.777234816979462e-05,23.6573,53.0,116.0
468,118.0,9.509621701517868e-05,23.00151,52.9,116.0
469,118.0,9.620774760644154e-05,22.1607,52.9,116.0
470,118.0,9.67273266206178e-05,21.51443,52.8,116.0
471,118.0,9.768515584212772e-05,20.97855,52.8,117.0
472,118.0,9.698026895227398e-05,20.18782,52.7,117.0
473,118.0,9.88082940748028e-05,19.49313,52.6,117.0
474,118.0,9.956479937742658e-05,19.52317,52.4,117.0
475,118.0,0.0001021508980625,19.63341,52.3,117.0
476,118.0,9.728182582429478e-05,19.47057,52.2,117.0
477,125.0,0.0002094478725431,30.41376,35.7,123.0
478,125.0,0.0001946607854782,30.24515,34.9,124.0
479,126.0,0.0001856783910288,29.88697,34.2,124.0
480,126.0,0.0001783480679025,29.59761,33.4,124.0
481,126.0,0.0001752192403705,29.17995,32.6,125.0
482,127.0,0.0001677297720222,28.73194,31.9,125.0
483,127.0,0.0001571266196003,28.14876,31.2,125.0
484,127.0,0.0001480142858834,27.56038,30.5,125.0
485,127.0,0.000141476701643,27.07139,29.9,126.0
486,127.0,0.0001363636841535,26.8679,29.5,126.0
487,127.0,0.0001311958481279,26.65565,29.3,126.0
488,127.0,0.0001278363068815,26.43936,29.5,126.0
489,127.0,0.000122569693516,26.27189,30.0,125.0
490,127.0,0.0001182918835695,26.05968,30.7,125.0
491,126.0,0.0001127633806532,25.86676,31.6,125.0
492,126.0,0.0001067888137162,25.82037,32.7,124.0
493,125.0,0.000103606616741,25.76216,33.9,124.0
494,124.0,0.0001020908199934,25.75904,35.2,123.0
495,124.0,0.0001044498907343,25.85706,36.5,123.0
496,123.0,9.975268847296728e-05,26.10891,37.9,122.0
497,117.0,0.000115211925171,25.53195,53.8,117.0
498,118.0,0.0001085360362767,24.6972,52.6,117.0
499,118.0,0.0001014203244759,23.75993,51.6,117.0
500,118.0,9.256460851013936e-05,22.78055,50.6,118.0
501,119.0,8.535511427020805e-05,21.61387,49.7,118.0
502,119.0,7.678193306826395e-05,20.64061,48.8,118.0
503,119.0,6.68952761489597e-05,19.71746,48.0,119.0
504,120.0,6.079296329468121e-05,18.84201,47.3,119.0
505,120.0,5.574258618230133e-05,18.06154,46.6,119.0
506,120.0,5.004846465247993e-05,17.28788,46.2,119.0
507,120.0,4.62166036607978e-05,16.52108,45.9,120.0
508,120.0,4.0471463299150704e-05,15.87854,45.8,120.0
509,120.0,3.751839555022466e-05,15.21329,45.8,120.0
510,120.0,3.676291909152316e-05,14.63409,45.9,120.0
511,120.0,3.5902968056320695e-05,14.13394,46.0,120.0
512,120.0,3.405743904864268e-05,13.73876,46.2,120.0
513,120.0,3.2524456166339215e-05,13.37965,46.4,120.0
514,120.0,3.0917364487833804e-05,13.04649,46.5,120.0
515,120.0,3.011511750511556e-05,12.70925,46.7,119.0
516,120.0,2.85785137147808e-05,12.44862,46.8,119.0
517,122.0,0.0001654170660878,23.9287,41.1,120.0
518,122.0,0.0001668698157587,23.49496,41.1,120.0
519,122.0,0.0001707422472426,23.11121,41.2,120.0
520,122.0,0.0001755715080009,22.79769,41.3,120.0
521,122.0,0.0001790460950348,22.62016,41.3,120.0
522,122.0,0.0001809231984208,22.45789,41.4,120.0
523,122.0,0.0001816755103224,22.17204,41.3,120.0
524,122.0,0.0001817791007964,22.01547,41.1,121.0
525,122.0,0.0001778240616098,21.84137,41.0,121.0
526,122.0,0.0001759069457024,21.79073,40.7,121.0
527,122.0,0.000171554608164,21.71226,40.5,121.0
528,122.0,0.0001680255155268,21.48728,40.4,121.0
529,122.0,0.00016204767858,21.28711,40.4,121.0
530,122.0,0.0001577188817872,21.104,40.4,121.0
531,122.0,0.0001534675804266,20.80526,40.3,121.0
532,122.0,0.0001458342100218,20.55439,40.3,121.0
533,122.0,0.0001406527424579,20.17891,40.2,121.0
534,122.0,0.000134812539474,19.91382,40.1,121.0
535,122.0,0.0001325176664723,19.62296,40.1,121.0
536,122.0,0.0001265128850576,19.38835,40.2,121.0
537,133.0,5.787863236650293e-07,3.225,9.1,133.0
538,133.0,8.923809028447064e-07,3.20937,8.9,133.0
539,133.0,6.953012364162632e-07,3.13156,8.7,133.0
540,133.0,8.466787676922936e-07,3.04396,8.7,133.0
541,133.0,7.77973661172679e-07,2.96439,8.6,133.0
542,133.0,9.880697372210008e-07,2.9716,8.6,133.0
543,133.0,9.492697971747282e-07,3.03784,8.5,133.0
544,133.0,8.501346248902415e-07,3.09983,8.5,133.0
545,133.0,9.634869749808929e-07,3.06818,8.5,133.0
546,133.0,8.958644745778746e-07,2.99287,8.5,133.0
547,133.0,7.99769097775149e-07,2.92952,8.5,133.0
548,133.0,6.758625504795862e-07,2.9156,8.6,133.0
549,133.0,7.580156363465465e-07,2.88679,8.7,133.0
550,133.0,7.521360954393591e-07,2.87091,8.8,132.0
551,133.0,7.750860919699933e-07,2.88247,8.9,132.0
552,133.0,8.262146865871396e-07,2.83795,9.1,132.0
553,133.0,7.917901765081284e-07,2.81018,9.3,132.0
554,133.0,7.579228198771155e-07,2.81198,9.5,132.0
555,133.0,7.017803887751069e-07,2.79535,9.8,132.0
556,132.0,6.918236626716525e-07,2.76662,10.2,132.0
557,125.0,3.487301572540523e-05,15.76439,31.3,124.0
558,126.0,3.4211114506881e-05,15.37339,30.7,125.0
559,126.0,3.134066406389914e-05,15.02639,30.2,125.0
560,126.0,3.0781069642170064e-05,14.8587,29.7,125.0
561,126.0,3.02509750537495e-05,14.69733,29.3,125.0
562,126.0,2.762448549395768e-05,14.54563,28.9,125.0
563,126.0,2.717908297774033e-05,14.53705,28.5,126.0
564,126.0,2.674930143170492e-05,14.54226,28.1,126.0
565,127.0,2.633610132511107e-05,14.5139,27.7,126.0
566,127.0,2.593868095821478e-05,14.41197,27.3,126.0
567,127.0,2.359144338348481e-05,14.27492,26.8,126.0
568,127.0,2.325130788606859e-05,14.0082,26.5,126.0
569,127.0,2.1009687375851847e-05,13.69129,26.2,126.0
570,127.0,2.0713836466144176e-05,13.34303,25.9,127.0
571,127.0,1.8568895243577484e-05,12.94971,25.6,127.0
572,127.0,1.6483727813360243e-05,12.49405,25.2,127.0
573,128.0,1.2648347041732318e-05,12.06039,24.8,127.0
574,128.0,1.2479965198725617e-05,11.64588,24.5,127.0
575,128.0,1.2479965198725617e-05,11.25659,24.2,127.0
576,128.0,1.0419579083736947e-05,10.93543,23.9,127.0
577,118.0,0.0002647722587163,34.70148,51.9,116.0
578,118.0,0.0002621216596604,34.12667,52.0,116.0
579,118.0,0.000263151874311,33.74468,52.1,116.0
580,118.0,0.0002701886861489,33.2126,52.2,116.0
581,118.0,0.0002622653859703,32.67717,52.1,116.0
582,118.0,0.0002585989193522,31.99278,52.0,116.0
583,118.0,0.0002534989540318,31.45125,51.8,116.0
584,118.0,0.0002570389577388,31.07724,51.5,116.0
585,118.0,0.0002586205958717,30.71633,51.1,117.0
586,118.0,0.0002564572230513,30.43217,50.6,117.0
587,118.0,0.0002620580864125,30.1181,50.1,117.0
588,119.0,0.0002628510509162,29.70091,49.5,117.0
589,119.0,0.0002637657475895,29.27301,49.0,118.0
590,119.0,0.0002625642205818,28.91581,48.5,118.0
591,119.0,0.0002625282079812,28.57783,48.0,118.0
592,119.0,0.0002588669896528,28.32785,47.4,118.0
593,120.0,0.0002582585795255,28.05279,46.9,118.0
594,120.0,0.0002591921073105,27.9107,46.4,119.0
595,120.0,0.0002639122191688,27.64907,45.9,119.0
596,120.0,0.0002585337695069,27.46551,45.5,119.0
597,134.0,4.3547854242164735e-06,4.16827,8.7,134.0
598,134.0,3.7177419844015286e-06,4.05285,8.5,134.0
599,134.0,3.547485120073664e-06,3.99316,8.3,134.0
600,134.0,3.062805116007572e-06,3.97509,8.1,134.0
601,134.0,3.4100314663811e-06,3.9573,8.0,134.0
602,134.0,3.563604049079456e-06,3.94043,7.8,134.0
603,134.0,3.0958151699277467e-06,3.88134,7.8,134.0
604,134.0,2.9440897123017134e-06,3.76275,7.7,134.0
605,134.0,2.7956484880434063e-06,3.73707,7.6,134.0
606,134.0,3.433381880549994e-06,3.82317,7.6,134.0
607,134.0,3.224556117457681e-06,3.68021,7.5,134.0
608,134.0,3.19739282220838e-06,3.52123,7.5,134.0
609,134.0,3.4060057512168835e-06,3.42289,7.5,134.0
610,134.0,3.4369538010495407e-06,3.31202,7.6,134.0
611,134.0,3.583462068244839e-06,3.22255,7.6,134.0
612,134.0,3.498772905777931e-06,3.20673,7.7,134.0
613,134.0,3.2450401553793542e-06,3.20447,7.8,134.0
614,134.0,2.8824672291735528e-06,3.17836,7.9,134.0
615,134.0,2.82594826389564e-06,3.13679,8.1,134.0
616,134.0,2.7313750600484447e-06,3.09377,8.4,134.0
617,130.0,9.801070291753544e-06,15.0465,21.9,130.0
618,130.0,8.751564689425706e-06,14.91635,20.9,130.0
619,131.0,7.212772270373258e-06,14.82191,20.1,130.0
620,131.0,6.084232310970517e-06,14.54556,19.4,131.0
621,131.0,5.643678950683089e-06,13.90911,18.8,131.0
622,131.0,5.078730040028437e-06,13.2054,18.1,131.0
623,132.0,4.412457385245623e-06,12.51567,17.4,131.0
624,132.0,3.825776687299674e-06,11.87134,16.7,132.0
625,132.0,3.442500934926765e-06,11.29953,16.2,132.0
626,132.0,3.178472991643875e-06,10.72549,15.6,132.0
627,133.0,2.8282709258488168e-06,10.1508,15.1,132.0
628,133.0,2.506138258252404e-06,9.59681,14.8,132.0
629,133.0,2.244572930863187e-06,9.10858,14.7,133.0
630,133.0,2.045812883009367e-06,8.59936,14.7,133.0
631,133.0,1.7260550781637994e-06,7.89368,14.6,133.0
632,133.0,1.7194112204807133e-06,7.42712,14.8,133.0
633,133.0,1.836145694049612e-06,6.60814,15.0,133.0
634,133.0,1.5181239895110182e-06,6.0944,15.1,133.0
635,133.0,1.2572078165657735e-06,5.78976,15.2,133.0
636,133.0,1.1130307927261078e-06,5.54196,15.4,133.0
637,126.0,1.7990074824319208e-05,9.55815,30.1,125.0
638,126.0,1.627983075487947e-05,9.37283,29.6,125.0
639,126.0,1.532472797100501e-05,9.202,29.1,126.0
640,126.0,1.474560144904406e-05,9.07847,28.6,126.0
641,126.0,1.458867559066786e-05,9.01316,28.0,126.0
642,127.0,1.6028817741399297e-05,8.91302,27.3,126.0
643,127.0,1.3437584252464095e-05,8.80634,26.6,127.0
644,127.0,1.32167939203687e-05,8.70609,25.7,127.0
645,128.0,9.225539594393356e-06,8.64174,24.8,127.0
646,128.0,1.341655812075873e-05,8.51058,24.0,128.0
647,129.0,1.0926293621134773e-05,8.44039,23.2,128.0
648,129.0,8.809283571821955e-06,8.27597,22.5,129.0
649,129.0,9.239798864167884e-06,8.13006,22.0,129.0
650,129.0,1.2766203766449822e-05,7.98138,21.5,129.0
651,130.0,1.1590368023593145e-05,7.80609,21.2,129.0
652,130.0,1.4742153109220654e-05,7.64677,21.0,129.0
653,130.0,1.1499156220293848e-05,7.50397,20.9,129.0
654,130.0,1.0880839834792372e-05,7.36855,20.9,129.0
655,130.0,1.0377679611218158e-05,7.23805,20.9,129.0
656,130.0,9.7673391037539e-06,7.09836,21.1,129.0
657,124.0,9.722219674470736e-05,30.28877,37.9,122.0
658,124.0,9.830310959545588e-05,30.23067,37.3,123.0
659,124.0,8.703674691454733e-05,30.10645,36.8,123.0
660,124.0,7.795804162620475e-05,30.0187,36.3,123.0
661,124.0,6.432883581301752e-05,29.93323,35.8,123.0
662,125.0,6.580436202671015e-05,29.72368,35.2,123.0
663,125.0,4.999375078115236e-05,29.43038,34.6,124.0
664,125.0,5.632199130205788e-05,29.18226,34.0,124.0
665,125.0,5.492882263780083e-05,28.87165,33.5,124.0
666,125.0,4.63759378446493e-05,28.41479,33.1,124.0
667,126.0,3.682083266064505e-05,28.02613,32.7,124.0
668,126.0,3.740202746694076e-05,27.56459,32.4,125.0
669,126.0,3.119557728093923e-05,27.09179,32.2,125.0
670,126.0,3.190267557105789e-05,26.73906,32.2,125.0
671,126.0,4.303234598006168e-05,26.38702,32.3,125.0
672,126.0,4.097463286088728e-05,26.01696,32.5,125.0
673,125.0,4.026788208557428e-05,25.65653,32.7,124.0
674,125.0,3.712503712503712e-05,25.40733,32.9,124.0
675,125.0,3.3412533412533413e-05,24.92157,33.1,124.0
676,125.0,3.11784619185067e-05,24.57104,33.5,124.0
677,130.0,7.469258207362576e-06,4.85959,15.9,130.0
678,131.0,7.07748429809555e-06,4.82028,15.5,130.0
679,131.0,7.212234934822535e-06,4.80013,15.1,130.0
680,131.0,6.856332410666886e-06,4.81705,14.7,131.0
681,131.0,6.752363809645077e-06,4.89089,14.3,131.0
682,131.0,6.177692779061233e-06,4.98609,13.9,131.0
683,132.0,6.3235315471620695e-06,5.03432,13.5,131.0
684,132.0,3.4632994160877183e-06,4.89589,13.1,131.0
685,132.0,4.324825339652434e-06,4.93925,12.8,132.0
686,132.0,3.591433174876309e-06,5.04052,12.5,132.0
687,132.0,4.428482226286585e-06,5.07017,12.2,132.0
688,132.0,4.151588026120918e-06,4.994,12.1,132.0
689,132.0,4.745114042345398e-06,4.96406,12.1,132.0
690,132.0,3.6201469268572736e-06,4.87868,12.1,132.0
691,132.0,4.626481052246851e-06,4.74971,12.2,132.0
692,132.0,4.569867457226041e-06,4.6765,12.4,132.0
693,132.0,4.51509612126563e-06,4.57861,12.6,132.0
694,132.0,4.462241124095331e-06,4.479,12.9,132.0
695,132.0,4.259411982090998e-06,4.47304,13.2,132.0
696,132.0,3.965827259668885e-06,4.48368,13.6,131.0
697,129.0,9.068587998177214e-07,5.17261,21.1,129.0
698,129.0,6.758111423235739e-07,4.99008,20.9,129.0
699,129.0,1.1158173808641785e-06,4.79249,20.8,129.0
700,129.0,8.893278215759378e-07,4.60393,20.7,129.0
701,129.0,8.895077886413858e-07,4.42179,20.7,129.0
702,129.0,8.896987124280233e-07,4.23497,20.7,129.0
703,129.0,1.1124091690103273e-06,3.99483,20.6,129.0
704,129.0,1.3353179124886054e-06,3.76514,20.6,129.0
705,129.0,8.905625527797463e-07,3.59809,20.5,129.0
706,129.0,1.11373234205215e-06,3.47135,20.4,129.0
707,129.0,8.914878732018968e-07,3.35925,20.4,129.0
708,129.0,8.920996546682237e-07,3.19981,20.4,129.0
709,129.0,6.696364298289102e-07,3.09739,20.4,129.0
710,129.0,6.702995412246507e-07,3.06955,20.4,129.0
711,129.0,4.473738484037925e-07,3.09549,20.4,129.0
712,129.0,4.479439819173973e-07,3.12863,20.4,129.0
713,129.0,2.242890206262912e-07,3.11766,20.5,129.0
714,129.0,4.492782793720168e-07,3.04643,20.5,129.0
715,129.0,4.492782793720168e-07,3.02982,20.7,129.0
716,129.0,4.508642504100048e-07,3.00766,20.9,129.0
717,131.0,1.0873347251217816e-06,4.39275,12.2,131.0
718,131.0,1.0722342789010028e-06,4.22679,12.0,131.0
719,131.0,1.0561736518471422e-06,4.08007,11.9,131.0
720,131.0,1.0366432661726717e-06,3.94211,11.8,131.0
721,131.0,1.0129751993281948e-06,3.79529,11.8,131.0
722,131.0,9.893741219304668e-07,3.65518,11.8,131.0
723,131.0,9.699038825252417e-07,3.50431,11.8,131.0
724,131.0,9.533742775806412e-07,3.36527,11.7,131.0
725,131.0,9.373678897130436e-07,3.23037,11.7,131.0
726,131.0,9.21873098636734e-07,3.12119,11.6,131.0
727,131.0,9.068838834944412e-07,3.01868,11.7,131.0
728,131.0,8.924674851783462e-07,2.92865,11.7,131.0
729,131.0,8.786798011723346e-07,2.86668,11.8,131.0
730,131.0,0.0,2.84731,11.9,131.0
731,131.0,0.0,2.82664,12.1,131.0
732,131.0,0.0,2.77879,12.3,131.0
733,131.0,0.0,2.72633,12.5,131.0
734,131.0,0.0,2.65262,12.8,131.0
735,131.0,0.0,2.58327,13.1,131.0
736,131.0,0.0,2.52415,13.4,131.0
737,131.0,1.873565785391283e-07,3.13939,12.0,131.0
738,131.0,5.601376893125355e-07,3.08117,12.0,131.0
739,131.0,5.581714155580607e-07,2.99786,11.9,131.0
740,131.0,3.707728649137267e-07,2.88223,11.7,131.0
741,131.0,1.847270620712485e-07,2.73225,11.5,131.0
742,131.0,1.840829035764547e-07,2.60572,11.4,131.0
743,131.0,7.338559488473049e-07,2.48999,11.4,131.0
744,131.0,3.657564208539681e-07,2.37509,11.3,131.0
745,132.0,5.469738398821599e-07,2.26747,11.2,131.0
746,132.0,5.454039716317214e-07,2.18749,11.1,131.0
747,132.0,1.813047597032041e-07,2.13872,11.1,131.0
748,132.0,3.6167097778472185e-07,2.08308,11.2,131.0
749,131.0,1.803929788887901e-07,2.05666,11.3,131.0
750,131.0,1.7997095988591285e-07,2.05268,11.3,131.0
751,131.0,3.591259377451596e-07,2.05156,11.4,131.0
752,131.0,1.7916321105623348e-07,2.05671,11.5,131.0
753,131.0,1.78769831160833e-07,2.06223,11.6,131.0
754,131.0,1.783819614452364e-07,2.05753,11.8,131.0
755,131.0,1.783819614452364e-07,2.04072,11.9,131.0
756,131.0,1.776136469800885e-07,2.01207,12.1,131.0
757,124.0,0.0001688038529105,34.89984,36.7,123.0
758,124.0,0.0001673905828366,34.49978,36.1,123.0
759,125.0,0.0001661196815527,34.25634,35.3,124.0
760,125.0,0.0001650315514268,34.09401,34.5,124.0
761,125.0,0.0001947025690091,33.6659,33.7,124.0
762,126.0,0.0001920768307322,33.36014,32.8,125.0
763,126.0,0.0001840560354918,33.09164,32.2,125.0
764,126.0,0.0001929781862642,32.78381,31.8,125.0
765,126.0,0.0001931764984574,32.54843,31.2,125.0
766,126.0,0.0001849240017553,32.32817,30.8,126.0
767,126.0,0.0001904046842253,32.23082,30.5,126.0
768,126.0,0.0001902059772228,32.08868,30.5,126.0
769,126.0,0.0001859530546017,31.89702,30.6,126.0
770,126.0,0.0001805104279485,31.31341,30.7,126.0
771,126.0,0.0001616926629794,30.6587,30.8,125.0
772,126.0,0.0001605651894669,30.08134,31.0,125.0
773,126.0,0.0001535396197177,29.48615,31.2,125.0
774,126.0,0.0001525540671261,28.90278,31.5,125.0
775,126.0,0.000157176917645,28.33472,31.7,125.0
776,126.0,0.0001484119916889,27.85889,32.1,125.0
777,127.0,2.0328080760813373e-05,15.72124,24.8,126.0
778,127.0,1.670742301302617e-05,15.27219,23.9,126.0
779,127.0,1.948971406952324e-05,14.81395,23.1,126.0
780,127.0,2.0115982790814967e-05,14.32087,22.4,127.0
781,128.0,1.9224442599629365e-05,13.86232,21.7,127.0
782,128.0,1.9542803790689105e-05,13.3787,21.1,127.0
783,128.0,1.9831779089501467e-05,12.92007,20.4,127.0
784,128.0,1.9879793046402125e-05,12.44826,19.7,128.0
785,128.0,1.9924108652155647e-05,11.98371,19.0,128.0
786,129.0,2.044863341028104e-05,11.54823,18.5,128.0
787,129.0,2.0959246570526377e-05,11.08769,18.0,128.0
788,129.0,1.9790311982607448e-05,10.68833,17.5,128.0
789,129.0,2.0494387690755456e-05,10.31858,17.0,129.0
790,129.0,1.949553963427016e-05,10.0096,16.8,129.0
791,129.0,1.858900983243637e-05,9.73696,16.7,129.0
792,129.0,1.651080550296325e-05,9.47938,16.7,129.0
793,129.0,1.6230557999121683e-05,9.27048,16.7,129.0
794,129.0,1.6389504995821905e-05,9.06249,16.7,129.0
795,129.0,1.6082585426611755e-05,8.8666,16.8,129.0
796,129.0,1.5745434991289722e-05,8.72031,17.0,129.0
797,124.0,1.7986895595033824e-05,17.50283,35.9,123.0
798,124.0,1.724394735945597e-05,16.89994,35.6,123.0
799,124.0,1.617097245759971e-05,16.3529,35.5,123.0
800,124.0,1.5265779377172317e-05,15.86308,35.4,123.0
801,124.0,1.4209373556178372e-05,15.37251,35.1,123.0
802,124.0,1.3688336456608276e-05,14.84549,34.8,123.0
803,124.0,1.3292741304954756e-05,14.36591,34.4,124.0
804,124.0,1.2540214578531976e-05,13.80768,34.0,124.0
805,124.0,1.238567388833853e-05,13.28742,33.5,124.0
806,125.0,1.2628915103157949e-05,12.80549,32.8,124.0
807,125.0,1.26379562786858e-05,12.31924,32.2,124.0
808,125.0,1.1635042418318837e-05,11.79987,31.7,124.0
809,125.0,1.1518953218710986e-05,11.29728,31.2,125.0
810,125.0,1.0446174275670953e-05,10.86281,30.9,125.0
811,125.0,9.931515582881685e-06,10.4135,30.5,125.0
812,126.0,9.831909160572842e-06,10.08094,29.9,125.0
813,126.0,9.082047886773996e-06,9.77932,29.4,125.0
814,126.0,8.632051043423997e-06,9.52363,29.0,125.0
815,126.0,8.3919687135184e-06,9.24491,28.7,125.0
816,126.0,7.927630759460693e-06,9.04754,28.4,126.0
817,136.0,1.3333739043683724e-05,20.07764,11.1,135.0
818,136.0,9.177901381070204e-06,19.11952,10.8,135.0
819,136.0,9.658021325588844e-06,18.11042,10.7,135.0
820,136.0,9.96647716283112e-06,17.10268,10.5,135.0
821,136.0,1.0783267940114448e-05,16.14619,10.4,135.0
822,136.0,1.1416634809218798e-05,15.26971,10.3,135.0
823,136.0,1.17235395107566e-05,14.50577,10.2,135.0
824,136.0,1.1200731825725977e-05,13.97878,10.1,135.0
825,136.0,1.0655214087391736e-05,13.5118,10.0,135.0
826,135.0,1.2104939544947132e-05,13.04082,9.9,135.0
827,135.0,1.140106912286453e-05,12.59505,9.8,135.0
828,135.0,1.1693452358404644e-05,12.19172,9.7,135.0
829,135.0,9.358613191441433e-06,11.80735,9.7,135.0
830,135.0,8.840010542531092e-06,11.45826,9.6,135.0
831,135.0,8.652337959667699e-06,11.17456,9.7,134.0
832,135.0,8.304363047212746e-06,10.97309,9.7,134.0
833,135.0,8.121273350691202e-06,10.74336,9.8,134.0
834,135.0,7.615022073032598e-06,10.52924,9.9,134.0
835,134.0,7.290978580563126e-06,10.30267,10.1,134.0
836,134.0,7.09410818192518e-06,10.09856,10.4,134.0
837,116.0,0.000174980619879,18.0418,56.3,115.0
838,116.0,0.0001601046807888,17.89337,55.4,115.0
839,116.0,0.0001420989162077,17.7246,54.6,115.0
840,117.0,0.0001399444327305,17.55392,53.9,115.0
841,117.0,0.0001378272263177,17.26005,53.1,116.0
842,117.0,0.0001339839783369,16.9991,52.4,116.0
843,118.0,0.0001285666532385,16.5718,51.6,116.0
844,118.0,0.0001217147439905,16.2742,50.8,117.0
845,118.0,0.0001167960886287,16.05716,49.9,117.0
846,119.0,0.0001136648874954,15.87494,49.1,117.0
847,119.0,0.0001106497290618,15.77376,48.3,118.0
848,119.0,0.0001107411425792,15.67727,47.6,118.0
849,119.0,0.0001034999001444,15.55916,46.9,118.0
850,120.0,9.090896177704293e-05,15.4284,46.4,119.0
851,120.0,8.44578223173565e-05,15.30169,45.8,119.0
852,120.0,8.234974883326606e-05,15.18532,45.4,119.0
853,120.0,7.900443873271614e-05,15.10511,45.0,119.0
854,120.0,7.323108389712703e-05,15.11968,44.6,119.0
855,121.0,7.19463280392827e-05,15.15103,44.3,120.0
856,121.0,6.856560749128237e-05,15.07911,44.2,120.0
857,122.0,0.0001891687771453,23.20129,40.8,121.0
858,122.0,0.0001802677783333,22.94916,40.3,121.0
859,123.0,0.0001919907240735,22.68004,39.9,121.0
860,123.0,0.0001882969909502,22.46118,39.5,122.0
861,123.0,0.0001858441757719,22.13945,39.1,122.0
862,123.0,0.0001810807324183,21.91108,38.7,122.0
863,123.0,0.0001775875328182,21.62077,38.2,122.0
864,123.0,0.0001732094288643,21.3598,37.6,122.0
865,124.0,0.0001710279086285,21.07994,37.1,123.0
866,124.0,0.0001664551152011,20.79253,36.6,123.0
867,124.0,0.0001598485340197,20.48339,36.2,123.0
868,124.0,0.0001533803273146,20.19838,35.9,123.0
869,124.0,0.0001490184416482,19.90906,35.7,123.0
870,124.0,0.0001446977885622,19.69904,35.7,123.0
871,124.0,0.0001390107169896,19.44931,35.7,123.0
872,124.0,0.0001352699247773,19.17376,35.9,123.0
873,124.0,0.0001304968814841,18.96237,36.1,123.0
874,124.0,0.0001268088215546,18.70669,36.2,123.0
875,124.0,0.0001260758225861,18.46215,36.4,123.0
876,124.0,0.0001217279978049,18.26882,36.7,123.0
877,129.0,2.898897331927368e-06,4.67562,21.6,129.0
878,129.0,7.299360649000754e-07,4.47817,21.3,129.0
879,129.0,7.352281633559342e-07,4.2557,21.2,129.0
880,129.0,2.2210343801315148e-06,4.06281,21.1,129.0
881,129.0,2.2360292890023134e-06,3.89115,20.9,129.0
882,129.0,1.5004955386516398e-06,3.6853,20.8,129.0
883,129.0,7.550970941598525e-07,3.50838,20.8,129.0
884,129.0,0.0,3.37547,20.6,129.0
885,129.0,0.0,3.27677,20.4,129.0
886,129.0,0.0,3.17373,20.4,129.0
887,129.0,7.74491352804046e-07,3.03061,20.5,129.0
888,129.0,7.794457049813595e-07,2.90131,20.6,129.0
889,129.0,7.844927744293011e-07,2.78552,20.7,129.0
890,129.0,7.896555127825487e-07,2.70577,20.7,129.0
891,129.0,0.0,2.65231,21.0,128.0
892,129.0,0.0,2.5971,21.1,128.0
893,129.0,8.061226628488698e-07,2.50633,21.2,128.0
894,129.0,8.120402836943935e-07,2.39631,21.3,128.0
895,129.0,0.0,2.27932,21.4,128.0
896,129.0,0.0,2.17644,21.7,128.0
897,126.0,0.000239585578198,35.774,32.4,125.0
898,126.0,0.000222057276047,35.39038,31.5,125.0
899,127.0,0.0002094379138675,35.02938,30.6,125.0
900,127.0,0.0001989879666994,34.72048,29.7,126.0
901,128.0,0.0001893244575149,34.38429,28.7,126.0
902,128.0,0.0001797005442603,33.95147,27.6,127.0
903,129.0,0.0001658928788266,33.48714,26.5,127.0
904,129.0,0.0001509211141941,32.87891,25.4,128.0
905,129.0,0.0001376706284729,32.37491,24.3,128.0
906,130.0,0.0001254379888174,31.82823,23.3,129.0
907,130.0,0.0001133008158931,31.05211,22.6,129.0
908,130.0,0.0001034842454369,30.31478,22.0,129.0
909,130.0,9.230835612759922e-05,29.45973,21.8,129.0
910,130.0,8.401620942820484e-05,28.76788,21.6,129.0
911,130.0,7.862450776135355e-05,28.00483,21.7,129.0
912,130.0,7.511572300943818e-05,27.13466,21.9,129.0
913,130.0,7.24916116849336e-05,26.33493,22.2,129.0
914,129.0,6.969576681886111e-05,25.68823,22.5,128.0
