,Domestic general government health expenditure (GGHE-D) as percentage of general government expenditure (GGE) (%),Domestic general government health expenditure (GGHE-D) per capita in PPP int$,per_capita-Parkinson's Disease,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%)
2453,11.05,1970.11,1.9039772474718928e-05,4.04
2454,11.05,1929.67,1.911441097344049e-05,3.93
2455,8.96,23.9,1.679113757422554e-05,1.25
2456,9.01,29.31,1.821700591466043e-05,1.42
2457,8.64,27.15,1.8952234252824208e-05,1.34
2458,9.05,32.36,1.874973633183284e-05,1.54
2459,8.97,35.49,1.939325723064287e-05,1.63
2460,8.54,37.27,1.971469777923648e-05,1.6
2461,8.27,41.78,2.0007009663115302e-05,1.76
2462,5.95,32.6,2.0010008514785204e-05,1.32
2463,6.62,35.84,2.0344761647012743e-05,1.39
2464,6.66,36.36,2.090261314309679e-05,1.41
2465,5.35,30.72,2.0692589910520373e-05,1.16
2466,5.63,34.93,2.111707090566688e-05,1.31
2467,5.31,33.4,2.10492130601346e-05,1.22
2468,5.3,32.11,2.112716826022657e-05,1.17
2469,4.68,30.57,2.119401196559648e-05,1.08
2470,4.7,32.04,2.1537176242934767e-05,1.08
2471,4.46,32.85,2.1717793681658345e-05,1.07
2472,4.26,30.65,2.1474556195913942e-05,0.96
2473,4.26,32.44,2.181542216727765e-05,0.96
2474,4.26,36.25,2.1720739059201955e-05,1.03
2475,13.57,243.38,7.298468570887527e-05,4.25
2476,13.57,281.52,7.551293152328394e-05,4.58
2477,13.57,395.59,7.87347406704303e-05,5.82
2478,13.56,408.53,8.334184888848781e-05,5.68
2479,13.71,450.85,8.813489025012761e-05,5.59
2480,13.62,496.86,9.423906090442573e-05,5.42
2481,12.53,540.2,9.644063176238098e-05,5.3
2482,13.56,640.7,9.829338776889184e-05,5.72
2483,13.73,739.65,0.0001022406345285,5.86
2484,13.47,721.34,0.000103261281261,5.76
2485,13.56,742.86,0.0001022485560284,5.81
2486,13.38,763.92,0.0001014970819588,5.57
2487,12.84,805.42,0.0001033449119946,5.79
2488,13.17,813.5,0.0001071378227302,5.57
2489,12.02,787.85,0.0001101284313883,5.38
2490,11.92,756.91,0.0001111917103932,5.08
2491,11.65,770.4,0.000109463696477,4.87
2492,11.79,785.2,0.0001122201246965,4.72
2493,12.45,924.2,0.0001164389263768,5.07
2494,12.03,983.85,0.0001192307572203,5.06
2495,12.7,21.01,2.2315228594576403e-05,2.08
2496,13.15,16.07,2.151648162492469e-05,2.51
2497,14.01,22.06,2.1227816931306783e-05,2.8
2498,11.69,18.4,2.10494117025324e-05,2.2
2499,11.58,18.37,2.085957982722184e-05,2.1
2500,9.54,15.64,2.1027796197749645e-05,1.72
2501,6.52,10.24,2.0964704363419205e-05,1.08
2502,8.29,10.96,2.094208902421048e-05,1.07
2503,3.92,6.78,2.0903863133449265e-05,0.63
2504,5.34,10.16,2.08490106852154e-05,0.93
2505,6.29,14.43,2.077894349557113e-05,1.27
2506,4.13,10.7,2.088122887523447e-05,0.89
2507,4.68,13.38,2.0962457514567085e-05,0.95
2508,5.15,14.08,2.102380589682122e-05,0.81
2509,7.58,23.91,2.054415906053998e-05,1.34
2510,7.91,26.24,2.109167086515653e-05,1.64
2511,7.91,30.99,2.076795580844834e-05,1.85
2512,3.63,13.9,2.0768448832139825e-05,0.85
2513,3.6,13.1,2.1579716364645285e-05,0.77
2514,5.82,21.99,2.1032888013480845e-05,1.23
2515,7.39,532.33,2.3379821442151063e-05,1.21
2516,4.87,386.15,2.3504124374232668e-05,0.88
2517,6.54,483.0,2.4058613322258587e-05,1.05
2518,8.33,649.74,2.459787037104521e-05,1.34
2519,7.13,553.93,2.5343324234931727e-05,1.02
2520,7.89,587.59,2.47517174760804e-05,1.0
2521,7.85,636.07,2.5458459114032893e-05,1.0
2522,10.35,653.61,2.633806713428142e-05,0.95
2523,8.65,816.17,2.7177148155817544e-05,1.19
2524,7.15,787.45,2.780040973832467e-05,1.19
2525,10.94,856.03,2.879318613141172e-05,1.15
2526,11.97,924.08,2.954188915997543e-05,1.17
2527,13.21,1061.9,3.082099279461227e-05,1.31
2528,13.96,1262.94,3.186636929605725e-05,1.54
2529,13.66,1457.15,3.32297463348937e-05,1.74
2530,13.54,1694.31,3.401197503485787e-05,1.97
2531,13.4,1844.02,3.528356920284039e-05,2.08
2532,15.33,1974.8,3.61695833841349e-05,2.11
2533,14.54,2018.11,3.8377116642321536e-05,2.04
2534,14.54,2059.42,3.8833761515152456e-05,2.05
2535,11.72,1003.95,6.515607366515846e-05,5.57
2536,11.41,1054.53,6.861646825071264e-05,5.56
2537,12.29,1176.27,6.910276276822685e-05,5.81
2538,12.36,1229.72,7.108755003469867e-05,5.83
2539,12.26,1300.23,7.357792026042607e-05,5.72
2540,12.45,1379.43,7.408991233522453e-05,5.77
2541,12.32,1444.17,7.511141111459863e-05,5.61
2542,12.15,1458.42,7.813880338136962e-05,5.28
2543,12.58,1687.19,7.969274462310562e-05,5.67
2544,12.46,1701.1,8.276445236855908e-05,6.15
2545,12.35,1727.4,8.536614588325506e-05,6.2
2546,12.13,1787.06,8.849592918725738e-05,6.17
2547,12.51,1794.78,9.165503449084126e-05,6.17
2548,10.2,1842.82,9.283932774290032e-05,6.14
2549,11.79,1851.76,9.052996239988896e-05,6.0
2550,12.45,1918.51,9.57945197467798e-05,6.06
2551,13.25,2076.98,9.605521455954388e-05,6.12
2552,13.33,2152.74,9.938513056467994e-05,5.88
2553,13.77,2414.8,0.000101920465528,6.0
2554,14.25,2626.33,0.0001051676096014,6.17
2555,23.11,71.04,2.9972563576418508e-05,4.44
2556,35.97,86.94,2.9154126654496687e-05,6.03
2557,42.05,80.17,2.837046590852052e-05,5.74
2558,26.15,79.61,2.762113994569259e-05,5.24
2559,17.06,79.33,2.897512899106532e-05,4.89
2560,19.23,110.29,2.823998337875264e-05,6.4
2561,15.2,95.49,2.950537194471873e-05,5.25
2562,12.63,94.61,2.878719545546141e-05,4.96
2563,7.44,63.19,2.8101675609244328e-05,3.14
2564,6.76,60.79,2.744769384476316e-05,2.99
2565,6.44,66.73,2.8612405623768325e-05,3.06
2566,6.96,68.57,2.7977408242843905e-05,2.95
2567,7.11,72.82,2.908080700950087e-05,3.1
2568,6.74,68.04,2.846388769824261e-05,2.78
2569,7.49,72.92,2.951385757596129e-05,2.97
2570,7.57,78.53,2.891710269909024e-05,3.21
2571,7.41,80.77,2.834525146174887e-05,3.17
2572,7.3,83.07,2.779575064740936e-05,3.12
2573,7.88,85.04,2.933995901670988e-05,3.11
2574,10.43,97.98,2.824728565885307e-05,3.57
2575,11.86,230.51,2.0260031400607702e-05,2.99
2576,10.62,213.97,2.038343858998737e-05,2.68
2577,10.38,214.2,2.066108886716292e-05,2.58
2578,12.34,270.08,2.0851844445498133e-05,3.14
2579,12.03,279.12,2.0623876955483724e-05,3.06
2580,10.92,301.18,2.0891490441048003e-05,3.08
2581,13.1,380.06,2.170027134520065e-05,3.61
2582,13.51,412.41,2.1936384402531868e-05,3.67
2583,13.01,435.14,2.2343961050499072e-05,3.73
2584,13.37,483.71,2.2914230160965537e-05,4.24
2585,14.14,521.39,2.36208729346092e-05,4.45
2586,14.68,551.89,2.403883827355268e-05,4.53
2587,14.47,547.18,2.44414984437342e-05,4.54
2588,14.34,564.02,2.508173889741088e-05,4.53
2589,14.92,594.9,2.637690983504013e-05,4.75
2590,15.24,629.79,2.760618772920073e-05,5.02
2591,15.29,628.71,2.821721329449453e-05,4.99
2592,15.29,632.8,2.827002569679207e-05,4.98
2593,15.29,656.54,2.7009447065575462e-05,5.08
2594,15.29,697.67,2.681155576403488e-05,5.35
2595,12.58,1064.77,9.108378219874524e-05,4.92
2596,12.69,1124.26,9.350280713065368e-05,4.87
2597,12.68,1205.28,9.733519156372624e-05,4.9
2598,14.02,1357.28,0.0001013916769696,5.38
2599,14.07,1440.12,0.0001028368362198,5.46
2600,14.38,1539.98,0.0001051611134154,5.53
2601,14.69,1747.02,0.0001055776508655,5.64
2602,14.58,1875.0,0.0001080031698034,5.73
2603,14.82,2055.95,0.0001098662602631,6.14
2604,14.79,2201.56,0.0001108969302243,6.84
2605,14.75,2156.51,0.0001119211290835,6.79
2606,14.6,2150.61,0.000115004274215,6.74
2607,13.57,2092.51,0.000117615838315,6.6
2608,14.05,2083.46,0.0001173514072373,6.44
2609,14.16,2139.68,0.0001188362966646,6.39
2610,14.83,2271.38,0.000122003560161,6.51
2611,15.09,2390.75,0.0001215316630135,6.41
2612,15.33,2508.73,0.0001213485147317,6.32
2613,15.17,2661.77,0.0001235340543843,6.32
2614,15.34,2813.43,0.0001235225002161,6.45
2615,10.14,94.56,2.431573525321556e-05,2.28
2616,9.52,98.83,2.419138479377312e-05,2.2
2617,10.37,104.79,2.4847613284067977e-05,2.23
2618,10.38,100.91,2.6232048805208825e-05,2.08
2619,11.05,114.83,2.6889285873743768e-05,2.2
2620,10.14,119.7,2.7607836208229344e-05,2.11
2621,9.56,126.61,2.890052743708744e-05,2.03
2622,9.33,130.21,2.95500262439342e-05,1.92
2623,8.73,125.5,3.048676198120083e-05,1.72
2624,7.84,128.55,3.0844099552492346e-05,1.7
2625,7.83,128.15,3.135104605776959e-05,1.56
2626,7.97,142.44,3.241885232376454e-05,1.58
2627,8.06,147.48,3.3377815362863404e-05,1.44
2628,10.1,187.91,3.381675140692449e-05,1.74
2629,9.03,181.5,3.4802183656382355e-05,1.61
2630,8.4,198.21,3.47337346364439e-05,1.71
2631,8.56,205.46,3.5709467056442546e-05,1.67
2632,7.64,188.32,3.645794752019021e-05,1.47
2633,9.49,239.21,3.668106837404694e-05,1.79
2634,9.25,268.96,3.77366722694043e-05,1.93
2635,11.65,239.21,2.5860062581351447e-05,3.04
2636,8.52,160.74,2.7551070147143903e-05,1.99
2637,11.07,222.88,2.7082881951967467e-05,2.63
2638,11.15,209.05,2.6632195046001995e-05,2.29
2639,11.68,259.89,2.823166907644128e-05,2.6
2640,10.64,266.54,2.7797688423652657e-05,2.53
2641,12.23,326.18,2.7349358755213472e-05,2.91
2642,11.44,330.95,2.879493209195181e-05,2.77
2643,10.23,281.97,2.831128827686175e-05,2.25
2644,9.52,315.54,2.9732868757259e-05,2.45
2645,9.47,288.8,2.931159878283586e-05,2.13
2646,8.51,277.68,3.0732574178491174e-05,1.92
2647,6.59,296.89,3.2133848188989874e-05,1.88
2648,7.03,340.2,3.351880404907153e-05,2.02
2649,6.9,346.81,3.662933381707311e-05,2.01
2650,10.86,544.56,3.795505086839432e-05,3.39
2651,13.71,558.81,3.926093843884853e-05,3.93
2652,11.39,566.68,4.054608823166683e-05,3.46
2653,17.45,896.87,4.054608823166683e-05,5.26
2654,15.73,1210.01,4.140286143455946e-05,7.01
2655,11.67,1836.21,0.0001173297365661,6.19
2656,12.36,1946.13,0.0001181219284523,6.49
2657,12.64,2100.3,0.0001201674079409,6.78
2658,12.85,2201.74,0.0001200627938444,6.91
2659,12.85,2278.78,0.0001200703284963,6.72
2660,12.83,2301.6,0.0001209761542558,6.71
2661,13.01,2507.81,0.0001227736054715,6.63
2662,13.39,2705.96,0.000124237522655,6.6
2663,13.54,2866.34,0.0001249255283548,6.77
2664,13.85,2930.37,0.0001259430412937,7.24
2665,13.62,2911.55,0.0001270655732194,6.86
2666,17.72,3939.59,0.0001285108323188,8.8
2667,17.77,4123.26,0.0001293966863024,9.04
2668,17.76,4263.04,0.0001289555271205,9.16
2669,18.15,4363.76,0.0001283961914602,9.2
2670,18.39,4477.98,0.000129466512749,9.07
2671,18.39,4645.33,0.0001312862277475,9.14
2672,18.55,4790.76,0.0001328738936425,9.14
2673,18.61,5152.4,0.0001350503701968,9.28
2674,18.8,5282.08,0.0001363457876575,9.22
2675,7.84,960.45,8.930881308725016e-05,2.6
2676,8.7,1076.22,8.972489880987307e-05,2.83
2677,8.84,1204.15,9.196174228516372e-05,3.09
2678,9.31,1236.13,9.394843823544856e-05,3.17
2679,9.31,1272.18,9.381458560460144e-05,3.15
2680,9.39,1300.62,9.546864422508168e-05,3.11
2681,9.34,1359.68,9.715662045945644e-05,2.92
2682,9.56,1479.06,9.91440913099873e-05,2.88
2683,9.78,1632.59,0.0001012989479682,3.0
2684,9.97,1737.81,0.0001041493111877,3.24
2685,10.02,1775.21,0.0001063824484438,3.22
2686,10.29,1924.07,0.0001082466258662,3.3
2687,10.67,2083.61,0.000111421296855,3.46
2688,10.29,2147.87,0.0001136826153467,3.43
2689,10.35,2197.5,0.0001151663548716,3.41
2690,10.54,2324.83,0.0001178256886502,3.5
2691,10.52,2398.62,0.0001186731332067,3.5
2692,10.89,2521.22,0.0001200497293377,3.62
2693,10.92,2637.39,0.0001225102955269,3.55
2694,11.08,2739.74,0.0001249015931734,3.63
2695,5.65,51.47,1.3903018733923117e-05,1.55
2696,6.65,63.27,1.356227720702372e-05,1.86
2697,7.21,78.09,1.3815174240561375e-05,2.05
2698,7.51,89.26,1.3265330544942037e-05,2.45
2699,6.82,83.46,1.328788618953047e-05,2.14
2700,7.34,86.08,1.357563324672582e-05,2.07
2701,6.74,78.06,1.3766200644548006e-05,1.77
2702,6.85,79.97,1.3861960836836816e-05,1.76
2703,6.84,73.08,1.444323938224952e-05,1.57
2704,5.95,77.23,1.4933618000257132e-05,1.59
2705,5.12,74.69,1.581215698093216e-05,1.47
2706,3.74,82.71,1.6431481830999987e-05,1.5
2707,4.47,72.27,1.6732690519878925e-05,1.61
2708,4.62,9.39,2.504134631266978e-05,0.89
2709,4.76,9.91,2.508240912280348e-05,0.88
2710,4.21,10.23,2.5108450683050603e-05,0.81
2711,4.03,10.91,2.542689782102144e-05,0.77
2712,4.41,14.11,2.6314085825484085e-05,0.89
2713,4.3,16.84,2.70000943535906e-05,0.99
2714,4.27,17.14,2.73615068529054e-05,0.94
2715,3.85,21.5,2.7696924426115487e-05,1.08
2716,5.04,29.35,2.8286644654850243e-05,1.37
2717,3.79,23.94,2.8302612072560825e-05,1.08
2718,4.52,27.48,2.964945925129239e-05,1.18
2719,4.83,32.59,3.0155233899727293e-05,1.31
2720,6.55,44.23,2.9993364129095043e-05,1.61
2721,6.83,57.93,2.9203388452727363e-05,1.9
2722,7.28,69.56,2.931126476617063e-05,2.08
2723,6.41,61.17,2.9419096142826906e-05,2.04
2724,5.14,61.98,2.9648493700475312e-05,2.0
2725,5.88,64.67,2.8576303749577112e-05,2.1
2726,6.14,64.88,2.656887745311921e-05,1.96
2727,6.58,68.5,2.482816791118335e-05,1.94
2728,6.05,7.99,1.168719143144958e-05,0.75
2729,8.8,12.36,1.1513789006287109e-05,1.09
2730,9.79,16.0,1.1615713533781547e-05,1.33
2731,9.71,18.97,1.1768351113672768e-05,1.49
2732,11.55,26.96,1.1922151433058823e-05,1.97
2733,12.62,34.1,1.2152319234383768e-05,2.31
2734,13.51,40.64,1.2393522014939846e-05,2.38
2735,10.88,34.85,1.2619266028956163e-05,1.94
2736,12.38,42.24,1.2931090220216467e-05,2.26
2737,7.47,28.72,1.3155159848347316e-05,1.48
2738,7.26,29.26,1.336742153132598e-05,1.45
2739,6.82,27.61,1.3568324232418843e-05,1.29
2740,6.03,23.97,1.3829705546991688e-05,1.18
2741,6.29,25.26,1.403659682709927e-05,1.19
2742,6.94,26.13,1.406218266267539e-05,1.2
2743,7.33,28.66,1.4157842117642e-05,1.26
2744,9.52,38.75,1.4319224436711117e-05,1.61
2745,9.52,38.73,1.462617794166175e-05,1.58
2746,9.41,39.56,1.5254810231417986e-05,1.56
2747,9.55,40.62,1.5308240974289544e-05,1.56
2748,12.67,124.99,2.9804082018766007e-05,1.71
2749,10.58,127.34,2.8342384728251035e-05,1.66
2750,10.28,169.83,2.922509245756523e-05,2.08
2751,13.77,181.31,2.959383488092982e-05,2.05
2752,12.99,193.38,3.2077034047686475e-05,2.01
2753,13.14,206.47,3.400000747252911e-05,2.01
2754,14.8,245.89,3.537552355156403e-05,2.23
2755,14.59,286.54,3.692219075269296e-05,2.41
2756,15.28,319.25,3.843979656420551e-05,2.61
2757,14.38,322.68,3.950566388380985e-05,2.65
2758,14.36,330.01,4.1485609317474894e-05,2.5
2759,14.04,368.68,4.231105468704568e-05,2.73
2760,14.39,398.58,4.309067099940308e-05,2.68
2761,13.74,404.1,4.44044993396406e-05,2.62
2762,14.45,431.67,4.639285177759706e-05,2.79
2763,14.79,434.91,4.875310090861335e-05,2.75
2764,15.06,473.79,5.177309176337017e-05,2.85
2765,14.48,481.88,5.403395322527707e-05,2.77
2766,14.15,498.64,5.69146001662046e-05,2.69
2767,13.87,524.05,5.890552892316306e-05,2.72
2768,2.44,3.82,1.0216685891397832e-05,0.29
2769,2.99,4.27,1.032219866726782e-05,0.33
2770,4.05,4.61,1.0420746151950015e-05,0.34
2771,4.24,5.39,1.069131518660769e-05,0.38
2772,4.21,6.3,1.0756146330917144e-05,0.44
2773,3.8,6.85,1.0849562762620666e-05,0.5
2774,3.83,7.9,1.1081934366987974e-05,0.56
2775,4.34,8.61,1.1088351488164344e-05,0.62
2776,4.84,8.75,1.1414152391473915e-05,0.61
2777,4.78,10.45,1.1553459418005411e-05,0.71
2778,7.45,17.79,1.168926768863252e-05,1.15
2779,5.67,17.49,1.1665694279365026e-05,1.07
2780,6.11,20.01,1.1779833757814376e-05,1.21
2781,5.02,17.07,1.1881071314802684e-05,0.99
2782,5.07,18.53,1.1970551355433693e-05,1.03
2783,4.15,17.78,1.2314100121313747e-05,0.94
2784,4.26,19.19,1.2376019039473958e-05,0.98
2785,6.45,21.09,1.2554841115346976e-05,1.05
2786,5.49,21.5,1.3182583171114325e-05,1.02
2787,5.38,18.93,1.3228533159463531e-05,0.86
2788,6.79,231.88,3.3552355654969945e-05,1.57
2789,7.02,273.05,3.5226687738630786e-05,1.74
2790,8.05,336.32,3.612009208215475e-05,1.97
2791,8.56,377.31,3.86340916883581e-05,1.9
2792,8.27,406.08,3.873066694208474e-05,1.86
2793,8.03,509.98,3.962189392652969e-05,2.15
2794,5.9,514.63,3.969028616696326e-05,1.86
2795,7.45,567.67,4.136887162752442e-05,1.92
2796,6.55,541.62,4.385526787041256e-05,1.75
2797,7.05,780.72,4.3091077463935614e-05,2.61
2798,8.04,759.23,4.39492109895816e-05,2.45
2799,8.01,737.58,4.399167416833333e-05,2.35
2800,7.66,715.6,4.40319215122845e-05,2.38
2801,7.89,778.85,4.6522067375380034e-05,2.59
2802,7.47,776.62,4.90229721647564e-05,2.62
2803,8.31,857.28,5.0721430540682266e-05,3.13
2804,10.17,903.68,5.407712873388235e-05,3.42
2805,11.17,963.5,5.581969581549292e-05,3.66
2806,10.67,869.92,5.746145157477213e-05,3.25
2807,10.24,843.69,6.021110177243338e-05,3.23
2808,10.54,158.97,2.618851142607909e-05,2.66
2809,10.58,167.29,2.7368550309743307e-05,2.66
2810,10.99,178.49,2.852664218455996e-05,2.78
2811,11.41,190.89,2.9862468553954296e-05,2.81
2812,11.55,205.11,3.0866435988811825e-05,2.79
2813,11.35,213.54,3.175901499115391e-05,2.74
2814,11.73,235.23,3.253568813919895e-05,2.81
2815,11.85,262.93,3.338928568176368e-05,2.9
2816,11.84,280.47,3.42192334193758e-05,2.94
2817,12.08,305.79,3.502693859470579e-05,3.12
2818,13.03,333.16,3.591434940728497e-05,3.28
2819,12.39,365.32,3.650326563106526e-05,3.63
2820,12.64,384.5,3.736175684111471e-05,3.76
2821,12.5,414.55,3.820642785311345e-05,4.05
2822,13.54,413.39,3.9131353439229966e-05,3.96
2823,12.29,364.99,3.9955695385388994e-05,3.58
2824,12.52,374.43,4.077384812082854e-05,3.61
2825,12.56,405.34,4.158751384320991e-05,3.84
2826,12.57,426.56,4.247803876490605e-05,3.83
2827,12.58,450.88,4.250829065048115e-05,3.98
2828,7.19,273.27,2.3630129743225e-05,2.84
2829,7.46,305.19,2.569991180749264e-05,3.29
2830,8.64,333.02,2.8209946481701533e-05,3.54
2831,9.29,345.98,2.840593705629898e-05,3.57
2832,10.19,386.22,2.841641240377658e-05,3.52
2833,10.32,397.98,2.840087862191011e-05,3.32
2834,10.41,486.46,3.015213276899609e-05,3.54
2835,10.77,539.24,3.225985931919392e-05,3.6
2836,11.09,613.78,3.491048876795265e-05,3.79
2837,11.67,690.39,3.7197847238063096e-05,4.42
2838,10.92,687.47,3.8776866829160205e-05,3.92
2839,11.12,728.97,3.999464267255499e-05,3.68
2840,10.3,730.93,4.071500718801069e-05,3.52
2841,10.09,768.46,4.1898772565481794e-05,3.42
2842,10.15,808.61,4.24776504093537e-05,3.36
2843,9.69,828.4,4.226697566798787e-05,3.22
2844,9.65,891.07,4.314982241791894e-05,3.36
2845,9.73,906.67,4.4154017567057385e-05,3.25
2846,9.22,891.76,4.44150733011276e-05,3.19
2847,9.46,924.69,4.465450028938164e-05,3.38
2848,13.34,81.45,1.2541372276954544e-05,3.21
2849,13.36,86.95,1.2599604372422706e-05,2.82
2850,13.47,87.37,1.332558376606316e-05,2.43
2851,14.0,114.95,1.4047009194206488e-05,2.71
2852,12.82,122.43,1.4972427948445374e-05,2.42
2853,10.27,117.79,1.5865681993844544e-05,2.02
2854,10.34,101.79,1.610335301473838e-05,1.55
2855,10.32,102.94,1.612824848059332e-05,1.39
2856,8.71,81.02,1.573716613394979e-05,0.95
2857,8.71,105.29,1.494405090639763e-05,1.17
2858,8.71,117.89,1.4774588355681416e-05,1.2
2859,8.7,143.66,1.5607794532589574e-05,1.27
2860,8.71,153.91,1.6024284110161613e-05,1.28
2861,8.71,187.24,1.6624160968816986e-05,1.47
2862,8.71,199.98,1.7401583892165864e-05,1.48
2863,8.71,206.48,1.7968345891423022e-05,1.51
2864,8.71,170.57,1.852090887769529e-05,1.23
2865,8.71,219.93,1.868712832469708e-05,1.55
2866,8.71,182.02,1.962148474093193e-05,1.2
2867,8.71,191.41,1.974321751925375e-05,1.18
2868,8.25,12.08,9.934954434041129e-06,1.26
2869,8.25,13.15,9.882542739364704e-06,1.34
2870,8.67,15.98,9.854893563223264e-06,1.45
2871,8.87,16.63,9.687727685345036e-06,1.46
2872,8.72,15.15,9.583728371434469e-06,1.36
2873,6.9,12.88,9.432828156921124e-06,1.0
2874,6.9,13.81,9.34723306836039e-06,0.94
2875,6.9,14.48,9.153209191143791e-06,0.91
2876,6.9,16.81,9.0538208845634e-06,0.89
2877,6.9,16.51,9.020821353198584e-06,0.81
2878,6.9,22.07,9.04227298550284e-06,1.06
2879,6.9,21.99,9.04304164236891e-06,0.91
2880,7.05,20.67,9.059674879768358e-06,0.92
2881,7.32,21.91,9.117468822828807e-06,0.97
2882,7.01,21.67,9.082149652444297e-06,0.95
2883,5.08,17.18,9.013229618433937e-06,0.77
2884,4.88,16.92,8.962712218181888e-06,0.78
2885,4.13,13.93,8.90561798088099e-06,0.64
2886,4.17,15.46,9.34856756631748e-06,0.68
2887,3.15,13.96,9.056962167179446e-06,0.58
2888,7.08,107.4,5.881005665844931e-05,2.51
2889,7.63,130.01,5.926866711508825e-05,2.8
2890,8.11,154.18,6.126081584257968e-05,3.07
2891,9.39,206.2,6.281064415944924e-05,3.65
2892,8.18,222.9,6.49820269944726e-05,3.4
2893,8.43,260.88,6.83568919718344e-05,3.73
2894,8.7,303.0,6.859667420672386e-05,3.88
2895,8.16,310.25,7.174967079816908e-05,3.56
2896,6.78,292.11,7.381351353889857e-05,3.19
2897,7.91,301.3,7.153110883328013e-05,3.85
2898,7.5,304.49,7.257418795076476e-05,3.69
2899,7.49,305.62,7.20288253554227e-05,3.42
2900,7.64,350.56,7.346045611385403e-05,3.74
2901,6.94,358.6,7.394577244211567e-05,3.34
2902,7.71,353.39,7.093926018886009e-05,3.45
2903,8.55,356.86,7.928012465226042e-05,3.68
2904,8.97,387.17,7.995626374076753e-05,3.64
2905,8.46,397.65,8.029959853884198e-05,3.51
2906,8.37,421.49,8.255572258035761e-05,3.49
2907,7.67,406.32,8.367508046901352e-05,3.18
2908,7.57,1600.55,8.38692422600338e-06,1.63
2909,7.58,1850.52,8.5613228365611e-06,1.91
2910,7.8,1589.97,8.431470971288593e-06,1.66
2911,8.09,1609.2,8.843154594420773e-06,1.62
2912,7.94,1432.32,9.467882001530726e-06,1.41
2913,8.38,1288.1,9.543381029030964e-06,1.32
2914,8.53,1274.97,9.376654100387396e-06,1.33
2915,8.53,1311.22,8.775855865343267e-06,1.51
2916,8.53,1492.24,8.655387686715646e-06,1.87
2917,8.53,2034.19,8.752751646298805e-06,2.98
2918,8.53,1783.11,9.044148104557588e-06,2.75
2919,8.53,1799.04,9.322806848533911e-06,2.66
2920,8.53,1717.06,9.78488863197284e-06,2.48
2921,8.53,1819.84,1.0047548653884236e-05,2.59
2922,7.78,1896.86,9.593510523103927e-06,2.58
2923,7.89,1657.17,1.0381053884590364e-05,2.55
2924,7.89,1599.2,1.1134576199472222e-05,2.5
2925,7.36,1494.92,1.218613497791263e-05,2.23
2926,7.4,1466.78,1.3503554975524806e-05,2.14
2927,7.4,1567.03,1.4159626185868694e-05,2.24
2928,15.61,1461.12,8.823136326350397e-05,5.52
2929,15.91,1608.43,9.015620248399284e-05,5.79
2930,16.36,1787.59,9.345399244851474e-05,6.15
2931,16.43,1931.44,9.601558715437146e-05,6.37
2932,16.79,2152.88,9.61631981611175e-05,6.73
2933,16.61,2244.56,9.729307358623162e-05,6.86
2934,17.31,2457.15,9.850968681873994e-05,7.06
2935,17.23,2517.78,0.0001004093763745,7.06
2936,16.65,2717.33,0.0001024778318889,7.39
2937,17.32,2875.8,0.0001025052112326,8.18
2938,17.09,2958.15,0.0001034508509337,8.08
2939,17.62,3009.08,0.0001040537583439,8.07
2940,17.65,3094.01,0.0001068882404853,8.05
2941,18.15,3193.66,0.0001092978475343,7.97
2942,18.48,3300.08,0.0001104278532586,7.96
2943,18.74,3385.6,0.000113296945161,7.92
2944,19.09,3512.15,0.000114076535391,7.93
2945,18.94,3597.16,0.0001153012688759,7.81
2946,19.15,3834.3,0.0001195779763583,7.86
2947,19.68,4042.84,0.0001208193981977,8.07
2948,16.16,2017.0,6.819245772847287e-05,5.54
2949,16.76,2219.07,7.044299686186656e-05,5.97
2950,17.22,2406.65,7.264321195587396e-05,6.32
2951,17.51,2578.61,7.426812588665712e-05,6.52
2952,17.93,2761.53,7.480743756141703e-05,6.61
2953,17.94,2929.73,7.693916310315434e-05,6.63
2954,18.57,3159.01,7.784168813801852e-05,6.81
2955,18.5,3328.43,7.860271750733099e-05,6.92
2956,18.21,3515.6,8.006246297985832e-05,7.25
2957,18.2,3714.85,8.064974246804368e-05,7.88
2958,18.4,3854.5,8.209689848693362e-05,7.94
2959,18.85,3954.63,8.398301891198695e-05,7.93
2960,19.64,4074.73,8.533126360597296e-05,7.9
2961,20.37,4215.4,8.693947580071854e-05,7.95
2962,21.48,4531.42,8.823800561538368e-05,8.24
2963,22.31,4804.29,9.020979670016716e-05,8.45
2964,22.4,4965.94,9.146334264340057e-05,8.56
2965,22.41,5117.24,9.146954543823268e-05,8.51
2966,22.4,5338.82,9.531861706775515e-05,8.47
2967,22.35,5552.6,9.646071961140252e-05,8.52
2968,14.34,426.33,7.764474300055936e-05,3.83
2969,15.75,480.84,7.86087854292736e-05,4.4
2970,16.74,475.26,8.082443390504794e-05,4.64
2971,18.08,529.96,8.367549535431804e-05,5.04
2972,16.25,493.06,8.500935256324681e-05,4.34
2973,13.28,440.84,8.545409047903603e-05,3.5
2974,13.71,497.64,8.559270040995847e-05,3.69
2975,13.54,535.22,8.966481827015217e-05,3.64
2976,17.33,733.9,8.793891866167311e-05,4.58
2977,17.27,792.41,8.804513983238027e-05,4.72
2978,17.25,867.21,9.027359563972474e-05,4.75
2979,18.49,955.95,9.52083021639487e-05,4.89
2980,18.64,1023.93,9.679380326674563e-05,5.18
