,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,Prevalence of anaemia in children aged 6–59 months (%),per_capita-Nutritional Deficiencies,Stillbirth rate (per 1000 total births),per_capita-Tuberculosis,Mean hemoglobin level of children aged 6-59 months,per_capita-Diarrheal Diseases
33,2.33726,0.0001379866753728,25.5,1.650558317856598e-06,3.93789,3.631228299284516e-06,117.0,2.310781644999237e-06
34,2.25042,0.0001415128180994,26.9,1.6454978848770189e-06,3.91596,3.620095346729441e-06,117.0,2.303697038827826e-06
35,2.16659,0.0001443575710788,28.4,1.6404269440781736e-06,3.95123,3.6089392769719818e-06,116.0,2.296597721709443e-06
36,2.08356,0.0001469822541894,29.6,1.6404269440781736e-06,4.01768,3.6089392769719818e-06,116.0,2.296597721709443e-06
37,6.38065,0.0001937939404838,39.9,1.0121847323895305e-05,17.18014,2.0539462913748584e-05,112.0,4.098033640551117e-05
38,6.08547,0.0001876965145259,39.3,9.166197344406877e-06,16.9325,1.9466023335648527e-05,113.0,3.715063022627098e-05
39,5.79904,0.0001819082998216,38.8,8.079845480140826e-06,16.66241,1.868264666356673e-05,113.0,3.3213594068563075e-05
40,6.37498,0.000175987470549,38.3,7.025636579383266e-06,16.27066,1.783188477099071e-05,113.0,2.989833683333955e-05
41,5.29619,0.0001725560555296,37.9,6.250453624339527e-06,15.80071,1.722761844718457e-05,113.0,2.733407331241017e-05
42,5.08933,0.0001686694059986,37.4,5.620266077523555e-06,15.23205,1.6584391704167866e-05,113.0,2.48765875562518e-05
43,4.90858,0.0001645365010103,36.9,5.0668625610799664e-06,14.65672,1.5898419053927557e-05,113.0,2.3119456715825955e-05
44,4.74624,0.0001608081254232,36.3,4.585953996227289e-06,14.02792,1.537643398735032e-05,114.0,2.1580959982246064e-05
45,4.5879,0.0001573009246048,35.8,4.175344572531776e-06,13.3937,1.5013473037401493e-05,114.0,2.0225250659852504e-05
46,4.4312,0.0001546015253939,35.2,3.862112292202266e-06,12.67705,1.47462469338632e-05,114.0,1.901797719645056e-05
47,4.27568,0.0001524886353464,34.7,3.643073199402397e-06,12.05193,1.4427726400807908e-05,114.0,1.795514648276896e-05
48,4.12504,0.0001519362687218,34.3,3.514794254803038e-06,11.52037,1.4116328145306509e-05,114.0,1.7202488954401858e-05
49,3.98061,0.0001514419579067,34.1,3.389226958001604e-06,11.08387,1.3811099853856534e-05,114.0,1.6578968536224508e-05
50,3.84461,0.000151651679989,33.9,3.2943479820890208e-06,10.60772,1.3596164976926722e-05,114.0,1.610880326835055e-05
51,3.72176,0.0001529904991878,33.9,3.2844794160846973e-06,10.12543,1.3331122335873184e-05,114.0,1.581518239845825e-05
52,3.61643,0.0001537653012031,33.9,3.220501516146612e-06,9.6653,1.3018467993236728e-05,114.0,1.550207509467183e-05
53,3.53372,0.0001502771610784,34.0,3.1313365699835907e-06,9.44072,1.2633323403037246e-05,114.0,1.5089802953627822e-05
54,3.4667,0.000149691371378,34.0,3.044570265316672e-06,9.39877,1.2338521601546514e-05,114.0,1.458188916546406e-05
55,3.40788,0.0001523353402926,34.1,3.044570265316672e-06,9.45524,1.2098160791126777e-05,114.0,1.431482159833102e-05
56,3.34704,0.0001513894970749,34.3,2.9827864961196563e-06,9.46678,1.1643333252396903e-05,114.0,1.3788846346097008e-05
57,43.17231,0.001743110310568,72.8,0.0007354227107553,30.03642,0.0014125761620222,99.0,0.0026919767093275
58,41.93447,0.0016851092901429,71.5,0.0006927235560629,29.53175,0.001392140465011,100.0,0.0024627691862652
59,40.53535,0.001605997800208,70.3,0.0006389871978091,28.81978,0.0013444919153903,101.0,0.0022324895809171
