,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude","Prevalence of hypertension among adults aged 30-79 years, crude","Mean total cholesterol,  age-standardized",per_capita-Neoplasms
82,1.2,37.746,45.9,47.6,4.9,0.0018059909252535
83,1.2,37.746,46.5,48.0,4.9,0.0018084570794805
84,1.2,37.746,47.1,48.4,4.9,0.0018351354007569
85,1.2,37.746,47.7,48.9,4.8,0.001802134281903
86,1.2,37.746,48.2,49.3,4.8,0.0017968359848406
87,1.2,37.746,48.8,49.8,4.8,0.0018021343292246
88,1.2,37.746,49.3,50.2,4.8,0.0018025973259868
89,1.2,37.746,49.9,50.6,4.8,0.001800486039034
90,1.2,39.385,50.4,51.1,4.8,0.0017975179167435
91,1.2,37.746,50.9,51.6,4.7,0.0017857783689878
92,1.2,39.9,51.4,52.2,4.7,0.0018048490086362
93,1.2,40.013,51.9,52.7,4.7,0.0018548443321483
94,1.2,39.901,52.3,53.3,4.7,0.0018797942769205
95,1.2,37.746,52.7,54.0,4.6,0.0018918904742016
96,1.2,40.685,53.2,54.6,4.810526315789474,0.0018934663467016
97,1.1,27.007,27.6,43.6,4.5,0.0015434391347275
98,1.1,26.187,28.3,44.1,4.5,0.0016058977602647
99,1.1,25.633,29.1,44.6,4.5,0.0016417713345663
100,1.1,24.563,29.9,45.1,4.5,0.0016943664148992
101,1.1,24.604,30.6,45.6,4.5,0.001705913029525
102,1.1,25.643,31.3,46.1,4.5,0.0017593593357345
103,1.1,25.897,31.9,46.5,4.5,0.0018173131584358
104,1.1,26.724,32.6,46.9,4.5,0.0018262581394174
105,1.1,27.432,33.1,47.3,4.5,0.0018877674421424
106,1.1,27.679,33.7,47.7,4.5,0.0018992222457401
107,1.1,28.419,34.2,48.1,4.5,0.0019118228988655
108,1.1,28.677,34.7,48.3,4.5,0.0019194905617466
109,1.1,28.968,35.1,48.5,4.5,0.0019094460687528
110,1.1,29.031,35.5,48.8,4.5,0.001873118811748
111,1.1,28.928,35.7,48.9,4.5,0.0018840123823793
112,1.1,29.143,36.0,49.0,4.4,0.0019330089086643
113,1.1,28.150470588235294,36.1,49.1,4.4,0.0019112515653933
114,1.1,44.023,36.2,49.1,4.4,0.0019213007700223
115,1.1,28.150470588235294,36.3,49.2,4.4,0.0019323158717268
116,1.1,28.150470588235294,36.5,49.3,4.478947368421053,0.0019383302650302
117,1.4,24.944,53.7,35.9,5.2,0.0019424048030602
118,1.4,25.732,54.8,35.7,5.2,0.0019428061906092
119,1.4,25.717,55.8,35.6,5.2,0.0019502493429976
120,1.4,26.406,56.8,35.5,5.1,0.0019178369102533
121,1.4,27.146,57.8,35.4,5.1,0.001953380922383
122,1.4,27.794,58.6,35.5,5.1,0.001962402185095
123,1.4,28.338,59.3,35.5,5.0,0.0019788699289078
124,1.4,29.954,60.0,35.6,5.0,0.0020195064739486
125,1.4,30.056,60.5,35.7,5.0,0.0020492390505971
126,1.4,31.085,61.0,35.8,4.9,0.0020469236181396
127,1.4,33.429,61.4,35.8,4.9,0.0020454779321235
128,1.4,32.878,61.7,35.9,4.9,0.0020628747235687
129,1.4,32.858,61.8,35.9,4.8,0.0020615858517624
