,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Medical doctors (per 10,000)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)","Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)"
459,29.04506,88.4,16.0,0.5790769230769232,1.0,13.6
460,28.48042,88.4,16.0,0.5790769230769232,1.0,13.4
461,27.8577,88.3,15.0,0.543,1.1,13.2
462,27.16646,88.1,14.0,0.5790769230769232,1.2,13.0
463,26.36028,88.0,11.0,0.5790769230769232,1.3,12.8
464,25.67214,87.7,11.0,0.5790769230769232,1.4,12.6
465,24.93167,87.4,11.0,0.322,1.5,12.4
466,24.25791,87.1,11.0,0.446,1.6,12.2
467,23.6573,86.6,10.0,0.457,1.7,12.0
468,23.00151,86.2,9.4,0.386,1.8,11.8
469,22.1607,85.6,9.6,0.475,2.0,11.6
470,21.51443,84.9,9.3,0.47,2.1,11.4
471,20.97855,84.0,9.2,0.487,2.2,11.2
472,20.18782,82.9,9.0,0.657,2.4,11.0
473,19.49313,81.6,8.7,0.645,2.6,10.8
474,19.52317,80.1,8.7,0.847,1.5647058823529412,12.394117647058822
475,19.63341,78.4,7.8,0.853,1.5647058823529412,12.394117647058822
476,19.47057,76.6,9.7,0.94,1.5647058823529412,12.394117647058822
477,30.41376,67.7,48.0,0.5967777777777777,0.8,17.0
478,30.24515,65.8,48.0,0.5967777777777777,0.9,16.9
479,29.88697,63.8,46.0,0.5967777777777777,0.9,16.7
480,29.59761,62.0,41.0,0.5967777777777777,1.0,16.6
481,29.17995,60.3,37.0,0.28,1.1,16.4
482,28.73194,58.6,34.0,0.5967777777777777,1.1,16.2
483,28.14876,57.0,32.0,0.5967777777777777,1.2,16.1
484,27.56038,55.5,29.0,0.5967777777777777,1.3,15.9
485,27.07139,54.2,25.0,0.5967777777777777,1.3,15.8
486,26.8679,53.1,22.0,0.5967777777777777,1.4,15.6
487,26.65565,52.4,21.0,0.482,1.5,15.4
488,26.43936,52.0,23.0,0.399,1.6,15.3
489,26.27189,52.0,22.0,0.539,1.7,15.1
490,26.05968,52.3,20.0,0.581,1.8,14.9
491,25.86676,52.9,21.0,0.619,1.9,14.7
492,25.82037,53.7,22.0,0.5,2.0,14.6
493,25.76216,54.7,19.0,0.5967777777777777,2.1,14.4
494,25.75904,55.9,18.0,1.001,1.3882352941176472,15.741176470588236
495,25.85706,56.9,19.0,0.97,1.3882352941176472,15.741176470588236
496,26.10891,58.0,21.0,0.5967777777777777,1.3882352941176472,15.741176470588236
497,25.53195,65.9,42.0,1.684,0.9,17.7
498,24.6972,64.8,41.0,2.092714285714286,0.9,17.5
499,23.75993,63.6,40.0,2.092714285714286,1.0,17.2
500,22.78055,62.4,38.0,2.092714285714286,1.1,16.9
501,21.61387,61.3,35.0,2.092714285714286,1.2,16.6
502,20.64061,60.3,32.0,2.092714285714286,1.3,16.3
503,19.71746,59.3,30.0,2.092714285714286,1.4,16.0
504,18.84201,58.3,28.0,2.092714285714286,1.5,15.7
505,18.06154,57.2,27.0,2.444,1.6,15.4
506,17.28788,56.2,27.0,2.378,1.7,15.1
507,16.52108,55.3,25.0,2.302,1.8,14.8
508,15.87854,54.3,25.0,2.263,1.9,14.5
509,15.21329,53.5,24.0,1.651,2.1,14.2
510,14.63409,52.8,23.0,2.092714285714286,2.2,13.9
511,14.13394,52.2,22.0,1.927,2.4,13.6
512,13.73876,51.6,21.0,2.092714285714286,2.5,13.3
513,13.37965,50.9,20.0,2.092714285714286,2.7,13.0
514,13.04649,50.3,19.0,2.092714285714286,1.6588235294117646,15.394117647058822
515,12.70925,49.6,18.0,2.092714285714286,1.6588235294117646,15.394117647058822
516,12.44862,49.0,17.0,2.092714285714286,1.6588235294117646,15.394117647058822
517,23.9287,70.7,62.0,0.9715714285714286,2.6,10.3
518,23.49496,70.0,60.0,0.9715714285714286,2.8,10.1
519,23.11121,69.3,64.0,0.9715714285714286,2.9,9.9
520,22.79769,68.6,58.0,0.9715714285714286,3.1,9.7
521,22.62016,67.9,56.0,1.81,3.3,9.5
522,22.45789,67.2,49.0,0.592,3.5,9.3
523,22.17204,66.5,43.0,0.9715714285714286,3.7,9.2
524,22.01547,65.8,40.0,0.704,3.9,9.0
525,21.84137,65.1,42.0,0.9715714285714286,4.1,8.8
526,21.79073,64.6,40.0,0.68,4.3,8.6
527,21.71226,64.0,42.0,0.842,4.5,8.4
528,21.48728,63.6,38.0,0.881,4.8,8.3
529,21.28711,63.3,36.0,0.9715714285714286,5.0,8.1
530,21.104,62.9,34.0,0.9715714285714286,5.3,7.9
531,20.80526,62.6,31.0,0.9715714285714286,5.5,7.7
532,20.55439,62.1,30.0,0.9715714285714286,5.8,7.6
533,20.17891,61.5,29.0,0.9715714285714286,6.1,7.4
534,19.91382,60.8,30.0,0.9715714285714286,4.188235294117647,8.811764705882354
535,19.62296,60.0,31.0,1.292,4.188235294117647,8.811764705882354
536,19.38835,59.2,29.0,0.9715714285714286,4.188235294117647,8.811764705882354
537,3.225,10.7,0.46,24.338,19.9,0.7
538,3.20937,10.5,0.48,24.338,20.5,0.7
539,3.13156,10.4,0.47,24.338,21.1,0.7
540,3.04396,10.4,0.42,24.338,21.7,0.7
541,2.96439,10.3,0.32,24.338,22.3,0.6
542,2.9716,10.3,0.4,24.338,22.9,0.6
543,3.03784,10.3,0.39,24.338,23.5,0.6
544,3.09983,10.3,0.39,24.338,24.1,0.6
545,3.06818,10.3,0.4,24.338,24.7,0.6
546,2.99287,10.4,0.25,24.338,25.2,0.6
547,2.92952,10.4,0.27,24.338,25.8,0.6
548,2.9156,10.5,0.29,24.338,26.4,0.5
549,2.88679,10.7,0.27,24.338,27.0,0.5
550,2.87091,10.9,0.3,24.338,27.6,0.5
551,2.88247,11.2,0.3,24.338,28.2,0.5
552,2.83795,11.5,0.35,24.338,28.8,0.5
553,2.81018,11.8,0.28,24.338,29.5,0.5
554,2.81198,12.2,0.28,24.338,24.65882352941176,0.5882352941176471
555,2.79535,12.7,0.27,24.251,24.65882352941176,0.5882352941176471
556,2.76662,13.2,0.21,24.425,24.65882352941176,0.5882352941176471
557,15.76439,58.4,6.3,6.488875,2.9,12.3
558,15.37339,56.3,6.3,6.488875,3.0,12.0
559,15.02639,54.6,6.3,6.488875,3.2,11.8
560,14.8587,53.4,6.3,6.488875,3.4,11.6
561,14.69733,52.5,6.3,6.488875,3.6,11.3
562,14.54563,52.0,6.3,6.488875,3.9,11.1
563,14.53705,51.7,6.3,6.488875,4.1,10.8
564,14.54226,51.4,6.3,6.488875,4.3,10.6
565,14.5139,51.2,6.3,6.488875,4.6,10.4
566,14.41197,50.9,6.3,5.157,4.8,10.1
567,14.27492,50.5,6.3,5.928,5.1,9.9
568,14.0082,50.1,6.3,5.853,5.4,9.7
569,13.69129,49.6,4.3,5.146,5.6,9.5
570,13.34303,49.0,4.3,6.019,5.9,9.3
571,12.94971,48.3,4.3,6.488875,6.2,9.0
572,12.49405,47.6,4.3,7.814,6.6,8.8
573,12.06039,46.7,4.3,7.682,6.9,8.6
574,11.64588,45.8,4.3,6.488875,4.676470588235294,10.4
575,11.25659,44.9,4.3,8.312,4.676470588235294,10.4
576,10.93543,44.1,4.3,6.488875,4.676470588235294,10.4
577,34.70148,79.1,30.0,0.281,1.3,15.9
578,34.12667,78.9,32.0,0.4212727272727273,1.4,15.8
579,33.74468,78.6,33.0,0.4212727272727273,1.5,15.6
580,33.2126,78.2,36.0,0.4212727272727273,1.6,15.4
581,32.67717,77.8,35.0,0.354,1.7,15.3
582,31.99278,77.3,31.0,0.4212727272727273,1.8,15.1
583,31.45125,76.9,32.0,0.352,1.8,15.0
584,31.07724,76.4,33.0,0.4212727272727273,1.9,14.8
585,30.71633,75.9,30.0,0.4212727272727273,2.0,14.6
586,30.43217,75.4,27.0,0.4212727272727273,2.1,14.5
587,30.1181,74.9,25.0,0.4212727272727273,2.3,14.3
588,29.70091,74.4,23.0,0.4212727272727273,2.4,14.2
589,29.27301,73.9,23.0,0.413,2.5,14.0
590,28.91581,73.4,23.0,0.433,2.6,13.8
591,28.57783,72.7,22.0,0.445,2.8,13.7
592,28.32785,71.9,23.0,0.493,2.9,13.5
593,28.05279,70.9,25.0,0.371,3.1,13.4
594,27.9107,69.5,24.0,0.434,2.1,14.641176470588237
595,27.64907,68.0,23.0,0.519,2.1,14.641176470588237
596,27.46551,66.3,22.0,0.539,2.1,14.641176470588237
597,4.16827,20.9,3.6,15.976166666666668,17.1,0.9
598,4.05285,20.4,4.1,15.976166666666668,17.6,0.8
599,3.99316,20.1,4.0,8.921,18.0,0.8
600,3.97509,19.8,4.0,9.466,18.5,0.7
601,3.9573,19.7,4.2,9.842,19.0,0.7
602,3.94043,19.5,3.8,9.804,19.4,0.7
603,3.88134,19.5,3.7,10.404,19.9,0.6
604,3.76275,19.5,3.4,10.365,20.4,0.6
605,3.73707,19.5,2.7,10.389,20.9,0.6
606,3.82317,19.4,2.9,10.294,21.3,0.6
607,3.68021,19.3,3.2,14.333,21.8,0.5
608,3.52123,19.3,2.7,15.854,22.3,0.5
609,3.42289,19.3,2.8,17.471,22.8,0.5
610,3.31202,19.3,2.8,18.806,23.3,0.5
611,3.22255,19.3,2.2,20.278,23.8,0.4
612,3.20673,19.3,2.5,21.47,24.4,0.4
613,3.20447,19.4,2.3,22.937,24.9,0.4
614,3.17836,19.5,2.2,24.411,20.905882352941177,0.6
615,3.13679,19.7,1.9,25.912,20.905882352941177,0.6
616,3.09377,20.1,1.9,26.614,20.905882352941177,0.6
617,15.0465,28.5,8.7,12.356,1.8,7.6
618,14.91635,27.0,8.0,12.535,1.9,7.4
619,14.82191,25.8,7.3,11.134,2.1,7.2
620,14.54556,24.6,6.7,11.6,2.3,7.0
621,13.90911,23.6,5.4,11.895,2.4,6.8
622,13.2054,22.6,5.5,12.127,2.6,6.5
623,12.51567,21.7,5.1,12.47,2.9,6.3
624,11.87134,20.8,4.6,12.676,3.1,6.1
625,11.29953,20.1,4.2,13.166,3.3,5.8
626,10.72549,19.5,4.1,13.922,3.6,5.6
627,10.1508,19.0,3.9,14.334,3.9,5.4
628,9.59681,18.6,3.4,14.596,4.2,5.2
629,9.10858,18.3,3.0,15.367,4.5,5.0
630,8.59936,18.2,3.0,16.332,4.8,4.8
631,7.89368,18.1,2.8,16.877,5.1,4.6
632,7.42712,18.2,2.8,17.732,5.5,4.4
633,6.60814,18.3,2.8,18.647,5.9,4.2
634,6.0944,18.4,2.6,19.798,3.523529411764706,5.876470588235295
635,5.78976,18.5,2.4,20.969,3.523529411764706,5.876470588235295
636,5.54196,18.8,2.2,22.266,3.523529411764706,5.876470588235295
637,9.55815,30.2,3.2,12.467,10.7,3.4
638,9.37283,30.0,3.5,12.721,11.1,3.2
639,9.202,29.8,3.4,13.031,11.4,3.1
640,9.07847,29.5,3.3,13.338,11.8,3.0
641,9.01316,29.3,3.1,13.731,12.2,2.9
642,8.91302,28.9,2.7,14.146,12.6,2.8
643,8.80634,28.5,2.7,14.521,13.0,2.6
644,8.70609,28.0,2.9,14.94,13.5,2.5
645,8.64174,27.5,2.8,15.45,13.9,2.4
646,8.51058,26.9,2.6,15.999,14.3,2.3
647,8.44039,26.3,2.3,16.493,14.7,2.3
648,8.27597,25.6,2.1,17.13,15.2,2.2
649,8.13006,24.9,2.2,17.74,15.6,2.1
650,7.98138,24.3,2.3,18.431,16.1,2.0
651,7.80609,23.8,2.3,19.18,16.6,1.9
652,7.64677,23.3,2.2,19.742,17.1,1.9
653,7.50397,22.9,2.3,20.335,17.6,1.8
654,7.36855,22.5,2.2,21.064,13.96470588235294,2.494117647058824
655,7.23805,22.3,2.4,21.848,13.96470588235294,2.494117647058824
656,7.09836,22.2,2.3,22.522,13.96470588235294,2.494117647058824
657,30.28877,61.3,7.9,2.0132,1.6,14.5
658,30.23067,60.5,6.4,2.0132,1.7,14.3
659,30.10645,59.9,8.3,2.0132,1.8,14.2
660,30.0187,59.4,11.0,2.0132,1.9,14.0
661,29.93323,58.8,9.6,1.926,1.9,13.9
662,29.72368,58.2,8.2,1.897,2.0,13.7
663,29.43038,57.5,8.1,2.0132,2.1,13.6
664,29.18226,56.8,7.2,2.0132,2.2,13.4
665,28.87165,56.2,6.5,2.0132,2.3,13.2
666,28.41479,55.5,6.7,1.901,2.4,13.1
667,28.02613,55.0,7.2,2.0132,2.5,12.9
668,27.56459,54.4,8.1,2.0132,2.6,12.8
669,27.09179,54.1,7.9,1.699,2.7,12.6
670,26.73906,53.9,8.2,2.0132,2.9,12.4
671,26.38702,53.8,7.0,2.0132,3.0,12.3
672,26.01696,53.8,6.8,2.0132,3.1,12.1
673,25.65653,53.9,6.7,2.0132,3.3,12.0
674,25.40733,53.9,8.6,2.0132,2.3529411764705883,13.235294117647058
675,24.92157,53.9,9.0,2.643,2.3529411764705883,13.235294117647058
676,24.57104,53.9,9.3,2.0132,2.3529411764705883,13.235294117647058
677,4.85959,20.1,2.0,13.133,10.5,2.8
678,4.82028,19.9,2.0,23.975142857142856,11.1,2.7
679,4.80013,19.8,2.0,23.975142857142856,11.6,2.6
680,4.81705,19.7,1.9,23.975142857142856,12.2,2.4
681,4.89089,19.7,1.8,23.975142857142856,12.8,2.3
682,4.98609,19.6,1.5,23.975142857142856,13.4,2.2
683,5.03432,19.5,1.4,20.415,14.0,2.1
684,4.89589,19.4,0.92,20.905,14.7,2.0
685,4.93925,19.3,1.3,21.577,15.4,1.9
686,5.04052,19.1,0.92,22.178,16.0,1.8
687,5.07017,18.9,1.0,23.057,16.7,1.7
688,4.994,18.8,1.3,23.721,17.4,1.6
689,4.96406,18.7,1.0,24.578,18.1,1.5
690,4.87868,18.6,0.84,25.421,18.9,1.4
691,4.74971,18.6,0.93,26.434,19.6,1.4
692,4.6765,18.6,0.68,27.318,20.3,1.3
693,4.57861,18.6,0.66,28.443,21.1,1.2
694,4.479,18.7,0.75,29.533,15.51764705882353,1.9352941176470588
695,4.47304,18.8,0.75,28.939,15.51764705882353,1.9352941176470588
696,4.48368,19.0,0.74,23.975142857142856,15.51764705882353,1.9352941176470588
697,5.17261,20.5,3.9,23.574,15.7,0.7
698,4.99008,20.2,3.3,23.938,16.1,0.7
699,4.79249,20.0,4.2,24.089,16.6,0.7
700,4.60393,19.8,3.7,24.653,17.1,0.7
701,4.42179,19.7,3.7,25.304,17.5,0.6
702,4.23497,19.5,2.7,25.353,18.0,0.6
703,3.99483,19.4,3.2,25.739,18.5,0.6
704,3.76514,19.2,2.3,27.047,19.0,0.6
705,3.59809,19.0,2.3,27.113,19.6,0.5
706,3.47135,18.8,2.8,27.211,20.1,0.5
707,3.35925,18.7,1.9,28.428,20.6,0.5
708,3.19981,18.7,1.5,28.958,21.2,0.5
709,3.09739,18.7,1.4,29.731,21.8,0.5
710,3.06955,18.7,1.2,30.178,22.3,0.5
711,3.09549,18.8,0.94,31.258,22.9,0.4
712,3.12863,19.0,1.1,31.728,23.5,0.4
713,3.11766,19.2,1.4,32.087,24.1,0.4
714,3.04643,19.4,1.4,33.195,19.68235294117647,0.5529411764705883
715,3.02982,19.8,1.5,33.863,19.68235294117647,0.5529411764705883
716,3.00766,20.2,0.88,34.651,19.68235294117647,0.5529411764705883
717,4.39275,13.4,0.0,19.082,15.0,0.7
718,4.22679,13.2,0.1,19.15,15.5,0.7
719,4.08007,13.1,0.2,18.782,15.9,0.7
720,3.94211,13.0,0.31,18.619,16.3,0.7
721,3.79529,13.0,0.41,19.121,16.7,0.6
722,3.65518,12.9,0.5,18.965,17.2,0.6
723,3.50431,12.9,0.26,18.374,17.6,0.6
724,3.36527,12.9,0.12,20.147,18.0,0.6
725,3.23037,12.8,0.23,20.507,18.4,0.6
726,3.12119,12.8,0.12,21.064,18.8,0.6
727,3.01868,12.8,0.11,21.562,19.2,0.5
728,2.92865,12.9,0.33,22.484,19.6,0.5
729,2.86668,12.9,0.42,22.96,20.1,0.5
730,2.84731,13.1,0.11,24.076,20.5,0.5
731,2.82664,13.2,0.41,24.993,20.9,0.5
732,2.77879,13.4,0.19,26.236,21.4,0.5
733,2.72633,13.7,0.21,19.509,21.9,0.5
734,2.65262,13.9,0.28,28.185,18.41176470588235,0.5823529411764706
735,2.58327,14.2,0.38,29.799,18.41176470588235,0.5823529411764706
736,2.52415,14.5,0.39,31.437,18.41176470588235,0.5823529411764706
737,3.13939,12.9,0.75,29.119,14.8,1.0
738,3.08117,13.0,0.75,29.333,15.2,1.0
739,2.99786,13.1,0.7,30.383,15.6,1.0
740,2.88223,13.0,0.52,30.83,16.1,0.9
741,2.73225,12.8,0.75,32.276,16.5,0.9
742,2.60572,12.7,0.5,33.333,16.9,0.9
743,2.48999,12.7,0.41,34.192,17.4,0.9
744,2.37509,12.6,0.5,34.527,17.9,0.8
745,2.26747,12.5,0.32,35.768,18.3,0.8
746,2.18749,12.5,0.52,36.488,18.8,0.8
747,2.13872,12.6,0.65,37.211,19.3,0.8
748,2.08308,12.8,0.3,37.808,19.8,0.7
749,2.05666,13.0,0.41,38.243,20.2,0.7
750,2.05268,13.1,0.3,38.335,20.8,0.7
751,2.05156,13.3,0.23,38.632,21.3,0.7
752,2.05671,13.5,0.31,39.257,21.8,0.7
753,2.06223,13.8,0.41,40.099,22.3,0.7
754,2.05753,14.1,0.24,41.324,18.41176470588235,0.8235294117647058
755,2.04072,14.2,0.17,42.247,18.41176470588235,0.8235294117647058
756,2.01207,14.5,0.17,35.75815789473684,18.41176470588235,0.8235294117647058
757,34.89984,61.5,45.0,2.00625,5.2,11.5
758,34.49978,60.5,49.0,2.00625,5.4,11.3
759,34.25634,59.4,39.0,2.00625,5.5,11.2
760,34.09401,58.3,39.0,2.00625,5.7,11.0
761,33.6659,57.2,36.0,1.672,5.9,10.8
762,33.36014,56.2,37.0,1.788,6.1,10.6
763,33.09164,55.4,35.0,2.328,6.3,10.5
764,32.78381,54.7,47.0,2.00625,6.5,10.3
765,32.54843,54.0,54.0,2.00625,6.7,10.1
766,32.32817,53.3,55.0,2.00625,6.9,10.0
767,32.23082,52.8,49.0,2.00625,7.1,9.8
768,32.08868,52.4,43.0,2.00625,7.3,9.6
769,31.89702,52.1,41.0,2.00625,7.6,9.5
770,31.31341,52.0,37.0,2.00625,7.8,9.3
771,30.6587,51.9,34.0,2.237,8.1,9.2
772,30.08134,51.9,38.0,2.00625,8.3,9.0
773,29.48615,52.0,35.0,2.00625,8.6,8.9
774,28.90278,52.0,29.0,2.00625,6.764705882352941,10.152941176470588
775,28.33472,52.0,28.0,2.00625,6.764705882352941,10.152941176470588
776,27.85889,52.0,25.0,2.00625,6.764705882352941,10.152941176470588
777,15.72124,31.9,12.0,14.459,8.8,1.8
778,15.27219,31.4,10.0,15.439,9.1,1.7
779,14.81395,30.9,9.3,15.667,9.5,1.7
780,14.32087,30.5,8.3,14.974,9.8,1.6
781,13.86232,30.1,7.7,17.743100000000002,10.2,1.5
782,13.3787,29.6,8.1,17.743100000000002,10.5,1.5
783,12.92007,29.2,7.5,17.743100000000002,10.9,1.4
784,12.44826,28.5,6.7,17.743100000000002,11.2,1.4
785,11.98371,27.8,6.2,17.743100000000002,11.6,1.3
786,11.54823,27.1,5.2,15.983,12.0,1.3
787,11.08769,26.3,4.9,21.111,12.4,1.2
788,10.68833,25.6,4.3,16.582,12.7,1.2
789,10.31858,25.0,3.8,17.743100000000002,13.2,1.2
790,10.0096,24.5,3.5,17.743100000000002,13.6,1.1
791,9.73696,24.3,3.7,17.743100000000002,14.0,1.1
792,9.47938,24.0,3.8,20.648,14.4,1.1
793,9.27048,23.8,3.5,20.368,14.9,1.0
794,9.06249,23.7,3.8,22.2,11.694117647058825,1.3588235294117648
795,8.8666,23.6,3.6,17.743100000000002,11.694117647058825,1.3588235294117648
796,8.72031,23.5,3.3,17.743100000000002,11.694117647058825,1.3588235294117648
797,17.50283,39.6,1.5,7.534,13.5,3.0
798,16.89994,39.6,1.5,7.534,13.9,2.9
799,16.3529,39.8,1.4,7.534,14.4,2.8
800,15.86308,40.0,1.5,5.285,14.9,2.7
801,15.37251,40.1,1.2,7.534,15.4,2.6
802,14.84549,40.2,1.2,7.534,15.9,2.5
803,14.36591,40.0,1.1,7.534,16.4,2.5
804,13.80768,39.7,1.1,7.534,17.0,2.4
805,13.28742,39.1,1.1,7.534,17.6,2.3
806,12.80549,38.4,0.87,7.534,18.1,2.2
807,12.31924,37.7,0.72,7.534,18.7,2.2
808,11.79987,36.9,0.86,7.534,19.4,2.1
809,11.29728,36.2,0.67,7.534,20.0,2.0
810,10.86281,35.5,0.33,7.534,20.6,2.0
811,10.4135,34.9,0.31,7.876,21.3,1.9
812,10.08094,34.1,0.43,8.217,22.0,1.8
813,9.77932,33.5,0.43,8.214,22.7,1.8
814,9.52363,33.0,0.43,7.993,17.75294117647059,2.335294117647059
815,9.24491,32.5,0.43,7.69,17.75294117647059,2.335294117647059
816,9.04754,32.2,0.43,7.463,17.75294117647059,2.335294117647059
817,20.07764,21.9,2.2,18.7216,10.6,3.1
818,19.11952,22.2,1.9,18.7216,11.1,2.9
819,18.11042,22.5,1.9,13.314,11.6,2.8
820,17.10268,22.9,1.3,18.7216,12.1,2.7
821,16.14619,23.3,1.7,18.7216,12.6,2.6
822,15.26971,23.7,1.5,17.11,13.1,2.5
823,14.50577,24.1,0.97,18.7216,13.5,2.4
824,13.97878,24.3,1.6,18.7216,14.0,2.3
825,13.5118,24.5,1.3,18.823,14.5,2.2
826,13.04082,24.7,1.1,18.7216,15.1,2.1
827,12.59505,24.9,1.4,18.7216,15.6,2.0
828,12.19172,24.9,1.1,18.7216,16.1,1.9
829,11.80735,24.9,1.3,18.7216,16.6,1.8
830,11.45826,24.9,1.2,18.7216,17.2,1.8
831,11.17456,24.9,1.3,18.7216,17.7,1.7
832,10.97309,24.8,0.99,18.7216,18.3,1.6
833,10.74336,24.7,1.1,15.662,18.9,1.6
834,10.52924,24.6,0.97,18.7216,14.623529411764704,2.235294117647059
835,10.30267,24.6,1.7,28.699,14.623529411764704,2.235294117647059
836,10.09856,24.6,0.97,18.7216,14.623529411764704,2.235294117647059
837,18.0418,77.7,28.0,3.0755,1.8,19.5
838,17.89337,76.8,29.0,3.0755,1.9,19.4
839,17.7246,75.9,30.0,3.0755,2.0,19.2
840,17.55392,75.0,31.0,3.0755,2.0,19.0
841,17.26005,74.1,30.0,2.134,2.1,18.8
842,16.9991,73.1,30.0,3.0755,2.2,18.6
843,16.5718,72.2,30.0,3.0755,2.3,18.5
844,16.2742,71.2,29.0,3.0755,2.5,18.3
845,16.05716,70.3,28.0,3.0755,2.6,18.1
846,15.87494,69.5,26.0,3.0755,2.7,17.9
847,15.77376,68.9,42.0,3.0755,2.8,17.7
848,15.67727,68.3,28.0,3.0755,3.0,17.5
849,15.55916,67.9,29.0,3.0755,3.1,17.3
850,15.4284,67.5,31.0,3.0755,3.3,17.1
851,15.30169,67.2,42.0,3.0755,3.4,17.0
852,15.18532,66.8,37.0,3.0755,3.6,16.8
853,15.10511,66.3,39.0,3.0755,3.8,16.6
854,15.11968,65.7,47.0,4.017,2.652941176470588,18.076470588235296
855,15.15103,65.0,44.0,3.0755,2.652941176470588,18.076470588235296
856,15.07911,64.3,53.0,3.0755,2.652941176470588,18.076470588235296
857,23.20129,59.5,6.6,0.436,0.8,20.6
858,22.94916,58.1,23.0,0.4,0.9,20.5
859,22.68004,56.8,24.0,0.532,0.9,20.3
860,22.46118,55.7,46.0,0.4,1.0,20.2
861,22.13945,54.7,40.0,0.522,1.0,20.0
862,21.91108,53.8,33.0,0.432,1.1,19.9
863,21.62077,53.0,26.0,0.463,1.2,19.7
864,21.3598,52.1,31.0,0.414,1.2,19.5
865,21.07994,51.3,20.0,0.411,1.3,19.4
866,20.79253,50.6,24.0,0.41,1.4,19.2
867,20.48339,49.9,24.0,0.407,1.4,19.0
868,20.19838,49.4,24.0,0.423,1.5,18.8
869,19.90906,49.0,25.0,0.471,1.6,18.6
870,19.69904,48.8,25.0,0.524,1.7,18.5
871,19.44931,48.7,21.0,0.616,1.8,18.3
872,19.17376,48.6,18.0,0.634,1.9,18.1
873,18.96237,48.7,19.0,0.669,2.0,17.9
874,18.70669,48.7,18.0,0.656,1.3352941176470587,19.323529411764707
875,18.46215,48.8,16.0,0.811,1.3352941176470587,19.323529411764707
876,18.26882,48.8,16.0,0.709,1.3352941176470587,19.323529411764707
877,4.67562,23.1,7.9,29.376,14.3,1.1
878,4.47817,22.4,7.3,27.757,14.6,1.1
879,4.2557,21.8,6.8,29.573,15.0,1.0
880,4.06281,21.3,7.2,29.915,15.3,1.0
881,3.89115,20.7,7.5,30.214,15.7,1.0
882,3.6853,20.3,3.8,31.401,16.0,0.9
883,3.50838,19.8,5.2,31.762,16.4,0.9
884,3.37547,19.3,4.8,32.508,16.8,0.9
885,3.27677,18.7,4.2,33.348,17.1,0.8
886,3.17373,18.4,3.8,32.767,17.5,0.8
887,3.03061,18.1,3.1,32.422,17.9,0.8
888,2.90131,18.0,3.5,32.929,18.3,0.8
889,2.78552,17.8,2.7,32.822,18.7,0.7
890,2.70577,17.7,1.9,33.318,19.1,0.7
891,2.65231,17.7,2.2,33.564,19.5,0.7
892,2.5971,17.7,1.6,34.152,19.9,0.7
893,2.50633,17.7,2.1,34.546,20.3,0.7
894,2.39631,17.7,1.8,34.629,17.2,0.8588235294117647
895,2.27932,17.8,1.0,34.81,17.2,0.8588235294117647
896,2.17644,18.0,1.2,34.724,17.2,0.8588235294117647
897,35.774,68.5,85.0,0.327875,0.8,19.8
898,35.39038,66.5,86.0,0.327875,0.8,19.6
899,35.02938,64.4,80.0,0.327875,0.9,19.5
900,34.72048,62.4,75.0,0.268,0.9,19.3
901,34.38429,60.4,69.0,0.269,1.0,19.2
902,33.95147,58.5,64.0,0.321,1.0,19.0
903,33.48714,56.9,60.0,0.269,1.1,18.9
904,32.87891,55.3,54.0,0.224,1.1,18.7
905,32.37491,53.8,46.0,0.251,1.2,18.6
906,31.82823,52.6,41.0,0.252,1.3,18.4
907,31.05211,51.6,36.0,0.327875,1.3,18.2
908,30.31478,51.0,33.0,0.327875,1.4,18.1
909,29.45973,50.6,36.0,0.327875,1.5,17.9
910,28.76788,50.4,37.0,0.327875,1.6,17.7
911,28.00483,50.3,36.0,0.327875,1.7,17.5
912,27.13466,50.5,26.0,0.327875,1.8,17.3
913,26.33493,50.9,26.0,0.327875,1.9,17.2
914,25.68823,51.2,25.0,0.327875,1.2529411764705882,18.523529411764702
915,25.1099,51.6,22.0,0.769,1.2529411764705882,18.523529411764702
916,24.61425,52.1,19.0,0.327875,1.2529411764705882,18.523529411764702
917,10.19875,36.3,1.9,5.9512,15.4,3.1
918,10.23181,36.8,1.8,5.9512,15.9,3.0
919,10.32529,37.3,2.0,5.9512,16.5,2.9
920,10.51333,38.0,2.9,4.656,17.0,2.8
921,10.71949,38.7,3.9,5.9512,17.6,2.7
922,10.87464,39.4,3.3,5.9512,18.2,2.6
923,10.83559,40.0,2.9,5.9512,18.7,2.5
924,10.64223,40.4,4.1,5.9512,19.3,2.4
925,10.35358,40.5,2.6,3.986,19.9,2.4
926,10.07961,40.5,2.1,4.358,20.5,2.3
927,9.95919,40.4,2.9,5.9512,21.1,2.2
928,10.07532,40.3,3.3,5.9512,21.7,2.1
929,9.76855,40.1,3.7,5.9512,22.4,2.1
930,9.14519,39.9,3.7,8.156,23.0,2.0
931,8.61817,39.8,3.8,5.9512,23.7,1.9
932,8.48688,39.8,3.9,8.6,24.4,1.9
933,8.52722,39.9,4.1,5.9512,25.1,1.8
934,8.56659,39.9,4.2,5.9512,20.023529411764702,2.394117647058824
