,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Medical doctors (per 10,000)","Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)","Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)"
103,16.72719,26.3,6.2,25.897,12.8,2.5
104,16.16016,25.5,6.4,26.724,13.2,2.4
105,15.70173,24.6,6.1,27.432,13.6,2.4
106,15.27704,23.6,5.2,27.679,14.0,2.3
107,15.08267,22.5,5.6,28.419,14.4,2.2
108,14.88892,21.6,4.2,28.677,14.8,2.2
109,14.581,21.0,4.7,28.968,15.2,2.1
110,14.23683,20.3,3.6,29.031,15.7,2.1
111,14.03153,19.8,2.8,28.928,16.1,2.0
112,13.88276,19.3,2.4,29.143,16.6,2.0
113,13.69299,19.1,2.0,28.150470588235294,17.1,1.9
114,13.42429,19.1,1.6,44.023,13.735294117647058,2.3823529411764706
115,13.15354,19.3,1.0,28.150470588235294,13.735294117647058,2.3823529411764706
116,12.87654,19.6,1.2,28.150470588235294,13.735294117647058,2.3823529411764706
117,3.20857,11.8,0.28,24.944,19.9,0.7
118,3.08674,11.7,0.44,25.732,20.5,0.6
119,2.96692,11.6,0.34,25.717,21.1,0.6
120,2.92143,11.6,0.26,26.406,21.7,0.6
121,2.86615,11.6,0.31,27.146,22.3,0.6
122,2.83525,11.6,0.3,27.794,22.9,0.6
123,2.84715,11.6,0.29,28.338,23.5,0.6
124,2.89832,11.7,0.25,29.954,24.0,0.5
125,2.93214,11.6,0.3,30.056,24.6,0.5
126,2.91544,11.6,0.26,31.085,25.2,0.5
127,2.86057,11.6,0.25,33.429,25.8,0.5
128,2.73643,11.6,0.25,32.878,26.4,0.5
129,2.67292,11.5,0.16,32.858,27.0,0.5
130,2.56657,11.5,0.22,33.53,27.7,0.5
131,2.44471,11.6,0.2,34.314,28.3,0.5
132,2.34068,11.8,0.22,34.886,28.9,0.5
133,2.26658,12.1,0.21,35.672,29.6,0.4
134,2.24045,12.4,0.2,36.778,24.670588235294115,0.5411764705882353
135,2.23449,12.8,0.22,37.595,24.670588235294115,0.5411764705882353
136,2.21541,13.3,0.18,38.503,24.670588235294115,0.5411764705882353
137,2.81144,12.1,0.93,38.492,14.3,1.1
138,2.78537,12.1,0.71,39.616,14.8,1.1
139,2.78091,12.0,0.84,40.337,15.2,1.1
140,2.73089,12.1,0.57,41.173,15.6,1.0
141,2.65434,12.1,0.57,42.095,16.1,1.0
142,2.61327,12.1,0.67,43.355,16.5,1.0
143,2.58008,12.2,0.69,44.684,17.0,0.9
144,2.51864,12.2,0.58,45.528,17.4,0.9
145,2.46819,12.3,0.61,46.169,17.9,0.9
146,2.46396,12.4,0.59,47.06,18.3,0.9
147,2.46837,12.4,0.47,48.016,18.8,0.8
148,2.46698,12.5,0.67,48.398,19.3,0.8
149,2.4526,12.6,0.51,48.859,19.8,0.8
150,2.44693,12.7,0.82,49.744,20.3,0.8
151,2.40594,12.9,0.85,50.359,20.8,0.8
152,2.3576,13.2,0.75,51.035,21.3,0.7
153,2.31083,13.5,0.45,51.234,21.9,0.7
154,2.26544,13.8,0.41,51.697,17.958823529411767,0.9
155,2.22262,14.2,0.55,52.114,17.958823529411767,0.9
156,2.18952,14.6,0.46,52.734,17.958823529411767,0.9
157,19.1726,43.4,19.0,35.743,9.0,2.5
158,18.73702,42.2,17.0,35.48,9.2,2.4
159,18.16166,41.2,16.0,35.618,9.5,2.4
160,17.53163,40.3,14.0,35.505,9.9,2.3
161,16.87904,39.5,12.0,35.568,10.2,2.2
162,16.13058,38.5,9.3,35.819,10.6,2.2
163,15.41358,37.4,6.7,35.649,11.0,2.1
164,14.65067,36.1,4.2,37.124,11.4,2.0
165,13.93027,34.6,5.7,36.844,11.8,2.0
166,13.23372,33.2,7.3,36.751,12.3,1.9
167,12.59253,31.8,8.9,36.629,12.7,1.9
168,12.02789,30.4,7.2,34.376,13.2,1.8
169,11.53454,29.1,4.6,34.901,13.7,1.7
170,11.08337,28.0,4.7,34.558,14.2,1.7
171,10.62689,27.1,4.5,34.46,14.7,1.6
172,10.19887,26.3,5.9,33.731,15.3,1.6
173,9.83128,25.7,5.9,33.062,15.8,1.5
174,9.52284,25.2,5.9,32.37,12.029411764705882,1.9882352941176469
175,9.23718,24.9,5.9,32.65,12.029411764705882,1.9882352941176469
176,8.9705,24.8,5.9,31.678,12.029411764705882,1.9882352941176469
177,8.52261,26.2,2.5,10.202,17.6,4.5
178,8.17041,25.6,1.6,10.636,18.0,4.3
179,7.86561,25.1,1.6,10.774,18.4,4.2
180,7.57664,24.9,0.3,10.479,18.8,4.1
181,7.30297,24.7,1.2,9.677,19.3,4.0
182,7.00454,24.4,1.1,10.436,19.7,3.8
183,6.75064,24.1,0.52,10.142,20.2,3.7
184,6.50512,23.7,0.93,10.155,20.6,3.6
185,6.31318,23.3,0.68,9.896,21.1,3.5
186,6.19138,23.0,0.65,9.695,21.6,3.4
187,6.20381,22.6,0.79,9.493,22.2,3.3
188,6.28925,22.4,0.19,9.451,22.7,3.1
189,6.21603,22.3,0.37,9.57,23.2,3.0
190,6.05183,22.3,0.45,9.536,23.8,2.9
191,5.95594,22.4,0.51,9.573,24.4,2.8
192,5.88984,22.5,0.51,9.257,24.9,2.8
193,5.93035,22.7,0.51,9.93575,25.5,2.7
194,6.00362,22.9,0.51,9.93575,21.294117647058822,3.511764705882353
195,5.97815,23.1,0.51,9.93575,21.294117647058822,3.511764705882353
196,5.90874,23.4,0.51,9.93575,21.294117647058822,3.511764705882353
197,41.40262,56.6,71.0,4.030555555555555,0.7,26.0
198,40.28941,55.2,72.0,2.498,0.8,25.7
199,38.97208,53.9,70.0,4.030555555555555,0.8,25.4
200,37.8517,52.7,69.0,2.714,0.9,25.0
201,36.67568,51.7,66.0,2.809,0.9,24.7
202,35.56304,50.6,60.0,3.084,1.0,24.3
203,34.4124,49.6,54.0,3.167,1.1,24.0
204,33.2795,48.6,54.0,3.293,1.2,23.6
205,32.11366,47.7,53.0,3.42,1.3,23.2
206,30.82405,46.8,51.0,3.544,1.4,22.8
207,29.65639,46.1,53.0,3.635,1.5,22.4
208,28.79159,45.4,54.0,3.839,1.6,22.1
209,28.18036,44.9,50.0,4.001,1.7,21.6
210,27.91156,44.4,47.0,4.218,1.8,21.2
211,27.62674,44.0,46.0,4.887,2.0,20.8
212,26.96289,43.8,42.0,4.858,2.1,20.4
213,26.36471,43.5,39.0,4.974,2.3,20.0
214,25.74755,43.3,34.0,5.433,1.3588235294117648,23.12941176470588
215,25.03614,43.1,29.0,5.809,1.3588235294117648,23.12941176470588
216,24.28319,43.1,24.0,6.367,1.3588235294117648,23.12941176470588
217,8.41036,21.4,0.42,13.444,8.1,5.9
