,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),Maternal mortality ratio (per 100 000 live births),per_capita-Lower Respiratory Infections,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),"Mean Non-HDL cholesterol, age-standardized",Mean BMI (kg/m²) (age-standardized estimate),per_capita-Tuberculosis
70,21.49714,269.0,0.0008335457371259,54.0,2.9,22.1,0.0007675084464172
71,20.319,258.0,0.0007713704020713,61.0,2.8,22.2,0.000711333015439
72,19.31237,251.0,0.0007264583076013,56.0,2.8,22.3,0.0006700007215157
73,18.47286,246.0,0.0006765702646575,57.0,2.8,22.3,0.0006250640729093
74,17.71616,241.0,0.0006352982085642,64.0,2.8,21.74117647058824,0.0005904814392
75,17.0933,435.22222222222223,0.0006197643014218,60.0,2.8,21.74117647058824,0.0005719565313036
76,16.46195,435.22222222222223,0.0005840966159681,53.0,2.8368421052631576,21.74117647058824,0.0005369868912507
77,2.80069,66.0,0.0004787381240857,2.4,3.8,26.3,2.7989333091062662e-05
78,2.74467,67.0,0.0005141113606752,2.3,3.8,26.4,2.671500800866596e-05
79,2.7028,65.0,0.0005513764305207,2.4,3.8,26.5,2.6342487922456137e-05
80,2.68667,65.0,0.000588076024966,2.2,3.8,26.6,2.5275922297276147e-05
81,2.69609,61.0,0.0005992230826874,2.0,3.8,26.7,2.338557453865372e-05
82,2.72475,59.0,0.0006068207096964,2.0,3.7,26.7,2.197479100978376e-05
83,2.75596,57.0,0.0006255548482936,1.9,3.7,26.8,2.105293343597606e-05
84,2.76186,56.0,0.0006618422876721,1.9,3.7,26.9,2.0849555202830467e-05
85,2.72734,53.0,0.0006611333432142,1.6,3.7,27.0,1.9663060125487872e-05
86,2.65441,56.0,0.0006834893760468,1.6,3.7,27.1,1.913789806339137e-05
87,2.55598,51.0,0.0007181350258325,1.4,3.6,27.2,1.8382708643743107e-05
88,2.44874,48.0,0.0007434091981637,1.6,3.6,27.3,1.807529127314404e-05
89,2.35087,47.0,0.0007586420106551,1.5,3.6,27.4,1.7657168232000305e-05
90,2.27051,44.0,0.0007880363230322,1.6,3.6,27.5,1.7671501570721914e-05
91,2.20843,42.0,0.0008057757769688,1.5,3.5,27.6,1.7292522731764897e-05
92,2.15906,41.0,0.0008313937446145,1.5,3.5,27.7,1.703817250587863e-05
93,2.10777,40.0,0.000870867026113,1.6,3.5,27.8,1.736121884242967e-05
94,2.03671,39.0,0.000850147876577,1.4,3.4,27.029411764705884,1.6979895622705002e-05
95,1.93891,53.16666666666666,0.000824847606002,1.5,3.4,27.029411764705884,1.6595530475453355e-05
96,1.84033,53.16666666666666,0.0008058381579033,1.4,3.642105263157895,27.029411764705884,1.6154984028120606e-05
97,1.87779,43.0,0.0001544753818828,5.4,3.3,24.5,4.502793046372852e-05
98,1.84612,42.0,0.0001492936626161,5.0,3.3,24.6,4.7232287066610735e-05
99,1.82987,39.0,0.0001476532424983,5.8,3.3,24.6,5.109797605562114e-05
100,1.82607,38.0,0.0001512470216996,5.4,3.2,24.7,5.163719903841541e-05
101,1.83259,36.0,0.0001614650192554,5.7,3.2,24.7,5.148160034231921e-05
102,1.84806,35.0,0.0001743267634493,6.0,3.2,24.8,5.229802903479294e-05
103,1.86962,36.0,0.0001905003810007,6.2,3.2,24.8,5.5436618809745554e-05
104,1.89665,32.0,0.0001928221695017,6.4,3.2,24.9,5.417865495600088e-05
105,1.92647,36.0,0.0001943686320692,6.1,3.2,25.0,5.423457497946834e-05
106,1.95587,32.0,0.0001927870673581,5.2,3.2,25.1,5.055604913239079e-05
107,1.98247,32.0,0.000192126067058,5.6,3.2,25.1,4.6514732024584045e-05
108,2.00402,30.0,0.0001910393450079,4.2,3.2,25.2,4.27901178412891e-05
109,2.01882,30.0,0.0001881841241947,4.7,3.2,25.3,3.938737483146748e-05
110,2.02726,26.0,0.0001876144851831,3.6,3.2,25.3,3.4295120947459875e-05
111,2.02747,27.0,0.0001900126529627,2.8,3.2,25.4,3.0549737490469994e-05
112,2.02097,28.0,0.0001994001908209,2.4,3.2,25.5,2.815061517472316e-05
113,2.00835,26.0,0.0002050397636657,2.0,3.2,25.6,2.608988836203667e-05
114,1.99133,26.0,0.0001942663391509,1.6,3.2,25.00588235294118,2.5368113016278653e-05
115,1.97039,33.0,0.0001885918928183,1.0,3.2,25.00588235294118,2.470053109479764e-05
116,1.94495,33.0,0.0001814069805804,1.2,3.2157894736842105,25.00588235294118,2.425404685416706e-05
117,1.3364,7.0,0.0001489514666995,0.28,3.9,26.6,4.303742166795621e-06
118,1.28316,6.0,0.0001523769561262,0.44,3.8,26.7,4.353627317891916e-06
119,1.23227,6.0,0.000158536464257,0.34,3.8,26.8,4.146417050312624e-06
120,1.18539,6.0,0.0001609285185975,0.26,3.8,26.9,3.946062386234515e-06
121,1.14345,5.0,0.0001556883304669,0.31,3.7,27.0,3.850948103423063e-06
122,1.10662,5.0,0.000148178565155,0.3,3.7,27.0,3.608083807977582e-06
123,1.07512,5.0,0.0001433907130452,0.29,3.6,27.1,3.709221984832015e-06
124,1.04846,5.0,0.0001402435051353,0.25,3.6,27.2,3.7591042613591456e-06
125,1.02598,5.0,0.0001346198061531,0.3,3.6,27.2,3.8081981938668018e-06
126,1.00666,5.0,0.0001318274682729,0.26,3.5,27.3,3.762467877930492e-06
127,0.98782,5.0,0.0001352962113249,0.25,3.5,27.3,3.671728167183916e-06
128,0.96931,6.0,0.0001403519282103,0.25,3.5,27.4,3.675336908946101e-06
129,0.94981,6.0,0.0001449882574046,0.16,3.4,27.4,3.4975237531827466e-06
130,0.92962,6.0,0.0001485008422234,0.22,3.4,27.5,3.593486805165637e-06
131,0.90781,6.0,0.0001568358017126,0.2,3.4,27.5,3.6432112579137658e-06
132,0.88522,6.0,0.000165399221327,0.22,3.3,27.5,3.736097213073668e-06
133,0.86088,6.0,0.0001707066961473,0.21,3.3,27.6,3.696832910198188e-06
134,0.83582,6.0,0.0001726467316437,0.2,3.2,27.176470588235293,3.7878116142224062e-06
135,0.81149,5.666666666666667,0.000178974098772,0.22,3.2,27.176470588235293,3.959984869414334e-06
136,0.78793,5.666666666666667,0.0001800838028772,0.18,3.5368421052631582,27.176470588235293,4.007486829078156e-06
137,1.29499,6.0,0.0001469172098104,0.93,4.1,25.7,8.381183109993292e-06
138,1.25411,6.0,0.0001426517734935,0.71,4.1,25.8,7.747467008702989e-06
139,1.21572,6.0,0.0001428516728372,0.84,4.0,25.9,7.486213095423936e-06
140,1.17904,6.0,0.0001477460277635,0.57,4.0,25.9,6.983021212703316e-06
141,1.14406,5.0,0.0001445913654733,0.57,4.0,26.0,6.728024620166312e-06
142,1.11079,6.0,0.0001449046763036,0.67,3.9,26.1,6.7198627290877565e-06
143,1.07933,5.0,0.0001390231518098,0.69,3.9,26.1,6.5910888478776695e-06
144,1.04912,5.0,0.0001346377093149,0.58,3.9,26.2,6.341631235850997e-06
145,1.02072,5.0,0.0001286936509791,0.61,3.8,26.2,6.337187358822395e-06
146,0.99352,5.0,0.0001249652721995,0.59,3.8,26.3,6.455321078535558e-06
147,0.96827,5.0,0.0001216192526076,0.47,3.8,26.3,6.330531667267255e-06
148,0.94419,5.0,0.0001190174851045,0.67,3.8,26.4,6.571517582460376e-06
149,0.92059,5.0,0.0001177652391321,0.51,3.7,26.4,6.569548463984823e-06
150,0.89763,5.0,0.0001176163507891,0.82,3.7,26.4,6.811288153248145e-06
151,0.87495,5.0,0.0001196634538326,0.85,3.7,26.5,6.810115258768571e-06
152,0.85223,5.0,0.0001275529125716,0.75,3.7,26.5,6.687712289267146e-06
153,0.82975,5.0,0.000132895196635,0.45,3.7,26.5,6.3225528133779386e-06
154,0.80725,5.0,0.0001415293584658,0.41,3.6,26.188235294117646,6.07943979664517e-06
155,0.78604,5.277777777777778,0.0001423804800374,0.55,3.6,26.188235294117646,6.07943979664517e-06
156,0.76506,5.277777777777778,0.0001465544323229,0.46,3.831578947368421,26.188235294117646,6.081096776884924e-06
157,5.57218,47.0,0.0006266043221164,19.0,3.3,24.8,0.0001636520811109
158,5.36583,44.0,0.0005695995574469,17.0,3.3,24.8,0.0001565812775203
159,5.18385,43.0,0.000538170126196,16.0,3.3,24.9,0.000149575703974
160,5.01191,44.0,0.0005203792904741,14.0,3.3,25.0,0.0001456784970227
161,4.83395,39.0,0.0005043598458148,12.0,3.3,25.0,0.0001396231023131
162,4.64797,42.0,0.0004854149464972,9.3,3.3,25.1,0.0001313249119958
163,4.4539,35.0,0.0004594598442971,6.7,3.3,25.2,0.0001141361936296
164,4.25446,34.0,0.0004300591966445,4.2,3.3,25.3,9.650541683795452e-05
165,4.06439,32.0,0.0004131229537983,5.7,3.3,25.3,9.197583296574098e-05
166,3.88745,32.0,0.000396555711081,7.3,3.3,25.4,8.74355922816421e-05
167,3.73206,31.0,0.0003843394623741,8.9,3.3,25.5,8.482345057711662e-05
168,3.59781,30.0,0.0003693622377286,7.2,3.3,25.6,8.268350870501982e-05
169,3.48666,29.0,0.0003528693014241,4.6,3.3,25.7,7.97379287098677e-05
170,3.39407,28.0,0.0003362822243093,4.7,3.3,25.8,7.653679151722093e-05
171,3.3194,28.0,0.0003216944501512,4.5,3.3,25.9,7.299036465242855e-05
172,3.25781,27.0,0.0003054971075926,5.9,3.3,26.0,6.962634881880586e-05
173,3.20475,26.0,0.000289989683741,5.9,3.3,26.1,6.604026328996993e-05
174,3.15686,26.0,0.0002736564232563,5.9,3.3,25.376470588235293,6.424802306825268e-05
175,3.10593,34.27777777777778,0.0002578955800974,5.9,3.3,25.376470588235293,6.414763553220853e-05
176,3.04867,34.27777777777778,0.0002422979801096,5.9,3.3,25.376470588235293,6.27960535247494e-05
177,3.22129,27.0,5.344645657628107e-05,2.5,3.8,25.2,1.985154101404725e-05
178,3.11012,19.0,5.207666875965278e-05,1.6,3.8,25.2,1.785485786045238e-05
179,2.9884,25.0,6.015407837656733e-05,1.6,3.8,25.1,1.6787184663228092e-05
180,2.8695,21.0,6.658096501426369e-05,0.3,3.7,25.1,1.5364838080214697e-05
181,2.75851,21.0,6.720723291315057e-05,1.2,3.7,25.1,1.5327965401244868e-05
182,2.65438,19.0,6.659635838011455e-05,1.1,3.7,25.0,1.4192666540024411e-05
183,2.55805,24.0,6.50146841759338e-05,0.52,3.7,25.0,1.2190253282987588e-05
184,2.46928,16.0,6.264343923871136e-05,0.93,3.6,25.0,1.138971622522025e-05
185,2.38774,18.0,6.050797802205741e-05,0.68,3.6,24.9,9.93414564541241e-06
186,2.30981,19.0,5.8547753557649874e-05,0.65,3.6,24.9,9.612317748270877e-06
187,2.23899,18.0,5.592841163310962e-05,0.79,3.6,24.9,9.321401938851605e-06
188,2.17661,15.0,5.433417990376264e-05,0.19,3.5,24.9,9.055696650627108e-06
189,2.12138,18.0,5.2869872823924096e-05,0.37,3.5,24.9,8.811645470654017e-06
190,2.07305,17.0,5.072846069558865e-05,0.45,3.5,24.9,8.58481642540731e-06
191,2.02679,15.0,4.946392519836936e-05,0.51,3.4,24.8,8.370818110493277e-06
192,1.97868,15.0,5.049706188786236e-05,0.51,3.4,24.8,7.426038512920935e-06
193,1.92984,15.0,5.149016900378851e-05,0.51,3.4,24.8,7.977350127347517e-06
194,1.87817,14.0,5.386472300066197e-05,0.51,3.3,24.97058823529412,7.796209907990549e-06
195,1.8241,18.666666666666668,5.599096206647757e-05,0.51,3.3,24.97058823529412,7.796209907990549e-06
196,1.77521,18.666666666666668,5.630875105833315e-05,0.51,3.573684210526316,24.97058823529412,7.462605561947767e-06
197,11.05353,434.0,0.0006250512293655,71.0,3.1,20.5,0.0004115223908498
