,Mean BMI (kg/m²) (age-standardized estimate),Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),Maternal mortality ratio (per 100 000 live births),per_capita-Tuberculosis,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),"Mean Non-HDL cholesterol, age-standardized"
77,26.3,1.29985,66.0,2.7989333091062662e-05,7.81906,21.7,3.8
78,26.4,1.27164,67.0,2.671500800866596e-05,7.58481,21.1,3.8
79,26.5,1.24825,65.0,2.6342487922456137e-05,7.30905,20.7,3.8
80,26.6,1.23701,65.0,2.5275922297276147e-05,6.85732,20.4,3.8
81,26.7,1.23947,61.0,2.338557453865372e-05,6.25141,20.1,3.8
82,26.7,1.24709,59.0,2.197479100978376e-05,5.83896,19.9,3.7
83,26.8,1.25109,57.0,2.105293343597606e-05,5.64864,19.6,3.7
84,26.9,1.24547,56.0,2.0849555202830467e-05,5.52054,19.4,3.7
85,27.0,1.22573,53.0,1.9663060125487872e-05,5.38129,19.2,3.7
86,27.1,1.19067,56.0,1.913789806339137e-05,5.23754,19.1,3.7
87,27.2,1.145,51.0,1.8382708643743107e-05,4.85241,18.8,3.6
88,27.3,1.09479,48.0,1.807529127314404e-05,4.87683,18.7,3.6
89,27.4,1.04649,47.0,1.7657168232000305e-05,5.0823,18.5,3.6
90,27.5,1.00542,44.0,1.7671501570721914e-05,5.17482,18.4,3.6
91,27.6,0.97408,42.0,1.7292522731764897e-05,5.19337,18.3,3.5
92,27.7,0.94682,41.0,1.703817250587863e-05,5.09639,18.3,3.5
93,27.8,0.91881,40.0,1.736121884242967e-05,5.20547,18.3,3.5
94,27.029411764705884,0.88808,39.0,1.6979895622705002e-05,5.23692,18.5,3.4
95,27.029411764705884,0.85508,53.16666666666666,1.6595530475453355e-05,5.32572,18.6,3.4
96,27.029411764705884,0.81988,53.16666666666666,1.6154984028120606e-05,5.33443,19.0,3.642105263157895
97,24.5,1.0037,43.0,4.502793046372852e-05,20.67671,28.9,3.3
98,24.6,0.98342,42.0,4.7232287066610735e-05,20.10868,28.5,3.3
99,24.6,0.97072,39.0,5.109797605562114e-05,19.45541,28.3,3.3
100,24.7,0.9646,38.0,5.163719903841541e-05,18.72933,27.9,3.2
101,24.7,0.96438,36.0,5.148160034231921e-05,18.04719,27.6,3.2
102,24.8,0.9685,35.0,5.229802903479294e-05,17.37245,26.9,3.2
103,24.8,0.97658,36.0,5.5436618809745554e-05,16.72719,26.3,3.2
104,24.9,0.98661,32.0,5.417865495600088e-05,16.16016,25.5,3.2
105,25.0,0.99827,36.0,5.423457497946834e-05,15.70173,24.6,3.2
106,25.1,1.01062,32.0,5.055604913239079e-05,15.27704,23.6,3.2
107,25.1,1.02239,32.0,4.6514732024584045e-05,15.08267,22.5,3.2
108,25.2,1.03145,30.0,4.27901178412891e-05,14.88892,21.6,3.2
109,25.3,1.03749,30.0,3.938737483146748e-05,14.581,21.0,3.2
110,25.3,1.04079,26.0,3.4295120947459875e-05,14.23683,20.3,3.2
111,25.4,1.04063,27.0,3.0549737490469994e-05,14.03153,19.8,3.2
112,25.5,1.03775,28.0,2.815061517472316e-05,13.88276,19.3,3.2
113,25.6,1.03232,26.0,2.608988836203667e-05,13.69299,19.1,3.2
114,25.00588235294118,1.02555,26.0,2.5368113016278653e-05,13.42429,19.1,3.2
115,25.00588235294118,1.01698,33.0,2.470053109479764e-05,13.15354,19.3,3.2
116,25.00588235294118,1.00826,33.0,2.425404685416706e-05,12.87654,19.6,3.2157894736842105
117,26.6,0.62788,7.0,4.303742166795621e-06,3.20857,11.8,3.9
118,26.7,0.60449,6.0,4.353627317891916e-06,3.08674,11.7,3.8
119,26.8,0.58227,6.0,4.146417050312624e-06,2.96692,11.6,3.8
120,26.9,0.56185,6.0,3.946062386234515e-06,2.92143,11.6,3.8
121,27.0,0.54351,5.0,3.850948103423063e-06,2.86615,11.6,3.7
122,27.0,0.5275,5.0,3.608083807977582e-06,2.83525,11.6,3.7
123,27.1,0.5138,5.0,3.709221984832015e-06,2.84715,11.6,3.6
124,27.2,0.50243,5.0,3.7591042613591456e-06,2.89832,11.7,3.6
125,27.2,0.49279,5.0,3.8081981938668018e-06,2.93214,11.6,3.6
126,27.3,0.48369,5.0,3.762467877930492e-06,2.91544,11.6,3.5
127,27.3,0.47426,5.0,3.671728167183916e-06,2.86057,11.6,3.5
128,27.4,0.46407,6.0,3.675336908946101e-06,2.73643,11.6,3.5
129,27.4,0.45282,6.0,3.4975237531827466e-06,2.67292,11.5,3.4
130,27.5,0.44043,6.0,3.593486805165637e-06,2.56657,11.5,3.4
131,27.5,0.42665,6.0,3.6432112579137658e-06,2.44471,11.6,3.4
132,27.5,0.41175,6.0,3.736097213073668e-06,2.34068,11.8,3.3
133,27.6,0.39564,6.0,3.696832910198188e-06,2.26658,12.1,3.3
134,27.176470588235293,0.3786,6.0,3.7878116142224062e-06,2.24045,12.4,3.2
135,27.176470588235293,0.36167,5.666666666666667,3.959984869414334e-06,2.23449,12.8,3.2
136,27.176470588235293,0.34524,5.666666666666667,4.007486829078156e-06,2.21541,13.3,3.5368421052631582
137,25.7,0.61734,6.0,8.381183109993292e-06,2.81144,12.1,4.1
138,25.8,0.59472,6.0,7.747467008702989e-06,2.78537,12.1,4.1
139,25.9,0.57318,6.0,7.486213095423936e-06,2.78091,12.0,4.0
140,25.9,0.55322,6.0,6.983021212703316e-06,2.73089,12.1,4.0
141,26.0,0.5341,5.0,6.728024620166312e-06,2.65434,12.1,4.0
142,26.1,0.51611,6.0,6.7198627290877565e-06,2.61327,12.1,3.9
143,26.1,0.49924,5.0,6.5910888478776695e-06,2.58008,12.2,3.9
144,26.2,0.48313,5.0,6.341631235850997e-06,2.51864,12.2,3.9
145,26.2,0.46776,5.0,6.337187358822395e-06,2.46819,12.3,3.8
146,26.3,0.45333,5.0,6.455321078535558e-06,2.46396,12.4,3.8
147,26.3,0.43949,5.0,6.330531667267255e-06,2.46837,12.4,3.8
148,26.4,0.4267,5.0,6.571517582460376e-06,2.46698,12.5,3.8
149,26.4,0.41434,5.0,6.569548463984823e-06,2.4526,12.6,3.7
150,26.4,0.4027,5.0,6.811288153248145e-06,2.44693,12.7,3.7
151,26.5,0.39106,5.0,6.810115258768571e-06,2.40594,12.9,3.7
152,26.5,0.37983,5.0,6.687712289267146e-06,2.3576,13.2,3.7
153,26.5,0.36865,5.0,6.3225528133779386e-06,2.31083,13.5,3.7
154,26.188235294117646,0.35787,5.0,6.07943979664517e-06,2.26544,13.8,3.6
155,26.188235294117646,0.34722,5.277777777777778,6.07943979664517e-06,2.22262,14.2,3.6
156,26.188235294117646,0.33669,5.277777777777778,6.081096776884924e-06,2.18952,14.6,3.831578947368421
157,24.8,3.02624,47.0,0.0001636520811109,19.1726,43.4,3.3
158,24.8,2.89474,44.0,0.0001565812775203,18.73702,42.2,3.3
159,24.9,2.76503,43.0,0.000149575703974,18.16166,41.2,3.3
160,25.0,2.63242,44.0,0.0001456784970227,17.53163,40.3,3.3
161,25.0,2.4948,39.0,0.0001396231023131,16.87904,39.5,3.3
162,25.1,2.35511,42.0,0.0001313249119958,16.13058,38.5,3.3
163,25.2,2.21721,35.0,0.0001141361936296,15.41358,37.4,3.3
164,25.3,2.08528,34.0,9.650541683795452e-05,14.65067,36.1,3.3
165,25.3,1.96614,32.0,9.197583296574098e-05,13.93027,34.6,3.3
166,25.4,1.86317,32.0,8.74355922816421e-05,13.23372,33.2,3.3
167,25.5,1.77832,31.0,8.482345057711662e-05,12.59253,31.8,3.3
168,25.6,1.71015,30.0,8.268350870501982e-05,12.02789,30.4,3.3
169,25.7,1.65877,29.0,7.97379287098677e-05,11.53454,29.1,3.3
170,25.8,1.62351,28.0,7.653679151722093e-05,11.08337,28.0,3.3
171,25.9,1.60395,28.0,7.299036465242855e-05,10.62689,27.1,3.3
172,26.0,1.59588,27.0,6.962634881880586e-05,10.19887,26.3,3.3
173,26.1,1.59808,26.0,6.604026328996993e-05,9.83128,25.7,3.3
174,25.376470588235293,1.60793,26.0,6.424802306825268e-05,9.52284,25.2,3.3
175,25.376470588235293,1.62412,34.27777777777778,6.414763553220853e-05,9.23718,24.9,3.3
176,25.376470588235293,1.64309,34.27777777777778,6.27960535247494e-05,8.9705,24.8,3.3
177,25.2,1.77615,27.0,1.985154101404725e-05,8.52261,26.2,3.8
178,25.2,1.71545,19.0,1.785485786045238e-05,8.17041,25.6,3.8
179,25.1,1.64968,25.0,1.6787184663228092e-05,7.86561,25.1,3.8
180,25.1,1.58229,21.0,1.5364838080214697e-05,7.57664,24.9,3.7
