,Mean BMI (kg/m²) (age-standardized estimate),Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),Maternal mortality ratio (per 100 000 live births),per_capita-Tuberculosis,Stillbirth rate (per 1000 total births),Prevalence of anaemia in children aged 6–59 months (%),"Mean Non-HDL cholesterol, age-standardized"
770,23.3,9.58715,256.0,0.000586974468504,31.31341,52.0,2.9
771,23.3,9.27959,256.0,0.0005529642214868,30.6587,51.9,2.9
772,23.4,8.96738,247.0,0.0005408511645201,30.08134,51.9,2.9
773,23.4,8.67843,246.0,0.0005220347070405,29.48615,52.0,2.9
774,23.176470588235293,8.38452,248.0,0.0005119806949762,28.90278,52.0,2.9
775,23.176470588235293,8.08927,340.0,0.0005108249823464,28.33472,52.0,2.9
776,23.176470588235293,7.81133,340.0,0.0004840003012541,27.85889,52.0,2.9315789473684206
777,24.8,2.5155,122.0,0.0001083092998639,15.72124,31.9,3.9
778,24.9,2.44747,117.0,9.707725409464492e-05,15.27219,31.4,3.9
779,25.0,2.37358,110.0,9.807224119784096e-05,14.81395,30.9,3.9
780,25.1,2.29347,100.0,9.51493634668206e-05,14.32087,30.5,3.9
781,25.2,2.21042,94.0,9.051196710331335e-05,13.86232,30.1,3.9
782,25.3,2.12687,94.0,8.951628852439242e-05,13.3787,29.6,3.9
783,25.4,2.04296,90.0,8.34228098656203e-05,12.92007,29.2,3.9
784,25.5,1.95899,85.0,7.612333565099177e-05,12.44826,28.5,3.9
785,25.6,1.87571,82.0,7.112767459388432e-05,11.98371,27.8,3.9
786,25.8,1.79468,80.0,6.738442284864422e-05,11.54823,27.1,3.9
787,25.9,1.71655,78.0,6.341862349404433e-05,11.08769,26.3,3.9
788,26.0,1.64302,76.0,5.563942931137111e-05,10.68833,25.6,3.9
789,26.1,1.57521,71.0,5.071047210661286e-05,10.31858,25.0,3.8
790,26.2,1.51223,67.0,4.721677207103967e-05,10.0096,24.5,3.8
791,26.4,1.45375,65.0,4.624894542503069e-05,9.73696,24.3,3.8
792,26.5,1.39743,63.0,4.524716927911303e-05,9.47938,24.0,3.8
793,26.6,1.34234,61.0,4.421427868726252e-05,9.27048,23.8,3.8
794,25.66470588235294,1.28601,59.0,4.4319185793945374e-05,9.06249,23.7,3.8
795,25.66470588235294,1.22861,84.11111111111111,4.481025710468161e-05,8.8666,23.6,3.8
796,25.66470588235294,1.171,84.11111111111111,4.40034019718553e-05,8.72031,23.5,3.8631578947368417
797,26.4,3.09882,64.0,1.6574954985184753e-05,17.50283,39.6,3.6
798,26.5,2.94229,63.0,1.6417800055649283e-05,16.89994,39.6,3.6
799,26.5,2.81018,60.0,1.6494391906751705e-05,16.3529,39.8,3.6
800,26.6,2.71124,57.0,1.6416827775074092e-05,15.86308,40.0,3.6
801,26.7,2.64977,54.0,1.529373605749228e-05,15.37251,40.1,3.6
802,26.8,2.6263,52.0,1.451542627271754e-05,14.84549,40.2,3.6
803,26.8,2.64095,50.0,1.4331869305443604e-05,14.36591,40.0,3.6
804,26.9,2.67964,47.0,1.4258052192029508e-05,13.80768,39.7,3.6
805,27.0,2.72182,45.0,1.4068158324580962e-05,13.28742,39.1,3.5
806,27.1,2.7503,45.0,1.3364333854145058e-05,12.80549,38.4,3.5
807,27.2,2.7576,45.0,1.291134373014213e-05,12.31924,37.7,3.5
808,27.3,2.73896,42.0,1.2536605914607416e-05,11.79987,36.9,3.5
809,27.4,2.69567,42.0,1.2893102202270906e-05,11.29728,36.2,3.5
810,27.5,2.63309,40.0,1.3470992416100924e-05,10.86281,35.5,3.4
811,27.6,2.5569,39.0,1.31768080444954e-05,10.4135,34.9,3.4
812,27.7,2.47646,39.0,1.221642965813706e-05,10.08094,34.1,3.4
813,27.8,2.39896,38.0,1.1402522224592785e-05,9.77932,33.5,3.4
814,27.04705882352941,2.32717,37.0,1.0672750847621578e-05,9.52363,33.0,3.3
815,27.04705882352941,2.263,47.72222222222222,1.0105283522390163e-05,9.24491,32.5,3.3
816,27.04705882352941,2.20628,47.72222222222222,9.416040795524552e-06,9.04754,32.2,3.5
817,25.5,1.65502,73.0,2.6667478087367445e-05,20.07764,21.9,3.7
818,25.6,2.39741,75.0,2.3454636862734965e-05,19.11952,22.2,3.7
819,25.7,1.52704,68.0,2.067155441617261e-05,18.11042,22.5,3.7
820,25.8,1.47606,66.0,1.993295432566224e-05,17.10268,22.9,3.7
821,25.9,1.43222,64.0,1.9544673141457435e-05,16.14619,23.3,3.7
822,26.0,1.39327,62.0,1.846808572079512e-05,15.26971,23.7,3.7
823,26.1,1.35848,60.0,1.7417830130266945e-05,14.50577,24.1,3.7
824,26.1,1.32687,58.0,1.65503350857742e-05,13.97878,24.3,3.7
825,26.2,1.29795,57.0,1.564984569085661e-05,13.5118,24.5,3.7
826,26.3,1.59896,57.0,1.6084645696710574e-05,13.04082,24.7,3.7
827,26.4,1.24697,54.0,1.4870959725475474e-05,12.59505,24.9,3.7
828,26.5,1.22564,53.0,1.5152079112298975e-05,12.19172,24.9,3.7
829,26.5,1.20845,52.0,1.3955826688991613e-05,11.80735,24.9,3.6
830,26.6,1.19515,50.0,1.4405943106346963e-05,11.45826,24.9,3.6
831,26.7,1.18611,49.0,1.5998662642404423e-05,11.17456,24.9,3.6
832,26.8,1.17896,48.0,1.6120234150471803e-05,10.97309,24.8,3.6
833,26.8,1.17154,47.0,1.559284483332711e-05,10.74336,24.7,3.5
834,26.205882352941178,1.16288,46.0,1.5392065892299932e-05,10.52924,24.6,3.5
835,26.205882352941178,1.15279,57.72222222222222,1.4906000653595724e-05,10.30267,24.6,3.5
836,26.205882352941178,1.14013,57.72222222222222,1.434944609525775e-05,10.09856,24.6,3.647368421052632
837,21.4,19.79445,454.0,0.000901353658214,18.0418,77.7,2.8
838,21.4,19.17545,421.0,0.0007590147829988,17.89337,76.8,2.8
839,21.5,18.57239,392.0,0.000645205889808,17.7246,75.9,2.8
840,21.6,17.96199,370.0,0.0005803029143894,17.55392,75.0,2.8
841,21.6,17.31371,357.0,0.0005259196793703,17.26005,74.1,2.8
842,21.7,16.65993,344.0,0.0004742327654293,16.9991,73.1,2.8
843,21.8,16.03485,331.0,0.0004388408430544,16.5718,72.2,2.8
844,21.8,15.39369,322.0,0.000405160038215,16.2742,71.2,2.8
845,21.9,14.75091,314.0,0.0003763429522482,16.05716,70.3,2.9
846,21.9,14.14274,310.0,0.0003552027734232,15.87494,69.5,2.9
847,22.0,13.57727,308.0,0.0003319491871855,15.77376,68.9,2.9
848,22.0,13.06241,308.0,0.0003172584084702,15.67727,68.3,2.9
849,22.1,12.54752,305.0,0.0002959222497088,15.55916,67.9,2.9
850,22.1,12.08988,300.0,0.0002755677903866,15.4284,67.5,2.9
851,22.2,11.63566,295.0,0.0002699881205226,15.30169,67.2,2.9
852,22.3,11.14513,296.0,0.0002672991847374,15.18532,66.8,2.8
853,22.3,10.7231,301.0,0.0002659816104001,15.10511,66.3,2.8
854,21.858823529411765,10.30479,301.0,0.000255666415711,15.11968,65.7,2.8
855,21.858823529411765,9.915,334.94444444444446,0.0002492426364218,15.15103,65.0,2.8
856,21.858823529411765,9.55329,334.94444444444446,0.0002363064686753,15.07911,64.3,2.8368421052631576
857,20.2,12.22403,1280.0,0.0010990372405183,23.20129,59.5,2.7
858,20.2,11.19288,1180.0,0.0010640870393691,22.94916,58.1,2.8
859,20.2,10.26437,1130.0,0.0010764797823779,22.68004,56.8,2.8
860,20.2,9.41247,1060.0,0.0010353143027841,22.46118,55.7,2.8
861,20.2,8.64451,938.0,0.0010025804219274,22.13945,54.7,2.8
862,20.3,7.96474,804.0,0.0009691172531275,21.91108,53.8,2.8
863,20.3,7.35109,705.0,0.0009485398891132,21.62077,53.0,2.8
864,20.3,6.79124,635.0,0.0009283876068653,21.3598,52.1,2.9
865,20.3,6.29678,605.0,0.0009172984642384,21.07994,51.3,2.9
866,20.3,5.82773,583.0,0.0008962014234391,20.79253,50.6,2.9
867,20.3,5.43067,567.0,0.0008736430136869,20.48339,49.9,2.9
868,20.3,5.09982,558.0,0.0008505789391805,20.19838,49.4,2.9
869,20.3,4.85321,549.0,0.0008293771702761,19.90906,49.0,2.9
870,20.3,4.6142,540.0,0.0008028962658024,19.69904,48.8,3.0
871,20.2,4.40436,530.0,0.0007710628270454,19.44931,48.7,3.0
872,20.2,4.22373,518.0,0.0007455931187898,19.17376,48.6,3.0
873,20.2,4.06253,498.0,0.0007202049475248,18.96237,48.7,3.0
874,20.25294117647059,3.92371,480.0,0.0006972286188598,18.70669,48.7,3.0
875,20.25294117647059,3.79051,731.1111111111111,0.0006891656302061,18.46215,48.8,3.0
876,20.25294117647059,3.64909,731.1111111111111,0.0006569938357279,18.26882,48.8,2.889473684210526
877,25.6,1.56947,29.0,7.682077929607526e-05,4.67562,23.1,4.0
878,25.7,1.47223,27.0,7.810315894430807e-05,4.47817,22.4,3.9
879,25.8,1.37957,25.0,7.205236000888156e-05,4.2557,21.8,3.9
880,25.9,1.29211,20.0,6.51503418171911e-05,4.06281,21.3,3.9
881,26.0,1.21135,18.0,6.111813389939657e-05,3.89115,20.7,3.9
882,26.1,1.13576,18.0,5.326759162213321e-05,3.6853,20.3,3.8
883,26.2,1.06648,16.0,5.210169949702983e-05,3.50838,19.8,3.8
884,26.3,1.00227,17.0,5.015532953571364e-05,3.37547,19.3,3.8
885,26.4,0.94179,14.0,4.206163176188528e-05,3.27677,18.7,3.8
886,26.4,0.88581,14.0,3.694095065997317e-05,3.17373,18.4,3.8
887,26.5,0.83427,11.0,3.1754145464965886e-05,3.03061,18.1,3.7
888,26.6,0.7858,13.0,3.0398382494273023e-05,2.90131,18.0,3.7
889,26.6,0.73986,12.0,2.824173987945484e-05,2.78552,17.8,3.7
890,26.7,0.69722,10.0,2.4479320896259008e-05,2.70577,17.7,3.7
891,26.8,0.65743,11.0,2.3053911970624548e-05,2.65231,17.7,3.7
892,26.8,0.61968,10.0,2.0811454624625395e-05,2.5971,17.7,3.6
893,26.9,0.58414,11.0,2.0959189234070613e-05,2.50633,17.7,3.6
894,26.311764705882357,0.55052,9.0,2.030100709235984e-05,2.39631,17.7,3.6
895,26.311764705882357,0.51871,15.833333333333334,2.030100709235984e-05,2.27932,17.8,3.6
896,26.311764705882357,0.48875,15.833333333333334,1.9792475890290306e-05,2.17644,18.0,3.763157894736842
897,19.7,29.27382,1030.0,0.0011315053492432,35.774,68.5,2.5
898,19.7,27.32008,988.0,0.0010632373993876,35.39038,66.5,2.6
899,19.8,25.45642,985.0,0.0009820014503586,35.02938,64.4,2.6
900,19.8,23.66257,972.0,0.0009116468415797,34.72048,62.4,2.6
901,19.8,21.82613,929.0,0.0008379176688619,34.38429,60.4,2.6
902,19.9,20.02524,865.0,0.0007697488950963,33.95147,58.5,2.6
903,19.9,18.23935,795.0,0.0007055937497577,33.48714,56.9,2.6
904,19.9,16.5089,731.0,0.0006432662211424,32.87891,55.3,2.6
905,19.9,14.92051,681.0,0.0005819745970795,32.37491,53.8,2.7
906,19.9,13.39609,638.0,0.0005218957101146,31.82823,52.6,2.7
907,20.0,12.00077,597.0,0.0004724275897348,31.05211,51.6,2.7
908,20.0,10.73038,558.0,0.0004357254553724,30.31478,51.0,2.7
909,20.0,9.57513,527.0,0.000401114982614,29.45973,50.6,2.7
910,20.0,8.54989,498.0,0.000368376381383,28.76788,50.4,2.8
911,20.0,7.63069,472.0,0.0003470564617218,28.00483,50.3,2.8
912,20.0,6.80444,446.0,0.0003262545305049,27.13466,50.5,2.8
913,20.1,6.0896,422.0,0.0003055473505734,26.33493,50.9,2.8
914,19.905882352941177,5.52281,401.0,0.0002877011375558,25.68823,51.2,2.8
915,19.905882352941177,5.07981,696.3888888888889,0.0002795938009373,25.1099,51.6,2.9
916,19.905882352941177,4.73265,696.3888888888889,0.0002558223432086,24.61425,52.1,2.6894736842105265
917,25.1,4.12703,51.0,5.963229237712953e-05,10.19875,36.3,4.0
918,25.2,3.91312,49.0,5.550566897899172e-05,10.23181,36.8,4.0
919,25.3,3.70293,48.0,5.387739708498792e-05,10.32529,37.3,4.0
920,25.3,3.50735,48.0,5.4666183984508816e-05,10.51333,38.0,4.0
921,25.4,3.32566,47.0,5.302341948032229e-05,10.71949,38.7,4.0
922,25.5,3.16139,46.0,5.259647268928156e-05,10.87464,39.4,3.9
923,25.6,3.01337,44.0,5.213609891639858e-05,10.83559,40.0,3.9
924,25.7,2.88372,43.0,5.163628340808859e-05,10.64223,40.4,3.9
925,25.8,2.77139,42.0,4.996891468679368e-05,10.35358,40.5,3.9
926,25.9,2.67625,40.0,4.835935143201251e-05,10.07961,40.5,3.9
927,26.0,2.59644,39.0,4.9087710606256055e-05,9.95919,40.4,3.9
928,26.1,2.53249,38.0,4.75583864118896e-05,10.07532,40.3,3.9
929,26.2,2.47937,38.0,4.831151263346056e-05,9.76855,40.1,3.9
930,26.3,2.43804,37.0,4.7950506156621966e-05,9.14519,39.9,3.9
931,26.4,2.40523,36.0,4.760813412650699e-05,8.61817,39.8,3.8
932,26.5,2.38075,35.0,4.728449541395377e-05,8.48688,39.8,3.8
933,26.6,2.78176,34.0,4.588644416111386e-05,8.52722,39.9,3.8
934,25.81764705882353,2.34467,34.0,4.560567595212707e-05,8.56659,39.9,3.8
935,25.81764705882353,2.33074,41.61111111111112,4.3433977097263873e-05,8.58304,39.9,3.8
936,25.81764705882353,2.31681,41.61111111111112,4.2950944652338944e-05,8.57639,39.9,3.9
937,26.1,0.70306,6.0,2.283018886176998e-05,2.6601,10.7,3.9
938,26.2,0.67885,5.0,2.1234254558946195e-05,2.5796,10.5,3.9
939,26.2,0.65495,5.0,2.021937443566281e-05,2.48611,10.4,3.8
940,26.3,0.63137,5.0,1.8638057568540497e-05,2.38651,10.3,3.8
941,26.3,0.60786,5.0,1.745129745602273e-05,2.30116,10.3,3.8
942,26.3,0.58469,5.0,1.646423948040392e-05,2.26313,10.2,3.7
943,26.4,0.5616,4.0,1.548350987083312e-05,2.27478,10.2,3.7
944,26.4,0.53892,4.0,1.469897641673316e-05,2.26599,10.1,3.7
945,26.4,0.5171,4.0,1.3918683239178844e-05,2.19804,10.1,3.6
946,26.4,0.49542,4.0,1.3332634957216528e-05,2.13172,10.0,3.6
947,26.4,0.47453,4.0,1.2749597150788532e-05,2.06191,10.0,3.6
948,26.4,0.45398,4.0,1.2359176688691354e-05,2.00792,10.0,3.6
949,26.4,0.43402,4.0,1.1590501868730916e-05,1.97986,10.1,3.6
950,26.4,0.41444,4.0,1.0823920636735173e-05,1.97643,10.2,3.6
951,26.4,0.39546,3.0,1.0628608151497144e-05,1.99671,10.4,3.6
952,26.4,0.37723,3.0,9.865364337390908e-06,2.02202,10.5,3.5
953,26.4,0.35962,3.0,9.483086441177838e-06,2.0384,10.8,3.5
954,26.34117647058824,0.3428,3.0,1.005031795982338e-05,2.02824,11.1,3.5
955,26.34117647058824,0.32716,4.166666666666667,1.0239946600574763e-05,2.02552,11.4,3.5
956,26.34117647058824,0.3124,4.166666666666667,1.0430049922011673e-05,2.02448,11.8,3.657894736842105
957,25.3,0.65743,10.0,3.299173502242293e-05,5.00412,10.9,4.0
958,25.4,0.62906,10.0,3.132761555010447e-05,4.98271,10.7,4.0
959,25.4,0.59998,10.0,2.969480725158838e-05,4.90909,10.7,3.9
960,25.5,0.57119,9.0,2.816407906710533e-05,4.8119,10.7,3.9
961,25.5,0.5434,9.0,2.525019925109732e-05,4.70788,10.9,3.9
962,25.6,0.51779,9.0,2.3811217798506995e-05,4.59467,10.9,3.9
963,25.6,0.49559,9.0,2.232491437060268e-05,4.52737,11.0,3.9
964,25.7,0.47686,9.0,2.0932215675500343e-05,4.49352,11.1,3.8
965,25.7,0.46141,9.0,1.9950734486758456e-05,4.49641,11.2,3.8
966,25.8,0.4486,9.0,1.920208968409722e-05,4.49138,11.3,3.8
967,25.8,0.43804,9.0,1.835772105367205e-05,4.4538,11.4,3.8
968,25.8,0.42898,9.0,1.7572230469018805e-05,4.41467,11.5,3.8
969,25.8,0.42122,9.0,1.6935933747116306e-05,4.34704,11.7,3.8
970,25.8,0.41388,9.0,1.6172385027274278e-05,4.17959,11.9,3.8
971,25.9,0.40683,8.0,1.522225768528623e-05,4.19145,12.3,3.7
972,25.9,0.39972,8.0,1.5097819693843366e-05,4.2855,12.7,3.7
973,25.9,0.39243,8.0,1.488713120925568e-05,4.26377,13.1,3.7
974,25.670588235294115,0.38485,8.0,1.505492022927536e-05,4.26712,13.6,3.7
975,25.670588235294115,0.37736,8.944444444444445,1.539911820668424e-05,4.30716,14.2,3.7
976,25.670588235294115,0.37011,8.944444444444445,1.5647164959575335e-05,4.34598,14.7,3.8210526315789473
977,22.9,9.1694,380.0,0.0005548236089577,17.56353,68.3,3.0
978,23.0,8.97791,370.0,0.0005444571738339,17.46958,67.9,3.0
979,23.1,8.81571,361.0,0.0005290586216946,17.34152,67.4,3.0
980,23.2,8.63893,356.0,0.0005252798428362,17.19001,67.0,3.0
981,23.2,8.44284,354.0,0.0005086440166166,17.02844,66.4,3.0
982,23.3,8.27314,348.0,0.0004872142094591,16.8436,65.9,3.0
983,23.4,8.10615,340.0,0.0004725208778512,16.66121,65.4,3.0
984,23.5,7.92346,336.0,0.0004586491409597,16.53159,64.8,3.0
985,23.5,7.73372,332.0,0.000448233716867,16.40987,64.2,3.0
986,23.6,7.53266,324.0,0.000429044886676,16.19568,63.7,3.0
987,23.7,7.3229,314.0,0.0003966982795719,15.98356,63.2,2.9
988,23.7,7.13174,304.0,0.0003729390834451,15.68231,62.8,2.9
989,23.8,6.90899,292.0,0.0003500544978272,15.42312,62.3,2.9
990,23.8,6.6902,277.0,0.0003316494806393,15.15233,61.9,2.9
991,23.9,6.4526,267.0,0.0003204597401525,14.86438,61.5,2.9
992,23.9,6.26118,261.0,0.0003102027987446,14.58866,60.9,2.9
993,24.0,6.07788,256.0,0.0002979509830369,14.36729,60.1,2.9
994,23.5,5.89348,252.0,0.0002849477078637,14.14324,59.4,2.9
995,23.5,5.6866,318.0,0.0002747911559002,13.9583,58.6,2.8
996,23.5,5.48793,318.0,0.0002574234626822,13.80085,57.9,2.9473684210526314
997,25.6,1.18624,31.0,7.99630076892177e-05,15.19092,36.9,3.1
998,25.7,1.17963,33.0,7.669351501549461e-05,15.05148,35.7,3.1
999,25.8,1.18018,42.0,7.465595343160425e-05,14.67399,34.4,3.0
1000,25.9,1.18571,37.0,6.77149967065888e-05,14.18235,33.2,3.0
1001,26.0,1.1957,38.0,6.327371827046724e-05,13.54042,31.9,3.0
1002,26.1,1.20939,39.0,5.836574627661815e-05,12.78714,30.7,3.0
1003,26.2,1.22491,33.0,5.491826296108548e-05,11.97654,29.6,3.0
1004,26.3,1.24039,36.0,5.230302261965823e-05,11.09329,28.5,3.0
1005,26.5,1.25354,39.0,5.506559175752309e-05,10.43762,27.5,3.0
1006,26.6,1.26216,43.0,5.37284162877694e-05,9.81249,26.6,3.1
1007,26.7,1.26438,32.0,5.303396673422701e-05,9.27502,25.7,3.1
1008,26.8,1.25938,32.0,5.037207738372227e-05,8.73471,24.9,3.1
1009,27.0,1.24695,30.0,5.031794377254189e-05,8.1953,24.3,3.1
1010,27.1,1.22667,30.0,4.697194479874607e-05,7.58608,23.9,3.1
1011,27.2,1.19816,29.0,4.3165759157968176e-05,7.01849,23.7,3.1
1012,27.4,1.16245,27.0,3.91163505903475e-05,6.57934,23.6,3.1
1013,27.5,1.12094,26.0,4.191798978176918e-05,6.27243,23.7,3.1
1014,26.49411764705882,1.07534,25.0,4.140527730294038e-05,5.91427,23.9,3.1
1015,26.49411764705882,1.02741,33.44444444444444,4.0292232214151655e-05,5.70521,24.2,3.1
1016,26.49411764705882,0.97954,33.44444444444444,3.9257869239889134e-05,5.72846,24.6,3.0631578947368423
1017,26.3,0.58243,7.0,9.965483167994733e-06,2.94344,11.7,4.1
1018,26.4,0.56289,7.0,8.9527955170814e-06,2.88858,11.6,4.1
1019,26.5,0.54446,7.0,8.29509021856544e-06,2.82843,11.6,4.0
1020,26.6,0.52687,6.0,7.757147751071966e-06,2.76824,11.7,4.0
1021,26.6,0.50974,6.0,6.99502400420681e-06,2.69081,11.7,3.9
1022,26.7,0.49319,6.0,6.647305701437769e-06,2.61021,11.7,3.9
1023,26.8,0.47761,6.0,6.314789742760725e-06,2.52463,11.7,3.8
1024,26.9,0.46353,6.0,6.0678383844987085e-06,2.43687,11.7,3.8
1025,26.9,0.45123,6.0,5.800254255851262e-06,2.34195,11.8,3.8
1026,27.0,0.44015,6.0,5.7186360671737386e-06,2.28186,11.8,3.7
1027,27.0,0.43055,6.0,5.634185375673273e-06,2.28573,11.9,3.7
1028,27.1,0.42196,6.0,5.511107200829852e-06,2.28625,12.0,3.7
1029,27.1,0.41401,5.0,5.522357454793908e-06,2.2998,12.1,3.6
1030,27.2,0.40696,5.0,5.545473474004004e-06,2.32507,12.4,3.6
1031,27.2,0.40085,5.0,5.382936151660917e-06,2.36754,12.7,3.6
1032,27.3,0.39572,5.0,5.4789839040068165e-06,2.52391,13.1,3.5
1033,27.3,0.39094,5.0,5.50030529171984e-06,2.65818,13.5,3.5
1034,26.876470588235293,0.38589,7.0,5.546317483422094e-06,2.72422,14.0,3.4
1035,26.876470588235293,0.3801,5.944444444444445,5.620764697964673e-06,2.73228,14.5,3.4
1036,26.876470588235293,0.37354,5.944444444444445,5.752473887503923e-06,2.71055,15.1,3.742105263157895
1037,22.0,11.83857,484.0,0.0005239063935008,28.69334,76.4,2.9
1038,22.1,11.40444,445.0,0.0005157381844411,28.25351,76.2,2.9
1039,22.1,10.98112,415.0,0.0005139521131567,27.76267,76.0,2.9
1040,22.2,10.56119,398.0,0.0005188481882466,27.42345,75.7,3.0
1041,22.3,10.15036,384.0,0.0005131712567061,27.16726,75.3,3.0
1042,22.3,9.76158,371.0,0.0004981782567106,26.9034,74.8,3.0
1043,22.4,9.38068,359.0,0.0004940869394117,26.62143,74.2,3.0
1044,22.4,9.01099,349.0,0.0004870607967449,26.33031,73.5,3.0
1045,22.5,8.65236,342.0,0.0004823215888047,25.95992,72.6,3.1
1046,22.5,8.31353,339.0,0.0004861474964722,25.5031,71.7,3.1
1047,22.5,7.9831,339.0,0.0004725996943775,25.11357,70.5,3.1
1048,22.5,7.68407,339.0,0.0004476611580168,24.6655,69.4,3.2
1049,22.5,7.39102,336.0,0.0004412091309095,24.30185,68.4,3.2
1050,22.5,7.11687,331.0,0.0004469113529028,24.14495,67.5,3.2
1051,22.5,6.85676,325.0,0.000449161505256,23.90942,66.5,3.2
1052,22.5,6.60499,320.0,0.0004512751824679,23.47698,65.4,3.2
1053,22.5,6.37622,314.0,0.0004337032649767,22.89314,64.1,3.3
1054,22.37058823529412,6.14373,308.0,0.000409280350961,22.43831,62.6,3.3
1055,22.37058823529412,5.92732,361.0,0.0003859459468904,21.99329,61.0,3.3
1056,22.37058823529412,5.71949,361.0,0.0003606047351638,21.65028,59.5,3.1
1057,26.7,0.68623,3.0,1.155400407799521e-05,4.56047,14.0,3.7
1058,26.8,0.6698,3.0,1.2096566512451197e-05,4.448,13.7,3.7
1059,26.9,0.65407,3.0,1.2165377843904622e-05,4.2241,13.5,3.6
1060,26.9,0.63853,3.0,1.2422424546710904e-05,3.94896,13.3,3.6
1061,27.0,0.62301,3.0,1.230332408580432e-05,3.65653,13.3,3.6
1062,27.1,0.60729,3.0,1.2747983428371423e-05,3.32855,13.3,3.6
1063,27.1,0.5914,3.0,1.3285856046065618e-05,3.11406,13.3,3.6
1064,27.2,0.5752,3.0,1.5037888941921055e-05,3.05342,13.3,3.6
1065,27.2,0.55905,3.0,1.473493530057776e-05,3.03584,13.3,3.6
1066,27.3,0.54329,3.0,1.564620503159602e-05,3.15872,13.4,3.5
1067,27.3,0.52751,3.0,1.5721013590490665e-05,3.25684,13.6,3.5
1068,27.4,0.51196,3.0,1.6263734956509843e-05,3.27479,13.8,3.5
1069,27.4,0.49673,3.0,1.615924921527807e-05,3.28084,14.1,3.5
1070,27.4,0.4822,3.0,1.44806904170411e-05,3.23337,14.5,3.5
1071,27.4,0.46831,3.0,1.271395993729141e-05,3.18904,15.0,3.5
1072,27.5,0.45499,3.0,1.197144337465523e-05,3.16002,15.4,3.5
1073,27.5,0.44237,3.0,1.1509986816423972e-05,3.20204,15.8,3.5
1074,27.18235294117647,0.43016,3.0,1.207227354434615e-05,3.26049,16.2,3.5
1075,27.18235294117647,0.41816,3.0,1.2536591757590234e-05,3.20258,16.5,3.5
1076,27.18235294117647,0.40614,3.0,1.2741073668887953e-05,3.09987,16.7,3.5578947368421048
1077,23.8,2.13725,38.0,9.841647885521953e-06,10.22267,24.5,3.3
1078,23.9,2.10296,36.0,9.775744422937808e-06,10.18577,24.3,3.3
1079,24.0,2.06871,34.0,9.72431565128604e-06,10.1095,24.2,3.3
1080,24.1,2.04126,34.0,9.67866821525358e-06,10.01301,24.0,3.3
1081,24.2,2.01632,38.0,9.618251594225202e-06,9.90915,24.1,3.3
1082,24.3,1.99215,33.0,9.560960685329664e-06,9.85639,24.1,3.3
1083,24.3,1.97136,31.0,9.505522708693752e-06,9.81067,24.1,3.3
1084,24.4,1.95116,31.0,9.444029956463022e-06,9.74017,24.1,3.4
1085,24.5,1.93585,30.0,9.38482473839801e-06,9.77674,24.0,3.4
1086,24.6,1.91749,30.0,9.328445228033845e-06,9.81332,24.0,3.4
1087,24.7,1.90318,29.0,9.274889165074477e-06,9.87826,24.1,3.4
1088,24.8,1.88762,28.0,9.223475590071853e-06,9.98174,23.9,3.4
1089,24.8,1.87135,28.0,9.173386172037683e-06,10.08128,23.8,3.4
1090,24.9,1.86114,27.0,9.124920156948626e-06,10.12728,23.8,3.4
1091,25.0,1.84737,26.0,9.078364441862154e-06,10.2005,23.7,3.5
1092,25.1,1.8336,25.0,9.033913310567871e-06,10.19547,23.7,3.5
1093,25.2,1.82143,25.0,8.991269477337506e-06,10.21425,23.6,3.5
1094,24.50588235294118,1.80717,25.0,8.950628334109055e-06,10.10456,23.6,3.5
1095,24.50588235294118,1.78862,30.444444444444443,8.950628334109055e-06,9.96689,23.6,3.5
1096,24.50588235294118,1.76412,30.444444444444443,8.875870944836462e-06,9.83834,23.6,3.3894736842105258
1097,24.4,3.51118,161.0,6.991414092435516e-05,19.90315,32.7,3.4
1098,24.5,3.31901,147.0,6.167834212870037e-05,19.49606,32.8,3.5
1099,24.5,3.14267,145.0,5.4055608969024834e-05,19.08854,32.9,3.5
1100,24.6,2.98376,137.0,5.159823177550454e-05,18.68402,33.0,3.5
1101,24.7,2.84441,137.0,4.824126259444525e-05,18.30566,32.8,3.5
1102,24.8,3.55068,142.0,4.391527946370497e-05,17.92917,32.2,3.5
1103,24.9,2.60212,137.0,4.102853313680318e-05,17.49854,31.4,3.5
1104,25.0,2.48711,132.0,3.802606686883859e-05,17.09586,30.1,3.5
1105,25.1,2.37422,125.0,3.584007206161785e-05,16.6925,28.4,3.5
1106,25.1,2.26584,131.0,3.4421678517038766e-05,16.30276,26.4,3.5
1107,25.2,2.16404,129.0,3.284026201363203e-05,15.9448,24.0,3.5
1108,25.3,2.07337,122.0,3.081494015355244e-05,15.46478,21.5,3.5
1109,25.4,1.99559,118.0,2.929279116467003e-05,15.02349,19.1,3.5
1110,25.5,1.9279,113.0,2.859434380224903e-05,14.72427,16.7,3.5
1111,25.6,1.86663,107.0,2.8128467627308454e-05,14.39107,14.7,3.5
1112,25.6,1.80895,103.0,2.8420137302777484e-05,14.07299,13.1,3.5
1113,25.7,1.75146,98.0,2.8374008670728384e-05,13.74196,11.8,3.5
1114,25.052941176470583,1.69276,95.0,2.74243160026317e-05,13.37625,10.8,3.5
1115,25.052941176470583,1.63492,126.61111111111111,2.703623605919823e-05,13.04729,10.2,3.5
