,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),per_capita-Lower Respiratory Infections,per_capita-Malaria,Maternal mortality ratio (per 100 000 live births),per_capita-Protein-Energy Malnutrition,Mean hemoglobin level of children aged 6-59 months,per_capita-Meningitis
71,20.319,0.0007713704020713,0.0004609152945818,258.0,0.0002163651019121,105.0,0.0001584756497056
72,19.31237,0.0007264583076013,0.0004865645212376,251.0,0.000196582461298,105.0,0.0001482775952247
73,18.47286,0.0006765702646575,0.0005052464930678,246.0,0.0001778178150151,105.0,0.0001364740576349
74,17.71616,0.0006352982085642,0.0005111234353206,241.0,0.0001563039103764,105.0,0.0001287095163223
75,17.0933,0.0006197643014218,0.0005206753409547,435.22222222222223,0.0001447258429411,105.0,0.0001237405957147
76,16.46195,0.0005840966159681,0.0004927558403036,435.22222222222223,0.0001327845393103,105.0,0.0001151469508127
77,2.80069,0.0004787381240857,1.6070430482906793e-07,66.0,4.5345398012602e-05,120.0,1.582937402566319e-05
78,2.74467,0.0005141113606752,1.5917581733068097e-07,67.0,4.557734236235165e-05,120.0,1.5280878463745373e-05
79,2.7028,0.0005513764305207,1.3158085875352716e-07,65.0,4.763227086877683e-05,120.0,1.5421276645913382e-05
80,2.68667,0.000588076024966,1.3042271567221956e-07,65.0,4.674350129692348e-05,120.0,1.541596499245635e-05
81,2.69609,0.0005992230826874,1.2905946213385058e-07,61.0,4.2950988998145465e-05,120.0,1.4893461930246356e-05
82,2.72475,0.0006068207096964,1.0208962141595245e-07,59.0,3.920241462372573e-05,120.0,1.4318069403587328e-05
83,2.75596,0.0006255548482936,1.0097330185120413e-07,57.0,3.688049850115231e-05,120.0,1.3934315655466167e-05
84,2.76186,0.0006618422876721,9.987810875607409e-08,56.0,3.595611915218667e-05,120.0,1.383311806271626e-05
85,2.72734,0.0006611333432142,9.880934736426069e-08,53.0,3.332345239859691e-05,120.0,1.363568993626797e-05
86,2.65441,0.0006834893760468,9.776703991515385e-08,56.0,3.187205501234016e-05,121.0,1.3589618548206383e-05
87,2.55598,0.0007181350258325,0.0,51.0,3.1057102498113354e-05,121.0,1.349677818843244e-05
88,2.44874,0.0007434091981637,0.0,48.0,2.992597892904641e-05,121.0,1.326319386135337e-05
89,2.35087,0.0007586420106551,0.0,47.0,2.8867692492048825e-05,121.0,1.1613439508295505e-05
90,2.27051,0.0007880363230322,0.0,44.0,2.8138287361614305e-05,121.0,1.1170829678172153e-05
91,2.20843,0.0008057757769688,0.0,42.0,2.733334238246709e-05,121.0,1.0970525173915364e-05
92,2.15906,0.0008313937446145,0.0,41.0,2.737619879660769e-05,121.0,1.079851743953659e-05
93,2.10777,0.000870867026113,0.0,40.0,2.7923957770215395e-05,121.0,1.0904944292616796e-05
94,2.03671,0.000850147876577,0.0,39.0,2.8239533465723763e-05,121.0,1.062656583578076e-05
95,1.93891,0.000824847606002,0.0,53.16666666666666,2.801343632028162e-05,121.0,1.0355249261250188e-05
96,1.84033,0.0008058381579033,0.0,53.16666666666666,2.7887902276879448e-05,121.0,1.0066310542969235e-05
97,1.87779,0.0001544753818828,0.0,43.0,5.916078455088419e-06,116.0,6.902091530936489e-06
98,1.84612,0.0001492936626161,0.0,42.0,5.284731420040362e-06,116.0,6.27561856129793e-06
99,1.82987,0.0001476532424983,0.0,39.0,4.313465511188798e-06,117.0,5.640685668477659e-06
100,1.82607,0.0001512470216996,0.0,38.0,3.331432196026801e-06,117.0,5.3302915136428815e-06
101,1.83259,0.0001614650192554,0.0,36.0,2.005776636713736e-06,117.0,4.680145485665383e-06
102,1.84806,0.0001743267634493,0.0,35.0,1.3409751034562293e-06,117.0,4.358169086232745e-06
103,1.86962,0.0001905003810007,0.0,36.0,1.0079385238135557e-06,117.0,4.031754095254223e-06
104,1.89665,0.0001928221695017,0.0,32.0,6.730267696397625e-07,117.0,3.365133848198812e-06
105,1.92647,0.0001943686320692,0.0,36.0,6.737214283163769e-07,118.0,3.3686071415818843e-06
106,1.95587,0.0001927870673581,0.0,32.0,6.740806550985439e-07,118.0,3.033362947943448e-06
107,1.98247,0.000192126067058,0.0,32.0,6.741265510809282e-07,119.0,2.6965062043237127e-06
108,2.00402,0.0001910393450079,0.0,30.0,6.738601234848676e-07,119.0,2.358510432197037e-06
109,2.01882,0.0001881841241947,0.0,30.0,3.366442293287819e-07,119.0,2.356509605301473e-06
110,2.02726,0.0001876144851831,0.0,26.0,3.3622667595548895e-07,119.0,2.017360055732934e-06
111,2.02747,0.0001900126529627,0.0,27.0,3.3571140099417573e-07,119.0,2.0142684059650543e-06
112,2.02097,0.0001994001908209,0.0,28.0,3.351263711276567e-07,120.0,2.01075822676594e-06
113,2.00835,0.0002050397636657,0.0,26.0,3.3448574823123937e-07,120.0,1.6724287411561967e-06
114,1.99133,0.0001942663391509,0.0,26.0,3.3379096074050856e-07,120.0,1.6689548037025428e-06
115,1.97039,0.0001885918928183,0.0,33.0,3.3379096074050856e-07,119.0,1.6689548037025428e-06
116,1.94495,0.0001814069805804,0.0,33.0,3.322472171803707e-07,119.0,1.6612360859018536e-06
117,1.3364,0.0001489514666995,0.0,7.0,4.933558093643761e-06,122.0,4.146288185083586e-06
118,1.28316,0.0001523769561262,0.0,6.0,5.027402974232331e-06,122.0,4.042653938042493e-06
119,1.23227,0.000158536464257,0.0,6.0,5.221414063356639e-06,122.0,3.839275046585763e-06
120,1.18539,0.0001609285185975,0.0,6.0,5.261416514979354e-06,122.0,3.693109669168201e-06
121,1.14345,0.0001556883304669,0.0,5.0,5.401329807398581e-06,122.0,3.5008619122027845e-06
122,1.10662,0.000148178565155,0.0,5.0,5.239135392405804e-06,122.0,2.71841930738037e-06
123,1.07512,0.0001433907130452,0.0,5.0,5.173388557792021e-06,122.0,2.5866942788960104e-06
124,1.04846,0.0001402435051353,0.0,5.0,5.156719948274725e-06,122.0,2.4578758631963643e-06
125,1.02598,0.0001346198061531,0.0,5.0,5.141067561720182e-06,122.0,2.380123871166751e-06
126,1.00666,0.0001318274682729,0.0,5.0,5.032300786732033e-06,122.0,2.3045115752324266e-06
127,0.98782,0.0001352962113249,0.0,5.0,5.112532891015578e-06,122.0,2.2774010150887576e-06
128,0.96931,0.0001403519282103,0.0,6.0,5.0535882498008885e-06,122.0,2.2052021453676603e-06
129,0.94981,0.0001449882574046,0.0,6.0,5.041884890951752e-06,122.0,2.180274547438595e-06
130,0.92962,0.0001485008422234,0.0,6.0,4.941044357102752e-06,122.0,2.021336327905671e-06
131,0.90781,0.0001568358017126,0.0,6.0,5.153811047780449e-06,122.0,1.99932325129414e-06
132,0.88522,0.000165399221327,0.0,6.0,5.274490183162825e-06,122.0,2.0218879035457496e-06
133,0.86088,0.0001707066961473,0.0,6.0,5.43651898558557e-06,122.0,1.9136546829261205e-06
134,0.83582,0.0001726467316437,0.0,6.0,5.4665008523437e-06,122.0,1.936949120909185e-06
135,0.81149,0.000178974098772,0.0,5.666666666666667,5.68171742133361e-06,122.0,1.979992434707167e-06
136,0.78793,0.0001800838028772,0.0,5.666666666666667,5.737033776364517e-06,122.0,1.940467306711528e-06
137,1.29499,0.0001469172098104,0.0,6.0,1.23252692794019e-07,122.0,4.437096940584684e-06
138,1.25411,0.0001426517734935,0.0,6.0,1.2297566680480934e-07,122.0,4.550099671777946e-06
139,1.21572,0.0001428516728372,0.0,6.0,1.227248048430154e-07,122.0,4.786267388877598e-06
140,1.17904,0.0001477460277635,0.0,6.0,1.2250914408251432e-07,122.0,4.777856619218058e-06
141,1.14406,0.0001445913654733,0.0,5.0,1.223277203666602e-07,122.0,4.403797933199768e-06
142,1.11079,0.0001449046763036,0.0,6.0,1.2217932234705013e-07,122.0,4.520634926840854e-06
143,1.07933,0.0001390231518098,0.0,5.0,1.220572008866235e-07,122.0,4.516116432805069e-06
144,1.04912,0.0001346377093149,0.0,5.0,1.219544468432884e-07,122.0,4.390360086358383e-06
145,1.02072,0.0001286936509791,0.0,5.0,1.2186898766966144e-07,122.0,4.631021531447135e-06
146,0.99352,0.0001249652721995,0.0,5.0,1.2179851091576524e-07,122.0,4.506544903883314e-06
147,0.96827,0.0001216192526076,0.0,5.0,2.434819872025868e-07,122.0,4.504416763247855e-06
148,0.94419,0.0001190174851045,0.0,5.0,2.4338954009112506e-07,122.0,4.2593169515946885e-06
149,0.92059,0.0001177652391321,0.0,5.0,2.4331660977721564e-07,122.0,4.136382366212666e-06
150,0.89763,0.0001176163507891,0.0,5.0,2.4326029118743375e-07,122.0,4.013794804592657e-06
151,0.87495,0.0001196634538326,0.0,5.0,2.432184020988776e-07,122.0,3.7698852325326015e-06
152,0.85223,0.0001275529125716,0.0,5.0,2.4318953779153255e-07,122.0,3.891032604664521e-06
153,0.82975,0.000132895196635,0.0,5.0,2.431751082068438e-07,122.0,3.8908017313095005e-06
154,0.80725,0.0001415293584658,0.0,5.0,2.431775918658069e-07,121.0,3.647663877987104e-06
155,0.78604,0.0001423804800374,0.0,5.277777777777778,2.431775918658069e-07,121.0,3.769252673920006e-06
156,0.76506,0.0001465544323229,0.0,5.277777777777778,2.4324387107539696e-07,121.0,3.770280001668653e-06
157,5.57218,0.0006266043221164,1.1816034737251565e-07,47.0,6.971460494978421e-06,111.0,2.481367294822828e-05
158,5.36583,0.0005695995574469,1.1720155503023217e-07,44.0,5.860077751511607e-06,112.0,2.2854303230895263e-05
159,5.18385,0.000538170126196,1.1631081179945273e-07,43.0,5.233986530975372e-06,112.0,2.0819635312102034e-05
160,5.01191,0.0005203792904741,1.1543462521609365e-07,44.0,4.848254259075932e-06,112.0,1.9623886286735915e-05
161,4.83395,0.0005043598458148,1.1444516583047309e-07,39.0,4.46336146738845e-06,113.0,1.7510110372062377e-05
162,4.64797,0.0004854149464972,1.1330881104044797e-07,42.0,4.192426008496574e-06,113.0,1.665639522294585e-05
163,4.4539,0.0004594598442971,1.1211806839852457e-07,35.0,3.699896257151311e-06,113.0,1.4799585028605243e-05
164,4.25446,0.0004300591966445,1.1092576648040753e-07,34.0,3.2168472279318177e-06,114.0,1.3089240444688089e-05
165,4.06439,0.0004131229537983,1.0975636392093197e-07,32.0,3.073178189786095e-06,114.0,1.2731738214828107e-05
166,3.88745,0.000396555711081,1.0861564258589081e-07,32.0,2.824006707233161e-06,115.0,1.2273567612205662e-05
167,3.73206,0.0003843394623741,1.0750754192283477e-07,31.0,2.6876885480708684e-06,115.0,1.1933337153434656e-05
168,3.59781,0.0003693622377286,1.0641378211714265e-07,30.0,2.553930770811423e-06,116.0,1.053496442959712e-05
169,3.48666,0.0003528693014241,0.0,29.0,2.4226847560461784e-06,116.0,9.796073144012808e-06
170,3.39407,0.0003362822243093,0.0,28.0,2.294018274358121e-06,117.0,7.820516844402684e-06
171,3.3194,0.0003216944501512,0.0,28.0,2.271270187204284e-06,117.0,7.536487439359667e-06
172,3.25781,0.0003054971075926,0.0,27.0,2.0448266907138285e-06,117.0,7.054652082962709e-06
173,3.20475,0.000289989683741,0.0,26.0,2.02577494754509e-06,117.0,6.786346074276051e-06
174,3.15686,0.0002736564232563,0.0,26.0,1.9073631848387515e-06,118.0,6.525189842869413e-06
175,3.10593,0.0002578955800974,0.0,34.27777777777778,1.8069756487946069e-06,118.0,6.324414770781124e-06
176,3.04867,0.0002422979801096,0.0,34.27777777777778,1.777246797870266e-06,118.0,6.121627859330916e-06
177,3.22129,5.344645657628107e-05,0.0,27.0,4.58112484939552e-06,117.0,6.108166465860694e-06
178,3.11012,5.207666875965278e-05,0.0,19.0,4.463714465113095e-06,117.0,5.951619286817461e-06
179,2.9884,6.015407837656733e-05,0.0,25.0,5.595728221076031e-06,117.0,4.196796165807023e-06
180,2.8695,6.658096501426369e-05,0.0,21.0,5.121612693404899e-06,118.0,5.121612693404899e-06
181,2.75851,6.720723291315057e-05,0.0,21.0,4.716297046536882e-06,118.0,4.716297046536882e-06
182,2.65438,6.659635838011455e-05,0.0,19.0,4.366974320007511e-06,118.0,4.366974320007511e-06
183,2.55805,6.50146841759338e-05,0.0,24.0,4.063417760995863e-06,118.0,4.063417760995863e-06
184,2.46928,6.264343923871136e-05,0.0,16.0,3.796572075073416e-06,118.0,3.796572075073416e-06
185,2.38774,6.050797802205741e-05,0.0,18.0,3.612416598331786e-06,118.0,3.612416598331786e-06
186,2.30981,5.8547753557649874e-05,0.0,19.0,3.4953882720985e-06,118.0,2.621541204073875e-06
187,2.23899,5.592841163310962e-05,0.0,18.0,3.3896007050369468e-06,118.0,2.54220052877771e-06
188,2.17661,5.433417990376264e-05,0.0,15.0,3.292980600228039e-06,118.0,2.469735450171029e-06
189,2.12138,5.2869872823924096e-05,0.0,18.0,2.403176037451096e-06,118.0,2.403176037451096e-06
190,2.07305,5.072846069558865e-05,0.0,17.0,2.34131357056563e-06,118.0,2.34131357056563e-06
191,2.02679,4.946392519836936e-05,0.0,15.0,2.282950393770894e-06,118.0,2.282950393770894e-06
192,1.97868,5.049706188786236e-05,0.0,15.0,2.2278115538762805e-06,118.0,2.2278115538762805e-06
193,1.92984,5.149016900378851e-05,0.0,15.0,2.17564094382205e-06,118.0,2.17564094382205e-06
194,1.87817,5.386472300066197e-05,0.0,14.0,2.126239065815604e-06,118.0,2.126239065815604e-06
195,1.8241,5.599096206647757e-05,0.0,18.666666666666668,2.126239065815604e-06,118.0,2.126239065815604e-06
196,1.77521,5.630875105833315e-05,0.0,18.666666666666668,2.0352560623493912e-06,118.0,2.0352560623493912e-06
197,11.05353,0.0006250512293655,6.785431621555162e-05,434.0,0.0001899648437911,106.0,2.604600829864265e-05
198,9.90312,0.0005831680318711,6.371324352641322e-05,423.0,0.0001670464872289,107.0,2.563253389770616e-05
199,9.57311,0.0005467018884511,6.322795438352234e-05,410.0,0.0001445387822474,107.0,2.590782600461869e-05
200,9.88471,0.0005080793066013,7.931515808073082e-05,395.0,0.000121926686578,108.0,2.7866905934419134e-05
201,10.48471,0.0004693920459676,8.478534498329269e-05,372.0,0.0001022475842138,108.0,2.899084484782805e-05
202,11.06643,0.0004358578529507,4.907771634683962e-05,343.0,8.399546392581103e-05,109.0,3.0574709632530705e-05
203,11.40156,0.0004040006141535,2.400402344834771e-05,315.0,7.029895977195946e-05,109.0,3.069266233927201e-05
204,11.30811,0.0003825412570725,2.546111003831028e-05,297.0,6.174873270699674e-05,109.0,3.111614951397824e-05
205,10.78096,0.0003533479123112,4.347280517922456e-05,280.0,5.293807156460536e-05,110.0,3.0656358586170515e-05
206,9.9876,0.000326648602772,2.6707814093522863e-05,269.0,4.557569737518336e-05,110.0,2.502271693147112e-05
207,9.09261,0.0003047941850106,3.198212352383892e-05,258.0,3.938675696937423e-05,110.0,2.346295182612097e-05
208,8.2027,0.0002780024797546,3.221279555807495e-05,248.0,3.348037032455363e-05,110.0,2.098750658129864e-05
209,7.42757,0.000252570388701,6.748040125795884e-06,238.0,2.8246166119936773e-05,111.0,1.8654885536353848e-05
210,6.81463,0.0002394245978536,2.9391121549555656e-06,227.0,2.458833120902536e-05,111.0,1.7640783350013966e-05
211,6.37554,0.0002335087539682,7.872230322046268e-06,214.0,2.185461038221248e-05,111.0,1.708556634448697e-05
212,6.13991,0.000221700403386,5.3326943096494e-06,200.0,2.058502864479535e-05,111.0,1.4003501372508856e-05
213,6.0953,0.0002160959879706,3.378046870144057e-06,186.0,1.8107496067720475e-05,111.0,1.3593726542959018e-05
214,6.27736,0.0002157609212425,3.209278225074751e-06,173.0,1.6321472116094447e-05,111.0,1.3501891961207345e-05
215,6.57575,0.0002137723149138,8.882823658689043e-07,293.44444444444446,1.4430290304889685e-05,111.0,1.3398736589687083e-05
216,6.87555,0.0002069987899044,6.104194651624511e-07,293.44444444444446,1.2663429268188304e-05,111.0,1.2890949250657943e-05
217,2.51807,0.0004676995030692,0.0,50.0,2.1923414206372404e-05,119.0,1.826951183864367e-05
218,2.48861,0.0004765265217929,0.0,48.0,2.1825642219522308e-05,119.0,1.4550428146348208e-05
219,2.45726,0.0005068460418944,0.0,47.0,2.172197322404767e-05,119.0,1.4481315482698448e-05
220,2.42537,0.0005404490050333,0.0,45.0,2.161796020133527e-05,119.0,1.4411973467556849e-05
221,2.3914,0.0005487450595011,0.0,43.0,2.1519414098085488e-05,119.0,1.4346276065390326e-05
222,2.35676,0.0005392144609462,0.0,42.0,1.7854783475040797e-05,119.0,1.428382678003264e-05
223,2.31891,0.0005263026880554,0.0,41.0,1.7780496218088456e-05,119.0,1.0668297730853072e-05
224,2.27802,0.0005206138284949,0.0,40.0,1.7707953350167695e-05,119.0,1.0624772010100616e-05
225,2.24151,0.0005079400912881,0.0,39.0,1.7636808725282012e-05,119.0,1.0582085235169208e-05
226,2.20175,0.0004778821388036,0.0,38.0,1.7569196279546995e-05,119.0,1.0541517767728195e-05
227,2.16253,0.0004761021239055,0.0,36.0,1.750375455535212e-05,119.0,1.0502252733211272e-05
228,2.12073,0.0004813309848101,0.0,35.0,1.395162274812089e-05,119.0,1.0463717061090668e-05
229,2.07741,0.0004830867505638,0.0,34.0,1.390177699464434e-05,119.0,1.0426332745983256e-05
230,2.03076,0.000484890466707,0.0,32.0,1.3854013334487834e-05,119.0,1.0390510000865877e-05
231,1.98654,0.0004936481634907,0.0,31.0,1.3808340237503452e-05,119.0,1.035625517812759e-05
232,1.94044,0.0005024018939863,0.0,31.0,1.3764435451679949e-05,119.0,1.0323326588759962e-05
233,1.89087,0.0005111579958489,0.0,30.0,1.7152952880838437e-05,120.0,1.0291771728503062e-05
234,1.84165,0.0005199496469815,0.0,27.0,1.7103606808603797e-05,120.0,1.026216408516228e-05
235,1.78923,0.0005370532537901,0.0,38.27777777777778,1.7103606808603797e-05,120.0,1.026216408516228e-05
236,1.73912,0.0005580622988083,0.0,38.27777777777778,1.7014094475863805e-05,120.0,1.0208456685518284e-05
237,2.93903,0.000146605981823,0.0,22.0,3.3885814969297955e-06,118.0,1.2757012694323936e-05
238,2.84075,0.0001503031713969,0.0,19.0,3.400071741513746e-06,118.0,1.2600265865609763e-05
239,2.74458,0.0001557981470768,0.0,18.0,3.013503811931647e-06,118.0,1.2656716010112917e-05
240,2.64935,0.000149113446358,0.0,15.0,2.725838220492044e-06,118.0,1.181196562213219e-05
241,2.55761,0.0001474236225403,0.0,13.0,2.840923214817119e-06,119.0,1.10593082291095e-05
242,2.46777,0.0001523070853378,0.0,11.0,2.854483527081403e-06,119.0,1.070431322655526e-05
243,2.38013,0.0001475567228112,0.0,9.0,2.7647685745344743e-06,119.0,9.932687101105334e-06
244,2.29337,0.0001392327575808,0.0,7.0,2.5707673113157054e-06,119.0,9.151931628283911e-06
245,2.20747,0.0001407219334594,0.0,6.0,2.477862364657093e-06,120.0,8.156296950329597e-06
246,2.12033,0.0001463434907669,0.0,6.0,2.487424772242578e-06,120.0,7.980487810944938e-06
247,2.0296,0.0001478263185358,0.0,5.0,2.7047743011487383e-06,120.0,7.698203780192563e-06
248,1.93723,0.0001493074639532,0.0,5.0,2.8190919767389413e-06,120.0,7.517578604637177e-06
249,1.84443,0.0001295206071372,0.0,4.0,2.724543515832689e-06,120.0,6.49698838390872e-06
250,1.75111,0.0001245221305484,0.0,3.0,2.944780114320571e-06,120.0,6.099901665378325e-06
251,1.6584,0.0001211783176945,0.0,3.0,2.9555687242562048e-06,120.0,5.9111374485124095e-06
252,1.56676,0.0001201458787102,0.0,3.0,2.754667413110903e-06,120.0,5.615283572879918e-06
253,1.47714,0.0001209223278771,0.0,3.0,2.658802284017514e-06,120.0,5.530308750756429e-06
254,1.39157,0.0001227846315921,0.0,2.0,2.669231121569277e-06,120.0,5.4452314880013255e-06
