,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",Out-of-pocket expenditure (OOP) per capita in US$,"Nursing and midwifery personnel (per 10,000)",per_capita-Alzheimer's Disease and Other Dementias
87,1.2,37.746,48.8,263.79,20.7174,0.0002518189206447
88,1.2,37.746,49.3,324.97,20.7174,0.0002575070634886
89,1.2,37.746,49.9,356.99,20.7174,0.0002617053041848
90,1.2,39.385,50.4,381.25,42.463,0.0002650959916904
91,1.2,37.746,50.9,347.82,20.7174,0.0002668254851621
92,1.2,39.9,51.4,397.15,20.7174,0.0002682591187378
93,1.2,40.013,51.9,341.08,25.821,0.0002694525042679
94,1.2,39.901,52.3,395.28,25.996,0.0002686938476434
95,1.2,37.746,52.7,312.77,20.7174,0.0002690556030761
96,1.2,40.685,53.2,261.65,20.7174,0.0002676571975498
97,1.1,27.007,27.6,16.2,59.089,0.0001212796083293
98,1.1,26.187,28.3,16.41,54.519,0.0001261729626534
99,1.1,25.633,29.1,44.86,51.295,0.0001307311854929
100,1.1,24.563,29.9,51.04,49.382,0.0001375881496959
101,1.1,24.604,30.6,51.67,48.609,0.0001447502139495
102,1.1,25.643,31.3,60.64,49.884,0.0001545473806733
103,1.1,25.897,31.9,77.23,51.117,0.0001649659383974
104,1.1,26.724,32.6,100.5,51.419,0.0001746504467215
105,1.1,27.432,33.1,190.25,51.981,0.000185273392787
106,1.1,27.679,33.7,186.17,51.799,0.0001944722689959
107,1.1,28.419,34.2,230.72,52.396,0.0002069568511818
108,1.1,28.677,34.7,259.24,52.988,0.0002179937499473
109,1.1,28.968,35.1,264.31,52.888,0.0002292547201729
110,1.1,29.031,35.5,328.38,52.009,0.0002397296199562
111,1.1,28.928,35.7,334.65,51.552,0.0002487621481366
112,1.1,29.143,36.0,297.93,49.535,0.0002613985694795
113,1.1,28.150470588235294,36.1,288.28,51.903875,0.0002709334560673
114,1.1,44.023,36.2,342.16,51.903875,0.0002800506160612
115,1.1,28.150470588235294,36.3,355.88,51.903875,0.0002873940171975
116,1.1,28.150470588235294,36.5,444.32,51.903875,0.0002900518205984
117,1.4,24.944,53.7,344.1,100.871,0.0002969582095088
118,1.4,25.732,54.8,319.7,105.956,0.0003076045015677
119,1.4,25.717,55.8,352.68,99.917,0.0003180455448591
120,1.4,26.406,56.8,430.68,99.864,0.0003273208158838
121,1.4,27.146,57.8,531.81,102.374,0.0003345823741805
122,1.4,27.794,58.6,591.86,97.628,0.000343707052064
123,1.4,28.338,59.3,628.98,110.71036842105262,0.0003547187550757
124,1.4,29.954,60.0,722.05,101.586,0.0003647295006405
125,1.4,30.056,60.5,778.95,102.627,0.0003730130130892
126,1.4,31.085,61.0,761.23,107.496,0.0003792567620953
127,1.4,33.429,61.4,976.61,104.017,0.0003879018137128
128,1.4,32.878,61.7,1123.83,108.124,0.0003990956466001
129,1.4,32.858,61.8,1201.11,101.433,0.0004064395135516
130,1.4,33.53,61.9,1133.97,119.398,0.00041392476137
131,1.4,34.314,61.8,1088.03,121.107,0.0004232345175961
132,1.4,34.886,61.7,911.33,122.016,0.0004328598276982
133,1.4,35.672,61.5,921.69,124.053,0.0004407494671993
134,1.4,36.778,61.2,961.65,125.508,0.0004485113297749
135,1.5,37.595,61.0,956.02,128.134,0.0004650399622733
136,1.4052631578947368,38.503,60.7,867.37,131.388,0.0004741489679877
137,1.5,38.492,45.4,404.41,56.942,0.0003665535083694
138,1.5,39.616,46.4,421.42,57.417,0.0003690499760812
139,1.5,40.337,47.4,464.93,58.43,0.0003738197555518
140,1.5,41.173,48.4,583.88,58.487,0.0003759805631892
141,1.5,42.095,49.5,693.84,60.964,0.0003777480004922
142,1.5,43.355,50.5,711.78,61.789,0.0003906072935435
143,1.5,44.684,51.6,730.24,63.42,0.000397174131685
144,1.5,45.528,52.7,842.28,64.122,0.0004067180802223
145,1.5,46.169,53.9,922.73,65.626,0.0004153295099782
146,1.5,47.06,55.0,889.75,66.734,0.000427878168847
147,1.5,48.016,56.2,893.03,67.211,0.0004487373024143
148,1.5,48.398,57.3,968.43,68.065,0.0004679163908251
149,1.5,48.859,58.5,927.37,68.288,0.0004871198527739
150,1.5,49.744,59.5,1003.68,68.74,0.0005014810902828
151,1.5,50.359,60.6,1030.08,69.807,0.0005168391044601
152,1.5,51.035,61.6,880.64,70.138,0.0005370840942125
153,1.5,51.234,62.5,906.34,70.183,0.0005517643205213
154,1.5,51.697,63.4,1019.33,70.899,0.0005633208915571
155,1.5,52.114,64.2,1042.81,70.891,0.000572561640048
156,1.5,52.734,65.1,999.78,105.6,0.000584028534452
157,1.1,35.743,26.4,13.13,86.612,9.488275894013004e-05
158,1.1,35.48,27.1,13.45,85.509,9.352684091412524e-05
159,1.1,35.618,27.8,14.89,83.524,9.107136563897148e-05
160,1.1,35.505,28.6,16.39,82.922,8.900009604160817e-05
161,1.1,35.568,29.4,18.01,81.916,8.686388086532905e-05
162,1.1,35.819,30.2,20.52,82.422,8.486829946929553e-05
163,1.1,35.649,31.1,28.33,82.576,8.408855129889343e-05
164,1.1,37.124,32.0,39.74,82.338,8.197414142902115e-05
165,1.1,36.844,33.0,58.16,81.608,8.165873475717337e-05
166,1.1,36.751,34.1,72.04,81.077,8.309096657820646e-05
167,1.1,36.629,35.1,84.48,73.513,8.439342040942527e-05
168,1.1,34.376,36.3,105.61,69.594,8.715288755393982e-05
169,1.1,34.901,37.4,135.19,68.002,8.76379876969748e-05
170,1.1,34.558,38.5,154.06,66.417,8.936243914204134e-05
171,1.1,34.46,39.6,175.29,64.338,9.095404704213516e-05
172,1.1,33.731,40.7,152.78,78.15786666666666,9.089254640222968e-05
173,1.1,33.062,41.8,110.95,78.15786666666666,9.176760512379258e-05
174,1.1,32.37,42.9,112.47,78.15786666666666,9.105149519203934e-05
175,1.1,32.65,43.9,123.31,78.15786666666666,9.215575808852494e-05
176,1.1,31.678,45.0,131.24,78.15786666666666,9.29105131553289e-05
177,1.1,10.202,24.9,125.27,29.807,3.512195717869899e-05
178,1.1,10.636,25.4,122.94,31.049,3.570971572090476e-05
179,1.1,10.774,25.9,129.39,28.717,3.63722334369942e-05
180,1.1,10.479,26.5,178.64,28.252,3.58512888538343e-05
181,1.1,9.677,27.1,170.07,26.57185714285714,3.419315358739239e-05
182,1.1,10.436,27.7,160.78,26.867,3.275230740005633e-05
183,1.1,10.142,28.6,160.22,27.181,3.1491487647717936e-05
184,1.1,10.155,29.5,208.99,26.57185714285714,3.132171961935568e-05
185,1.1,9.896,30.4,206.26,25.624,3.0705541085820184e-05
186,1.1,9.695,31.3,222.6,25.23,3.14584944488865e-05
187,1.1,9.493,32.2,226.64,24.595,3.220120669785099e-05
188,1.2,9.451,33.1,229.0,24.973,3.37530511523374e-05
189,1.2,9.57,34.0,260.36,24.802,3.44455232034657e-05
190,1.2,9.536,34.9,286.98,25.042,3.590014141533966e-05
191,1.2,9.573,35.6,288.26,24.923,3.72881897649246e-05
192,1.2,9.257,36.3,291.68,24.944,3.935800411848096e-05
193,1.2,9.93575,36.9,307.55,26.57185714285714,4.206239158055964e-05
194,1.2,9.93575,37.2,342.78,26.57185714285714,4.465102038212768e-05
195,1.2,9.93575,37.4,298.29,26.57185714285714,4.8194752158487024e-05
196,1.1421052631578947,9.93575,37.5,279.6,26.57185714285714,5.020298287128498e-05
197,1.1,4.030555555555555,28.5,5.23,2.5196875,4.661342565939533e-05
198,1.1,2.498,29.3,5.45,2.5196875,4.6082046000604886e-05
199,1.1,4.030555555555555,30.0,5.82,2.5196875,4.583186478482038e-05
200,1.1,2.714,30.8,6.41,2.754,4.5339355456411966e-05
201,1.1,2.809,31.6,6.93,2.5196875,4.4597500677323216e-05
202,1.1,3.084,32.4,7.53,2.839,4.425597293984873e-05
203,1.1,3.167,33.2,8.03,2.841,4.433612064841249e-05
204,1.1,3.293,34.0,9.42,1.625,4.468287129645957e-05
205,1.1,3.42,34.8,10.61,1.623,4.554828956819772e-05
206,1.1,3.544,35.7,12.05,1.714,4.709814037101389e-05
207,1.1,3.635,36.5,13.98,1.83,4.9052493880544457e-05
208,1.1,3.839,37.3,15.39,1.932,5.0141726210308136e-05
209,1.1,4.001,38.1,15.83,2.067,5.198536155787924e-05
210,1.1,4.218,38.9,18.28,2.1,5.58309101035946e-05
211,1.1,4.887,39.7,20.8,2.56,6.0842898524172713e-05
212,1.1,4.858,40.5,23.59,2.75,6.469073119252823e-05
213,1.1,4.974,41.2,25.29,2.639,7.010612099297245e-05
214,1.1,5.433,42.0,27.64,3.163,7.648397712829933e-05
215,1.1,5.809,42.7,30.96,3.962,8.297130382612901e-05
216,1.1,6.367,43.5,33.33,3.916,8.664626844587737e-05
217,1.1,13.444,47.9,236.57,58.269,0.0002850043846828
218,1.1,15.413,48.7,235.71,57.982,0.0002837333488537
219,1.1,17.858249999999998,49.6,243.21,48.57475,0.0002860059807832
220,1.1,17.858249999999998,50.5,280.97,48.57475,0.0002882394693511
221,1.1,17.858249999999998,51.4,307.44,48.57475,0.0002869255213078
222,1.0,17.698,52.3,328.17,47.448,0.0002856765356006
223,1.0,17.858249999999998,53.2,354.03,48.57475,0.0002844879394894
224,1.0,17.858249999999998,54.2,374.17,48.57475,0.0002833272536026
225,1.0,17.858249999999998,55.2,392.51,48.57475,0.0002857163013495
226,1.0,17.858249999999998,56.2,412.38,48.57475,0.0002846209797286
227,1.0,17.858249999999998,57.1,414.18,48.57475,0.0002905623256188
228,1.0,17.858249999999998,58.1,479.05,48.57475,0.0002929840777105
229,1.0,17.858249999999998,59.0,487.96,48.57475,0.0002988882053848
230,1.0,17.858249999999998,59.9,505.41,48.57475,0.0003047882933587
231,1.0,17.858249999999998,60.7,505.35,48.57475,0.0003072355702844
232,1.0,17.858249999999998,61.5,492.63,48.57475,0.0003131409065257
233,1.0,17.858249999999998,62.3,497.63,48.57475,0.0003224755141597
234,1.0,24.878,63.1,521.62,48.57475,0.0003283892507251
235,1.0,17.858249999999998,63.8,541.74,30.6,0.0003352306934486
236,1.0263157894736843,17.858249999999998,64.5,534.23,48.57475,0.0003402818895172
237,1.4,32.998,44.7,9.24,96.648,0.0002436788752939
238,1.4,45.8327,45.5,15.4,97.776,0.0002484052413505
239,1.4,45.8327,46.4,20.05,98.952,0.000251326217915
240,1.4,45.8327,47.2,22.16,97.846,0.0002547144381593
241,1.4,45.8327,48.0,27.44,99.291,0.0002604517818726
242,1.4,45.8327,48.8,43.2,100.416,0.0002672000473028
243,1.4,45.8327,49.6,54.59,100.877,0.0002742240830593
244,1.4,45.8327,50.4,72.5,101.012,0.0002785683458541
245,1.4,45.8327,51.3,104.96,103.691,0.000286812568709
246,1.4,45.8327,52.2,89.88,105.014,0.0002967290467887
247,1.4,45.8327,53.1,100.23,106.145,0.00030439113866
248,1.4,47.611,54.1,107.4,106.038,0.0003155294797668
249,1.4,48.352,55.1,112.59,109.154,0.0003228584066261
250,1.4,48.534,56.1,154.26,108.534,0.0003360204451876
251,1.4,50.12,57.1,157.1,109.823,0.000348862665488
252,1.4,51.905,58.1,131.33,110.027,0.0003593781486643
253,1.4,43.954,59.1,79.78,103.20275,0.000369467165387
254,1.4,44.484,60.0,90.25,103.20275,0.0003771089728553
255,1.4,44.987,60.9,89.32,103.20275,0.00038511666622
256,1.4,45.382,61.9,102.61,103.20275,0.0003966969408691
257,1.4,28.204,48.4,374.19,111.09475,0.0004055100258018
258,1.4,28.397,49.4,368.25,111.09475,0.0004089711698159
259,1.4,28.497,50.3,435.1,111.09475,0.00041078474821
260,1.4,28.454,51.2,597.43,111.09475,0.0004110030332527
261,1.4,28.522,52.1,674.53,91.81,0.0004110829668632
262,1.4,28.521,53.0,695.85,94.046,0.0004223114765676
263,1.4,28.664,54.0,729.38,95.324,0.0004324088089998
264,1.4,28.855,55.0,849.98,96.536,0.000444659305908
265,1.4,29.021,55.9,942.51,97.552,0.0004580951986413
266,1.4,29.078,56.9,927.48,98.818,0.0004657041985201
267,1.4,29.085,57.9,906.86,100.931,0.0004806450198604
268,1.4,29.219,58.8,973.43,103.901,0.0004980119306211
269,1.4,29.393,59.7,911.35,106.26,0.0005143531742986
270,1.4,29.585,60.6,970.21,109.082,0.0005286153132033
271,1.4,29.723,61.5,980.52,111.914,0.0005414685165915
272,1.5,30.138,62.3,829.98,118.08,0.0005641031969259
273,1.5,30.679,63.2,816.47,119.781,0.0005825494129466
274,1.5,30.709,64.0,850.31,118.656,0.0006020749886405
275,1.5,31.146,64.8,936.36,117.356,0.0006188046048698
276,1.4210526315789471,31.495,65.6,901.45,197.469,0.0006321480994465
277,1.2,10.15,31.4,49.51,12.252,9.274043967032788e-05
278,1.2,10.2534,31.8,52.92,18.99055555555556,9.032394880595666e-05
279,1.2,10.2534,32.1,55.15,18.99055555555556,9.184915307426768e-05
280,1.2,10.2534,32.5,56.41,18.99055555555556,8.95662753118026e-05
281,1.2,10.2534,32.8,56.95,18.99055555555556,9.103488456776636e-05
282,1.2,10.2534,33.2,55.75,18.99055555555556,9.243162725879788e-05
283,1.2,10.2534,34.2,54.85,18.99055555555556,9.37653019763642e-05
284,1.2,10.2534,35.2,56.31,18.99055555555556,9.504090153083738e-05
285,1.2,10.2534,36.2,57.28,18.99055555555556,9.62591695157168e-05
286,1.2,7.658,37.3,58.84,18.112,9.743454834215116e-05
287,1.2,10.2534,38.4,59.69,18.99055555555556,0.0001017416905653
288,1.2,10.2534,39.2,62.04,18.99055555555556,0.0001027669215078
289,1.2,11.45,39.9,62.37,11.036,0.0001037474177572
290,1.2,10.2534,40.7,64.33,19.555,0.0001076886720491
291,1.2,10.2534,41.4,65.05,20.232,0.0001114879534332
292,1.2,10.2534,42.1,66.27,20.948,0.0001122725401518
293,1.2,10.2534,42.8,70.24,21.444,0.0001158656862357
294,1.2,11.229,43.4,67.53,23.922,0.0001193297552907
295,1.2,10.78,44.1,66.41,23.414,0.0001276550870552
296,1.2,10.2534,44.8,64.0,18.99055555555556,0.0001285977222128
297,1.1,0.5825714285714286,13.2,8.33,5.729888888888889,5.650297924799671e-05
298,1.1,0.5825714285714286,13.5,8.4,5.729888888888889,5.5563630153270815e-05
299,1.1,0.5825714285714286,13.8,9.21,5.729888888888889,5.563036636630515e-05
300,1.1,0.5825714285714286,14.1,11.46,5.729888888888889,5.456756575186016e-05
301,1.1,0.401,14.4,12.54,7.47,5.420607955725325e-05
302,1.1,0.5825714285714286,14.8,12.34,5.729888888888889,5.41290500840286e-05
303,1.1,0.5825714285714286,15.3,12.85,5.729888888888889,5.465836158386236e-05
304,1.1,0.5825714285714286,15.7,13.7,5.729888888888889,5.411831955852981e-05
305,1.1,0.623,16.3,14.36,8.197,5.438001103304793e-05
306,1.1,0.5825714285714286,16.9,14.15,5.729888888888889,5.4368645806698766e-05
307,1.1,0.558,17.6,13.98,4.52,5.4770257541676745e-05
308,1.1,0.577,18.3,15.25,4.247,5.522769251622943e-05
309,1.1,0.5825714285714286,19.1,14.63,6.802,5.542366967826247e-05
310,1.1,0.5825714285714286,20.0,15.13,5.82,5.537955139931066e-05
311,1.1,0.5825714285714286,20.9,15.16,5.729888888888889,5.491825447347566e-05
312,1.1,0.5825714285714286,21.9,12.68,5.729888888888889,5.522246086024344e-05
313,1.1,0.481,22.9,12.81,7.596,5.511356093372055e-05
314,1.1,0.5825714285714286,24.0,13.06,5.729888888888889,5.5712552219194015e-05
315,1.1,0.791,25.1,13.88,3.888,5.870200624071175e-05
316,1.1,0.647,26.3,13.7,3.029,5.967513372381765e-05
317,1.2,3.268,26.2,3.57,13.128181818181815,5.116592283518631e-05
318,1.2,3.268,26.8,2.85,13.128181818181815,5.35731679599987e-05
319,1.2,3.268,27.4,3.72,13.128181818181815,5.5915634490680464e-05
320,1.2,3.268,28.1,7.17,13.128181818181815,5.819833678591034e-05
321,1.2,1.847,28.8,7.62,8.062,6.042623738214947e-05
322,1.2,3.268,29.4,8.02,13.128181818181815,6.413222231892954e-05
323,1.2,3.268,30.1,8.18,13.128181818181815,6.624460821583697e-05
