,"Mean HDL cholesterol, age-standardized","Medical doctors (per 10,000)","Prevalence of previous diagnosis of hypertension among adults aged 30-79 with hypertension, crude",Out-of-pocket expenditure (OOP) per capita in US$,"Nursing and midwifery personnel (per 10,000)",per_capita-Alzheimer's Disease and Other Dementias
793,1.2,20.368,48.9,146.23,28.54,0.000150925533578
794,1.2,22.2,49.2,149.69,28.265,0.000153459784605
795,1.2,17.743100000000002,49.5,150.85,25.059,0.0001580021942293
796,1.2,17.743100000000002,49.8,150.22,20.62276923076923,0.0001579332985057
797,1.0,7.534,35.3,46.03,19.954875,6.482649060872259e-05
798,1.0,7.534,35.9,46.64,19.954875,6.609178430453508e-05
799,1.0,7.534,36.6,43.52,19.954875,6.76681692930286e-05
800,1.0,5.285,37.3,35.2,19.954875,6.87607536696574e-05
801,1.0,7.534,38.0,34.81,19.787,6.841341599198665e-05
802,1.0,7.534,38.7,41.24,19.954875,6.757323797612666e-05
803,1.0,7.534,39.3,43.11,23.362,6.704399878478704e-05
804,1.0,7.534,39.9,47.63,19.954875,6.704852346835749e-05
805,1.0,7.534,40.4,60.1,19.954875,6.745468370535048e-05
806,1.1,7.534,40.8,64.47,19.954875,6.77092436253649e-05
807,1.1,7.534,41.2,70.93,19.954875,6.789950157988123e-05
808,1.1,7.534,41.5,75.77,19.954875,6.831170977959551e-05
809,1.1,7.534,41.7,91.76,19.954875,6.865965269161134e-05
810,1.1,7.534,41.9,87.26,19.744,6.818737327418884e-05
811,1.1,7.876,41.9,92.19,19.549,6.90372676497187e-05
812,1.1,8.217,42.0,109.06,19.412,6.995346862522516e-05
813,1.1,8.214,41.9,90.55,19.252,7.042473074059592e-05
814,1.1,7.993,41.8,64.28,19.271,7.05951178254233e-05
815,1.1,7.69,41.7,78.17,19.262,7.290863845905906e-05
816,1.0526315789473684,7.463,41.6,94.02,19.954875,7.302709666304804e-05
817,1.0,18.7216,45.2,92.32,17.33657142857143,0.0001605177046412
818,1.0,18.7216,45.8,92.56,17.33657142857143,0.000166391952816
819,1.0,13.314,46.5,91.73,17.33657142857143,0.0001714722382718
820,1.0,18.7216,47.2,90.31,17.33657142857143,0.0001782141255387
821,1.0,18.7216,48.1,88.89,17.33657142857143,0.0001843264863513
822,1.0,17.11,48.9,87.46,17.33657142857143,0.0001892139327939
823,1.0,18.7216,49.8,68.47,17.33657142857143,0.0001942757976068
824,1.0,18.7216,50.7,75.33,13.676,0.000200275772048
825,1.0,18.823,51.6,77.77,17.33657142857143,0.0002059453097828
826,1.0,18.7216,52.6,79.6,17.33657142857143,0.0002145724900159
827,1.0,18.7216,53.5,80.46,17.33657142857143,0.0002204206697087
828,1.0,18.7216,54.5,81.35,17.33657142857143,0.0002281046692449
829,1.0,18.7216,55.4,82.91,17.33657142857143,0.0002342937021787
830,0.9,18.7216,56.4,76.47,17.749,0.0002452284406057
831,0.9,18.7216,57.3,77.94,17.591,0.0002533665757246
832,0.9,18.7216,58.1,78.69,17.582,0.0002569467625196
833,0.9,15.662,59.0,79.67,18.039,0.000259393470821
834,0.9,18.7216,59.8,82.34,18.375,0.0002649055550937
835,0.9,28.699,60.5,83.06,18.344,0.000269928229227
836,0.9684210526315788,18.7216,61.3,85.13,17.33657142857143,0.0002732843947355
837,1.1,3.0755,18.0,32.06,3.968666666666666,5.2901117637843017e-05
838,1.1,3.0755,18.3,45.6,3.968666666666666,5.336822692960731e-05
839,1.1,3.0755,18.7,62.16,3.968666666666666,5.5687413108433e-05
840,1.1,3.0755,19.1,89.61,3.968666666666666,5.597777309223085e-05
841,1.1,2.134,19.4,113.68,3.78,5.803251634431417e-05
842,1.1,3.0755,19.8,127.21,3.968666666666666,5.994020083493174e-05
843,1.1,3.0755,20.2,140.46,3.968666666666666,6.171199355452512e-05
844,1.1,3.0755,20.6,177.16,3.968666666666666,6.33583598854881e-05
845,1.1,3.0755,21.0,323.26,3.968666666666666,6.488671590486958e-05
846,1.1,3.0755,21.4,178.24,3.968666666666666,6.630451770567425e-05
847,1.1,3.0755,21.9,208.12,3.968666666666666,6.761927887112688e-05
848,1.1,3.0755,22.5,216.33,3.968666666666666,7.033559055707284e-05
849,1.1,3.0755,23.0,133.48,3.968666666666666,7.142950855040372e-05
850,1.1,3.0755,23.6,274.09,3.968666666666666,7.244307891608108e-05
851,1.1,3.0755,24.2,316.77,3.968666666666666,7.338138660360482e-05
852,1.2,3.0755,24.8,253.78,3.968666666666666,7.559976942070326e-05
853,1.2,3.0755,25.6,216.3,3.968666666666666,7.637095744162559e-05
854,1.2,4.017,26.3,215.84,5.024,7.708535147066003e-05
855,1.2,3.0755,27.0,233.28,3.102,8.093961904419303e-05
856,1.1210526315789473,3.0755,27.7,192.35,3.968666666666666,7.95850801238099e-05
857,1.1,0.436,20.2,8.77,12.655,2.1442304714209816e-05
858,1.1,0.4,20.7,8.12,12.655,2.189953828857644e-05
859,1.1,0.532,21.1,7.0,12.655,2.2639368619082857e-05
860,1.1,0.4,21.5,7.4,12.655,2.3191380806302607e-05
861,1.1,0.522,21.9,7.77,9.21,2.3434298480010645e-05
862,1.1,0.432,22.3,7.27,12.655,2.386793967605091e-05
863,1.1,0.463,22.8,7.59,12.655,2.454773671785253e-05
864,1.1,0.414,23.3,7.92,12.655,2.5010844254113165e-05
865,1.1,0.411,23.8,6.46,12.655,2.5626923609594e-05
866,1.1,0.41,24.3,10.33,12.655,2.620782664868479e-05
867,1.1,0.407,24.9,12.21,12.655,2.6756504074584014e-05
868,1.1,0.423,25.6,12.43,12.655,2.7275096624555263e-05
869,1.1,0.471,26.3,13.89,12.655,2.8094987344933333e-05
870,1.1,0.524,27.0,14.68,12.988,2.887539017870979e-05
871,1.1,0.616,27.8,16.8,12.478,2.9776816491592047e-05
872,1.1,0.634,28.6,11.3,11.852,3.079190813165272e-05
873,1.1,0.669,29.5,12.79,14.393,3.1762731199347244e-05
874,1.1,0.656,30.3,8.51,13.267,3.283835378986855e-05
875,1.1,0.811,31.2,11.73,14.397,3.459755131432579e-05
876,1.1,0.709,32.0,10.91,12.655,3.48597499487646e-05
877,1.4,29.376,33.7,42.71,61.897,0.0002855413871948
878,1.4,27.757,34.3,41.32,61.098,0.0002927043620249
879,1.4,29.573,34.9,51.5,63.036,0.0002999730906492
880,1.4,29.915,35.5,71.6,64.207,0.0003072430892515
881,1.4,30.214,36.0,101.92,65.378,0.0003167708159419
882,1.4,31.401,36.6,118.77,65.759,0.000327108027426
883,1.4,31.762,37.2,139.11,65.992,0.0003360182069011
884,1.4,32.508,37.8,188.62,66.838,0.0003488075190438
885,1.4,33.348,38.5,215.23,67.002,0.0003624947900933
886,1.4,32.767,39.2,195.83,64.404,0.0003786447442647
887,1.4,32.422,40.0,203.06,63.989,0.00039499058993
888,1.4,32.929,40.8,219.0,65.256,0.000415444560755
889,1.4,32.822,41.7,218.04,64.578,0.0004408849392292
890,1.4,33.318,42.6,258.75,59.579,0.00046826571908
891,1.4,33.564,43.5,280.28,60.723,0.0004960565886093
892,1.4,34.152,44.4,253.57,63.522,0.0005194859250531
893,1.4,34.546,45.4,269.59,64.33,0.0005449389200858
894,1.4,34.629,46.3,335.93,65.272,0.0005708643194371
895,1.4,34.81,47.2,382.58,66.316,0.0005944134876642
896,1.4,34.724,48.1,384.44,66.076,0.0006242876770395
897,1.1,0.327875,18.4,1.94,3.4665555555555554,3.7777625808377295e-05
898,1.1,0.327875,18.8,1.94,3.4665555555555554,3.84135041312665e-05
899,1.1,0.327875,19.2,1.97,3.4665555555555554,3.946484323349965e-05
900,1.1,0.268,19.6,2.01,2.154,4.031773043323838e-05
901,1.1,0.269,20.0,2.05,2.094,4.124607873144023e-05
902,1.1,0.321,20.3,2.09,2.464,4.218441602311093e-05
903,1.1,0.269,20.7,3.36,2.274,4.296524801256663e-05
904,1.1,0.224,21.1,4.43,2.249,4.377262753359571e-05
905,1.0,0.251,21.5,5.18,2.022,4.4702975982508414e-05
906,1.0,0.252,22.0,6.5,2.521,4.5707669700047874e-05
907,1.0,0.327875,22.4,7.06,3.4665555555555554,4.681100696747753e-05
908,1.0,0.327875,22.9,7.03,3.4665555555555554,4.794564625361061e-05
909,1.0,0.327875,23.4,8.71,3.4665555555555554,4.878699145450597e-05
910,1.0,0.327875,23.9,8.43,3.4665555555555554,4.964969701706107e-05
911,1.0,0.327875,24.4,8.57,3.4665555555555554,5.033849561559808e-05
912,1.0,0.327875,25.0,8.79,3.4665555555555554,5.099181454842331e-05
913,1.0,0.327875,25.6,8.88,3.4665555555555554,5.208983712335844e-05
914,1.0,0.327875,26.2,8.57,8.286,5.3198703205090696e-05
915,1.0,0.769,26.9,8.61,7.135,5.594973203521696e-05
916,1.0421052631578949,0.327875,27.5,10.13,3.4665555555555554,5.508820827011277e-05
917,1.1,5.9512,33.4,8.35,28.132,4.969357698094127e-05
918,1.1,5.9512,34.0,8.46,28.132,4.933837242577042e-05
919,1.1,5.9512,34.7,9.0,28.132,5.020393819282965e-05
920,1.1,4.656,35.4,11.75,20.341,5.10217717188749e-05
921,1.1,5.9512,36.0,15.24,28.132,5.1818341764860415e-05
922,1.1,5.9512,36.7,15.61,28.132,5.259647268928156e-05
923,1.1,5.9512,37.3,19.5,28.132,5.45059215944167e-05
924,1.1,5.9512,37.9,23.48,28.132,5.6330490990642096e-05
925,1.1,3.986,38.5,23.72,21.102,5.8103389170690325e-05
926,1.1,4.358,39.1,31.64,22.926,5.987348272534882e-05
927,1.1,5.9512,39.6,30.24,28.132,6.164503192413552e-05
928,1.1,5.9512,40.1,37.73,28.132,6.341118188251947e-05
929,1.1,5.9512,40.5,40.26,28.132,6.516436587769098e-05
930,1.0,8.156,40.9,37.84,29.032,6.690768300923995e-05
931,1.0,5.9512,41.4,37.57,28.132,6.864428641496357e-05
932,1.0,8.6,41.9,37.68,30.175,7.037692340681491e-05
933,1.0,5.9512,42.4,38.25,28.132,7.210726939603607e-05
934,1.0,5.9512,43.0,30.32,28.132,7.492361049278019e-05
935,1.0,5.9512,43.6,31.2,33.752,7.709530934764339e-05
936,1.068421052631579,5.9512,44.1,31.1,39.596,7.838547399051858e-05
937,1.4,24.934,52.3,372.6,109.68,0.0003565765938325
938,1.4,24.936,53.3,383.23,161.185,0.0003621405595689
939,1.4,25.206,54.2,426.15,166.11,0.0003670297873749
940,1.4,25.569,55.2,530.15,170.796,0.0003706475572135
941,1.4,25.835,56.2,602.93,124.473,0.00037299751156
942,1.4,29.913,57.1,632.1,128.995,0.0003825064009517
943,1.4,30.262,58.1,641.21,135.157,0.0003941604611562
944,1.4,30.351,59.0,743.21,137.494,0.0004081352153113
945,1.4,30.618,60.0,832.3,135.137,0.0004236618377733
946,1.4,30.861,61.0,796.28,139.318,0.0004369294941693
947,1.4,32.653,62.0,799.09,142.57,0.0004563214025013
948,1.4,32.635,63.0,856.04,144.892,0.0004749726672054
949,1.4,32.854,63.9,798.45,146.192,0.0004934513664441
950,1.4,32.966,64.9,870.52,146.031,0.0005129019235056
951,1.4,33.922,65.8,868.23,146.757,0.0005295324418335
952,1.5,33.309,66.7,768.84,213.37,0.0005501837803544
953,1.5,45.343,67.6,791.55,215.47,0.00057069214203
954,1.5,45.885,68.5,806.31,219.258,0.0005886073008922
955,1.5,46.404,69.3,832.27,223.08,0.0006052946212784
956,1.4210526315789471,32.33978947368421,70.1,776.53,158.20868421052631,0.0006220102498945
957,1.4,33.547,45.9,157.24,71.139,0.000406058414443
958,1.4,33.871,46.7,160.85,73.127,0.0004121549586833
959,1.4,34.105,47.5,174.86,74.886,0.0004200941849415
960,1.4,34.238,48.5,221.76,76.822,0.0004283320534306
961,1.4,34.395,49.5,250.62,78.869,0.0004323397004133
962,1.4,34.41,50.5,263.44,81.181,0.0004402690991876
963,1.4,34.357,51.6,356.72,83.198,0.0004488840355153
964,1.4,34.189,52.7,410.89,81.853,0.0004578392199811
965,1.4,34.156,53.9,482.17,84.741,0.0004694042529595
966,1.4,33.693,55.1,481.66,87.688,0.000479865964757
967,1.4,33.736,56.3,470.03,90.124,0.0004908721828926
968,1.4,31.491,57.5,505.02,92.862,0.0005083351356133
969,1.4,31.636,58.7,470.03,96.893,0.000533680619838
970,1.4,31.811,59.8,486.8,99.812,0.0005598262011746
971,1.5,31.941,61.0,491.81,102.787,0.0005842317646137
972,1.5,32.071,62.1,408.26,105.95,0.0006112580806517
973,1.5,32.206,63.2,407.69,108.889,0.000629585942462
974,1.5,32.392,64.2,421.98,111.622,0.0006505341773027
975,1.5,32.4,65.2,433.94,114.709,0.0006712309513356
976,1.4263157894736842,32.735,66.2,415.98,117.833,0.000683660745926
977,1.1,4.1442,17.6,67.99,33.420500000000004,8.41132001918428e-05
978,1.1,4.1442,18.0,63.95,33.420500000000004,8.352020322198882e-05
979,1.1,4.1442,18.3,74.58,33.420500000000004,8.38188804719695e-05
980,1.1,4.1442,18.7,87.41,33.420500000000004,8.329437507832298e-05
981,1.1,2.918,19.1,95.5,50.066,8.355247535201977e-05
982,1.1,4.1442,19.4,104.1,33.420500000000004,8.382950368634869e-05
983,1.1,4.1442,19.8,114.32,33.420500000000004,8.412834620497031e-05
984,1.1,4.1442,20.1,135.18,33.420500000000004,8.445186278151479e-05
985,1.1,0.968,20.5,148.9,33.420500000000004,8.547399706023292e-05
986,1.2,4.1442,20.9,151.19,33.420500000000004,8.58089773352088e-05
987,1.2,4.1442,21.4,55.88,33.420500000000004,8.606993667711802e-05
988,1.2,4.1442,21.9,76.67,33.420500000000004,8.689226944214529e-05
989,1.2,4.1442,22.5,66.53,33.420500000000004,8.766906606330453e-05
990,1.2,4.1442,23.1,78.66,33.420500000000004,8.778956840453433e-05
991,1.2,4.1442,23.8,68.85,33.420500000000004,8.788727948214662e-05
992,1.2,4.1442,24.4,50.84,33.420500000000004,8.854560039781016e-05
993,1.2,3.561,25.2,48.95,25.444,8.915521693189864e-05
994,1.2,6.819,26.0,50.58,29.46,8.971620901055435e-05
995,1.2,6.455,26.9,50.5,28.712,9.197322055798969e-05
996,1.1526315789473685,4.1442,27.8,49.64,33.420500000000004,9.069560816021517e-05
997,1.0,38.371,47.3,41.99,47.013,0.0002679388739324
998,1.0,37.156,48.3,42.21,43.074,0.000279383518985
999,1.0,38.069,49.3,49.41,42.638,0.0002905871955099
1000,1.0,38.267,50.3,61.57,42.329,0.0002984554400296
1001,1.0,38.009,51.3,80.13,41.649,0.0003040121076496
1002,1.0,38.164,52.3,100.63,41.414,0.0003040149861001
1003,1.0,38.683,53.2,112.07,39.943,0.0003020504462859
1004,1.0,39.027,54.1,141.22,39.067,0.0002993971377117
1005,1.0,40.001,55.0,178.44,39.374,0.0003064238223683
1006,1.0,42.219,55.9,177.14,38.959,0.000319987382488
1007,1.0,44.466,56.7,197.1,39.499,0.0003299408258301
1008,1.0,45.004,57.5,224.33,39.363,0.0003397389461638
1009,1.0,44.868,58.3,239.75,37.221,0.0003460999436876
1010,1.0,45.145,59.0,231.19,37.837,0.0003536065564055
1011,1.0,47.754,59.7,227.78,38.203,0.0003607424158201
1012,1.0,50.055,60.3,158.12,40.174,0.0003668539094913
1013,1.0,59.973,60.8,167.41,40.002,0.0003754876015901
1014,1.0,61.297,61.2,156.61,48.564,0.0003775448941171
1015,1.0,71.201,61.7,149.08,47.293,0.0003802162023302
1016,1.0,70.784,62.1,136.15,52.162,0.0003860731026391
1017,1.4,32.785,54.7,288.09,102.824,0.0004298542416065
1018,1.4,33.29,56.3,288.21,103.862,0.0004279484847642
1019,1.4,33.6,57.8,322.87,105.108,0.0004269909817331
1020,1.5,33.896,59.3,404.83,107.334,0.0004250189734985
1021,1.5,34.104,60.8,485.21,108.272,0.0004279572658102
1022,1.5,34.314,62.2,502.43,110.045,0.0004334213139015
1023,1.5,34.748,63.6,536.44,111.204,0.0004318466116198
1024,1.5,35.287,64.9,602.83,112.946,0.0004285912458918
1025,1.5,35.863,66.1,659.19,115.215,0.0004276590826961
1026,1.5,36.638,67.4,649.51,118.171,0.0004381477210697
1027,1.5,37.567,68.6,643.75,119.143,0.0004572508879231
1028,1.5,38.491,69.7,705.45,120.585,0.0004706780129849
1029,1.5,39.197,70.7,675.28,121.399,0.0004872465766795
1030,1.5,40.087,71.6,678.76,125.286,0.0005033811121469
1031,1.5,40.846,72.5,689.96,127.562,0.0005222806147332
1032,1.5,41.342,73.2,605.02,129.115,0.0005454619122311
1033,1.5,41.944,73.9,616.06,131.397,0.0005600524818318
1034,1.5,42.488,74.5,645.98,134.046,0.0005718290549015
1035,1.5,42.996,75.0,703.83,140.633,0.0005883439286609
1036,1.4842105263157894,43.716,75.6,697.24,141.887,0.0006170462087511
1037,1.1,1.0563571428571428,15.6,8.73,19.2438,4.789480559063004e-05
1038,1.1,1.0563571428571428,16.0,9.19,19.2438,4.8424725843266096e-05
1039,1.1,1.0563571428571428,16.3,10.98,19.2438,4.951247874181968e-05
1040,1.1,1.0563571428571428,16.7,12.2,19.2438,4.962813435495064e-05
1041,1.1,1.523,17.2,12.66,9.264,5.041438868317802e-05
1042,1.1,1.0563571428571428,17.7,15.22,19.2438,5.135437765927744e-05
1043,1.1,1.0563571428571428,18.3,18.41,19.2438,5.2476481479442535e-05
1044,1.1,0.725,19.0,21.75,19.2438,5.260935435224265e-05
1045,1.1,0.787,19.8,23.66,9.69,5.355335698044752e-05
1046,1.1,0.841,20.7,19.81,11.92,5.408615908397136e-05
1047,1.1,0.938,21.8,20.39,10.608,5.501269153886727e-05
1048,1.1,0.979,22.9,35.68,19.2438,5.635093149662911e-05
1049,1.2,0.956,24.1,33.05,19.2438,5.760241324795288e-05
1050,1.2,1.026,25.4,42.15,19.2438,5.885124243068709e-05
1051,1.2,1.108,26.8,36.41,13.739,5.979383636106418e-05
1052,1.2,1.172,28.3,28.86,20.017,6.135115633952294e-05
1053,1.2,1.27,29.8,25.29,21.16,6.29724413061328e-05
1054,1.2,0.92,31.3,28.17,23.406,6.501598388477275e-05
1055,1.2,1.48,32.9,28.75,45.524,6.781902462336598e-05
1056,1.136842105263158,1.064,34.5,27.27,27.11,6.850184835059401e-05
1057,1.4,58.67586666666667,46.5,321.16,28.847,0.0003153674883583
1058,1.4,58.67586666666667,47.5,349.46,30.928,0.0003188579329141
1059,1.4,58.67586666666667,48.6,436.91,34.345,0.0003212980024355
1060,1.4,58.67586666666667,49.7,593.66,34.516,0.00032401824026
1061,1.4,58.67586666666667,50.8,694.56,34.409,0.000327869499111
1062,1.4,49.494,51.9,713.63,34.899,0.0003346345649947
1063,1.4,53.284,53.0,739.96,34.236,0.0003453386948311
1064,1.4,55.94,54.1,830.52,34.379,0.0003610961406799
1065,1.4,57.285,55.2,914.88,35.126,0.0003776992909325
1066,1.4,58.695,56.3,828.76,36.437,0.0003976743778863
1067,1.4,58.812,57.4,724.66,37.637,0.0004194440844942
1068,1.4,59.234,58.3,728.77,38.018,0.0004456263378083
1069,1.4,59.213,59.1,593.22,36.693,0.0004708470892037
1070,1.4,59.342,59.9,618.12,36.108,0.0004927147739336
1071,1.4,59.717,60.7,632.58,35.361,0.0005182098707287
1072,1.4,59.914,61.5,533.82,35.01,0.000547252725429
1073,1.4,62.149,62.2,519.17,35.534,0.0005773557903077
1074,1.4,61.725,63.0,528.35,36.331,0.0006024993135055
1075,1.4,62.262,63.7,578.39,37.019,0.0006283154061618
1076,1.4,63.072,64.4,527.86,37.337,0.0006506317619528
1077,1.2,5.642,40.0,160.7,35.603,0.0001574663661683
1078,1.2,5.62,40.7,159.08,35.465,0.000156411910767
1079,1.2,5.598,41.4,164.18,35.328,0.0001555890504205
1080,1.2,5.577,42.2,161.32,35.192,0.000154858691444
1081,1.2,8.206428571428571,42.9,145.53,38.99057142857144,0.0001538920255076
1082,1.2,8.206428571428571,43.7,166.1,38.99057142857144,0.0001529753709652
1083,1.2,6.578,44.6,179.78,37.941,0.0001520883633391
1084,1.2,8.206428571428571,45.5,209.16,38.99057142857144,0.0001511044793034
1085,1.2,8.206428571428571,46.4,232.86,38.99057142857144,0.0001407723710759
1086,1.2,8.206428571428571,47.3,216.21,38.99057142857144,0.0001399266784205
1087,1.2,8.206428571428571,48.2,222.51,38.99057142857144,0.0001391233374761
1088,1.2,8.206428571428571,48.9,229.66,38.99057142857144,0.000138352133851
1089,1.2,8.206428571428571,49.6,237.41,38.99057142857144,0.0001376007925805
1090,1.2,8.206428571428571,50.2,241.6,38.99057142857144,0.0001368738023542
1091,1.2,8.206428571428571,50.8,207.32,38.99057142857144,0.0001361754666279
1092,1.2,8.206428571428571,51.4,228.18,38.99057142857144,0.0001355086996585
1093,1.2,8.206428571428571,51.9,238.22,38.99057142857144,0.0001438603116374
1094,1.2,14.067,52.5,260.54,30.568,0.0001432100533457
1095,1.2,14.363,53.0,263.47,62.837,0.0001432100533457
1096,1.2,8.206428571428571,53.6,290.76,38.99057142857144,0.0001420139351173
1097,1.0,5.129333333333333,31.6,49.53,10.447833333333334,5.2593476334063294e-05
1098,1.0,5.129333333333333,32.1,62.56,10.447833333333334,5.538644228511168e-05
1099,1.0,5.129333333333333,32.7,67.06,10.447833333333334,5.831400903250106e-05
1100,1.0,5.129333333333333,33.3,70.01,10.447833333333334,6.174730546357898e-05
1101,1.0,5.129333333333333,33.9,73.4,10.447833333333334,6.549421414731977e-05
1102,1.0,5.129333333333333,34.6,82.68,10.447833333333334,6.903317762425397e-05
1103,1.0,5.129333333333333,35.3,91.48,10.447833333333334,7.242218569353517e-05
1104,1.0,5.129333333333333,36.1,97.57,10.447833333333334,7.605213373767718e-05
1105,1.0,5.129333333333333,36.9,103.2,10.447833333333334,7.975569684098221e-05
1106,1.0,9.039,37.7,95.74,8.698,8.368158606658659e-05
1107,1.0,5.129333333333333,38.6,102.43,10.447833333333334,8.71558414339313e-05
1108,1.0,5.129333333333333,39.4,111.42,10.447833333333334,9.056409641372688e-05
1109,1.0,5.129333333333333,40.2,115.75,10.447833333333334,9.411993674459353e-05
1110,1.0,5.129333333333333,41.1,107.13,10.447833333333334,9.75408029458714e-05
1111,1.0,5.129333333333333,41.9,118.86,9.435,0.0001008391909843
1112,1.0,5.129333333333333,42.7,128.05,9.646,0.0001041624843597
1113,1.0,5.129333333333333,43.6,135.54,10.054,0.0001079002325088
1114,1.0,2.8,44.3,140.7,12.025,0.0001121551036522
1115,1.0,3.549,45.1,149.28,12.829,0.0001189465026623
1116,1.0,5.129333333333333,45.9,151.74,10.447833333333334,0.0001213220389453
1117,1.1,0.927,14.7,15.19,4.617,7.867874319509705e-05
1118,1.1,1.2358571428571428,15.0,14.01,4.399666666666667,8.043318437947165e-05
1119,1.1,1.2358571428571428,15.3,14.91,4.399666666666667,8.274352652205836e-05
1120,1.1,1.2358571428571428,15.7,16.23,4.399666666666667,8.28047345577165e-05
1121,1.1,1.106,16.1,18.64,4.939,8.37050554844143e-05
1122,1.1,1.032,16.5,14.0,4.399666666666667,8.488343003343992e-05
1123,1.1,1.2358571428571428,17.0,11.61,4.399666666666667,8.592160119344354e-05
1124,1.1,1.2358571428571428,17.5,16.21,4.399666666666667,8.506443997083983e-05
1125,1.1,1.2358571428571428,18.0,16.57,4.399666666666667,8.463766259736263e-05
1126,1.1,1.2358571428571428,18.6,17.5,4.399666666666667,8.421178219273761e-05
1127,1.1,1.2358571428571428,19.3,15.97,4.399666666666667,8.359142873055809e-05
1128,1.1,1.2358571428571428,20.1,14.8,4.399666666666667,8.263364364656232e-05
1129,1.1,1.2358571428571428,20.9,15.16,4.399666666666667,8.130486125899613e-05
1130,1.1,1.2358571428571428,21.7,16.48,4.399666666666667,7.981370122080961e-05
1131,1.1,1.654,22.6,22.0,5.64,7.81741379906876e-05
1132,1.1,0.855,23.5,22.05,4.168,7.699384779258554e-05
1133,1.1,0.832,24.4,19.67,1.238,7.524797308007898e-05
1134,1.1,1.2358571428571428,25.3,21.64,4.399666666666667,7.37078945666165e-05
1135,1.1,2.245,26.3,23.96,5.796,7.443289025087831e-05
1136,1.1,1.2358571428571428,27.3,25.49,4.399666666666667,7.119279513619389e-05
1137,1.1,1.207857142857143,16.7,8.29,6.255222222222222,3.987929865606764e-05
1138,1.1,1.207857142857143,17.1,8.81,6.255222222222222,3.980236594448335e-05
1139,1.1,1.207857142857143,17.4,8.27,6.255222222222222,3.975636101776284e-05
1140,1.1,1.207857142857143,17.8,8.69,6.255222222222222,3.97083057274819e-05
1141,1.1,1.431,18.2,10.2,8.161,3.9656045095412445e-05
1142,1.1,1.207857142857143,18.7,11.43,6.255222222222222,3.959950755183823e-05
1143,1.1,1.207857142857143,19.2,12.02,6.255222222222222,3.950796640020738e-05
1144,1.1,1.207857142857143,19.7,12.64,6.255222222222222,3.9381306101386495e-05
1145,1.1,0.539,20.3,16.79,6.586,3.991532628783474e-05
1146,1.1,0.836,21.0,14.66,7.022,3.976625266303512e-05
1147,1.1,1.207857142857143,21.7,14.45,6.255222222222222,3.96134240949291e-05
1148,1.1,0.64,22.5,16.49,5.624,4.008324789547291e-05
1149,1.1,1.207857142857143,23.3,22.82,6.255222222222222,3.99115069786805e-05
1150,1.1,1.207857142857143,24.2,30.49,5.339,4.034030357583676e-05
1151,1.1,1.207857142857143,25.1,37.04,5.229,4.0155946800456834e-05
1152,1.1,2.038,26.1,36.1,5.549,4.0552205170985474e-05
1153,1.1,1.274,27.1,37.57,5.936,4.092864829159843e-05
1154,1.1,1.207857142857143,28.2,38.51,6.255222222222222,4.128685549265819e-05
1155,1.1,1.697,29.3,39.13,6.851,4.240271645191923e-05
1156,1.1,1.207857142857143,30.4,40.77,6.255222222222222,4.249379402343613e-05
1157,1.2,4.902,39.2,25.72,23.276,6.49215086231039e-05
1158,1.2,8.029250000000001,39.9,26.05,11.9674,6.486395738819553e-05
1159,1.2,8.029250000000001,40.6,26.88,11.9674,6.515690037126657e-05
1160,1.2,8.029250000000001,41.3,26.86,11.9674,6.66829954514503e-05
1161,1.2,8.029250000000001,42.1,28.37,11.9674,6.671122634477645e-05
1162,1.2,8.029250000000001,42.9,30.57,11.9674,6.825525404476772e-05
1163,1.2,8.029250000000001,43.6,35.29,11.9674,7.011038490601314e-05
1164,1.3,8.029250000000001,44.4,42.08,11.9674,7.331675850899898e-05
1165,1.3,8.029250000000001,45.3,49.51,11.9674,7.783035357406218e-05
1166,1.3,2.153,46.1,49.63,13.227,8.101575158711185e-05
1167,1.3,6.872,47.0,56.52,10.061,8.550594132689188e-05
1168,1.3,8.029250000000001,47.9,64.29,11.9674,8.861820056715648e-05
1169,1.3,8.029250000000001,48.8,77.58,11.9674,9.300344517109938e-05
1170,1.3,8.029250000000001,49.7,79.22,7.164,9.595852429304922e-05
1171,1.3,8.029250000000001,50.6,76.74,6.275,9.880901300624392e-05
1172,1.3,8.029250000000001,51.4,75.63,6.972,0.0001001888695581
1173,1.3,8.029250000000001,52.2,69.91,7.324,0.0001027807605235
1174,1.3,8.029250000000001,53.0,76.3,7.869,0.0001038571465181
1175,1.3,18.19,53.8,101.68,10.398,0.0001052059406287
1176,1.263157894736842,8.029250000000001,54.5,113.51,27.108,0.0001054988962678
1177,1.2,1.7182499999999998,32.2,13.22,6.220666666666666,4.814043599307063e-05
1178,1.2,1.7182499999999998,32.8,12.16,6.220666666666666,4.9249712145936e-05
1179,1.2,1.7182499999999998,33.4,10.6,6.220666666666666,5.044027481695912e-05
1180,1.2,1.7182499999999998,34.0,8.8,6.220666666666666,5.155529840443105e-05
1181,1.2,1.7182499999999998,34.6,11.01,6.220666666666666,5.2511190134617685e-05
1182,1.2,1.7182499999999998,35.1,11.45,6.220666666666666,5.355977493595913e-05
1183,1.2,1.7182499999999998,35.7,12.37,6.220666666666666,5.450138128941933e-05
1184,1.2,1.7182499999999998,36.2,14.89,6.220666666666666,5.589183634996626e-05
