,Prevalence of anaemia in non-pregnant women (aged 15-49) (%),Neonatal mortality rate (per 1000 live births),per_capita-Maternal Disorders,"Prevalence of treatment (taking medicine) for hypertension among adults aged 30-79 with hypertension, age-standardized","Mean total cholesterol,  age-standardized",Mean hemoglobin level of pregnant women (aged 15-49 years),Prevalence of anaemia in women of reproductive age (aged 15-49) (%)
0,34.1,58.47403,0.000190592509655,21.8,4.3,112.0,35.4
1,34.2,57.19492,0.0001880394737326,22.6,4.3,112.0,35.4
2,34.4,55.93963,0.0001867486954831,23.5,4.3,112.0,35.5
3,34.7,54.58337,0.0001874332961884,24.3,4.2,113.0,35.6
4,35.0,53.18653,0.0001798604468537,25.2,4.2,113.0,35.8
5,35.3,51.7359,0.0001822026762688,26.0,4.2,113.0,36.0
6,35.6,50.29514,0.0001811899952515,26.8,4.2,113.0,36.2
7,36.0,48.86324,0.0001759958140169,27.6,4.2,113.0,36.5
8,36.4,47.42677,0.0001696386161774,28.3,4.2,114.0,36.8
9,36.8,45.99716,0.0001632189944567,29.1,4.2,114.0,37.1
10,37.4,44.60328,0.0001556874164856,29.8,4.2,114.0,37.5
11,38.0,43.22086,0.0001486109266288,30.5,4.2,114.0,38.0
12,38.8,41.86162,0.0001404651148759,31.2,4.2,114.0,38.7
13,39.6,40.54219,0.0001326604419029,31.9,4.2,114.0,39.4
14,40.5,39.32772,0.0001263649636157,32.6,4.1,115.0,40.2
15,41.3,38.18569,0.0001208211784434,33.3,4.1,115.0,40.9
16,42.3,37.19483,0.0001202057904377,33.9,4.1,115.0,41.8
17,43.2,36.12959,0.0001128549060414,34.6,4.2,115.0,42.6
18,26.1,12.11692,2.532966559775478e-06,11.8,5.1,116.0,26.2
19,25.5,11.76315,1.918157341331623e-06,12.2,5.1,117.0,25.6
20,24.9,11.38108,1.9367158721612586e-06,12.7,5.0,117.0,25.0
21,24.6,11.08866,1.954610682273148e-06,13.1,5.0,117.0,24.6
22,24.0,10.88263,1.6416910731406206e-06,13.5,5.0,118.0,24.1
23,23.5,10.55339,1.9837773302523067e-06,13.9,5.0,118.0,23.5
24,23.0,9.9656,1.6634622838206003e-06,14.3,5.0,118.0,23.0
25,22.5,9.17201,1.6713604038006736e-06,14.7,5.0,118.0,22.5
26,22.0,8.25555,1.6755352748765884e-06,15.1,5.0,119.0,22.0
27,21.5,7.3636,1.3411387609218988e-06,15.5,5.0,119.0,21.5
28,21.1,6.65341,1.3391577768909575e-06,15.9,5.0,119.0,21.1
29,21.3,6.21776,1.3357077765240676e-06,16.3,5.0,119.0,21.3
30,21.6,5.99431,1.332063876459068e-06,16.7,5.0,119.0,21.6
31,21.9,5.88589,1.3282836416888465e-06,17.1,5.0,119.0,21.9
32,22.4,5.87632,9.933087412162536e-07,17.4,5.0,119.0,22.4
33,22.9,5.99941,9.90334990713959e-07,17.8,4.9,119.0,22.9
34,23.5,6.30429,9.872987309262114e-07,18.2,4.9,118.0,23.5
35,24.2,6.72121,9.842561664469042e-07,18.6,4.9,118.0,24.2
36,24.5,7.14965,9.842561664469042e-07,18.9,4.9,118.0,24.5
37,37.7,21.13803,3.3750445459871674e-05,17.9,4.5,114.0,37.6
38,37.0,21.07526,3.2162664180197983e-05,18.6,4.5,114.0,37.0
39,36.5,20.94298,3.136129747627783e-05,19.4,4.5,114.0,36.5
40,36.0,20.78688,2.9079204317357643e-05,20.3,4.5,114.0,36.0
41,35.6,20.39815,2.77383315070192e-05,21.2,4.5,114.0,35.6
42,35.2,20.07498,2.6903568764538986e-05,22.1,4.5,114.0,35.2
43,34.8,19.77363,2.630520862548701e-05,23.1,4.4,114.0,34.8
44,34.4,19.41532,2.5807231312102585e-05,24.0,4.4,115.0,34.4
45,34.0,18.86842,2.5229741672319668e-05,24.9,4.4,115.0,34.0
46,33.6,18.15887,2.4577078223105333e-05,25.7,4.4,115.0,33.7
47,33.3,17.5108,2.3390843002512216e-05,26.5,4.4,115.0,33.3
48,33.0,17.13971,2.231751473984693e-05,27.2,4.4,115.0,33.1
49,32.8,16.88151,2.1126181371543327e-05,27.9,4.4,115.0,32.9
50,32.7,16.40704,2.012902453462868e-05,28.4,4.4,115.0,32.8
51,32.7,15.65133,1.9099661814542945e-05,28.9,4.3,115.0,32.7
52,32.7,15.06022,1.8968208082388944e-05,29.3,4.3,115.0,32.8
53,32.8,15.081,1.827512808516285e-05,29.6,4.3,115.0,32.9
54,33.0,15.55118,1.759975267406743e-05,29.8,4.3,115.0,33.0
55,33.1,16.04068,1.7466218890500908e-05,30.0,4.3,115.0,33.1
56,33.3,16.28817,1.6693138460739833e-05,30.1,4.405263157894737,115.0,33.3
57,51.4,50.27958,0.0001571456483901,9.7,4.1,108.0,51.8
58,51.1,49.2331,0.0001521776092728,10.2,4.1,108.0,51.5
59,50.9,47.95273,0.0001445577595043,10.6,4.1,108.0,51.3
60,50.5,46.54655,0.0001505527348229,11.2,4.1,108.0,50.9
61,50.1,45.10346,0.0001471856421698,11.7,4.1,108.0,50.5
62,49.6,43.48403,0.0001492935874307,12.3,4.1,108.0,50.1
63,49.1,41.95352,0.0001499775921636,12.9,4.1,108.0,49.6
64,48.7,40.45839,0.000147395592712,13.5,4.1,108.0,49.2
65,48.0,39.04709,0.000142528338453,14.1,4.1,109.0,48.5
66,47.1,37.70002,0.0001409553622438,14.7,4.1,109.0,47.7
67,46.3,36.34325,0.0001368313979005,15.3,4.1,109.0,46.9
68,45.7,35.05866,0.0001324044465095,16.0,4.1,109.0,46.3
69,45.3,33.82436,0.0001276025040219,16.7,4.1,109.0,45.9
70,45.0,32.6576,0.0001218942812998,17.4,4.1,109.0,45.6
71,44.6,31.65777,0.0001152550179677,18.2,4.1,110.0,45.3
72,44.4,30.83001,0.0001103674471673,18.9,4.1,110.0,45.0
73,44.3,29.99179,0.0001047474332665,19.7,4.1,110.0,44.8
74,44.2,29.22543,0.0001020799612211,20.5,4.1,110.0,44.7
75,44.1,28.55929,0.0001011151222682,21.4,4.1,110.0,44.6
76,44.0,27.90886,9.453930207605382e-05,22.2,4.1,110.0,44.5
77,15.7,11.03611,1.0686836271133018e-05,26.4,4.9,118.0,16.2
78,15.5,11.01931,1.1593305362251263e-05,27.2,4.9,118.0,16.0
79,15.4,10.75714,1.244754923808367e-05,28.1,4.9,118.0,15.9
80,15.4,10.29479,1.1998889841844196e-05,28.9,4.9,118.0,15.9
81,15.3,9.70986,1.156372780719301e-05,29.7,4.9,118.0,15.7
82,15.0,9.14462,1.0949111896860895e-05,30.4,4.9,118.0,15.5
83,14.5,8.72607,1.1359496458260463e-05,31.2,4.9,119.0,15.0
84,14.2,8.41192,1.166076919727165e-05,31.8,4.9,119.0,14.6
85,13.8,8.09858,1.081962353638654e-05,32.4,4.8,119.0,14.2
86,13.4,7.77659,1.195202062962756e-05,33.0,4.8,119.0,13.8
87,13.0,7.56004,1.064262079374601e-05,33.5,4.8,120.0,13.4
88,12.7,7.53877,1.000724735387312e-05,33.9,4.8,120.0,13.1
89,12.3,7.55501,9.267050709680698e-06,34.3,4.8,120.0,12.7
90,12.1,7.35898,9.011761757180896e-06,34.6,4.8,120.0,12.5
91,11.9,6.9204,9.18084204173002e-06,34.8,4.7,120.0,12.3
92,11.7,6.52495,9.163773861269858e-06,35.0,4.7,120.0,12.1
93,11.5,6.38856,8.62357519374299e-06,35.1,4.7,120.0,11.9
94,11.5,6.31188,8.546472097713037e-06,35.2,4.7,120.0,11.9
95,11.4,5.96595,8.501252668624608e-06,35.2,4.6,120.0,11.8
96,11.6,5.28919,8.377481401102432e-06,35.3,4.810526315789474,120.0,11.9
97,20.2,16.06744,5.258736404523039e-06,14.5,4.5,119.0,20.4
98,20.3,15.2827,2.9726614237727035e-06,15.0,4.5,119.0,20.4
99,20.4,14.52477,1.659025196611076e-06,15.6,4.5,119.0,20.5
100,20.4,13.809,3.331432196026801e-06,16.1,4.5,119.0,20.5
101,20.2,13.13283,3.008664955070604e-06,16.7,4.5,119.0,20.4
102,19.9,12.48723,3.017193982776516e-06,17.2,4.5,119.0,20.0
103,19.6,11.86489,3.6957745873163694e-06,17.8,4.5,119.0,19.8
104,19.3,11.27033,2.69210707855905e-06,18.3,4.5,119.0,19.4
105,18.9,10.70633,4.716049998214638e-06,18.8,4.5,120.0,19.0
106,18.4,10.14981,4.044483930591263e-06,19.3,4.5,120.0,18.5
107,18.0,9.63711,2.359442928783249e-06,19.7,4.5,120.0,18.0
108,17.7,9.1453,2.6954404939394704e-06,20.1,4.5,120.0,17.7
109,17.5,8.6718,2.356509605301473e-06,20.5,4.5,120.0,17.6
110,17.4,8.22813,3.026040083599401e-06,20.8,4.5,121.0,17.5
111,17.2,7.81272,3.021402608947582e-06,21.1,4.5,121.0,17.3
112,17.0,7.41939,3.0161373401489102e-06,21.4,4.4,121.0,17.1
113,17.0,7.04281,4.013828978774872e-06,21.7,4.4,121.0,17.0
114,17.0,6.69181,3.004118646664577e-06,21.9,4.4,121.0,17.1
115,17.1,6.35393,2.6703276859240685e-06,22.2,4.4,121.0,17.1
116,17.2,6.03795,2.657977737442965e-06,22.5,4.478947368421053,121.0,17.3
117,7.8,3.52327,8.922392297015313e-07,39.2,5.2,121.0,8.0
118,7.6,3.48768,8.810912429066972e-07,40.5,5.2,121.0,7.8
119,7.5,3.43655,8.702356772261064e-07,41.8,5.2,121.0,7.7
120,7.4,3.37321,6.576770643724192e-07,43.1,5.1,121.0,7.6
121,7.3,3.30247,7.501846954720252e-07,44.3,5.1,121.0,7.5
122,7.2,3.22555,6.91961278242276e-07,45.5,5.1,121.0,7.5
123,7.2,3.14199,8.784999437760036e-07,46.4,5.0,121.0,7.4
124,7.2,3.04978,6.747110212695902e-07,47.2,5.0,121.0,7.4
125,7.1,2.94752,5.712297290800202e-07,47.8,5.0,121.0,7.4
126,7.1,2.83669,8.465552725343607e-07,48.3,4.9,121.0,7.4
127,7.1,2.72225,8.830738629935999e-07,48.7,4.9,121.0,7.3
128,7.1,2.61315,8.728925158746989e-07,48.9,4.9,121.0,7.4
129,7.1,2.51802,8.630253416944439e-07,49.0,4.8,121.0,7.4
130,7.1,2.44021,4.941044357102751e-07,48.9,4.8,121.0,7.4
131,7.2,2.38303,5.775822725960848e-07,48.7,4.8,121.0,7.4
132,7.3,2.34794,5.274490183162825e-07,48.4,4.8,121.0,7.6
133,7.5,2.33158,6.088901263855839e-07,48.1,4.7,121.0,7.7
134,7.7,2.33245,5.595630793737645e-07,47.6,4.7,121.0,7.9
135,7.9,2.34303,5.595630793737645e-07,47.2,4.7,121.0,8.2
136,8.2,2.35634,5.483929345054319e-07,46.7,4.942105263157895,121.0,8.5
137,11.5,3.08639,3.69758078382057e-07,35.1,5.5,120.0,11.7
138,11.4,3.07628,6.148783340240466e-07,36.5,5.4,120.0,11.5
139,11.3,3.05158,2.454496096860307e-07,37.9,5.4,120.0,11.4
140,11.2,3.00342,2.4501828816502864e-07,39.3,5.4,120.0,11.4
141,11.2,2.93186,3.669831610999809e-07,40.7,5.3,120.0,11.4
142,11.2,2.84222,3.665379670411504e-07,42.1,5.3,120.0,11.3
143,11.2,2.75083,2.44114401773247e-07,43.4,5.3,120.0,11.3
144,11.2,2.67629,3.6586334052986523e-07,44.6,5.2,120.0,11.3
145,11.2,2.61621,2.437379753393229e-07,45.7,5.2,120.0,11.3
146,11.2,2.5612,2.435970218315305e-07,46.8,5.2,120.0,11.3
147,11.2,2.50646,2.434819872025868e-07,47.8,5.1,120.0,11.3
148,11.3,2.44984,3.650843101366876e-07,48.7,5.1,120.0,11.4
149,11.3,2.3924,2.4331660977721564e-07,49.6,5.1,120.0,11.5
150,11.5,2.33745,2.4326029118743375e-07,50.4,5.1,120.0,11.6
151,11.6,2.28531,6.080460052471938e-07,51.2,5.0,120.0,11.8
152,11.8,2.24045,4.863790755830651e-07,51.8,5.0,120.0,12.0
153,12.0,2.21086,4.863502164136876e-07,52.5,5.0,120.0,12.2
154,12.3,2.20375,3.647663877987102e-07,53.1,5.0,120.0,12.5
155,12.6,2.21909,3.647663877987102e-07,53.7,4.9,120.0,12.7
156,12.9,2.25427,3.6486580661309546e-07,54.3,5.184210526315789,120.0,13.0
157,41.1,34.28052,6.262498410743328e-06,16.6,4.5,113.0,41.0
158,40.6,32.84092,5.508473086420911e-06,17.3,4.5,113.0,40.6
159,40.3,31.28669,5.117675719175919e-06,18.1,4.4,113.0,40.2
160,40.1,29.78633,4.963688884292026e-06,18.9,4.4,113.0,40.0
161,39.8,28.29331,5.150032462371288e-06,19.7,4.4,113.0,39.7
162,39.3,26.82532,5.438822929941502e-06,20.6,4.4,113.0,39.2
163,38.5,25.48161,5.269549214730655e-06,21.5,4.4,114.0,38.4
164,37.5,24.12379,5.213511024579153e-06,22.4,4.4,114.0,37.5
165,36.7,22.84934,5.04879274036287e-06,23.3,4.5,114.0,36.7
166,36.0,21.58156,4.996319558950977e-06,24.2,4.5,114.0,36.0
167,35.4,20.34067,5.052854470373233e-06,25.1,4.5,114.0,35.4
168,35.0,18.83951,4.895033977388561e-06,26.0,4.5,114.0,35.0
169,34.7,17.32015,4.634701272436167e-06,26.9,4.5,114.0,34.7
170,34.6,15.95007,4.066668759089396e-06,27.7,4.5,114.0,34.6
171,34.5,14.67397,3.819863496661749e-06,28.5,4.5,114.0,34.6
172,34.6,13.53469,3.680688043284892e-06,29.4,4.5,114.0,34.6
173,34.6,12.51922,3.4438174108266527e-06,30.2,4.5,114.0,34.6
174,34.7,11.65183,3.312788689456779e-06,30.9,4.5,114.0,34.7
175,34.8,10.93631,3.312788689456779e-06,31.7,4.5,114.0,34.8
176,35.1,10.36241,3.1595498628804728e-06,32.5,4.468421052631579,114.0,35.1
177,43.7,4.71597,9.16224969879104e-06,21.7,4.9,114.0,43.3
178,42.9,4.35397,1.0415333751930557e-05,22.6,4.9,114.0,42.6
179,42.1,4.09942,8.393592331614046e-06,23.6,4.9,114.0,41.8
180,41.5,3.9017,6.402015866756124e-06,24.6,4.9,114.0,41.3
181,40.9,3.72867,5.895371308171102e-06,25.7,4.8,114.0,40.7
182,40.3,3.57332,5.458717900009389e-06,26.8,4.8,114.0,40.1
183,39.6,3.43106,5.079272201244828e-06,27.9,4.8,114.0,39.4
184,38.9,3.30858,4.74571509384177e-06,29.0,4.8,114.0,38.7
185,38.2,3.22033,4.515520747914732e-06,30.1,4.8,115.0,38.0
186,37.5,3.16918,4.369235340123125e-06,31.1,4.7,115.0,37.4
187,37.0,3.15171,4.237000881296183e-06,32.1,4.7,115.0,36.9
188,36.6,3.16251,4.116225750285049e-06,33.0,4.7,115.0,36.5
189,36.4,3.19495,4.806352074902191e-06,33.9,4.7,115.0,36.3
190,36.2,3.22227,4.68262714113126e-06,34.6,4.7,115.0,36.1
191,35.9,3.23607,5.326884252132085e-06,35.3,4.6,115.0,35.8
192,35.7,3.22501,5.198226959044655e-06,35.9,4.6,115.0,35.7
193,35.7,3.18776,4.3512818876441e-06,36.4,4.6,115.0,35.6
194,35.6,3.12837,4.252478131631208e-06,36.8,4.6,115.0,35.6
195,35.6,3.05603,3.54373177635934e-06,37.2,4.5,115.0,35.5
196,35.5,2.96739,3.392093437248985e-06,37.6,4.7368421052631575,115.0,35.4
197,34.7,44.03898,8.311718627318156e-05,22.5,4.2,110.0,35.6
198,34.6,42.19364,7.621347256094877e-05,23.4,4.2,110.0,35.5
199,34.7,40.44595,7.347856912815854e-05,24.2,4.2,110.0,35.5
200,34.8,38.80368,6.856895556042545e-05,25.1,4.2,110.0,35.6
201,35.0,37.29575,6.289228303079563e-05,26.0,4.2,111.0,35.7
202,35.1,35.87208,6.166281352710073e-05,26.9,4.2,111.0,35.8
203,35.2,34.48675,5.9290006168836095e-05,27.7,4.2,111.0,35.8
204,35.3,33.13912,5.4287035726632e-05,28.5,4.2,111.0,35.8
205,35.2,31.83087,4.91242037542948e-05,29.2,4.2,111.0,35.8
206,35.2,30.58499,4.559521587512991e-05,29.9,4.2,111.0,35.7
207,35.2,29.38723,4.44406114577197e-05,30.6,4.2,111.0,35.7
208,35.2,28.24284,4.318583084997989e-05,31.2,4.2,111.0,35.7
209,35.3,27.1004,4.52124896376922e-05,31.7,4.2,111.0,35.7
210,35.3,25.94436,4.486881612024681e-05,32.1,4.2,112.0,35.7
211,35.4,24.76884,4.432865523590759e-05,32.5,4.2,112.0,35.8
212,35.5,23.59214,4.4028760232499314e-05,32.9,4.2,112.0,35.9
213,35.7,22.35029,4.195767181468584e-05,33.2,4.2,112.0,36.0
214,35.9,20.94401,3.961739351775313e-05,33.5,4.2,112.0,36.2
215,36.2,19.66567,3.863168663433732e-05,33.8,4.2,112.0,36.4
216,36.5,18.51498,3.661406937401684e-05,34.1,4.2,112.0,36.7
217,20.5,9.25424,3.6539023677287343e-06,33.7,4.3,120.0,20.6
218,20.3,9.33893,7.275214073174103e-06,34.9,4.3,120.0,20.4
219,20.1,9.46325,7.240657741349224e-06,36.0,4.3,120.0,20.1
220,19.9,9.61871,7.205986733778423e-06,37.2,4.3,120.0,19.9
221,19.4,9.77476,7.173138032695163e-06,38.3,4.3,120.0,19.4
222,19.0,9.92188,7.14191339001632e-06,39.5,4.3,120.0,19.1
223,18.6,10.02779,7.1121984872353815e-06,40.6,4.3,121.0,18.7
224,18.2,10.07697,7.083181340067078e-06,41.7,4.3,121.0,18.3
225,17.8,10.06845,7.054723490112805e-06,42.8,4.3,121.0,17.9
226,17.5,10.02803,7.027678511818798e-06,43.8,4.3,121.0,17.6
227,17.2,9.9697,7.0015018221408496e-06,44.8,4.3,121.0,17.3
228,17.1,9.90484,6.975811374060445e-06,45.7,4.3,121.0,17.2
229,16.9,9.81386,6.950888497322171e-06,46.6,4.3,121.0,16.9
230,16.7,9.68823,6.927006667243917e-06,47.4,4.3,121.0,16.8
231,16.7,9.51986,6.904170118751726e-06,48.1,4.3,121.0,16.7
232,16.6,9.32478,6.882217725839974e-06,48.8,4.3,121.0,16.7
233,16.6,9.11569,6.861181152335375e-06,49.4,4.4,121.0,16.7
234,16.6,8.86665,6.84144272344152e-06,50.0,4.4,121.0,16.7
235,16.7,8.63214,6.84144272344152e-06,50.5,4.4,121.0,16.8
236,16.9,8.37493,6.805637790345522e-06,51.0,4.315789473684211,121.0,17.0
237,21.8,6.04042,2.092947395162521e-06,23.7,5.2,118.0,21.9
238,21.7,5.49367,1.600033760712351e-06,24.6,5.2,118.0,21.8
239,21.6,4.96757,1.808102287158988e-06,25.4,5.2,118.0,21.7
240,21.5,4.46283,1.9181824514573644e-06,26.3,5.2,118.0,21.6
241,21.2,3.96848,1.8263077809538625e-06,27.2,5.1,118.0,21.4
242,20.9,3.47771,1.9369709648052378e-06,28.0,5.1,118.0,21.0
243,20.5,3.00379,1.9455778857835192e-06,28.8,5.1,118.0,20.7
244,20.1,2.57897,1.953783156599936e-06,29.5,5.1,118.0,20.3
245,19.7,2.23612,1.85839677349282e-06,30.3,5.0,119.0,19.8
246,19.2,1.9879,1.9692112780253743e-06,31.0,5.0,119.0,19.4
247,18.9,1.82816,1.8725360546414343e-06,31.7,5.0,119.0,19.1
248,18.8,1.74193,1.983805465112588e-06,32.4,5.0,119.0,19.0
249,18.9,1.70229,1.7814322988136813e-06,33.1,4.9,119.0,19.1
250,19.0,1.6711,1.787902212266061e-06,33.8,4.9,119.0,19.1
251,19.1,1.62767,1.6888964138606884e-06,34.5,4.9,119.0,19.3
252,19.4,1.5615,1.4832824532135633e-06,35.1,4.9,119.0,19.5
253,19.6,1.47076,1.488929279049808e-06,35.7,4.8,119.0,19.8
254,19.9,1.35887,1.4947694280787954e-06,36.3,4.8,119.0,20.1
255,20.2,1.23395,1.388000183216024e-06,36.9,4.8,119.0,20.3
256,20.4,1.11165,1.399473604151571e-06,37.6,5.010526315789474,119.0,20.6
257,11.0,2.95606,5.845891770328942e-07,36.7,5.3,120.0,11.2
258,10.9,2.84352,1.0688246300725082e-06,37.9,5.3,120.0,11.0
259,10.7,2.76247,5.818480852834133e-07,39.1,5.2,120.0,10.9
260,10.7,2.70705,7.743815982152052e-07,40.3,5.2,120.0,10.8
261,10.6,2.66327,3.865378155743044e-07,41.5,5.1,120.0,10.7
262,10.6,2.62131,6.753896129708768e-07,42.7,5.1,120.0,10.8
263,10.7,2.57509,8.6712996457196e-07,43.8,5.0,120.0,10.8
264,10.7,2.51808,7.698061993647944e-07,44.9,5.0,120.0,10.8
265,10.7,2.45378,7.689386464815146e-07,45.9,5.0,121.0,10.9
266,10.8,2.38919,6.721503896167744e-07,46.9,4.9,121.0,10.9
267,10.8,2.3315,7.674970377012773e-07,47.9,4.9,121.0,10.9
268,11.0,2.28765,8.627733158017796e-07,48.9,4.9,120.0,11.1
269,11.2,2.262,6.706038778339839e-07,49.8,4.8,120.0,11.3
270,11.3,2.25433,4.78731491761797e-07,50.6,4.8,120.0,11.4
271,11.5,2.26161,5.741977906591609e-07,51.5,4.8,120.0,11.6
272,11.8,2.27896,4.782967584585107e-07,52.2,4.7,120.0,12.0
273,12.3,2.30506,4.781265700481244e-07,53.0,4.7,120.0,12.3
274,12.7,2.3344,4.779890351227299e-07,53.7,4.7,120.0,12.8
275,13.1,2.3636,4.779890351227299e-07,54.4,4.6,120.0,13.2
276,13.5,2.38335,4.778141341243387e-07,55.2,4.947368421052632,120.0,13.6
277,27.1,11.97795,1.2096579087434074e-05,20.1,4.5,118.0,27.2
278,26.5,11.56307,1.1781384626863914e-05,20.9,4.5,118.0,26.6
279,26.0,11.12289,1.5308192179044617e-05,21.7,4.4,118.0,26.0
280,25.4,10.60883,1.49277125519671e-05,22.5,4.4,118.0,25.5
281,24.9,10.01662,1.456558153084262e-05,23.4,4.4,118.0,25.0
282,24.4,9.35562,1.4220250347507367e-05,24.2,4.5,119.0,24.5
283,24.0,8.74141,1.7363944810437816e-05,25.1,4.5,119.0,24.1
284,23.5,8.36623,1.3577271647262483e-05,25.9,4.5,119.0,23.6
285,23.1,8.36095,1.327712682975404e-05,26.7,4.5,119.0,23.1
286,22.5,8.67968,1.299127311228682e-05,27.6,4.5,119.0,22.5
287,21.9,9.28328,1.5897139150838415e-05,28.4,4.5,120.0,21.9
288,21.4,9.95566,1.557074568301076e-05,29.1,4.5,120.0,21.5
289,21.1,10.41235,1.5256973199600876e-05,29.9,4.5,120.0,21.2
290,20.9,10.52853,1.4956760006820283e-05,30.6,4.5,120.0,20.9
291,20.8,10.38361,1.4669467557005551e-05,31.2,4.5,120.0,20.8
292,20.6,10.06521,1.7272698484896465e-05,31.8,4.5,120.0,20.6
293,20.5,9.63093,1.695595408327634e-05,32.4,4.5,120.0,20.5
294,20.4,9.1363,1.387555294078469e-05,32.9,4.5,120.0,20.5
295,20.4,8.62437,1.387555294078469e-05,33.5,4.5,120.0,20.5
296,20.5,8.14559,1.3395596063838053e-05,34.0,4.484210526315789,120.0,20.5
297,62.1,39.03338,0.0001587824363359,8.7,3.9,104.0,62.1
298,61.8,38.29518,0.0001541159636356,9.1,3.9,104.0,61.7
299,61.4,37.55035,0.0001506124931647,9.5,3.9,104.0,61.4
300,61.1,36.83861,0.0001476614781777,10.0,4.0,104.0,61.1
301,60.6,36.24618,0.0001453466937147,10.4,4.0,104.0,60.7
302,60.0,35.77431,0.0001434869831206,10.9,4.0,104.0,60.1
303,59.4,35.33472,0.0001399453266976,11.4,4.0,104.0,59.6
304,58.8,34.97559,0.0001392821929709,11.9,4.0,104.0,59.0
305,58.0,34.63397,0.0001377080020772,12.4,4.0,104.0,58.2
306,57.1,34.305,0.0001414949694216,12.9,4.0,105.0,57.4
307,56.3,33.94038,0.0001441031977659,13.5,4.0,105.0,56.7
308,55.6,33.54752,0.000144771621159,14.1,4.0,105.0,56.0
309,55.1,33.13499,0.0001422054682534,14.7,4.0,105.0,55.5
310,54.8,32.70707,0.0001382970150118,15.3,4.1,105.0,55.2
311,54.6,32.29029,0.0001356224993986,15.9,4.1,105.0,55.0
312,54.6,31.86861,0.0001292990374734,16.6,4.1,105.0,55.0
313,54.6,31.4978,0.0001236331231756,17.2,4.1,105.0,55.0
314,54.6,31.08138,0.0001199405189239,17.9,4.1,105.0,55.0
315,54.7,30.64088,0.0001185816761868,18.7,4.1,105.0,55.1
316,54.8,30.20019,0.0001133398223243,19.4,4.015789473684211,105.0,55.2
317,45.0,31.83674,8.912773655161487e-05,14.1,4.3,110.0,45.2
318,44.5,30.89526,8.441832527030099e-05,14.6,4.3,110.0,44.7
319,44.1,29.9657,7.987947784382923e-05,15.2,4.3,111.0,44.3
320,43.7,28.98215,7.707347304080017e-05,15.7,4.3,111.0,43.9
321,43.4,28.03464,7.592014440321343e-05,16.2,4.3,111.0,43.5
322,43.0,27.12881,7.024005301597044e-05,16.7,4.3,111.0,43.2
323,42.7,26.19728,6.323348966057166e-05,17.2,4.3,111.0,42.8
324,42.2,25.29811,5.940420552072984e-05,17.6,4.2,111.0,42.3
325,41.7,24.37809,5.715784799236723e-05,18.0,4.2,112.0,41.8
326,41.2,23.4431,5.353466224692212e-05,18.4,4.2,112.0,41.3
327,40.7,22.51597,5.143981470235637e-05,18.8,4.2,112.0,40.7
328,40.2,21.60822,4.9405231590552025e-05,19.1,4.2,112.0,40.3
329,39.7,20.8403,4.7426683926259874e-05,19.4,4.2,112.0,39.8
330,39.4,20.10825,4.549866537248241e-05,19.6,4.2,113.0,39.4
331,39.0,19.25177,4.361794496778406e-05,19.9,4.1,113.0,39.1
332,38.8,18.43594,4.178353701684416e-05,20.1,4.1,113.0,38.8
333,38.6,17.63242,3.999333444425929e-05,20.4,4.1,113.0,38.7
334,38.6,16.97749,3.69252843246893e-05,20.6,4.1,113.0,38.6
335,38.6,16.32637,3.560652417023611e-05,20.8,4.1,113.0,38.6
336,38.7,15.74539,3.357394661742488e-05,21.1,4.2105263157894735,114.0,38.6
337,32.9,29.57942,8.67591503753279e-05,25.1,4.5,115.0,33.1
338,33.0,28.68289,8.055024662238714e-05,26.0,4.5,114.0,33.2
339,33.1,27.98706,7.772911123785015e-05,26.9,4.5,114.0,33.3
340,33.0,27.41583,7.477866890299234e-05,27.9,4.5,114.0,33.3
341,32.7,26.84408,7.149308703440268e-05,28.9,4.5,114.0,33.0
342,32.3,26.23276,7.219266425539494e-05,29.8,4.5,114.0,32.6
343,32.0,25.51244,6.832646645138064e-05,30.8,4.5,114.0,32.3
344,31.4,24.67883,7.012566179104124e-05,31.7,4.5,114.0,31.7
345,30.8,23.74295,6.957422345844925e-05,32.6,4.5,114.0,31.2
346,30.2,22.76412,6.710828556130454e-05,33.5,4.5,114.0,30.6
347,29.6,21.79504,6.484094666575789e-05,34.3,4.5,115.0,30.0
348,28.9,20.81821,6.27552024309883e-05,35.1,4.5,115.0,29.4
349,28.2,19.85688,6.054420003570456e-05,35.8,4.5,115.0,28.6
350,27.4,18.70919,5.869390012649778e-05,36.5,4.5,115.0,27.9
351,27.0,17.62739,5.653019718974375e-05,37.1,4.5,115.0,27.5
352,26.2,16.68625,5.4902923668641136e-05,37.6,4.5,115.0,26.7
353,25.2,15.89095,5.369360496402392e-05,38.1,4.5,115.0,25.7
354,24.5,15.21236,5.225244863772839e-05,38.5,4.5,116.0,25.1
355,24.0,14.59486,5.09057360439725e-05,38.9,4.5,116.0,24.6
356,23.9,14.01033,4.854590629890543e-05,39.3,4.5,116.0,24.4
357,25.2,6.91788,1.73462386044505e-06,25.4,5.0,116.0,25.3
358,24.8,6.54466,1.2161624092469207e-06,26.3,5.0,116.0,25.0
359,24.6,6.20945,9.60288240118154e-07,27.2,4.9,116.0,24.7
360,24.4,5.91698,7.070167405067094e-07,28.1,4.9,116.0,24.6
361,24.4,5.67888,6.90354890738682e-07,29.0,4.9,117.0,24.5
362,24.3,5.49497,4.514169300308273e-07,29.9,4.9,117.0,24.4
