,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
938,5.53,2.5796,21.22,76.22
939,5.86,2.48611,20.74,76.82
940,6.14,2.38651,20.34,77.31
941,6.27,2.30116,19.86,77.84
942,6.45,2.26313,19.58,77.81
943,6.52,2.27478,18.82,78.74
944,6.36,2.26599,19.0,78.62
945,6.58,2.19804,18.57,78.83
946,7.24,2.13172,18.32,79.03
947,7.18,2.06191,18.8,78.54
948,7.3,2.00792,18.15,79.17
949,7.65,1.97986,17.46,79.8
950,7.79,1.97643,17.79,79.46
951,7.78,1.99671,17.64,79.56
952,7.58,2.02202,18.63,78.56
953,7.3,2.0384,19.27,77.83
954,7.12,2.02824,19.05,78.01
955,7.1,2.02552,18.43,78.56
956,7.34,2.02448,17.45,80.17
957,6.97,5.00412,7.27,72.73
958,7.06,4.98271,7.34,72.76
959,7.32,4.90909,7.14,73.0
960,7.32,4.8119,7.38,72.64
961,7.38,4.70788,7.25,72.65
962,7.41,4.59467,7.37,72.55
963,7.4,4.52737,9.36,71.27
964,7.33,4.49352,9.53,71.1
965,7.42,4.49641,10.03,70.63
966,7.98,4.49138,10.17,70.68
967,7.91,4.4538,10.24,70.44
968,7.85,4.41467,10.24,70.21
969,7.94,4.34704,10.12,70.29
970,8.04,4.17959,9.95,70.44
971,8.14,4.19145,9.87,70.5
972,8.28,4.2855,9.72,72.37
973,8.62,4.26377,9.58,75.13
974,8.6,4.26712,9.59,75.86
975,8.49,4.30716,9.32,75.93
976,8.33,4.34598,9.26,75.31
977,1.06,17.56353,53.13,36.62
978,1.26,17.46958,50.8,40.06
979,1.2,17.34152,54.07,36.02
980,1.44,17.19001,50.09,40.58
981,1.36,17.02844,49.95,40.81
982,1.05,16.8436,52.14,35.93
983,1.22,16.66121,51.15,38.71
984,1.23,16.53159,50.52,38.99
985,1.06,16.40987,51.96,38.02
986,1.54,16.19568,50.63,40.13
987,1.57,15.98356,25.51,63.55
988,1.59,15.68231,27.73,61.99
989,1.48,15.42312,28.0,61.25
990,1.82,15.15233,28.59,64.17
991,1.52,14.86438,28.13,59.88
992,1.57,14.58866,25.9,58.91
993,2.01,14.36729,22.55,64.7
994,1.76,14.14324,25.16,63.29
995,1.61,13.9583,23.11,58.6
996,1.67,13.80085,23.09,60.31
997,0.82,15.19092,80.98,11.41
998,1.14,15.05148,76.44,15.84
999,1.12,14.67399,77.13,14.36
1000,1.15,14.18235,79.21,14.29
1001,1.18,13.54042,79.44,14.57
1002,1.21,12.78714,79.59,14.92
1003,1.19,11.97654,77.26,15.53
1004,1.09,11.09329,75.67,14.7
1005,1.53,10.43762,66.55,18.18
1006,2.05,9.81249,68.91,21.42
1007,1.93,9.27502,72.73,21.31
1008,1.4,8.73471,75.61,17.48
1009,1.56,8.1953,73.44,19.44
1010,1.86,7.58608,69.08,23.56
1011,2.18,7.01849,65.98,27.6
1012,2.64,6.57934,57.32,35.57
1013,2.93,6.27243,55.52,36.64
1014,2.63,5.91427,54.76,37.21
1015,2.81,5.70521,47.67,39.46
1016,2.72,5.72846,46.77,40.82
1017,7.73,2.94344,12.29,78.2
1018,7.76,2.88858,12.28,78.18
1019,7.93,2.82843,12.58,77.82
1020,8.05,2.76824,12.84,77.41
1021,7.7,2.69081,14.02,75.9
1022,7.8,2.61021,14.12,75.68
1023,7.66,2.52463,14.51,75.24
1024,7.56,2.43687,14.41,75.17
1025,7.72,2.34195,14.12,75.29
1026,8.5,2.28186,13.89,75.66
1027,8.4,2.28573,13.96,75.7
1028,8.13,2.28625,14.0,75.41
1029,8.19,2.2998,14.17,75.44
1030,8.41,2.32507,13.31,76.43
1031,8.49,2.36754,13.0,77.03
1032,8.61,2.52391,13.08,76.97
1033,8.68,2.65818,12.99,77.28
1034,8.81,2.72422,12.78,77.72
1035,8.88,2.73228,12.84,77.57
1036,9.09,2.71055,12.82,77.73
1037,0.78,28.69334,52.61,27.8
1038,1.06,28.25351,46.82,33.53
1039,0.7,27.76267,54.18,24.14
1040,0.82,27.42345,51.09,29.12
1041,0.72,27.16726,48.01,26.15
1042,1.47,26.9034,37.13,40.35
1043,1.48,26.62143,38.81,40.05
1044,1.65,26.33031,38.47,43.21
1045,1.76,25.95992,37.03,45.15
1046,2.18,25.5031,31.05,49.34
1047,2.38,25.11357,27.6,56.09
1048,2.37,24.6655,36.06,50.24
1049,1.98,24.30185,38.32,49.21
1050,1.87,24.14495,38.88,40.46
1051,1.44,23.90942,45.05,35.08
1052,1.62,23.47698,35.8,35.08
1053,1.33,22.89314,37.82,38.36
1054,1.09,22.43831,41.41,32.38
1055,1.38,21.99329,37.42,39.46
1056,1.38,21.65028,36.22,40.24
1057,4.46,4.56047,36.27,61.63
1058,5.05,4.448,34.78,63.21
1059,4.98,4.2241,37.38,60.46
1060,5.06,3.94896,37.9,59.86
1061,4.75,3.65653,38.96,58.62
1062,5.21,3.32855,36.88,60.83
1063,5.09,3.11406,36.05,61.61
