,Domestic general government health expenditure (GGHE-D) as percentage of gross domestic product (GDP) (%),Stillbirth rate (per 1000 total births),Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Domestic general government health expenditure (GGHE-D) as percentage of current health expenditure (CHE) (%)
1434,4.2,12.1909,39.1,44.98
1435,4.37,11.91591,38.47,45.63
1436,4.44,11.62484,39.48,47.41
1437,4.12,11.36282,42.03,46.59
1438,3.44,11.10375,40.68,39.32
1439,4.44,10.86889,40.08,51.71
1440,4.01,10.63855,39.19,51.28
1441,4.56,10.46126,36.05,56.7
1442,5.14,10.29722,31.94,60.51
1443,6.19,10.11892,22.71,67.08
1444,5.45,9.97131,21.86,66.71
1445,5.5,9.81766,20.9,67.45
1446,5.04,9.69104,21.58,64.41
1447,4.41,9.58476,22.13,61.55
1448,4.65,9.44291,20.89,64.48
1449,3.99,9.29884,29.37,53.54
1450,3.47,9.20479,30.62,48.52
1451,3.58,9.07975,30.43,44.8
1452,3.77,8.96542,31.21,48.43
1453,3.88,8.83711,30.29,51.18
1454,2.12,11.16879,48.51,50.95
1455,1.97,10.80131,42.71,56.65
1456,1.93,10.42606,45.9,53.5
1457,2.04,10.07292,44.55,54.81
1458,2.32,9.73417,41.04,58.25
1459,2.53,9.40893,34.41,64.91
1460,2.31,9.09982,31.08,68.09
1461,1.79,8.76525,32.77,66.27
1462,2.27,8.36281,24.47,74.32
1463,2.66,7.84845,22.91,75.91
1464,1.84,7.44266,27.3,67.39
1465,1.84,7.12346,24.6,70.8
1466,2.07,6.85898,27.82,68.15
1467,1.85,6.56042,25.96,69.36
1468,2.13,6.28104,23.8,71.72
1469,1.92,5.98767,32.1,63.14
1470,2.04,5.72987,35.67,59.62
1471,1.89,5.55074,33.14,62.01
1472,1.71,5.44487,33.47,60.84
1473,1.67,5.38947,33.86,59.94
1474,1.33,22.46979,47.12,28.59
1475,1.4,22.50629,46.46,29.14
1476,1.5,22.48917,44.33,30.28
1477,1.49,22.53178,45.01,28.79
1478,1.42,22.44434,44.21,26.49
1479,1.48,22.2053,44.96,27.9
1480,1.46,22.00301,38.43,24.83
1481,1.56,21.74686,35.77,25.95
1482,1.64,21.33313,33.46,27.08
1483,1.68,20.94252,31.51,27.88
1484,1.77,20.59693,30.18,28.96
1485,1.79,20.21834,30.97,30.87
1486,1.82,19.90883,31.6,32.41
1487,1.86,19.66568,32.13,33.68
1488,2.04,19.52701,29.22,37.41
1489,2.11,19.51111,26.9,40.38
1490,2.2,19.56761,25.0,42.81
1491,1.78,19.68103,23.28,42.94
1492,1.86,19.80965,23.37,43.11
1493,2.11,19.74774,24.3,45.98
1494,1.6,7.07364,25.49,72.54
1495,2.52,6.96376,19.65,78.89
1496,2.4,6.86826,21.54,76.8
1497,2.12,6.7801,20.82,76.89
1498,1.8,6.69039,21.56,76.26
1499,1.53,6.62731,21.47,76.21
1500,1.39,6.59675,21.24,76.52
1501,1.47,6.55819,21.35,76.42
1502,1.5,6.53784,19.81,78.09
1503,2.21,6.48651,16.72,81.58
1504,2.26,6.40667,14.33,84.2
1505,1.97,6.31411,14.01,84.47
1506,1.95,6.24574,14.96,83.46
1507,2.09,6.184,14.49,83.97
1508,2.47,6.09861,13.93,84.59
1509,3.58,6.03977,13.7,84.86
1510,4.04,6.0052,13.28,85.32
1511,3.99,5.94796,12.93,85.71
1512,4.5,5.88132,10.68,88.2
1513,4.78,5.82728,11.79,86.96
1514,2.13,10.79207,51.65,48.35
1515,2.0,10.62647,53.16,46.84
1516,2.22,10.49014,51.66,48.34
1517,2.27,10.358,51.08,38.92
1518,2.34,10.23649,46.6,37.68
1519,3.8,10.09664,42.57,50.99
1520,4.21,9.92174,39.18,50.67
1521,3.09,9.7546,42.91,44.51
1522,2.9,9.56577,48.68,44.38
1523,3.48,9.33648,38.59,50.45
1524,3.42,9.00264,43.09,49.14
1525,3.69,8.62596,43.54,51.96
1526,4.22,8.30664,43.24,49.6
1527,3.95,8.02954,46.42,48.21
1528,2.75,7.75108,56.32,37.36
1529,2.71,7.495,54.54,37.93
1530,2.5,7.26244,57.21,38.94
1531,2.35,7.07703,56.38,37.95
1532,2.42,6.95859,46.62,48.39
1533,2.31,6.83502,46.18,51.42
1534,1.23,24.34608,44.78,28.84
1535,1.33,23.98342,43.97,30.99
1536,1.02,23.54982,49.67,27.55
1537,1.1,23.16538,54.76,24.47
1538,0.79,22.74738,47.26,22.43
1539,0.91,22.38756,43.72,27.17
1540,0.64,22.02266,41.08,21.9
1541,0.57,21.75888,34.91,18.09
1542,0.51,21.43644,31.38,18.55
1543,1.15,21.14898,26.88,33.11
1544,0.6,20.9217,35.96,20.73
1545,0.37,20.42964,52.6,18.87
1546,0.44,19.99392,48.63,21.03
1547,0.71,19.48617,48.7,29.7
1548,0.68,18.92674,50.88,29.75
1549,0.86,18.37033,45.37,35.21
1550,0.76,17.75703,46.44,32.4
1551,0.89,17.29094,46.24,35.19
1552,0.87,16.89069,48.55,38.7
1553,0.96,16.56351,41.83,36.93
1554,2.76,5.97554,47.66,50.75
1555,2.82,5.77956,48.85,48.73
1556,2.86,5.60366,47.58,49.58
1557,2.74,5.22712,48.56,49.83
1558,3.49,4.90606,40.63,56.17
1559,3.26,4.65906,41.69,55.7
1560,3.52,4.46467,35.6,61.54
1561,3.36,4.32506,36.83,60.89
1562,3.38,4.29577,37.31,60.33
1563,3.65,4.26457,38.78,59.65
1564,3.68,4.22009,37.19,60.18
1565,3.52,4.16594,34.3,63.5
1566,3.25,4.04966,37.82,60.35
1567,3.22,3.90403,38.47,60.01
1568,3.26,3.76335,39.11,59.67
1569,3.32,3.64535,40.54,58.68
1570,3.43,3.56017,43.44,55.85
1571,3.41,3.45336,42.01,57.17
1572,3.7,3.35109,39.34,59.72
1573,3.98,3.23825,35.72,60.56
1574,3.23,10.80581,57.79,29.82
1575,3.45,10.49259,54.84,32.69
1576,3.05,10.20764,54.12,32.86
1577,2.94,9.91865,52.48,33.9
1578,2.97,9.58221,48.88,37.12
1579,2.9,9.21484,47.32,38.41
1580,3.55,8.83982,44.69,41.01
1581,3.51,8.47252,44.08,41.04
1582,3.08,8.16579,44.86,39.34
1583,2.68,7.90956,44.57,38.2
1584,3.0,7.64212,43.59,40.31
1585,3.57,7.43798,40.19,43.71
1586,3.05,7.2718,37.34,43.5
1587,3.12,7.11971,36.95,44.12
1588,3.57,6.96446,35.57,47.48
1589,3.32,6.85204,32.7,44.78
1590,3.67,6.73207,31.97,46.34
1591,3.62,6.59279,33.07,46.47
1592,4.34,6.46392,32.81,50.0
1593,4.24,6.33558,33.54,48.98
1594,3.17,35.61408,39.73,56.41
1595,3.98,35.28258,28.39,54.72
1596,3.55,34.68515,29.22,52.68
1597,3.56,34.00716,32.47,58.88
1598,3.46,33.30741,31.5,57.08
1599,2.63,32.69903,34.39,48.26
1600,3.45,32.16833,30.02,56.41
1601,4.64,31.68452,24.66,63.72
1602,4.37,31.22226,22.37,56.74
1603,4.87,30.80348,20.12,54.07
1604,4.72,30.36912,21.14,56.03
1605,5.37,29.86678,18.1,56.17
1606,4.82,29.55377,18.34,52.13
1607,4.62,29.19957,16.22,48.43
1608,4.93,29.00441,15.77,53.76
1609,5.31,28.84927,16.18,59.06
1610,5.08,28.62425,17.15,57.96
1611,5.56,28.37379,15.54,55.14
1612,5.14,28.18944,14.1,47.17
1613,4.91,27.90086,13.76,43.54
1614,0.75,29.78768,70.1,17.54
1615,0.79,29.37079,59.23,22.69
1616,0.49,29.02912,63.97,16.85
1617,0.53,28.62091,66.06,14.53
1618,0.69,28.3289,78.38,7.56
1619,0.57,28.00285,73.69,5.92
1620,0.7,27.48123,70.02,8.26
1621,0.82,26.83287,69.34,7.61
1622,1.37,26.27318,63.32,15.18
1623,0.96,25.83422,49.34,10.23
1624,0.8,25.44671,50.87,8.9
1625,1.52,25.05614,48.2,16.1
1626,0.87,24.91422,45.33,9.95
1627,0.34,24.79333,48.17,4.13
1628,0.83,24.7658,51.14,8.96
1629,1.21,24.76842,46.65,11.35
1630,1.39,24.72298,46.88,14.13
1631,1.38,24.67336,47.97,15.19
1632,1.69,24.55692,47.3,18.67
1633,1.36,24.18432,54.4,16.1
1634,1.67,13.84592,51.29,48.71
1635,2.21,13.65655,45.53,54.47
1636,3.27,13.4142,33.09,66.91
1637,2.72,13.15235,33.76,66.24
1638,2.3,12.7899,34.21,65.79
1639,1.68,12.36935,35.35,64.65
1640,1.64,11.92759,34.63,65.36
1641,1.62,11.49801,33.44,66.53
1642,1.78,11.08834,32.27,67.66
1643,2.95,10.72617,31.1,68.79
1644,2.51,10.37571,29.97,69.94
1645,3.83,10.1281,36.67,63.29
1646,4.17,4.54532,27.15,67.26
1647,4.22,4.45745,27.59,70.2
1648,4.47,4.3856,25.6,72.81
1649,4.6,4.33475,24.18,74.32
1650,3.45,4.30505,32.92,62.63
1651,3.43,4.21016,32.78,60.71
1652,3.65,4.05694,31.86,62.43
1653,3.79,3.86782,28.4,65.83
1654,4.45,3.68675,28.17,70.72
1655,5.29,3.54485,26.82,71.88
1656,4.84,3.42576,27.59,71.09
1657,4.56,3.32517,28.22,70.33
1658,4.18,3.21787,31.8,66.62
1659,4.02,3.13979,32.82,65.59
1660,4.12,3.08485,31.49,66.57
1661,4.29,3.0403,31.84,66.09
1662,4.36,2.99234,32.32,65.76
1663,4.22,2.91022,32.59,65.16
1664,4.31,2.83629,31.52,65.99
1665,4.56,2.75295,32.27,65.09
1666,4.91,3.64655,14.25,83.25
1667,5.39,3.55826,13.66,84.05
1668,5.66,3.45394,13.86,83.96
1669,5.85,3.38152,13.26,83.86
1670,6.21,3.32466,12.78,84.5
1671,6.04,3.28832,12.93,84.15
1672,5.62,3.27281,13.38,83.78
1673,5.32,3.28764,10.31,85.36
1674,5.73,3.33726,10.06,87.65
1675,6.36,3.41637,9.9,86.71
1676,6.04,3.47673,10.23,85.93
1677,5.15,3.53859,10.88,84.32
1678,4.67,3.56961,11.49,83.63
1679,4.64,3.55518,11.22,83.86
1680,4.58,3.53548,11.11,84.26
1681,4.47,3.51367,10.75,84.51
1682,4.39,3.47322,10.77,84.44
1683,4.46,3.43868,10.69,84.78
1684,4.49,3.39545,10.47,84.92
1685,4.61,3.35103,9.62,85.87
1686,1.77,20.23331,38.68,39.55
1687,1.88,19.94008,33.54,39.5
1688,1.79,19.69648,37.26,36.0
1689,2.14,19.3962,36.39,45.03
1690,2.19,18.90568,30.56,41.7
1691,1.94,18.52458,33.11,37.27
1692,1.88,18.1267,31.63,37.07
1693,1.88,17.89355,33.49,41.9
1694,1.39,17.69559,36.96,33.95
1695,1.24,17.5622,37.38,27.99
1696,1.87,17.47387,36.51,40.16
1697,1.68,17.35006,28.5,37.81
1698,1.49,17.27781,33.24,38.97
1699,1.3,17.19813,35.71,34.88
1700,1.75,17.06888,28.38,39.48
1701,1.99,16.96181,25.35,40.02
1702,2.37,16.80894,23.39,45.12
1703,2.25,16.70516,25.41,46.37
1704,1.48,16.58548,28.9,35.27
1705,1.19,16.47522,32.52,32.19
1706,1.43,22.17793,10.92,51.87
1707,1.18,21.61173,12.48,49.39
1708,1.37,21.05054,14.81,36.35
1709,1.65,20.66445,12.07,35.39
1710,1.21,20.40094,9.7,21.06
1711,1.48,20.28554,9.1,24.48
1712,1.33,20.26725,8.92,19.21
1713,1.03,20.28641,11.72,13.5
1714,1.93,20.36334,10.37,22.39
1715,1.49,20.29417,11.24,17.98
1716,1.59,19.96726,10.93,22.01
1717,1.62,19.48185,8.96,21.65
1718,1.35,18.94035,10.24,15.88
1719,2.09,18.324,6.71,18.02
1720,2.21,17.72306,8.18,22.73
1721,2.67,17.28656,10.98,28.65
1722,2.69,16.91678,12.41,24.73
1723,2.47,16.80616,12.7,22.67
1724,2.4,16.56855,12.82,24.44
1725,2.41,16.28914,16.86,32.59
1726,1.17,4.92703,40.7,46.66
1727,1.35,4.75604,35.69,50.51
1728,1.37,4.62062,34.64,51.21
1729,1.52,4.52246,34.5,51.94
1730,1.46,4.46156,36.11,50.94
1731,1.36,4.4177,38.04,48.9
1732,1.67,4.38143,34.73,53.87
1733,1.62,4.35687,35.12,52.92
1734,1.6,4.35139,35.54,53.12
1735,1.81,4.42053,32.19,55.55
1736,1.68,4.47373,34.12,53.06
1737,1.76,4.44644,34.01,53.25
1738,1.86,4.35121,33.04,53.93
1739,1.89,4.31726,33.67,53.91
1740,2.03,4.34151,33.04,54.74
1741,2.03,4.56839,33.41,53.26
1742,1.89,5.05108,34.43,51.25
1743,1.92,5.3537,34.22,51.89
1744,1.92,5.4521,34.99,51.33
1745,2.0,5.47353,34.57,52.2
1746,2.56,13.66718,62.99,33.15
1747,2.68,13.03605,57.46,32.6
1748,2.55,12.36644,51.88,29.03
1749,2.15,11.66885,53.81,31.69
1750,2.31,10.99357,59.5,30.88
1751,2.97,10.37631,55.66,33.62
1752,2.96,9.80328,49.92,36.78
1753,3.91,9.14263,47.22,47.13
1754,6.4,8.54902,33.1,55.77
1755,5.82,8.0506,34.32,57.7
1756,4.5,7.61619,40.08,52.96
1757,3.68,7.24099,39.69,46.41
1758,4.21,6.96546,32.19,48.53
1759,4.3,6.73683,32.37,52.85
1760,4.9,6.54177,28.14,62.02
1761,6.27,6.39338,19.53,72.1
1762,7.43,6.27615,18.98,72.23
1763,6.6,6.15998,20.65,71.46
1764,5.78,5.99219,19.22,75.53
1765,6.39,5.78872,16.45,79.3
1766,1.29,28.2206,68.82,23.67
1767,1.05,27.62242,67.79,23.33
1768,1.11,27.01865,61.75,22.21
1769,1.41,26.43967,61.2,27.97
1770,1.59,25.87758,55.61,30.45
1771,1.4,25.3637,57.02,26.9
1772,1.22,24.91634,56.74,22.44
1773,1.0,24.53299,61.35,18.97
1774,0.72,24.02323,63.22,14.2
1775,0.67,23.48594,61.84,12.77
1776,0.67,22.97,56.27,14.3
1777,0.6,22.4933,50.0,15.06
1778,0.41,22.0754,44.74,11.02
1779,0.82,21.68421,34.82,20.56
1780,0.89,21.31918,33.55,19.9
1781,0.92,20.9214,34.17,22.36
1782,1.21,20.48376,35.75,32.03
1783,1.18,20.13378,37.5,32.05
1784,1.15,20.02698,32.55,30.84
1785,1.31,19.70362,31.35,33.65
1786,4.72,3.87961,26.37,71.79
1787,4.81,3.82374,29.67,68.67
1788,5.43,3.76859,28.74,70.4
1789,5.51,3.69662,28.84,69.84
1790,5.6,3.62999,28.17,69.54
1791,5.99,3.5631,28.86,69.13
1792,6.03,3.54498,29.62,68.49
1793,5.46,3.57739,31.08,66.81
1794,5.09,3.6241,32.99,64.75
1795,5.14,3.63364,32.46,64.92
1796,5.14,3.61587,33.03,64.58
1797,5.44,3.57553,33.16,64.44
1798,5.5,3.50209,32.09,65.64
1799,5.74,3.43813,30.22,67.56
1800,5.6,3.36829,36.46,61.61
1801,5.41,3.29016,37.2,60.83
1802,5.64,3.21372,35.14,63.03
1803,5.59,3.14634,35.22,62.9
1804,5.59,3.09455,34.3,63.48
1805,5.18,3.03994,34.65,63.1
1806,0.47,30.02636,77.82,13.9
1807,0.55,29.63491,77.13,15.26
1808,0.87,29.25312,69.98,21.82
1809,0.77,28.83637,68.39,19.14
1810,0.71,28.35293,70.49,19.07
1811,0.82,27.89575,67.13,24.08
1812,0.68,27.21445,68.16,25.02
1813,0.76,26.86727,65.3,26.56
1814,0.89,26.42599,60.94,29.46
1815,0.88,25.9505,62.77,28.26
1816,0.73,25.44345,62.64,27.75
1817,0.75,24.93728,58.38,30.31
1818,0.9,24.48027,55.43,33.89
1819,1.08,24.03364,50.21,37.76
1820,1.25,23.66039,47.62,36.12
1821,1.42,23.25406,47.74,38.62
1822,1.2,22.87597,53.73,38.73
1823,1.24,22.5587,48.5,37.12
1824,1.4,22.26399,45.97,39.24
1825,1.24,21.97294,45.02,37.48
1826,1.55,12.52034,44.0,53.53
1827,1.59,11.71978,43.82,53.78
1828,1.71,10.95937,44.87,52.9
1829,1.69,10.5226,45.32,52.45
1830,1.83,10.11043,43.42,54.36
1831,1.72,9.79465,49.59,48.19
1832,1.64,9.55682,52.91,44.88
1833,1.49,9.52252,55.81,41.81
1834,1.41,9.38094,61.84,35.28
1835,1.6,9.0874,58.37,37.88
1836,2.02,8.95488,52.32,44.14
1837,1.77,9.21545,53.07,41.13
1838,1.9,9.44546,51.61,44.44
1839,1.96,9.56772,53.18,41.8
1840,2.48,9.77152,50.18,45.07
1841,2.38,9.81735,49.58,41.68
1842,2.52,9.83653,48.16,44.11
1843,2.56,9.93174,48.13,44.05
1844,2.58,10.10203,48.23,43.94
1845,2.92,10.28633,45.72,47.04
1846,2.01,9.59209,52.22,45.22
1847,2.11,9.25947,53.43,43.76
1848,2.17,8.90991,54.36,42.69
1849,2.41,8.57341,55.66,41.51
1850,2.59,8.25361,53.69,43.46
1851,2.46,7.95307,54.59,42.24
1852,2.42,7.76641,53.76,42.83
1853,2.53,7.60042,52.5,43.82
1854,2.62,7.5115,48.6,45.91
1855,2.86,7.42397,47.35,46.67
1856,2.88,7.30384,43.51,50.22
1857,2.91,7.17017,40.73,52.8
1858,3.01,7.01106,40.64,53.08
1859,3.12,6.87761,39.88,53.75
1860,2.89,6.7669,40.87,52.08
1861,2.99,6.73251,41.04,52.2
1862,2.85,6.74404,41.37,51.28
1863,2.76,6.79353,41.79,50.54
1864,2.67,6.84154,42.26,49.67
1865,2.68,6.8139,42.12,49.31
1866,2.9,11.73106,47.17,48.95
1867,2.87,11.24959,51.94,45.96
1868,3.55,10.65646,46.52,47.91
1869,3.21,10.01645,48.31,45.77
1870,5.31,9.52184,38.17,59.17
1871,5.04,9.095,42.76,52.72
1872,5.19,8.7877,46.45,49.26
1873,5.63,8.58726,45.1,51.09
1874,5.28,8.41201,48.42,48.21
1875,5.83,8.22992,45.58,42.65
1876,4.65,8.07786,40.43,45.86
1877,4.25,7.90605,44.8,46.67
1878,4.44,7.73991,42.22,48.53
1879,4.05,7.5619,42.58,46.7
1880,4.26,7.41654,38.35,49.35
1881,3.9,7.30364,46.19,45.54
1882,3.68,7.2,46.29,48.79
1883,3.55,7.06757,43.63,50.61
1884,3.72,6.98674,40.09,56.53
1885,3.81,6.88052,35.69,59.67
1886,3.62,12.10091,19.75,74.28
1887,2.99,11.73951,22.36,69.25
1888,3.05,11.40868,22.22,68.76
1889,2.38,10.96567,25.06,67.93
1890,2.28,10.2914,25.52,63.89
1891,2.27,9.56326,32.41,60.52
1892,2.49,8.86518,25.56,66.44
1893,2.88,8.17043,23.28,70.72
1894,3.22,7.5092,21.42,70.62
1895,3.1,7.02292,22.76,69.55
1896,2.44,6.73792,28.06,65.38
1897,2.13,6.48283,32.0,59.45
1898,2.34,6.25698,31.53,60.75
1899,2.26,6.02956,37.31,55.62
1900,2.37,5.8325,34.95,56.81
1901,2.39,5.71081,35.92,56.37
1902,2.62,5.60296,31.96,59.34
1903,2.47,5.48266,32.15,61.69
1904,2.21,5.35318,33.89,57.35
1905,2.13,5.23039,34.77,56.65
1906,4.86,4.40302,38.8,60.97
1907,5.3,4.36231,35.91,63.95
1908,4.9,4.30134,42.08,57.81
1909,4.86,4.20475,39.12,60.7
1910,5.4,4.09346,37.73,59.81
1911,5.19,3.95124,38.23,60.12
1912,4.58,3.8346,42.17,57.39
1913,4.97,3.6994,39.61,59.55
1914,5.07,3.57469,38.56,60.84
1915,0.98,21.02033,54.12,24.64
1916,1.09,20.53531,53.25,26.28
1917,1.22,20.17561,53.42,27.62
1918,1.25,19.68652,54.5,27.42
1919,1.29,19.28065,55.57,27.21
1920,1.24,18.80044,59.26,25.92
1921,1.82,18.29089,58.75,36.87
1922,2.2,17.8042,54.86,40.63
1923,2.13,17.3877,55.7,40.14
1924,2.52,17.0803,53.24,43.12
1925,2.34,16.7737,55.61,39.9
1926,2.35,16.47046,54.98,41.03
1927,2.44,16.2335,53.58,42.5
1928,2.52,15.96722,51.67,44.28
1929,2.15,15.68661,55.31,40.82
1930,2.1,15.40345,55.55,41.55
1931,2.23,15.01942,54.32,42.51
1932,2.25,14.61495,53.83,43.0
1933,2.14,14.24924,46.99,40.19
1934,2.12,13.97765,46.81,39.88
1935,1.16,27.82764,38.15,51.31
1936,1.4,27.0534,26.08,47.23
1937,1.24,26.64884,27.36,37.23
1938,1.24,26.27596,21.22,36.16
1939,1.17,26.05208,15.61,31.79
1940,1.49,25.82322,12.32,33.84
1941,1.19,25.73926,12.75,28.95
1942,1.22,25.64456,12.02,30.85
1943,1.24,25.64752,10.87,29.3
1944,1.31,25.54009,8.24,25.23
1945,1.28,25.50108,7.11,23.5
1946,1.28,25.43051,6.72,25.51
1947,1.26,25.47783,5.55,24.04
1948,1.52,25.33918,8.02,24.79
1949,1.74,24.69556,10.42,27.49
1950,1.82,24.06604,11.26,27.03
1951,1.63,23.36662,10.71,22.77
1952,1.67,22.71809,9.77,21.46
1953,1.81,22.09357,9.49,22.38
1954,1.67,21.70609,9.98,21.28
1955,0.26,19.98934,85.66,13.16
1956,0.24,19.53918,85.9,11.27
1957,0.36,19.02734,82.23,13.92
1958,0.24,18.46619,83.17,10.21
1959,0.25,18.05581,78.88,10.88
1960,0.17,17.62356,82.5,7.29
1961,0.27,17.27674,75.02,11.95
1962,0.2,16.99251,82.16,10.04
1963,0.17,16.83342,82.46,8.11
1964,0.19,16.54761,82.27,8.66
1965,0.19,16.31484,80.74,9.84
1966,0.23,16.10384,77.28,11.96
1967,0.42,15.83744,76.7,17.22
1968,0.6,15.53488,72.23,18.87
1969,1.06,15.30393,66.04,24.18
1970,1.2,15.00681,70.45,21.99
1971,0.72,14.77063,76.67,13.99
1972,0.75,14.55502,75.69,14.79
1973,0.73,14.3497,76.45,14.83
1974,0.74,14.12696,75.95,15.76
1975,4.85,17.52143,6.68,50.33
1976,4.95,17.23758,6.33,51.92
1977,5.17,17.00091,6.74,53.09
1978,5.28,16.69992,6.6,53.4
1979,4.98,16.39155,6.36,48.88
1980,4.55,16.17298,6.27,44.61
1981,4.17,15.97435,5.65,41.08
1982,4.69,15.87809,5.8,43.76
1983,4.13,15.78047,6.9,41.65
1984,3.46,15.74011,8.49,38.21
1985,3.99,15.84254,9.28,40.99
1986,4.09,15.84241,10.3,41.62
1987,3.87,15.79164,10.91,41.77
1988,4.18,15.68686,9.89,46.13
1989,3.88,15.50209,9.04,46.18
1990,4.21,15.37198,7.33,42.21
1991,4.37,15.23757,7.71,46.9
1992,4.06,15.09643,7.79,46.5
1993,3.87,14.9131,8.05,46.56
1994,3.99,14.73131,8.24,46.9
1995,0.48,31.0821,55.78,15.51
1996,0.58,30.3915,51.27,15.32
1997,0.79,29.62475,51.96,20.13
1998,0.66,28.90608,53.81,17.12
1999,0.65,28.21802,51.6,15.99
2000,0.75,27.42985,49.22,19.06
2001,0.85,26.56904,42.5,23.9
2002,0.68,25.66403,60.96,18.47
2003,0.71,24.75389,61.63,18.63
2004,0.79,23.911,57.62,20.41
2005,0.79,23.04937,56.2,18.13
2006,0.79,22.20938,58.38,17.89
2007,0.79,21.38531,56.08,17.52
2008,0.76,20.61247,63.53,16.34
2009,0.87,19.87206,60.05,17.21
2010,0.91,19.23901,59.44,16.63
2011,1.01,18.68327,55.44,18.58
2012,1.07,18.22483,57.38,22.56
2013,1.07,17.80003,57.73,23.57
2014,1.1,17.45543,57.91,24.81
2015,5.32,5.16363,11.03,69.04
2016,5.61,5.13921,10.47,69.63
2017,6.05,4.91679,9.81,69.98
2018,6.35,4.58487,9.6,70.17
2019,6.25,4.33459,9.96,68.6
2020,6.22,4.10793,9.88,68.42
2021,6.37,3.82962,8.33,70.13
2022,6.27,3.57719,7.89,69.26
2023,6.18,3.37756,9.92,66.6
2024,6.66,3.15072,9.07,66.69
2025,6.83,2.97494,9.1,67.26
2026,6.89,2.84444,9.48,67.32
2027,7.04,2.64379,10.09,66.78
2028,7.12,2.4533,11.53,67.31
2029,7.15,2.38648,11.59,67.65
2030,6.82,2.35628,11.29,66.05
2031,6.74,2.34221,11.28,65.48
2032,6.5,2.3289,11.05,64.32
2033,6.6,2.32579,10.8,65.77
2034,6.68,2.31055,10.58,65.9
2035,5.56,3.63105,15.36,74.49
2036,5.55,3.63166,16.99,73.18
2037,5.92,3.6335,16.06,74.93
2038,5.83,3.64158,15.38,75.5
2039,6.09,3.61424,14.11,77.04
2040,6.37,3.51004,14.07,76.95
2041,6.67,3.41164,13.84,77.22
2042,6.6,3.36292,11.45,79.3
2043,7.08,3.36383,13.24,77.63
2044,7.48,3.38042,12.36,77.72
2045,7.51,3.32603,11.96,78.27
2046,7.5,3.23115,12.1,78.78
2047,7.58,3.12595,12.27,78.51
2048,7.27,3.04546,12.37,77.64
2049,7.28,2.98822,12.85,77.43
2050,6.93,2.92384,13.36,74.69
2051,6.89,2.85707,13.58,74.55
2052,6.81,2.7929,13.58,75.46
2053,6.89,2.73743,12.91,74.83
2054,7.36,2.67728,12.24,75.56
2055,2.57,15.38629,43.88,49.0
2056,2.46,14.96753,40.38,44.84
2057,2.46,14.66618,45.29,42.94
2058,2.56,14.38184,38.69,42.04
2059,2.27,14.12221,41.56,37.54
2060,2.51,13.88761,39.17,40.29
2061,2.86,13.65198,41.98,45.02
2062,3.15,13.39881,41.94,45.33
2063,3.19,13.10525,40.91,44.52
2064,3.81,12.86845,38.32,49.61
2065,3.55,12.60218,37.49,46.1
2066,3.53,12.40041,37.83,47.39
2067,3.75,12.18435,37.64,50.07
2068,3.87,11.95535,36.9,50.65
2069,4.16,11.76697,35.33,52.13
2070,4.47,11.53455,35.39,56.08
2071,4.65,11.34271,35.02,57.79
2072,4.86,11.18097,33.81,58.26
2073,5.14,10.99411,32.82,59.91
2074,5.12,10.82985,34.41,60.92
2075,1.13,27.29145,60.5,24.09
2076,1.15,26.86436,60.42,24.08
2077,1.21,26.42289,59.62,24.85
2078,1.07,25.8762,61.25,22.41
2079,1.18,25.31485,60.0,23.57
2080,1.92,24.74041,50.13,33.83
2081,2.06,24.17232,48.76,35.44
2082,1.5,23.57572,53.41,27.87
2083,1.55,22.90187,52.46,29.69
2084,1.54,22.34228,53.62,28.85
2085,1.31,21.85993,55.9,26.13
2086,1.27,21.48172,57.74,26.11
2087,1.04,21.18373,60.81,24.14
2088,1.34,20.92801,56.54,30.01
2089,1.28,20.62026,54.67,28.68
2090,1.11,20.41196,51.69,20.79
2091,1.1,20.18545,58.51,24.29
2092,1.88,19.95391,48.31,33.81
2093,1.76,19.76881,48.96,33.31
2094,2.02,19.5504,46.1,35.69
2095,0.59,27.4757,60.16,18.31
2096,0.86,26.99381,60.75,26.89
2097,0.53,26.65843,65.05,21.33
2098,0.93,26.25794,72.81,18.4
2099,1.2,25.88536,64.55,25.94
2100,1.14,25.43534,65.97,25.56
2101,0.9,25.0829,70.46,21.18
2102,0.78,24.6899,70.94,19.91
2103,0.66,24.32572,72.76,17.87
2104,0.57,23.98924,74.47,15.92
2105,0.45,23.69173,76.88,13.6
2106,0.48,23.36886,74.73,14.44
2107,0.54,23.2469,72.84,16.2
2108,0.49,23.01676,70.93,14.3
2109,0.45,22.93393,71.85,13.32
2110,0.59,22.86275,71.89,16.45
2111,0.47,22.74875,75.19,13.02
2112,0.53,22.68839,77.27,14.19
2113,0.5,22.4313,75.95,16.1
2114,0.48,22.24612,70.52,15.95
2115,6.3,3.66789,17.94,81.68
2116,6.64,3.57851,16.96,82.8
2117,7.46,3.40704,16.83,82.88
2118,7.66,3.26779,16.6,83.17
2119,7.32,3.17111,16.76,83.02
2120,6.92,3.10506,16.71,83.05
2121,6.59,3.10063,16.45,83.34
2122,6.74,3.10336,16.07,83.7
2123,6.7,3.04753,15.66,84.13
2124,7.66,2.96945,15.25,84.44
2125,7.54,2.89233,15.05,84.68
2126,7.42,2.82632,15.21,84.42
2127,7.44,2.75625,14.8,84.76
