,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,Mortality rate attributed to unintentional poisoning (per 100 000 population)
2369,-0.054446722998871995,-0.45516330370206304,-0.5491610461922356,0.37744637376788387,0.42612781660395427
2370,-0.08058824619775593,-0.453105106586273,-0.5378220533406425,0.33997312155033715,0.674809908925896
2371,-0.11247661130737392,-0.45273298641523946,-0.5271446515326554,0.2786382816097877,0.31270730585708184
2372,-0.13826670719972473,-0.45091504928702536,-0.5168287607779212,0.21745056792408177,0.00961082155799378
2373,-0.15207906771860555,-0.4433315018258127,-0.48327978421967804,0.20496950086171764,0.5420871392546602
2374,-0.16930144598070973,-0.4462048644739816,-0.4835632452824997,0.13962443308941228,0.23228527614736041
2375,-0.30619827474316447,0.03505471154052038,1.4998258171613754,-0.25984476563787956,-0.5799705428368677
2376,-0.3066723866138318,0.03036919108746574,1.5409061166574622,-0.2618740997184825,-0.6682944727544546
2377,-0.3070547318528401,0.026590575641747854,1.584895541041468,-0.2635106464326238,-0.6903056075379324
2378,-0.3073546710820518,0.15311561430634754,1.6316498860758593,-0.26479447191265726,-0.7518140959353606
2379,-0.3135571220270045,0.149896918881533,1.6496791745410404,-0.26595617287097845,-0.7048764442778781
2380,-0.3197303505465378,0.1463865273157242,1.5785928606899542,-0.2672231536528952,-0.7621576286440425
2381,-0.3199847322241328,0.14269934801003617,1.507435500788763,-0.3238848168285979,-0.7658565196713985
2382,-0.3202333772011823,0.1390953203044734,1.4081213147434155,-0.32492543779747624,-0.7232554988735747
2383,-0.3321119952205051,0.1357010800644002,1.3968981401974767,-0.3259054850822902,-0.6636116402715457
2384,-0.32648797904448434,0.2585171730384678,1.4149548361523987,-0.32683870610104987,-0.7369760158371167
2385,-0.32667675760866777,0.25492580079968796,1.3760326343523477,-0.32772753482999517,-0.734631562739318
2386,-0.3268583106094137,0.2514718895488693,1.423271891755943,-0.32858234333851055,-0.7752707743387248
2387,-0.3270344858152057,0.24812028686039794,1.4135545017401088,-0.32941183150054404,-0.7698105066316755
2388,-0.32720426817571374,0.24489030331432918,1.545688291650083,-0.33021122014056475,-0.6860965246447343
2389,-0.3216790596027713,0.365460812099266,1.7054217254503679,-0.33097586133421625,-0.6720055112071877
2390,-0.32752211333070996,0.36208117290281233,1.8363018422015647,-0.33170773488702876,-0.7759631775852249
2391,-0.327671551693631,0.35883208253328724,2.1626987507645294,-0.2792120921484719,-0.7395087540282619
2392,-0.32781673202293443,0.3556755703729296,2.2917723587084122,-0.2800665353430741,-0.6902570178364237
2393,-0.3334480852490096,0.4781125080948797,2.403452919831637,-0.2800665353430741,-0.7786842008697167
2394,-0.3336888648813085,0.4713817511816556,2.4929632669180606,-0.28168605831212923,-0.7393386900729811
2395,-0.0541410368019546,0.31263347170389344,2.2168318351391396,0.10372767815178635,-0.7905765303139909
2396,-0.08792166026135882,0.3148613614041423,2.181946480571558,0.023961560510500923,-0.7970389606146588
2397,-0.07834813061388222,0.3178630552326437,2.2354354285631084,0.025781639092046765,-0.8038718873893311
2398,-0.12076668648456652,0.3212110421239953,2.247345475810866,0.02781169264860372,-0.7919188208181709
2399,-0.11108650405114179,0.32478778009421705,2.3033327898234965,-0.05218937459757884,-0.7999604164178743
2400,-0.14511581984007174,0.32844555848586626,2.2296510336725297,-0.05028832106284223,-0.8111056792014508
2401,-0.14428614278916232,0.33191456746166287,2.111067747514303,-0.04848537646933493,-0.8183273235881934
2402,-0.16111194936873255,0.3353451811964644,2.078900875613119,-0.04670238699633968,-0.8204895653053341
2403,-0.18692986721572583,0.5312255298694382,2.1340288075667737,-0.04494945965770397,-0.8089920271858189
2404,-0.18628265739890115,0.535245999086481,2.365594369412108,-0.043208164259699436,-0.4200861300222234
2405,-0.1767280712600191,0.539216431330593,2.554325677639706,-0.041488540250279336,-0.5747714447754281
2406,-0.18501623185515736,0.5431130381548736,2.788370716661928,-0.039800890584367116,-0.8205685235702861
2407,-0.18441387095782324,0.5468549057567269,2.9788569246718914,-0.038180259637255395,-0.8166813474495834
2408,-0.17483356372163247,0.7461618620236808,3.0806870018235735,-0.036623120565864996,-0.82215376258201
2409,-0.13814062135050229,0.75018190226557,3.2272785479788824,-0.03513074090388326,-0.40226585699387796
2410,-0.119367934563539,0.7540778997476892,3.239589666118422,0.05156957460288651,-0.8213702536451809
2411,-0.1731502263999739,0.9551823237997079,3.2963823797511465,0.05318469406202093,-0.822834018403133
2412,-0.18174089993657203,0.9592191895600524,3.488154841272522,0.054714541318013156,-0.8221294677312556
2413,-0.18174089993657203,0.9592191895600524,3.6235265941201327,0.054714541318013156,-0.8230708931979882
2414,-0.18998768258394774,0.9666504935467786,3.7364398589388954,0.05753077566601043,-0.8233988736831724
2415,-0.3465028575556405,-0.3945313013951755,1.212254234336431,-0.34659506573886245,-0.4410647336486397
2416,-0.3467367181089747,-0.396565140783664,1.2952605178167798,-0.34835680795165835,-0.45613968854173903
2417,-0.34697599364227294,-0.3986460731913965,1.375890800646362,-0.3501593428447415,-0.6523509769468857
2418,-0.347213193815614,-0.4007089566004159,1.429392047712827,-0.35194624342416564,-0.4790558065158179
2419,-0.347449564534339,-0.4027646264052383,1.4815667699885129,-0.3537268954713349,-0.4880631224330082
