,HIV/AIDS,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,Crude suicide rates (per 100 000 population)
2441,-0.2882279149097107,-0.1405279564903641,-0.3970067640743778,-0.35677284531084125,-0.5794189483277478
2442,-0.28726879033766634,-0.14075520942258163,-0.3969274205594871,-0.35610411022617394,-0.7950191786096505
2443,-0.28634803074850373,-0.1409824623547992,-0.3970889616897243,-0.35549099383326416,-0.5269756490699877
2444,-0.28554236610798645,-0.14120971528701676,-0.3970889616897243,-0.35500292755241614,-0.7717110456062015
2445,-0.2846599715017056,-0.1409824623547992,-0.3970889616897243,-0.35445215028122307,-0.7525650792105113
2446,-0.2836241169638976,-0.14030070355814653,-0.3970889616897243,-0.35377397295179364,-0.4004457841941221
2447,-0.282703357374735,-0.14007345062592896,-0.3970889616897243,-0.35322342744806634,-0.3738079179044661
2448,-0.28185932775133593,-0.14007345062592896,-0.3970889616897243,-0.352760034081031,-0.3696457512967074
2449,-0.28105366311081864,-0.1398461976937114,-0.3970889616897243,-0.3523453409882096,-0.3588241181165347
2450,-0.2803630934189467,-0.13961894476149386,-0.3970889616897243,-0.3520431781515892,-0.3804673844768801
2451,-0.27971088870995653,-0.13916443889705873,-0.3970186939272194,-0.35178394980449085,-0.3804673844768801
2452,-0.27905868400096634,-0.13893718596484117,-0.39701970594165653,-0.35153476997190786,-0.39045658433550107
2453,-0.27840647929197615,-0.1387099330326236,-0.39701970594165653,-0.3509819385792041,-0.40127821751567383
2454,-0.27802282946315837,-0.13848268010040607,-0.3970216613008049,-0.35128384131909873,-0.4112674173742948
2455,-0.19584503613039458,-0.12825629815061593,3.84492412155196,-0.0956744878332639,-0.25560238624411796
2456,-0.18659907525588662,-0.12439299830291745,1.1633214905778426,-0.07967239285497889,0.046096422485881985
2457,-0.17858079383359549,-0.12643827469287547,1.1198533717249106,-0.06773339321550127,0.03038840570820059
2458,-0.1715983669491123,-0.12961981574392129,1.7928489144987538,-0.059196653263142995,-0.2955591856786018
2459,-0.16638072927719078,-0.12961981574392129,1.4578709119792257,-0.0555027780211054,-0.30138621892946404
2460,-0.16331153064664872,-0.1300743216083564,1.4017961206348908,-0.056994656532000046,-0.5935703147941276
2461,-0.16519141480785574,-0.13052882747279151,1.4933776524228262,-0.06940974933282155,-0.02740743980713727
2462,-0.19081922337288196,-0.13030157454057395,1.312268458909561,-0.13182275236794552,-0.3471700516148102
2463,-0.21782817132165214,-0.1300743216083564,1.051331205889279,-0.1940027270688015,-0.621873047726887
2464,-0.21920931070539607,-0.12939256281170372,0.5804205091994311,-0.20140174675279807,-0.35299708486567244
2465,-0.21314764341007547,-0.13121058626944418,1.4220221111022524,-0.19387445120759425,-0.3621538514027417
2466,-0.20831365556697173,-0.13052882747279151,1.1599332849583788,-0.1891530954728032,-0.6243703476915422
2467,-0.20271236806623247,-0.13075608040500908,1.1586567281005402,-0.18330874612919576,-0.6185433144406799
2468,-0.19906769469246377,-0.12984706867613885,0.9064715323210413,-0.18138689268245886,-0.10659682168635502
2469,-0.20347966772386797,-0.1284835510828335,0.5962140563243751,-0.19393433886340186,-0.6227054810484387
2470,-0.21069228450564184,-0.12802904521839836,0.5523756569604618,-0.21078477358996311,-0.113256288258769
