per_capita-Interpersonal Violence,per_capita-HIV/AIDS,per_capita-Environmental Heat and Cold Exposure,per_capita-Road Injuries,Mortality rate attributed to unintentional poisoning (per 100 000 population)
0.502552875147459,-0.3684974688787183,-0.349916393105993,1.0232484792026797,-0.3213336354183144
0.4975409274286445,-0.3684829643865709,-0.3520666181048344,1.0773239872079277,1.7284289964423056
0.4717540802130198,-0.368347981136898,-0.351202548743541,1.105175799858686,-0.2980530946829196
0.4518046549134862,-0.3682103411585631,-0.3166075736433075,1.059647683145554,-0.3412493393242261
0.4498040666858441,-0.3680771888213276,-0.356737349059549,0.9492137824228132,0.3455903863531493
0.4553318480012849,-0.367846481285413,-0.3575669265514002,0.908213155318637,1.126852049487464
0.4826809174118941,-0.3676024039381836,-0.3586802851990217,0.8567386893813541,1.1096027054518465
0.4773035129000103,-0.3674199977897345,-0.3612937307644419,0.769812628878718,1.019736052511356
0.528870607734504,-0.3672520199584366,-0.363330103974762,0.746621714395318,0.2246749141485476
0.5138765078812135,-0.3671224082810085,-0.3637154419879099,0.7134113898931947,0.8441085764078666
0.5086825263644698,-0.3670336964434035,-0.2968829075246991,0.6824064615960344,0.0713136687614572
0.5195061204538983,-0.3668939354565418,-0.3676512189209917,0.7968728035399454,-0.5393191838120838
0.5028942853452957,-0.3666485446162198,-0.3710607083879002,0.7532988210487577,-0.0769031419783909
0.6434040889676992,-0.3663051011523219,-0.3715294035441676,0.6005569621824225,0.3005538067671979
0.6102061260818291,-0.365870862610149,-0.3734374133100972,0.5879091254873154,-0.6544889238132721
0.620156295114742,-0.3654616286086058,-0.37395468989611,0.5771959248528659,0.3302664092398176
0.7004493887280177,-0.3649443026702393,-0.37395468989611,0.599108977001216,-0.659712316725466
0.5141237860160235,-0.3646097994857447,-0.3776758475292962,0.5395344523506516,-0.2137438888524958
0.1388211354578992,-0.3722791880145025,-0.3660112921663513,-0.8163143540341797,-0.3415651723840331
-0.0200148381210157,-0.3722734792509062,-0.3651539432011488,-0.814889193323002,-0.2965346665107702
-0.1448206384441749,-0.3722677314295903,-0.3642907285007658,-0.7752608435352227,-0.4208574915336753
