Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
0.0797333860217722,-0.1162076949246695,-0.6553986650081494,-0.4688382798111232,1.859144341134294
0.1027969718709656,-0.1121867487830025,-0.6539068468472837,-0.4669070506396715,1.9036459359511984
0.105472857521977,-0.108453013080026,-0.6527138233219161,-0.4626319364909022,1.5921347722328671
0.1089132819304202,-0.1055809086931209,-0.6498209777557726,-0.4599579268688921,1.414128392965249
0.1220378639329999,-0.1038576460609779,-0.6469859154537002,-0.4557983563457652,1.236122013697631
0.1281541739924545,-0.1018471729901444,-0.643782139594751,-0.4507474492819683,1.058115634430013
0.1444643341510002,-0.0992622790419299,-0.6440466546649424,-0.4436827818855465,1.1026172292469176
0.155804992386239,-0.0966773850937153,-0.6446675648618996,-0.4409757597990671,1.2806236085145355
0.1884253127033302,-0.0935180702681198,-0.6393090673529639,-0.4324420377337633,1.236122013697631
0.1935222377528757,-0.0903587554425243,-0.6353972177402689,-0.4296194720216415,1.2806236085145355
0.2030789722207736,-0.0866250197395478,-0.6319567810775403,-0.427853305172536,1.2806236085145355
0.220153671136751,-0.0834657049139522,-0.632933561800214,-0.4256579762853302,1.236122013697631
0.2253780193125352,-0.0805936005270472,-0.6329621830909034,-0.4199468199321481,1.236122013697631
0.304252934454252,-0.0768598648240707,-0.6346283889012702,-0.4148959128683512,1.058115634430013
0.3034883956968202,-0.0725517082437131,-0.6385592230799163,-0.415622187086675,0.8356076603454905
0.323621249642525,-0.0673819203472841,-0.637894679259886,-0.409234275211873,0.6576012810778724
0.362994995650264,-0.062212132450855,-0.6386320380703817,-0.4029288944982442,0.6130996862609679
0.3011947794245247,-0.057616765431807,-0.639241561408994,-0.404860123669696,0.4795949018102544
-0.2984584526545047,-0.1681927843276505,-0.609211861793507,-0.4107363423452244,-0.6449603992129225
-0.3059764171025844,-0.166756732134198,-0.6012265935649835,-0.4056689290491929,-0.6485205267982748
-0.3118378809095617,-0.165607890379436,-0.5935150608737129,-0.3962273642109843,-0.6494105586946128
-0.3169348059591073,-0.1653206799407455,-0.5713590734641028,-0.3787802767389799,-0.6507456065391201
-0.3215220385036982,-0.165607890379436,-0.5436271986329139,-0.3550113023211123,-0.640065223783063
-0.3261092710482892,-0.1676183634502695,-0.527803230007046,-0.3477980788345788,-0.6600909414506699
-0.3280206179418687,-0.1681927843276505,-0.5122776680502702,-0.3431763338088823,-0.6618710052433462
-0.3281480410681074,-0.1676183634502695,-0.4804651478464747,-0.2856851269356648,-0.6543057341244725
-0.3287851566993006,-0.1676183634502695,-0.441443280070604,-0.2979657637182297,-0.6538607181763034
-0.3299319648354483,-0.1687672052050315,-0.4559739549766857,-0.3460649244499426,-0.669881292310389
-0.3294222723304937,-0.1681927843276505,-0.4581554062394525,-0.3409975111539111,-0.6645411009323605
-0.3295496954567324,-0.16790557388896,-0.4419230498279799,-0.3184169854569367,-0.6645411009323605
-0.329677118582971,-0.1676183634502695,-0.452532680893166,-0.3133000534642013,-0.6645411009323605
-0.3298045417092097,-0.167331153011579,-0.4451664265827378,-0.292056532578232,-0.6645411009323605
-0.3298045417092097,-0.1670439425728885,-0.4378268504450806,-0.2747249887318702,-0.6645411009323605
-0.3298045417092097,-0.166756732134198,-0.4705141261045334,-0.3532946541687107,-0.6645411009323605
-0.3299319648354483,-0.1664695216955075,-0.4629896039621498,-0.3518255994998286,-0.6645411009323605
-0.3301868110879256,-0.166182311256817,-0.4432190128867365,-0.3246233287771577,-0.6645411009323605
-0.3303142342141642,-0.166182311256817,-0.4071831663948912,-0.2884581739510827,-0.6645411009323605
-0.2587024372680497,-0.0803063900883567,-0.5728553736173875,-0.4626649489553714,-0.3125334859306458
-0.2579378985106179,-0.0762854439466897,-0.5742161667653976,-0.4649428090037504,-0.3214338048940267
-0.2578104753843793,-0.0725517082437131,-0.5721504335382664,-0.4640349662308458,-0.3125334859306458
-0.2585750141418111,-0.0722644978050226,-0.5551667534992881,-0.4620377121304555,-0.3036331669672649
-0.2632896698126407,-0.0696796038568081,-0.5282562748126153,-0.4474296966028077,-0.3036331669672649
-0.2655832860849362,-0.0670947099085936,-0.5013269813401153,-0.4401834606518049,-0.285832529040503
-0.2672397867260385,-0.0650842368377601,-0.4814239212784133,-0.430444783633373,-0.294732848003884
-0.2696608261245726,-0.063360974205617,-0.455578678478097,-0.4159853241958368,-0.294732848003884
-0.269533402998334,-0.061637711573474,-0.4024349630146845,-0.3956001273860683,-0.3169836454123362
-0.2696608261245726,-0.0596272385026405,-0.4572054873002613,-0.3912589883083605,-0.3036331669672649
-0.2702979417557658,-0.057616765431807,-0.4234585990721541,-0.3757101175433387,-0.2991830074855744
-0.2706802111344817,-0.054170240167521,-0.368401283992493,-0.3518255994998286,-0.3214338048940267
-0.2714447498919136,-0.0510109253419254,-0.3585407242494698,-0.3413441420308383,-0.3214338048940267
-0.269151133619618,-0.0475644000776394,-0.3610771642012869,-0.3325793327142495,-0.3481347617841694
-0.2729738274067772,-0.0438306643746629,-0.358711498522307,-0.3251515282086659,-0.3258839643757171
-0.2742480586691636,-0.0406713495490673,-0.4303004359130772,-0.3490690587166453,-0.3169836454123362
