Interpersonal Violence,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,gdp/percap
0.0797333860217722,0.8127980941622929,-0.1553626140496525,-0.3684974688787183,-0.6553986650081494
0.1027969718709656,0.840522951892835,-0.2239452632486319,-0.3684829643865709,-0.6539068468472837
0.105472857521977,0.8341598697907433,-0.3375667183696826,-0.368347981136898,-0.6527138233219161
0.1089132819304202,0.799844677025892,-0.3561382867510564,-0.3682103411585631,-0.6498209777557726
0.1220378639329999,0.7262147269874032,-0.3669204890069832,-0.3680771888213276,-0.6469859154537002
0.1281541739924545,0.6278142073372004,-0.3686941020232758,-0.367846481285413,-0.643782139594751
0.1444643341510002,0.5296409406192153,-0.3788767098544224,-0.3676024039381836,-0.6440466546649424
0.155804992386239,0.4519204378008103,-0.3804856200271215,-0.3674199977897345,-0.6446675648618996
0.1884253127033302,0.4107876570694323,-0.3714717361185189,-0.3672520199584366,-0.6393090673529639
0.1935222377528757,0.384199063999978,-0.3711555191178982,-0.3671224082810085,-0.6353972177402689
0.2030789722207736,0.3612465178460046,-0.3909744378595828,-0.3670336964434035,-0.6319567810775403
0.220153671136751,0.3476113419129511,-0.3879928484935652,-0.3668939354565418,-0.632933561800214
0.2253780193125352,0.331703636657722,-0.3829118169686366,-0.3666485446162198,-0.6329621830909034
0.304252934454252,0.3160231843347105,-0.3798318145128675,-0.3663051011523219,-0.6346283889012702
0.3034883956968202,0.3112508727581418,-0.3740552986175872,-0.365870862610149,-0.6385592230799163
0.323621249642525,0.3117053786225769,-0.3739525715849801,-0.3654616286086058,-0.637894679259886
0.362994995650264,0.2948886616384776,-0.3700675135974666,-0.3649443026702393,-0.6386320380703817
0.3011947794245247,0.2876165678075157,-0.3677784791281231,-0.3646097994857447,-0.639241561408994
-0.2984584526545047,-0.1530268677623298,-0.3970889616897243,-0.3722791880145025,-0.609211861793507
-0.3059764171025844,-0.1530268677623298,-0.3970889616897243,-0.3722734792509062,-0.6012265935649835
-0.3118378809095617,-0.1530268677623298,-0.3970889616897243,-0.3722677314295903,-0.5935150608737129
-0.3169348059591073,-0.1530268677623298,-0.3970889616897243,-0.3722621891713183,-0.5713590734641028
-0.3215220385036982,-0.1530268677623298,-0.3970889616897243,-0.3722574138262146,-0.5436271986329139
-0.3261092710482892,-0.1530268677623298,-0.3970889616897243,-0.3722531558764682,-0.527803230007046
-0.3280206179418687,-0.1530268677623298,-0.3970889616897243,-0.372249322429543,-0.5122776680502702
-0.3281480410681074,-0.1530268677623298,-0.3970889616897243,-0.3722463870474617,-0.4804651478464747
-0.3287851566993006,-0.1530268677623298,-0.3970889616897243,-0.3722448354324218,-0.441443280070604
-0.3299319648354483,-0.1530268677623298,-0.3970889616897243,-0.3722445053365595,-0.4559739549766857
-0.3294222723304937,-0.1530268677623298,-0.3970889616897243,-0.3722454256418097,-0.4581554062394525
-0.3295496954567324,-0.1530268677623298,-0.3970889616897243,-0.3722470284076076,-0.4419230498279799
-0.329677118582971,-0.1530268677623298,-0.3970889616897243,-0.3722487212533393,-0.452532680893166
-0.3298045417092097,-0.1530268677623298,-0.3970889616897243,-0.3722504774360504,-0.4451664265827378
-0.3298045417092097,-0.1530268677623298,-0.3970889616897243,-0.3722522762439481,-0.4378268504450806
-0.3298045417092097,-0.1530268677623298,-0.3970889616897243,-0.3722541182633065,-0.4705141261045334
-0.3299319648354483,-0.1530268677623298,-0.3970889616897243,-0.372255999002562,-0.4629896039621498
-0.3301868110879256,-0.1530268677623298,-0.3970889616897243,-0.3722578836471096,-0.4432190128867365
-0.3303142342141642,-0.1530268677623298,-0.3970889616897243,-0.3722578836471096,-0.4071831663948912
-0.2587024372680497,-0.0530355775866041,-0.3970889616897243,-0.3691118214788252,-0.5728553736173875
-0.2579378985106179,-0.0589441538242606,-0.3970889616897243,-0.3687446440255622,-0.5742161667653976
-0.2578104753843793,-0.0682615240451805,-0.3970889616897243,-0.3682682216691374,-0.5721504335382664
-0.2585750141418111,-0.0775788942661004,-0.3970889616897243,-0.3677448476382874,-0.5551667534992881
-0.2632896698126407,-0.0843964822326271,-0.3970889616897243,-0.367204480764317,-0.5282562748126153
-0.2655832860849362,-0.0880325291481081,-0.3970889616897243,-0.366675336923577,-0.5013269813401153
-0.2672397867260385,-0.0900778055380661,-0.3970889616897243,-0.3659890632412864,-0.4814239212784133
-0.2696608261245726,-0.0914413231313714,-0.3970889616897243,-0.3651253650770287,-0.455578678478097
-0.269533402998334,-0.0925775877924592,-0.3970889616897243,-0.3646958923661729,-0.4024349630146845
-0.2696608261245726,-0.0934865995213295,-0.3970889616897243,-0.3642226770920942,-0.4572054873002613
-0.2702979417557658,-0.0941683583179821,-0.3970889616897243,-0.3640291472804838,-0.4234585990721541
-0.2706802111344817,-0.0946228641824173,-0.3970889616897243,-0.3639730786259923,-0.368401283992493
-0.2714447498919136,-0.0946228641824173,-0.3970889616897243,-0.363866481455284,-0.3585407242494698
-0.269151133619618,-0.0946228641824173,-0.3970889616897243,-0.3639182905254281,-0.3610771642012869
-0.2729738274067772,-0.0946228641824173,-0.3970889616897243,-0.3637636289418128,-0.358711498522307
-0.2742480586691636,-0.0943956112501997,-0.3970889616897243,-0.3645499916526302,-0.4303004359130772
-0.2759045593102658,-0.0946228641824173,-0.3970889616897243,-0.3651173890443271,-0.4412611538330537
-0.2774336368251295,-0.0941683583179821,-0.3970889616897243,-0.3656962244310375,-0.429480102878265
-0.2781981755825614,-0.0946228641824173,-0.3970889616897243,-0.3660436246649717,-0.4222790901403295
-0.2793449837187091,-0.0943956112501997,-0.3970889616897243,-0.3664495216001952,-0.4322837149619887
-0.2636719391913567,-0.0066759794142222,1.325090558428442,-0.0223844007879988,-0.6208201422420314
-0.2617605922977771,-0.0084940028719627,1.4804379527588674,0.0335157485178076,-0.6228835028043886
-0.260741207287868,-0.0132663144485314,1.5855346159542016,0.0880558195550086,-0.6070740184018655
-0.2580653216368566,-0.0150843379062719,1.7340963550434556,0.1382488548116991,-0.599474046148591
-0.2538603584709815,-0.0137208203129665,1.946555214803504,0.1825292305402479,-0.5808940377939101
-0.2522038578298792,-0.0207656612117108,1.9938386028555453,0.2183521759459616,-0.5361056963981666
-0.2488908565476746,-0.0334918254158941,1.889468402694112,0.2338554612985863,-0.4869081085600329
-0.2449407396342769,-0.0523538187899514,1.667163756490792,0.2409486654749992,-0.449097958694756
-0.2409906227208791,-0.0689432828418332,1.2993877939945424,0.2554619431036711,-0.37973322729006
-0.2370405058074813,-0.0791696647916233,0.956762117643732,0.2683949384193843,-0.445219648706344
-0.2328355426416063,-0.0834874705037569,0.769183789664696,0.2833084054677061,-0.41009808418556
-0.2302870801168335,-0.0853054939614974,0.61480637713746,0.3048931487780585,-0.3341539998296112
