per_capita-Interpersonal Violence,per_capita-Alcohol Use Disorders,per_capita-Protein-Energy Malnutrition,per_capita-Cirrhosis and Other Chronic Liver Diseases,Estimated road traffic death rate (per 100 000 population)
0.502552875147459,-0.5373652804559447,0.4728279054365166,-0.5384630319610255,-0.2449852256527943
0.4975409274286445,-0.5398003812697353,0.4988903500907486,-0.5689233647935291,0.391636546281665
0.4717540802130198,-0.5397053641729462,0.468721373457943,-0.5824464040510409,-0.2218113193827803
0.4518046549134862,-0.5402059891916678,0.3930287879810396,-0.6118019506854172,-0.2240606077124796
0.4498040666858441,-0.54198602025202,0.3166981101283142,-0.652056283608792,0.4076484856815498
0.4553318480012849,-0.5419437093347438,0.2339798101981411,-0.6673520969600579,-0.2416233503415285
0.4826809174118941,-0.5406979364068187,0.1593328696566828,-0.688689276661265,-0.2371480565188145
0.4773035129000103,-0.5422588295113476,0.0685203893038343,-0.7242502465042645,-0.2860436766160321
0.528870607734504,-0.5419620708404472,0.0352636001231621,-0.742100452702889,-0.2864228542420369
0.5138765078812135,-0.5423561714869765,-0.0144997234538669,-0.7588898415109502,-0.3031149850850617
0.5086825263644698,-0.5414736269436526,-0.0657468199036597,-0.7698439925434947,0.2884960743589656
0.5195061204538983,-0.5419964405215761,-0.0808531943136694,-0.774213821487197,-0.9921131612010716
0.5028942853452957,-0.5425646618202817,-0.1110787106526702,-0.7842987598123349,-0.3157725329426149
0.6434040889676992,-0.5425537976227567,-0.1505186040666543,-0.7954866525412309,-0.2910178883676997
0.6102061260818291,-0.5420012091481549,-0.1735208768172493,-0.7945401771580015,0.4528554392240372
0.620156295114742,-0.5415340845459368,-0.2036929300256493,-0.7870259577132664,-0.2274199884341006
0.7004493887280177,-0.5391661465068941,-0.2259991153685177,-0.7772244063467899,0.4043024094380342
0.5141237860160235,-0.5408249037521903,-0.2493281760173505,-0.8050447084586744,-0.9550818094543712
0.1388211354578992,-0.5342735345998655,-0.4870334944449573,-0.9955663083195596,0.3771288444375755
-0.0200148381210157,-0.5269464634389581,-0.5032516932463718,-1.0160021999987183,-0.9595221790220584
-0.1448206384441749,-0.5260091945283013,-0.5141424388768017,-1.0037011166569412,-0.2803177618514078
-0.2549726655421461,-0.5185244800619139,-0.5195559285698742,-0.9719824019177964,0.4035099614608797
-0.3560483270492302,-0.5176938752568608,-0.5250990731038073,-0.9604881341980978,0.4204058171248938
-0.4589917777894347,-0.5169532641717546,-0.5278515359938861,-0.9580571818524364,-0.2433978351088402
-0.5015599977776709,-0.5162864894430574,-0.5306540878740892,-0.9704530373939716,-0.888090436074006
-0.5034455434335923,-0.5157759205923369,-0.5335096513814016,-0.96978400130343,-0.2546675595940207
-0.517740269069195,-0.5087364204651385,-0.5334804294190524,-0.942056303381808,-0.2806063027203193
