,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
0,Afghanistan,"4,367","4,553","5,146","6,167","6,925","8,556","10,297","12,066",,
1,Albania,"3,483","3,928","4,348","5,611","7,185","8,052","8,896","10,677","12,881","12,044"
2,Algeria,"54,749","54,745","56,761","67,864","85,332","103,198","117,027","134,977","171,001","137,211"
3,Andorra,"1,429","1,547","1,758","2,362","2,896","3,158","3,456","3,952","4,082","3,675"
4,Angola,"11,166","10,930","15,286","17,813","23,552","36,971","52,381","65,266","88,539","70,307"
5,Antigua and Barbuda,826,800,814,856,920,"1,023","1,158","1,313","1,370","1,228"
6,Argentina,"317,759","300,421","112,458","142,431","164,911","199,273","232,892","287,921","363,545","334,633"
7,Armenia,"1,912","2,118","2,376","2,807","3,577","4,900","6,384","9,206","11,662","8,648"
8,Aruba,"1,873","1,896","1,962","2,044","2,255","2,360","2,470","2,678","2,843","2,554"
9,Australia,"399,650","377,526","425,115","540,950","658,379","735,633","782,398","949,037","1,055,936","999,994"
10,Austria,"197,377","197,510","214,243","262,208","301,321","316,267","336,298","389,231","432,005","401,323"
11,Azerbaijan,"5,273","5,475","6,232","7,276","8,682","13,273","21,027","33,090","48,979","44,289"
12,Bahamas,"8,076","8,318","8,881","8,870","9,055","9,836","10,167","10,618","10,526","9,982"
13,Bahrain,"9,063","9,189","9,594","11,075","13,150","15,969","18,505","21,730","25,711","22,938"
14,Bangladesh,"63,549","64,660","66,227","71,917","78,046","82,622","86,028","95,374","109,765","122,760"
15,Barbados,"3,059","3,055","3,106","3,210","3,444","3,820","4,217","4,674","4,785","4,466"
16,Belarus,"10,785","12,778","15,092","18,420","23,928","31,239","38,219","46,815","62,798","50,855"
17,Belgium,"236,897","236,748","258,200","318,004","369,047","385,927","408,281","470,978","517,270","482,730"
18,Belize,"1,082","1,129","1,199","1,267","1,356","1,427","1,544","1,645","1,701","1,664"
19,Benin,"3,522","3,666","4,191","5,348","6,187","6,571","7,034","8,170","9,787","9,728"
20,Bhutan,423,441,481,572,649,758,812,995,"1,260","1,184"
21,Bolivia,"8,385","8,155","7,917","8,092","8,785","9,573","11,520","13,216","16,792","17,464"
22,Bosnia and Herzegovina,"5,554","5,784","6,711","8,477","10,157","10,935","12,460","15,323","18,712","17,601"
23,Botswana,"5,682","5,460","5,395","7,469","8,819","9,833","9,919","10,566","10,731","10,118"
24,Brazil,"655,454","559,982","509,798","558,232","669,290","891,633","1,107,628","1,397,114","1,695,855","1,669,204"
25,Brunei,"6,650","6,206","6,475","7,266","8,723","10,561","12,710","13,571","15,949","11,892"
26,Bulgaria,"13,246","14,183","16,403","21,146","26,158","29,868","34,380","44,404","54,434","52,024"
27,Burkina Faso,"2,961","3,190","3,620","4,740","5,449","6,150","6,548","7,627","9,450","9,440"
28,Burundi,870,877,825,785,915,"1,117","1,273","1,356","1,612","1,775"
29,Cape Verde,609,616,679,891,"1,023","1,091","1,237","1,513","1,788","1,698"
30,Cambodia,"3,667","3,992","4,289","4,665","5,334","6,286","7,267","8,630","10,341","10,391"
31,Cameroon,"10,245","10,950","12,369","15,944","18,803","19,534","20,912","23,931","27,712","27,903"
32,Canada,"744,631","738,968","760,149","895,599","1,026,473","1,173,505","1,319,356","1,468,896","1,552,864","1,376,509"
33,Central African Republic,868,899,983,"1,188","1,310","1,413","1,538","1,755","2,033","2,059"
34,Chad,"1,572","1,936","2,257","3,102","5,003","6,676","7,451","8,687","10,430","9,315"
35,Chile,"78,195","71,498","70,282","76,506","99,087","122,345","153,910","172,537","179,526","171,560"
36,China,"1,205,532","1,333,649","1,465,829","1,656,962","1,949,446","2,290,019","2,754,149","3,555,655","4,577,280","5,088,992"
37,Colombia,"99,230","97,566","97,313","94,033","116,336","145,601","161,793","206,230","242,504","232,469"
38,Comoros,339,373,427,547,622,656,689,796,916,904
39,,"19,077","7,246","8,720","9,022","10,275","12,069","14,376","16,778","19,548","18,495"
40,Republic of the Congo,"3,624","3,038","3,330","3,863","5,101","6,654","8,073","8,784","11,649","9,713"
41,Costa Rica,"15,016","15,979","16,584","17,277","18,615","20,049","22,717","26,885","30,802","30,746"
42,Ivory Coast,"14,851","15,485","17,147","21,205","22,924","23,625","24,628","28,158","33,621","33,693"
43,Croatia,"21,840","23,274","27,075","34,985","41,959","45,780","50,860","60,543","70,751","63,084"
44,Cyprus,"9,988","10,397","11,422","14,552","17,327","18,713","20,422","24,082","27,955","26,020"
45,Czech Republic,"61,823","67,809","82,184","100,125","119,815","137,143","156,264","189,988","237,131","207,558"
46,Denmark,"164,158","164,791","178,635","218,097","251,375","264,467","282,886","319,424","353,359","321,243"
47,Djibouti,780,811,837,881,935,995,"1,079","1,190","1,381","1,425"
48,Dominica,333,340,333,343,367,364,390,421,458,489
49,Dominican Republic,"24,306","25,602","27,249","21,518","22,506","35,948","37,998","44,067","48,206","48,319"
50,Ecuador,"18,319","24,468","28,549","32,433","36,592","41,507","46,802","51,008","61,763","62,520"
51,Egypt,"104,752","102,273","90,261","85,163","82,855","94,127","112,902","137,055","170,797","198,316"
52,El Salvador,"11,785","12,283","12,664","13,244","13,725","14,698","16,000","17,012","17,987","17,602"
53,Equatorial Guinea,"1,159","1,674","2,071","3,768","5,954","8,187","10,095","13,089","19,830","15,088"
54,Eritrea,547,582,564,673,858,850,937,"1,020",923,"1,297"
55,Estonia,"5,707","6,269","7,391","9,891","12,158","14,126","17,047","22,476","24,433","19,693"
56,Eswatini,"1,739","1,544","1,436","2,198","2,774","3,177","3,293","3,465","3,298","3,596"
57,Ethiopia,"8,167","8,103","7,828","8,604","10,122","12,387","15,310","19,329","26,250","28,672"
58,Fiji,"1,824","1,798","1,996","2,509","2,954","3,257","3,361","3,688","3,816","3,106"
59,Finland,"126,075","129,534","140,305","171,609","197,390","204,999","217,101","256,408","285,685","253,222"
60,France,"1,366,243","1,377,667","1,500,348","1,844,083","2,118,671","2,198,160","2,320,659","2,660,905","2,929,983","2,697,955"
61,Gabon,"5,397","5,023","5,332","6,510","7,767","9,468","10,164","12,457","15,570","12,188"
62,Gambia,"1,010","1,002",887,843,962,"1,028","1,054","1,280","1,562","1,450"
63,Georgia,"3,144","3,311","3,493","4,103","5,269","6,590","7,979","10,458","13,158","11,069"
64,Germany,"1,948,843","1,945,804","2,077,016","2,501,014","2,813,076","2,848,438","2,994,862","3,425,982","3,744,854","3,407,557"
65,Ghana,"11,470","12,234","14,205","17,528","20,302","24,600","28,883","34,044","38,659","34,601"
66,Greece,"131,082","135,160","153,152","200,613","238,823","245,920","271,254","316,250","352,866","328,156"
67,Grenada,520,520,540,591,599,695,699,759,826,771
68,Guatemala,"18,124","19,735","21,924","23,092","24,977","28,179","31,308","35,028","40,242","37,997"
69,Guinea,"4,039","3,806","4,022","4,759","5,054","4,506","4,178","6,317","6,966","6,753"
70,Guinea-Bissau,392,413,466,553,582,640,635,753,953,889
71,Guyana,"1,497","1,504","1,555","1,592","1,657","1,712","1,899","2,225","2,491","2,596"
72,Haiti,"6,810","6,285","6,064","4,866","6,037","7,186","7,507","9,522","10,488","11,598"
73,Honduras,"7,187","7,651","7,858","8,230","8,869","9,757","10,917","12,361","13,882","14,587"
74,Hong Kong,"171,643","169,381","166,336","161,370","169,085","181,556","193,515","211,583","219,279","214,048"
75,Hungary,"47,218","53,750","67,609","85,302","103,960","112,981","115,577","139,966","158,136","130,760"
76,Iceland,"9,026","8,235","9,318","11,429","13,825","16,853","17,465","21,653","18,075","13,154"
77,India,"476,610","493,953","523,970","618,358","721,589","834,217","949,117","1,238,700","1,224,096","1,365,373"
78,Indonesia,"179,482","174,507","212,807","255,428","279,556","310,815","396,293","470,144","558,582","577,539"
79,Iran,"366,917","330,978","132,682","158,416","188,961","228,428","272,361","360,928","425,699","440,408"
80,Iraq,"25,857","18,936","18,970","15,800","36,642","50,065","65,144","88,833","131,614","111,660"
81,Ireland,"100,253","109,347","128,505","164,630","194,283","211,993","232,193","270,112","275,417","236,185"
82,Israel,"136,034","134,637","125,060","131,299","139,974","147,084","158,670","184,053","220,530","211,968"
83,Italy,"1,147,184","1,168,032","1,275,867","1,577,226","1,805,723","1,859,245","1,949,655","2,213,364","2,408,391","2,197,540"
84,Jamaica,"9,065","9,195","9,719","9,430","10,175","11,233","11,946","12,881","13,743","12,107"
85,Japan,"4,968,359","4,374,710","4,182,845","4,519,563","4,893,135","4,831,466","4,601,663","4,579,749","5,106,679","5,289,494"
86,Jordan,"8,725","9,255","9,882","10,514","11,768","12,982","15,527","17,645","22,648","24,538"
87,Kazakhstan,"18,292","22,153","24,637","30,834","43,152","57,125","81,003","104,850","133,442","115,309"
88,Kenya,"18,206","18,697","19,030","21,391","22,790","26,308","29,668","36,708","41,059","42,347"
89,Kiribati,68,63,72,91,103,112,110,133,144,134
90,South Korea,"576,483","547,743","626,989","702,696","792,532","934,708","1,052,610","1,172,465","1,049,168","943,739"
91,Kosovo,"2,217","2,509","2,730","3,390","3,710","3,828","4,019","4,868","5,202","5,030"
92,Kuwait,"37,721","34,886","38,135","47,844","59,439","80,807","101,559","114,677","147,402","105,992"
93,Kyrgyzstan,"1,368","1,525","1,606","1,920","2,214","2,459","2,837","3,807","5,139","4,690"
94,Laos,"1,720","1,757","1,844","2,260","2,651","3,079","3,934","4,757","5,946","6,431"
95,Latvia,"7,963","8,363","9,564","11,777","14,440","17,030","21,589","31,100","36,023","26,480"
96,Lebanon,"17,018","17,361","18,837","19,486","21,160","21,497","22,023","24,827","29,119","35,400"
97,Lesotho,847,701,767,"1,109","1,384","1,484","1,519","1,759","1,652","1,937"
98,Liberia,863,904,943,714,897,944,"1,109","1,344","1,676","1,765"
99,Libya,"39,498","35,206","21,128","27,026","34,054","48,852","60,094","68,211","86,804","60,809"
100,Lithuania,"11,525","12,238","14,257","18,782","22,624","26,115","30,203","39,764","48,030","37,475"
101,Luxembourg,"21,240","21,388","23,633","29,660","35,049","37,693","42,912","51,593","58,838","54,408"
102,Macau,"6,860","7,372","8,247","10,643","12,160","14,874","18,440","21,027","21,588",
103,Madagascar,"4,629","5,438","5,352","6,372","5,065","5,859","6,396","8,525","10,725","9,617"
104,Malawi,"4,257","4,178","4,922","4,521","4,895","5,148","5,630","6,240","7,492","8,723"
105,Malaysia,"102,149","101,054","109,833","120,025","135,869","150,356","170,514","202,869","242,080","212,026"
106,Maldives,801,767,828,"1,052","1,227","1,163","1,575","1,868","2,272","2,345"
107,Mali,"2,963","3,468","3,905","4,713","5,452","6,251","6,906","8,157","9,837","10,221"
108,Malta,"4,075","4,089","4,478","5,455","6,102","6,415","6,811","7,989","9,127","8,721"
109,Marshall Islands,115,122,132,131,133,137,142,148,152,150
110,Mauritania,"1,780","1,746","1,777","2,051","2,362","2,936","4,009","4,328","5,138","4,725"
111,Mauritius,"4,869","4,817","5,055","6,073","6,869","6,775","7,029","8,150","9,990","9,129"
112,Mexico,"707,909","756,693","772,110","729,335","782,243","877,477","975,383","1,052,697","1,109,987","900,047"
113,Federated States of Micronesia,233,241,242,245,240,250,253,257,263,280
114,Moldova,"1,315","1,481","1,662","1,981","2,598","2,988","3,408","4,401","6,055","5,438"
115,Mongolia,"1,137","1,268","1,397","1,595","1,992","2,523","3,414","4,235","5,623","4,584"
116,Montenegro,966,"1,150","1,269","1,681","2,073","2,261","2,724","3,686","4,564","4,171"
117,Morocco,"42,053","42,704","45,711","56,345","64,528","67,468","74,284","85,539","100,112","100,535"
118,Mozambique,"5,656","5,399","5,677","6,303","7,631","8,542","9,177","10,451","12,556","11,914"
119,Myanmar,"7,736","7,131","6,921","8,881","10,754","12,126","13,585","17,855","25,470","30,864"
120,Namibia,"3,941","3,577","3,396","4,974","6,673","7,324","7,711","8,730","8,496","8,915"
121,Nauru,32,31,29,23,37,44,,,,
122,Nepal,"6,536","6,719","6,816","7,217","8,296","9,329","10,314","11,775","14,308","14,661"
123,Netherlands,"417,664","431,590","473,527","579,925","658,081","685,727","733,994","848,659","951,766","870,572"
