,name,year,gdp
208,Bhutan,2008,1260
209,Bhutan,2009,1184
210,Bolivia,2000,8385
211,Bolivia,2001,8155
212,Bolivia,2002,7917
213,Bolivia,2003,8092
214,Bolivia,2004,8785
215,Bolivia,2005,9573
216,Bolivia,2006,11520
217,Bolivia,2007,13216
218,Bolivia,2008,16792
219,Bolivia,2009,17464
220,Bosnia and Herzegovina,2000,5554
221,Bosnia and Herzegovina,2001,5784
222,Bosnia and Herzegovina,2002,6711
223,Bosnia and Herzegovina,2003,8477
224,Bosnia and Herzegovina,2004,10157
225,Bosnia and Herzegovina,2005,10935
226,Bosnia and Herzegovina,2006,12460
227,Bosnia and Herzegovina,2007,15323
228,Bosnia and Herzegovina,2008,18712
229,Bosnia and Herzegovina,2009,17601
230,Botswana,2000,5682
231,Botswana,2001,5460
232,Botswana,2002,5395
233,Botswana,2003,7469
234,Botswana,2004,8819
235,Botswana,2005,9833
236,Botswana,2006,9919
237,Botswana,2007,10566
238,Botswana,2008,10731
239,Botswana,2009,10118
240,Brazil,2000,655454
241,Brazil,2001,559982
242,Brazil,2002,509798
243,Brazil,2003,558232
244,Brazil,2004,669290
245,Brazil,2005,891633
246,Brazil,2006,1107628
247,Brazil,2007,1397114
248,Brazil,2008,1695855
249,Brazil,2009,1669204
250,Brunei,2000,6650
251,Brunei,2001,6206
252,Brunei,2002,6475
253,Brunei,2003,7266
254,Brunei,2004,8723
255,Brunei,2005,10561
256,Brunei,2006,12710
257,Brunei,2007,13571
258,Brunei,2008,15949
259,Brunei,2009,11892
260,Bulgaria,2000,13246
261,Bulgaria,2001,14183
262,Bulgaria,2002,16403
263,Bulgaria,2003,21146
264,Bulgaria,2004,26158
265,Bulgaria,2005,29868
266,Bulgaria,2006,34380
267,Bulgaria,2007,44404
268,Bulgaria,2008,54434
269,Bulgaria,2009,52024
270,Burkina Faso,2000,2961
271,Burkina Faso,2001,3190
272,Burkina Faso,2002,3620
273,Burkina Faso,2003,4740
274,Burkina Faso,2004,5449
275,Burkina Faso,2005,6150
276,Burkina Faso,2006,6548
277,Burkina Faso,2007,7627
278,Burkina Faso,2008,9450
279,Burkina Faso,2009,9440
280,Burundi,2000,870
281,Burundi,2001,877
282,Burundi,2002,825
283,Burundi,2003,785
284,Burundi,2004,915
285,Burundi,2005,1117
286,Burundi,2006,1273
287,Burundi,2007,1356
288,Burundi,2008,1612
289,Burundi,2009,1775
290,Cape Verde,2000,609
291,Cape Verde,2001,616
292,Cape Verde,2002,679
293,Cape Verde,2003,891
294,Cape Verde,2004,1023
295,Cape Verde,2005,1091
296,Cape Verde,2006,1237
297,Cape Verde,2007,1513
298,Cape Verde,2008,1788
299,Cape Verde,2009,1698
300,Cambodia,2000,3667
301,Cambodia,2001,3992
302,Cambodia,2002,4289
303,Cambodia,2003,4665
304,Cambodia,2004,5334
305,Cambodia,2005,6286
306,Cambodia,2006,7267
307,Cambodia,2007,8630
308,Cambodia,2008,10341
309,Cambodia,2009,10391
310,Cameroon,2000,10245
311,Cameroon,2001,10950
312,Cameroon,2002,12369
313,Cameroon,2003,15944
314,Cameroon,2004,18803
315,Cameroon,2005,19534
316,Cameroon,2006,20912
317,Cameroon,2007,23931
318,Cameroon,2008,27712
319,Cameroon,2009,27903
320,Canada,2000,744631
321,Canada,2001,738968
322,Canada,2002,760149
323,Canada,2003,895599
324,Canada,2004,1026473
325,Canada,2005,1173505
326,Canada,2006,1319356
327,Canada,2007,1468896
328,Canada,2008,1552864
329,Canada,2009,1376509
330,Central African Republic,2000,868
331,Central African Republic,2001,899
332,Central African Republic,2002,983
333,Central African Republic,2003,1188
334,Central African Republic,2004,1310
335,Central African Republic,2005,1413
336,Central African Republic,2006,1538
337,Central African Republic,2007,1755
338,Central African Republic,2008,2033
339,Central African Republic,2009,2059
340,Chad,2000,1572
341,Chad,2001,1936
342,Chad,2002,2257
343,Chad,2003,3102
344,Chad,2004,5003
345,Chad,2005,6676
346,Chad,2006,7451
347,Chad,2007,8687
348,Chad,2008,10430
349,Chad,2009,9315
350,Chile,2000,78195
351,Chile,2001,71498
352,Chile,2002,70282
353,Chile,2003,76506
354,Chile,2004,99087
355,Chile,2005,122345
356,Chile,2006,153910
357,Chile,2007,172537
358,Chile,2008,179526
359,Chile,2009,171560
360,China,2000,1205532
361,China,2001,1333649
362,China,2002,1465829
363,China,2003,1656962
364,China,2004,1949446
365,China,2005,2290019
366,China,2006,2754149
367,China,2007,3555655
368,China,2008,4577280
369,China,2009,5088992
370,Colombia,2000,99230
371,Colombia,2001,97566
372,Colombia,2002,97313
373,Colombia,2003,94033
374,Colombia,2004,116336
375,Colombia,2005,145601
376,Colombia,2006,161793
377,Colombia,2007,206230
378,Colombia,2008,242504
379,Colombia,2009,232469
380,Comoros,2000,339
381,Comoros,2001,373
382,Comoros,2002,427
383,Comoros,2003,547
384,Comoros,2004,622
385,Comoros,2005,656
386,Comoros,2006,689
387,Comoros,2007,796
388,Comoros,2008,916
389,Comoros,2009,904
390,Democratic Republic of Congo,2000,19077
391,Democratic Republic of Congo,2001,7246
392,Democratic Republic of Congo,2002,8720
393,Democratic Republic of Congo,2003,9022
394,Democratic Republic of Congo,2004,10275
395,Democratic Republic of Congo,2005,12069
396,Democratic Republic of Congo,2006,14376
397,Democratic Republic of Congo,2007,16778
398,Democratic Republic of Congo,2008,19548
399,Democratic Republic of Congo,2009,18495
400,Republic of the Congo,2000,3624
401,Republic of the Congo,2001,3038
402,Republic of the Congo,2002,3330
403,Republic of the Congo,2003,3863
404,Republic of the Congo,2004,5101
405,Republic of the Congo,2005,6654
406,Republic of the Congo,2006,8073
407,Republic of the Congo,2007,8784
408,Republic of the Congo,2008,11649
409,Republic of the Congo,2009,9713
410,Costa Rica,2000,15016
411,Costa Rica,2001,15979
412,Costa Rica,2002,16584
413,Costa Rica,2003,17277
414,Costa Rica,2004,18615
415,Costa Rica,2005,20049
416,Costa Rica,2006,22717
417,Costa Rica,2007,26885
418,Costa Rica,2008,30802
419,Costa Rica,2009,30746
420,Ivory Coast,2000,14851
421,Ivory Coast,2001,15485
422,Ivory Coast,2002,17147
423,Ivory Coast,2003,21205
424,Ivory Coast,2004,22924
425,Ivory Coast,2005,23625
426,Ivory Coast,2006,24628
427,Ivory Coast,2007,28158
428,Ivory Coast,2008,33621
429,Ivory Coast,2009,33693
430,Croatia,2000,21840
431,Croatia,2001,23274
432,Croatia,2002,27075
433,Croatia,2003,34985
434,Croatia,2004,41959
435,Croatia,2005,45780
436,Croatia,2006,50860
437,Croatia,2007,60543
438,Croatia,2008,70751
439,Croatia,2009,63084
440,Cyprus,2000,9988
441,Cyprus,2001,10397
442,Cyprus,2002,11422
443,Cyprus,2003,14552
444,Cyprus,2004,17327
445,Cyprus,2005,18713
446,Cyprus,2006,20422
447,Cyprus,2007,24082
448,Cyprus,2008,27955
449,Cyprus,2009,26020
450,Czech Republic,2000,61823
451,Czech Republic,2001,67809
452,Czech Republic,2002,82184
453,Czech Republic,2003,100125
454,Czech Republic,2004,119815
455,Czech Republic,2005,137143
456,Czech Republic,2006,156264
457,Czech Republic,2007,189988
458,Czech Republic,2008,237131
459,Czech Republic,2009,207558
460,Denmark,2000,164158
461,Denmark,2001,164791
462,Denmark,2002,178635
463,Denmark,2003,218097
464,Denmark,2004,251375
465,Denmark,2005,264467
466,Denmark,2006,282886
467,Denmark,2007,319424
468,Denmark,2008,353359
469,Denmark,2009,321243
470,Djibouti,2000,780
471,Djibouti,2001,811
472,Djibouti,2002,837
473,Djibouti,2003,881
474,Djibouti,2004,935
475,Djibouti,2005,995
476,Djibouti,2006,1079
477,Djibouti,2007,1190
478,Djibouti,2008,1381
479,Djibouti,2009,1425
480,Dominica,2000,333
481,Dominica,2001,340
482,Dominica,2002,333
483,Dominica,2003,343
484,Dominica,2004,367
485,Dominica,2005,364
486,Dominica,2006,390
487,Dominica,2007,421
488,Dominica,2008,458
489,Dominica,2009,489
490,Dominican Republic,2000,24306
491,Dominican Republic,2001,25602
492,Dominican Republic,2002,27249
493,Dominican Republic,2003,21518
494,Dominican Republic,2004,22506
495,Dominican Republic,2005,35948
496,Dominican Republic,2006,37998
497,Dominican Republic,2007,44067
498,Dominican Republic,2008,48206
499,Dominican Republic,2009,48319
500,Ecuador,2000,18319
501,Ecuador,2001,24468
502,Ecuador,2002,28549
503,Ecuador,2003,32433
504,Ecuador,2004,36592
505,Ecuador,2005,41507
506,Ecuador,2006,46802
507,Ecuador,2007,51008
508,Ecuador,2008,61763
509,Ecuador,2009,62520
510,Egypt,2000,104752
511,Egypt,2001,102273
512,Egypt,2002,90261
513,Egypt,2003,85163
514,Egypt,2004,82855
515,Egypt,2005,94127
516,Egypt,2006,112902
517,Egypt,2007,137055
518,Egypt,2008,170797
519,Egypt,2009,198316
520,El Salvador,2000,11785
521,El Salvador,2001,12283
522,El Salvador,2002,12664
523,El Salvador,2003,13244
524,El Salvador,2004,13725
525,El Salvador,2005,14698
526,El Salvador,2006,16000
527,El Salvador,2007,17012
528,El Salvador,2008,17987
529,El Salvador,2009,17602
530,Equatorial Guinea,2000,1159
531,Equatorial Guinea,2001,1674
532,Equatorial Guinea,2002,2071
533,Equatorial Guinea,2003,3768
534,Equatorial Guinea,2004,5954
535,Equatorial Guinea,2005,8187
536,Equatorial Guinea,2006,10095
537,Equatorial Guinea,2007,13089
538,Equatorial Guinea,2008,19830
539,Equatorial Guinea,2009,15088
540,Eritrea,2000,547
541,Eritrea,2001,582
542,Eritrea,2002,564
543,Eritrea,2003,673
544,Eritrea,2004,858
545,Eritrea,2005,850
546,Eritrea,2006,937
547,Eritrea,2007,1020
548,Eritrea,2008,923
549,Eritrea,2009,1297
550,Estonia,2000,5707
551,Estonia,2001,6269
552,Estonia,2002,7391
553,Estonia,2003,9891
554,Estonia,2004,12158
555,Estonia,2005,14126
556,Estonia,2006,17047
557,Estonia,2007,22476
558,Estonia,2008,24433
559,Estonia,2009,19693
560,Eswatini,2000,1739
561,Eswatini,2001,1544
562,Eswatini,2002,1436
563,Eswatini,2003,2198
564,Eswatini,2004,2774
565,Eswatini,2005,3177
566,Eswatini,2006,3293
567,Eswatini,2007,3465
568,Eswatini,2008,3298
569,Eswatini,2009,3596
570,Ethiopia,2000,8167
571,Ethiopia,2001,8103
572,Ethiopia,2002,7828
573,Ethiopia,2003,8604
574,Ethiopia,2004,10122
575,Ethiopia,2005,12387
576,Ethiopia,2006,15310
577,Ethiopia,2007,19329
578,Ethiopia,2008,26250
579,Ethiopia,2009,28672
580,Fiji,2000,1824
581,Fiji,2001,1798
582,Fiji,2002,1996
583,Fiji,2003,2509
584,Fiji,2004,2954
585,Fiji,2005,3257
586,Fiji,2006,3361
587,Fiji,2007,3688
588,Fiji,2008,3816
589,Fiji,2009,3106
590,Finland,2000,126075
591,Finland,2001,129534
592,Finland,2002,140305
593,Finland,2003,171609
594,Finland,2004,197390
595,Finland,2005,204999
596,Finland,2006,217101
597,Finland,2007,256408
598,Finland,2008,285685
599,Finland,2009,253222
600,France,2000,1366243
601,France,2001,1377667
602,France,2002,1500348
603,France,2003,1844083
604,France,2004,2118671
605,France,2005,2198160
606,France,2006,2320659
607,France,2007,2660905
608,France,2008,2929983
609,France,2009,2697955
610,Gabon,2000,5397
611,Gabon,2001,5023
612,Gabon,2002,5332
613,Gabon,2003,6510
614,Gabon,2004,7767
615,Gabon,2005,9468
616,Gabon,2006,10164
617,Gabon,2007,12457
618,Gabon,2008,15570
619,Gabon,2009,12188
620,Gambia,2000,1010
621,Gambia,2001,1002
622,Gambia,2002,887
623,Gambia,2003,843
624,Gambia,2004,962
625,Gambia,2005,1028
626,Gambia,2006,1054
627,Gambia,2007,1280
628,Gambia,2008,1562
629,Gambia,2009,1450
630,Georgia,2000,3144
631,Georgia,2001,3311
632,Georgia,2002,3493
633,Georgia,2003,4103
634,Georgia,2004,5269
635,Georgia,2005,6590
636,Georgia,2006,7979
637,Georgia,2007,10458
638,Georgia,2008,13158
639,Georgia,2009,11069
640,Germany,2000,1948843
641,Germany,2001,1945804
642,Germany,2002,2077016
643,Germany,2003,2501014
644,Germany,2004,2813076
645,Germany,2005,2848438
646,Germany,2006,2994862
647,Germany,2007,3425982
648,Germany,2008,3744854
649,Germany,2009,3407557
650,Ghana,2000,11470
651,Ghana,2001,12234
652,Ghana,2002,14205
653,Ghana,2003,17528
654,Ghana,2004,20302
655,Ghana,2005,24600
656,Ghana,2006,28883
657,Ghana,2007,34044
658,Ghana,2008,38659
659,Ghana,2009,34601
660,Greece,2000,131082
661,Greece,2001,135160
662,Greece,2002,153152
663,Greece,2003,200613
664,Greece,2004,238823
665,Greece,2005,245920
666,Greece,2006,271254
667,Greece,2007,316250
668,Greece,2008,352866
669,Greece,2009,328156
670,Grenada,2000,520
671,Grenada,2001,520
672,Grenada,2002,540
673,Grenada,2003,591
674,Grenada,2004,599
675,Grenada,2005,695
676,Grenada,2006,699
677,Grenada,2007,759
678,Grenada,2008,826
679,Grenada,2009,771
680,Guatemala,2000,18124
681,Guatemala,2001,19735
682,Guatemala,2002,21924
683,Guatemala,2003,23092
684,Guatemala,2004,24977
685,Guatemala,2005,28179
686,Guatemala,2006,31308
687,Guatemala,2007,35028
688,Guatemala,2008,40242
689,Guatemala,2009,37997
690,Guinea,2000,4039
691,Guinea,2001,3806
692,Guinea,2002,4022
693,Guinea,2003,4759
694,Guinea,2004,5054
695,Guinea,2005,4506
696,Guinea,2006,4178
697,Guinea,2007,6317
698,Guinea,2008,6966
699,Guinea,2009,6753
700,Guinea-Bissau,2000,392
701,Guinea-Bissau,2001,413
702,Guinea-Bissau,2002,466
703,Guinea-Bissau,2003,553
704,Guinea-Bissau,2004,582
705,Guinea-Bissau,2005,640
706,Guinea-Bissau,2006,635
707,Guinea-Bissau,2007,753
708,Guinea-Bissau,2008,953
709,Guinea-Bissau,2009,889
710,Guyana,2000,1497
711,Guyana,2001,1504
712,Guyana,2002,1555
713,Guyana,2003,1592
714,Guyana,2004,1657
715,Guyana,2005,1712
716,Guyana,2006,1899
717,Guyana,2007,2225
718,Guyana,2008,2491
719,Guyana,2009,2596
720,Haiti,2000,6810
721,Haiti,2001,6285
722,Haiti,2002,6064
723,Haiti,2003,4866
724,Haiti,2004,6037
725,Haiti,2005,7186
726,Haiti,2006,7507
727,Haiti,2007,9522
728,Haiti,2008,10488
729,Haiti,2009,11598
730,Honduras,2000,7187
731,Honduras,2001,7651
732,Honduras,2002,7858
733,Honduras,2003,8230
734,Honduras,2004,8869
735,Honduras,2005,9757
736,Honduras,2006,10917
737,Honduras,2007,12361
738,Honduras,2008,13882
739,Honduras,2009,14587
740,Hong Kong,2000,171643
741,Hong Kong,2001,169381
742,Hong Kong,2002,166336
743,Hong Kong,2003,161370
744,Hong Kong,2004,169085
745,Hong Kong,2005,181556
746,Hong Kong,2006,193515
747,Hong Kong,2007,211583
748,Hong Kong,2008,219279
749,Hong Kong,2009,214048
750,Hungary,2000,47218
751,Hungary,2001,53750
752,Hungary,2002,67609
753,Hungary,2003,85302
754,Hungary,2004,103960
755,Hungary,2005,112981
756,Hungary,2006,115577
757,Hungary,2007,139966
758,Hungary,2008,158136
759,Hungary,2009,130760
760,Iceland,2000,9026
761,Iceland,2001,8235
762,Iceland,2002,9318
763,Iceland,2003,11429
764,Iceland,2004,13825
765,Iceland,2005,16853
766,Iceland,2006,17465
767,Iceland,2007,21653
768,Iceland,2008,18075
769,Iceland,2009,13154
770,India,2000,476610
771,India,2001,493953
772,India,2002,523970
773,India,2003,618358
774,India,2004,721589
775,India,2005,834217
776,India,2006,949117
777,India,2007,1238700
778,India,2008,1224096
779,India,2009,1365373
780,Indonesia,2000,179482
781,Indonesia,2001,174507
782,Indonesia,2002,212807
783,Indonesia,2003,255428
784,Indonesia,2004,279556
785,Indonesia,2005,310815
786,Indonesia,2006,396293
787,Indonesia,2007,470144
788,Indonesia,2008,558582
789,Indonesia,2009,577539
790,Iran,2000,366917
791,Iran,2001,330978
792,Iran,2002,132682
793,Iran,2003,158416
794,Iran,2004,188961
795,Iran,2005,228428
796,Iran,2006,272361
797,Iran,2007,360928
798,Iran,2008,425699
799,Iran,2009,440408
800,Iraq,2000,25857
801,Iraq,2001,18936
802,Iraq,2002,18970
803,Iraq,2003,15800
804,Iraq,2004,36642
805,Iraq,2005,50065
806,Iraq,2006,65144
807,Iraq,2007,88833
808,Iraq,2008,131614
809,Iraq,2009,111660
810,Ireland,2000,100253
811,Ireland,2001,109347
812,Ireland,2002,128505
813,Ireland,2003,164630
814,Ireland,2004,194283
815,Ireland,2005,211993
816,Ireland,2006,232193
817,Ireland,2007,270112
818,Ireland,2008,275417
819,Ireland,2009,236185
820,Israel,2000,136034
821,Israel,2001,134637
822,Israel,2002,125060
823,Israel,2003,131299
824,Israel,2004,139974
825,Israel,2005,147084
826,Israel,2006,158670
827,Israel,2007,184053
828,Israel,2008,220530
829,Israel,2009,211968
830,Italy,2000,1147184
831,Italy,2001,1168032
832,Italy,2002,1275867
833,Italy,2003,1577226
834,Italy,2004,1805723
835,Italy,2005,1859245
836,Italy,2006,1949655
837,Italy,2007,2213364
838,Italy,2008,2408391
839,Italy,2009,2197540
840,Jamaica,2000,9065
841,Jamaica,2001,9195
842,Jamaica,2002,9719
843,Jamaica,2003,9430
844,Jamaica,2004,10175
845,Jamaica,2005,11233
846,Jamaica,2006,11946
847,Jamaica,2007,12881
848,Jamaica,2008,13743
849,Jamaica,2009,12107
850,Japan,2000,4968359
851,Japan,2001,4374710
852,Japan,2002,4182845
853,Japan,2003,4519563
854,Japan,2004,4893135
855,Japan,2005,4831466
856,Japan,2006,4601663
857,Japan,2007,4579749
858,Japan,2008,5106679
859,Japan,2009,5289494
860,Jordan,2000,8725
861,Jordan,2001,9255
862,Jordan,2002,9882
863,Jordan,2003,10514
864,Jordan,2004,11768
865,Jordan,2005,12982
866,Jordan,2006,15527
867,Jordan,2007,17645
868,Jordan,2008,22648
869,Jordan,2009,24538
870,Kazakhstan,2000,18292
871,Kazakhstan,2001,22153
872,Kazakhstan,2002,24637
873,Kazakhstan,2003,30834
874,Kazakhstan,2004,43152
875,Kazakhstan,2005,57125
876,Kazakhstan,2006,81003
877,Kazakhstan,2007,104850
878,Kazakhstan,2008,133442
879,Kazakhstan,2009,115309
880,Kenya,2000,18206
881,Kenya,2001,18697
882,Kenya,2002,19030
883,Kenya,2003,21391
884,Kenya,2004,22790
885,Kenya,2005,26308
886,Kenya,2006,29668
887,Kenya,2007,36708
888,Kenya,2008,41059
889,Kenya,2009,42347
890,Kiribati,2000,68
891,Kiribati,2001,63
892,Kiribati,2002,72
893,Kiribati,2003,91
894,Kiribati,2004,103
895,Kiribati,2005,112
896,Kiribati,2006,110
897,Kiribati,2007,133
898,Kiribati,2008,144
899,Kiribati,2009,134
900,South Korea,2000,576483
901,South Korea,2001,547743
902,South Korea,2002,626989
903,South Korea,2003,702696
904,South Korea,2004,792532
905,South Korea,2005,934708
906,South Korea,2006,1052610
907,South Korea,2007,1172465
908,South Korea,2008,1049168
909,South Korea,2009,943739
910,Kosovo,2000,2217
911,Kosovo,2001,2509
912,Kosovo,2002,2730
913,Kosovo,2003,3390
914,Kosovo,2004,3710
915,Kosovo,2005,3828
916,Kosovo,2006,4019
917,Kosovo,2007,4868
918,Kosovo,2008,5202
919,Kosovo,2009,5030
920,Kuwait,2000,37721
921,Kuwait,2001,34886
922,Kuwait,2002,38135
923,Kuwait,2003,47844
924,Kuwait,2004,59439
925,Kuwait,2005,80807
926,Kuwait,2006,101559
927,Kuwait,2007,114677
928,Kuwait,2008,147402
929,Kuwait,2009,105992
930,Kyrgyzstan,2000,1368
931,Kyrgyzstan,2001,1525
932,Kyrgyzstan,2002,1606
933,Kyrgyzstan,2003,1920
934,Kyrgyzstan,2004,2214
935,Kyrgyzstan,2005,2459
936,Kyrgyzstan,2006,2837
937,Kyrgyzstan,2007,3807
938,Kyrgyzstan,2008,5139
939,Kyrgyzstan,2009,4690
940,Laos,2000,1720
941,Laos,2001,1757
942,Laos,2002,1844
943,Laos,2003,2260
944,Laos,2004,2651
945,Laos,2005,3079
946,Laos,2006,3934
947,Laos,2007,4757
948,Laos,2008,5946
949,Laos,2009,6431
950,Latvia,2000,7963
951,Latvia,2001,8363
952,Latvia,2002,9564
953,Latvia,2003,11777
954,Latvia,2004,14440
955,Latvia,2005,17030
956,Latvia,2006,21589
957,Latvia,2007,31100
958,Latvia,2008,36023
959,Latvia,2009,26480
960,Lebanon,2000,17018
961,Lebanon,2001,17361
962,Lebanon,2002,18837
963,Lebanon,2003,19486
964,Lebanon,2004,21160
965,Lebanon,2005,21497
966,Lebanon,2006,22023
967,Lebanon,2007,24827
968,Lebanon,2008,29119
969,Lebanon,2009,35400
970,Lesotho,2000,847
971,Lesotho,2001,701
972,Lesotho,2002,767
973,Lesotho,2003,1109
974,Lesotho,2004,1384
975,Lesotho,2005,1484
976,Lesotho,2006,1519
977,Lesotho,2007,1759
978,Lesotho,2008,1652
979,Lesotho,2009,1937
980,Liberia,2000,863
981,Liberia,2001,904
982,Liberia,2002,943
983,Liberia,2003,714
984,Liberia,2004,897
985,Liberia,2005,944
986,Liberia,2006,1109
987,Liberia,2007,1344
988,Liberia,2008,1676
989,Liberia,2009,1765
990,Libya,2000,39498
991,Libya,2001,35206
992,Libya,2002,21128
993,Libya,2003,27026
994,Libya,2004,34054
995,Libya,2005,48852
996,Libya,2006,60094
997,Libya,2007,68211
998,Libya,2008,86804
999,Libya,2009,60809
1000,Lithuania,2000,11525
1001,Lithuania,2001,12238
1002,Lithuania,2002,14257
1003,Lithuania,2003,18782
1004,Lithuania,2004,22624
1005,Lithuania,2005,26115
1006,Lithuania,2006,30203
1007,Lithuania,2007,39764
1008,Lithuania,2008,48030
1009,Lithuania,2009,37475
1010,Luxembourg,2000,21240
1011,Luxembourg,2001,21388
1012,Luxembourg,2002,23633
1013,Luxembourg,2003,29660
1014,Luxembourg,2004,35049
1015,Luxembourg,2005,37693
1016,Luxembourg,2006,42912
1017,Luxembourg,2007,51593
1018,Luxembourg,2008,58838
1019,Luxembourg,2009,54408
1020,Macau,2000,6860
1021,Macau,2001,7372
