,HIV/AIDS,Acute Hepatitis,per_capita-Malaria,per_capita-HIV/AIDS,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)_y"
0,-0.29996759967153414,0.8127980941622929,-0.15536261404965254,-0.3684974688787183,-0.6484626006880968
1,-0.2996990447913617,0.840522951892835,-0.22394526324863198,-0.3684829643865709,-0.6484626006880968
2,-0.29943048991118926,0.8341598697907433,-0.33756671836968266,-0.36834798113689804,-0.6484626006880968
3,-0.29916193503101685,0.799844677025892,-0.35613828675105647,-0.36821034115856316,-0.6484626006880968
4,-0.29885501516796265,0.7262147269874032,-0.3669204890069832,-0.3680771888213276,-0.6484626006880968
5,-0.29854809530490845,0.6278142073372004,-0.3686941020232758,-0.36784648128541303,-0.6484626006880968
6,-0.29820281045897246,0.5296409406192153,-0.3788767098544224,-0.3676024039381836,-0.6484626006880968
7,-0.2978191606301547,0.45192043780081037,-0.3804856200271215,-0.3674199977897345,-0.6484626006880968
8,-0.2974738757842187,0.4107876570694323,-0.37147173611851897,-0.3672520199584366,-0.6484626006880968
9,-0.2971669559211645,0.384199063999978,-0.3711555191178982,-0.36712240828100856,-0.6484626006880968
10,-0.2968984010409921,0.3612465178460046,-0.39097443785958286,-0.3670336964434035,-0.6484626006880968
11,-0.2965531161950561,0.3476113419129511,-0.38799284849356525,-0.3668939354565418,-0.6484626006880968
12,-0.296054371417593,0.331703636657722,-0.38291181696863663,-0.3666485446162198,-0.6484626006880968
13,-0.2954021667086028,0.3160231843347105,-0.3798318145128675,-0.36630510115232195,-0.6484626006880968
14,-0.2945965020680855,0.3112508727581418,-0.37405529861758724,-0.36587086261014906,-0.6484626006880968
15,-0.29379083742756823,0.3117053786225769,-0.37395257158498013,-0.3654616286086058,-0.6484626006880968
16,-0.29306190275281446,0.2948886616384776,-0.37006751359746665,-0.36494430267023936,-0.6484626006880968
17,-0.29202604821500655,0.2876165678075157,-0.36777847912812317,-0.3646097994857447,-0.6484626006880968
