,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Diabetes Mellitus,per_capita-Road Injuries,Estimated number of road traffic deaths
0,-0.3684974688787183,-0.5373652804559447,-0.5786702411285886,1.0232484792026797,-0.20125362600657545
1,-0.3684829643865709,-0.5398003812697353,-0.5866757742583539,1.0773239872079277,-0.08239536905962395
2,-0.36834798113689804,-0.5397053641729462,-0.5792030783646457,1.105175799858686,-0.07393030546498916
3,-0.36821034115856316,-0.5402059891916678,-0.5774582583331295,1.0596476831455541,-0.06828692973523262
4,-0.3680771888213276,-0.54198602025202,-0.5834901638165816,0.9492137824228133,-0.10154304810747813
5,-0.36784648128541303,-0.5419437093347438,-0.5780777109097441,0.908213155318637,-0.06145945585608926
6,-0.3676024039381836,-0.5406979364068187,-0.5722753552548484,0.8567386893813541,-0.09466491019099971
7,-0.3674199977897345,-0.5422588295113476,-0.5749537306194705,0.769812628878718,-0.09675754971813309
8,-0.3672520199584366,-0.5419620708404472,-0.5745766993412547,0.746621714395318,-0.09290451388126969
9,-0.36712240828100856,-0.5423561714869765,-0.5649227560719483,0.7134113898931947,-0.19403768993792686
10,-0.3670336964434035,-0.5414736269436526,-0.5568994117214239,0.6824064615960344,-0.08873443824967786
11,-0.3668939354565418,-0.5419964405215761,-0.547761468683408,0.7968728035399454,-0.08161620417621929
12,-0.3666485446162198,-0.5425646618202817,-0.5374738820016647,0.7532988210487577,-0.19242767695697158
13,-0.36630510115232195,-0.5425537976227567,-0.5284027688025966,0.6005569621824225,-0.1916645240993315
14,-0.36587086261014906,-0.5420012091481549,-0.5134307866899455,0.5879091254873154,-0.18998712752757313
15,-0.3654616286086058,-0.5415340845459368,-0.5074153203275036,0.5771959248528659,-0.045455684581384756
16,-0.36494430267023936,-0.5391661465068941,-0.48487126969822064,0.599108977001216,-0.009149616430415614
17,-0.3646097994857447,-0.5408249037521903,-0.4943065177974752,0.5395344523506516,-0.02777772587843388
18,-0.37227918801450255,-0.5342735345998655,-0.9088273610598661,-0.8163143540341797,-0.2172190897099084
19,-0.3722734792509062,-0.5269464634389581,-0.908304648383467,-0.814889193323002,-0.21714517412227188
20,-0.3722677314295903,-0.5260091945283013,-0.8899532150160183,-0.7752608435352227,-0.21307742047331452
21,-0.3722621891713183,-0.5185244800619139,-0.8698701585294186,-0.7115272745769208,-0.22797396395672545
22,-0.3722574138262146,-0.5176938752568608,-0.8679405589400542,-0.6958190144816341,-0.2280879925748196
23,-0.3722531558764682,-0.5169532641717546,-0.876881701596004,-0.7319706994732738,-0.22788698606001173
24,-0.372249322429543,-0.5162864894430574,-0.8968556155407845,-0.7753210628100478,-0.21295107624055876
25,-0.3722463870474617,-0.5157759205923369,-0.9143008285811403,-0.7776723886582162,-0.2277282977036705
26,-0.3722448354324218,-0.5087364204651385,-0.9215194055543374,-0.7665401100215298,-0.21815596167611323
27,-0.37224450533655956,-0.5154486231754803,-0.9306843641247466,-0.8028078687983251,-0.22782533007442693
28,-0.37224542564180974,-0.5088454953412879,-0.9294135943572605,-0.7947733315861979,-0.21906945153630936
29,-0.37224702840760765,-0.5091416978152903,-0.919122378215421,-0.7876199082031036,-0.2145093217778796
30,-0.3722487212533393,-0.5094545476992002,-0.9104508005096996,-0.798848869384399,-0.228373487162661
31,-0.37225047743605044,-0.5097791027056274,-0.901851406016705,-0.804048902089054,-0.21518315768591023
32,-0.37225227624394813,-0.5034228059570757,-0.8902690218192418,-0.7972063470862539,-0.22848945937620238
33,-0.3722541182633065,-0.5037832487855867,-0.8787745889825318,-0.7874608825756687,-0.2192781974776684
34,-0.37225599900256207,-0.5041512682496087,-0.8704009603104517,-0.7988455143033775,-0.2191468752821421
35,-0.37225788364710966,-0.504520051893698,-0.8635962728105444,-0.8131714925105223,-0.21826346377229067
36,-0.37225788364710966,-0.504520051893698,-0.8575507672024328,-0.8251390677982018,-0.22910774677885962
37,-0.3691118214788252,-0.5647345990662057,-0.8023202832918872,2.4930299564718146,-0.14448766339487656
38,-0.3687446440255622,-0.565586365516042,-0.7895124208696688,2.3967353854861386,0.06824907112947404
39,-0.3682682216691374,-0.5657561047998413,-0.7761114316002402,2.2871393250065495,0.073681873137971
40,-0.3677448476382874,-0.5671762547678944,-0.7639882435535309,2.0848980934577392,-0.13691164205139966
41,-0.367204480764317,-0.5672821711925684,-0.7477591853130438,1.9905316563308149,-0.017990596232242986
42,-0.36667533692357707,-0.5679820532532162,-0.7316429757246934,1.8863135044869606,0.07587183983907056
43,-0.3659890632412864,-0.5680442794149662,-0.7146079092971281,1.7773596282114106,0.08197847775559816
44,-0.3651253650770287,-0.5681133252301459,-0.6980419653691028,1.6740800863249772,-0.13213469295513777
45,-0.36469589236617295,-0.5687845923099218,-0.6820523628805881,1.579970710700725,-0.007146470734817541
46,-0.3642226770920942,-0.5688513505776122,-0.6652513672894129,1.4908949897186008,-0.0029220670831407673
47,-0.3640291472804838,-0.5689157000010642,-0.6477746579051179,1.4073961454238744,-0.12473513239007639
48,-0.3639730786259923,-0.5684024684348993,-0.6293995426491268,1.3625247692595936,0.0028036429716282595
49,-0.363866481455284,-0.5679052194337365,-0.6125267595043389,1.3081741101758124,-0.12496482620522634
50,-0.3639182905254281,-0.5679853493770628,-0.5952880102713723,1.276613770056132,-0.12358716869125771
51,-0.3637636289418128,-0.5675052583372123,-0.5746195719506842,1.2488342141413094,0.004082162377627886
52,-0.3645499916526302,-0.5670315702471974,-0.5527382073062418,1.206215265598264,-0.11882811836130287
