,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,per_capita-Acute Hepatitis
0,-0.3684974688787183,-0.5373652804559447,-0.5786702411285886,0.47282790543651665,11.45992916792101
1,-0.3684829643865709,-0.5398003812697353,-0.5866757742583539,0.4988903500907486,11.108095113723234
2,-0.36834798113689804,-0.5397053641729462,-0.5792030783646457,0.468721373457943,10.718926904409491
3,-0.36821034115856316,-0.5402059891916678,-0.5774582583331295,0.3930287879810396,10.059815217235366
4,-0.3680771888213276,-0.54198602025202,-0.5834901638165816,0.3166981101283142,8.936771309367241
5,-0.36784648128541303,-0.5419437093347438,-0.5780777109097441,0.23397981019814112,7.794796570949855
6,-0.3676024039381836,-0.5406979364068187,-0.5722753552548484,0.1593328696566828,6.651850827995214
7,-0.3674199977897345,-0.5422588295113476,-0.5749537306194705,0.06852038930383435,5.647563307820281
8,-0.3672520199584366,-0.5419620708404472,-0.5745766993412547,0.03526360012316219,5.0933315410491895
9,-0.36712240828100856,-0.5423561714869765,-0.5649227560719483,-0.014499723453866988,4.707169613289774
10,-0.3670336964434035,-0.5414736269436526,-0.5568994117214239,-0.06574681990365977,4.368314178954862
11,-0.3668939354565418,-0.5419964405215761,-0.547761468683408,-0.08085319431366943,4.1284555483037035
12,-0.3666485446162198,-0.5425646618202817,-0.5374738820016647,-0.11107871065267029,3.8741117056323864
13,-0.36630510115232195,-0.5425537976227567,-0.5284027688025966,-0.15051860406665432,3.6295104231472934
14,-0.36587086261014906,-0.5420012091481549,-0.5134307866899455,-0.17352087681724937,3.4892561141971004
15,-0.3654616286086058,-0.5415340845459368,-0.5074153203275036,-0.20369293002564934,3.39760759472044
16,-0.36494430267023936,-0.5391661465068941,-0.48487126969822064,-0.22599911536851774,3.25212024094499
17,-0.3646097994857447,-0.5408249037521903,-0.4943065177974752,-0.24932817601735052,3.012718318536697
18,-0.37227918801450255,-0.5342735345998655,-0.9088273610598661,-0.4870334944449573,-0.6036787483279068
19,-0.3722734792509062,-0.5269464634389581,-0.908304648383467,-0.5032516932463718,-0.6034726402871096
20,-0.3722677314295903,-0.5260091945283013,-0.8899532150160183,-0.5141424388768017,-0.6032651221143415
21,-0.3722621891713183,-0.5185244800619139,-0.8698701585294186,-0.5195559285698742,-0.603065025547941
22,-0.3722574138262146,-0.5176938752568608,-0.8679405589400542,-0.5250990731038073,-0.6028926174587205
23,-0.3722531558764682,-0.5169532641717546,-0.876881701596004,-0.5278515359938861,-0.6027388893063406
24,-0.372249322429543,-0.5162864894430574,-0.8968556155407845,-0.5306540878740892,-0.6026004873175538
25,-0.3722463870474617,-0.5157759205923369,-0.9143008285811403,-0.5335096513814016,-0.6024945088793933
26,-0.3722448354324218,-0.5087364204651385,-0.9215194055543374,-0.5334804294190524,-0.6024384896852983
27,-0.37224450533655956,-0.5154486231754803,-0.9306843641247466,-0.5334742126393677,-0.602426571971367
28,-0.37224542564180974,-0.5088454953412879,-0.9294135943572605,-0.5334915449832036,-0.6024597984851053
29,-0.37224702840760765,-0.5091416978152903,-0.919122378215421,-0.533521730280843,-0.6025176644157728
