,Interpersonal Violence,Drug Use Disorders,gdp/percap,Domestic private health expenditure (PVT-D) per capita in US$,Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
0,0.07973338602177223,-0.11620769492466956,-0.6553986650081494,-0.46883827981112325,1.859144341134294
1,0.10279697187096566,-0.11218674878300253,-0.6539068468472837,-0.4669070506396715,1.9036459359511986
2,0.10547285752197706,-0.108453013080026,-0.6527138233219161,-0.46263193649090223,1.5921347722328671
3,0.10891328193042028,-0.10558090869312096,-0.6498209777557726,-0.4599579268688921,1.414128392965249
4,0.12203786393299997,-0.10385764606097796,-0.6469859154537002,-0.45579835634576527,1.236122013697631
5,0.12815417399245457,-0.10184717299014444,-0.643782139594751,-0.45074744928196836,1.058115634430013
6,0.1444643341510002,-0.09926227904192991,-0.6440466546649424,-0.44368278188554655,1.1026172292469176
7,0.155804992386239,-0.09667738509371539,-0.6446675648618996,-0.44097575979906717,1.2806236085145355
8,0.18842531270333027,-0.09351807026811985,-0.6393090673529639,-0.4324420377337633,1.236122013697631
9,0.19352223775287578,-0.09035875544252434,-0.6353972177402689,-0.4296194720216415,1.2806236085145355
10,0.20307897222077362,-0.0866250197395478,-0.6319567810775403,-0.42785330517253606,1.2806236085145355
11,0.22015367113675108,-0.08346570491395226,-0.632933561800214,-0.42565797628533025,1.236122013697631
12,0.22537801931253523,-0.08059360052704724,-0.6329621830909034,-0.4199468199321481,1.236122013697631
13,0.304252934454252,-0.07685986482407071,-0.6346283889012702,-0.4148959128683512,1.058115634430013
14,0.3034883956968202,-0.07255170824371317,-0.6385592230799163,-0.415622187086675,0.8356076603454905
15,0.323621249642525,-0.06738192034728412,-0.637894679259886,-0.409234275211873,0.6576012810778724
16,0.36299499565026405,-0.06221213245085507,-0.6386320380703817,-0.4029288944982442,0.6130996862609679
17,0.3011947794245247,-0.057616765431807035,-0.639241561408994,-0.404860123669696,0.4795949018102544
18,-0.29845845265450477,-0.16819278432765053,-0.609211861793507,-0.4107363423452244,-0.6449603992129225
19,-0.3059764171025844,-0.16675673213419803,-0.6012265935649835,-0.4056689290491929,-0.6485205267982748
20,-0.31183788090956177,-0.16560789037943602,-0.5935150608737129,-0.3962273642109843,-0.6494105586946128
21,-0.3169348059591073,-0.1653206799407455,-0.5713590734641028,-0.37878027673897996,-0.6507456065391201
22,-0.3215220385036982,-0.16560789037943602,-0.5436271986329139,-0.3550113023211123,-0.640065223783063
