,per_capita-HIV/AIDS,per_capita-Alcohol Use Disorders,per_capita-Diabetes Mellitus,per_capita-Protein-Energy Malnutrition,per_capita-Cirrhosis and Other Chronic Liver Diseases
0,-0.3684974688787183,-0.5373652804559447,-0.5786702411285886,0.47282790543651665,-0.5384630319610255
1,-0.3684829643865709,-0.5398003812697353,-0.5866757742583539,0.4988903500907486,-0.5689233647935291
2,-0.36834798113689804,-0.5397053641729462,-0.5792030783646457,0.468721373457943,-0.5824464040510409
3,-0.36821034115856316,-0.5402059891916678,-0.5774582583331295,0.3930287879810396,-0.6118019506854172
4,-0.3680771888213276,-0.54198602025202,-0.5834901638165816,0.3166981101283142,-0.652056283608792
5,-0.36784648128541303,-0.5419437093347438,-0.5780777109097441,0.23397981019814112,-0.6673520969600579
6,-0.3676024039381836,-0.5406979364068187,-0.5722753552548484,0.1593328696566828,-0.688689276661265
7,-0.3674199977897345,-0.5422588295113476,-0.5749537306194705,0.06852038930383435,-0.7242502465042645
8,-0.3672520199584366,-0.5419620708404472,-0.5745766993412547,0.03526360012316219,-0.742100452702889
9,-0.36712240828100856,-0.5423561714869765,-0.5649227560719483,-0.014499723453866988,-0.7588898415109502
10,-0.3670336964434035,-0.5414736269436526,-0.5568994117214239,-0.06574681990365977,-0.7698439925434947
11,-0.3668939354565418,-0.5419964405215761,-0.547761468683408,-0.08085319431366943,-0.774213821487197
12,-0.3666485446162198,-0.5425646618202817,-0.5374738820016647,-0.11107871065267029,-0.7842987598123349
13,-0.36630510115232195,-0.5425537976227567,-0.5284027688025966,-0.15051860406665432,-0.7954866525412309
14,-0.36587086261014906,-0.5420012091481549,-0.5134307866899455,-0.17352087681724937,-0.7945401771580015
15,-0.3654616286086058,-0.5415340845459368,-0.5074153203275036,-0.20369293002564934,-0.7870259577132664
16,-0.36494430267023936,-0.5391661465068941,-0.48487126969822064,-0.22599911536851774,-0.7772244063467899
17,-0.3646097994857447,-0.5408249037521903,-0.4943065177974752,-0.24932817601735052,-0.8050447084586744
18,-0.37227918801450255,-0.5342735345998655,-0.9088273610598661,-0.4870334944449573,-0.9955663083195596
19,-0.3722734792509062,-0.5269464634389581,-0.908304648383467,-0.5032516932463718,-1.0160021999987183
20,-0.3722677314295903,-0.5260091945283013,-0.8899532150160183,-0.5141424388768017,-1.0037011166569412
21,-0.3722621891713183,-0.5185244800619139,-0.8698701585294186,-0.5195559285698742,-0.9719824019177963
22,-0.3722574138262146,-0.5176938752568608,-0.8679405589400542,-0.5250990731038073,-0.9604881341980978
23,-0.3722531558764682,-0.5169532641717546,-0.876881701596004,-0.5278515359938861,-0.9580571818524365
24,-0.372249322429543,-0.5162864894430574,-0.8968556155407845,-0.5306540878740892,-0.9704530373939715
25,-0.3722463870474617,-0.5157759205923369,-0.9143008285811403,-0.5335096513814016,-0.9697840013034301
26,-0.3722448354324218,-0.5087364204651385,-0.9215194055543374,-0.5334804294190524,-0.942056303381808
27,-0.37224450533655956,-0.5154486231754803,-0.9306843641247466,-0.5334742126393677,-0.927268966434793
28,-0.37224542564180974,-0.5088454953412879,-0.9294135943572605,-0.5334915449832036,-0.9112052007366799
29,-0.37224702840760765,-0.5091416978152903,-0.919122378215421,-0.533521730280843,-0.890365491421601
30,-0.3722487212533393,-0.5094545476992002,-0.9104508005096996,-0.5335536120768817,-0.8783353378077252
31,-0.37225047743605044,-0.5097791027056274,-0.901851406016705,-0.5335866867144328,-0.8636224781317274
32,-0.37225227624394813,-0.5034228059570757,-0.8902690218192418,-0.533620564123009,-0.8462272391731234
33,-0.3722541182633065,-0.5037832487855867,-0.8787745889825318,-0.5336552553440607,-0.8176860871711994
34,-0.37225599900256207,-0.5041512682496087,-0.8704009603104517,-0.5336906757868267,-0.8091477969837633
35,-0.37225788364710966,-0.504520051893698,-0.8635962728105444,-0.5337261697789536,-0.7978710421709608
36,-0.37225788364710966,-0.504520051893698,-0.8575507672024328,-0.5365967071874684,-0.7866159939083581
37,-0.3691118214788252,-0.5647345990662057,-0.8023202832918872,-0.464987038857929,-0.9062637939432641
38,-0.3687446440255622,-0.565586365516042,-0.7895124208696688,-0.4729447733098062,-0.9065356601736833
